Execution Mode,Response Time
CPU,2096.8491554260254
CPU,2123.108148574829
CPU,2077.4797439575195
CPU,2093.0050373077393
CPU,2116.222381591797
CPU,2077.428722381592
CPU,2089.969253540039
CPU,2116.0391330718994
CPU,2078.6943912506104
CPU,2078.615617752075
CPU,2111.557149887085
CPU,2075.862741470337
CPU,2096.9447135925293
CPU,2093.546199798584
CPU,2076.2473583221436
CPU,2094.8387145996094
CPU,2129.372978210449
CPU,2075.785207748413
CPU,2085.2701663970947
CPU,2091.147565841675
CPU,2079.5602321624756
CPU,2091.004800796509
CPU,2115.933609008789
CPU,2097.6824283599854
CPU,2113.5879516601562
CPU,2101.217222213745
CPU,2081.9721698760986
CPU,2104.6890258789062
CPU,2100.2485275268555
CPU,2091.7826175689697
CPU,2080.088520050049
CPU,2088.3458614349365
CPU,2100.1519203186035
CPU,2080.5312156677246
CPU,2075.9929418563843
CPU,2112.090539932251
CPU,2101.271104812622
CPU,2101.8638134002686
CPU,2090.5245780944824
CPU,2078.3934116363525
CPU,2101.490020751953
CPU,2089.5107746124268
CPU,2075.130033493042
CPU,2080.149793624878
CPU,2076.270627975464
CPU,2079.9569606781006
CPU,2093.2639122009277
CPU,2090.72527885437
CPU,2076.7510890960693
CPU,2088.7214183807373
CPU,2076.780939102173
CPU,2081.1233520507812
CPU,2082.2824001312256
CPU,2098.6223220825195
CPU,2101.700782775879
CPU,2109.9427700042725
CPU,2091.532850265503
CPU,2090.9419536590576
CPU,2086.2334728240967
CPU,2094.0446376800537
CPU,2092.854881286621
CPU,2097.12233543396
CPU,2076.2298583984375
CPU,2083.309841156006
CPU,2092.275857925415
CPU,2089.621591567993
CPU,2090.4873847961426
CPU,2112.262773513794
CPU,2084.2472076416016
CPU,2101.6404151916504
CPU,2090.7902240753174
CPU,2085.7977867126465
CPU,2088.9471530914307
CPU,2099.7034549713135
CPU,2091.439390182495
CPU,2076.999044418335
CPU,2086.4049792289734
CPU,2100.1040935516357
CPU,2085.6022357940674
CPU,2090.863847732544
CPU,2080.7998180389404
CPU,2113.923168182373
CPU,2111.4543437957764
CPU,2088.0024433135986
CPU,2087.404441833496
CPU,2077.623462677002
CPU,2095.209789276123
CPU,2074.702501296997
CPU,2096.1207389831543
CPU,2088.4811401367188
CPU,2091.5902614593506
CPU,2096.9781398773193
CPU,2094.0366744995117
CPU,2078.0911922454834
CPU,2094.3192958831787
CPU,2084.952163696289
CPU,2093.045949935913
CPU,2080.717945098877
CPU,2125.5072355270386
CPU,2133.3410143852234
CPU,2099.0982055664062
CPU,2076.287269592285
CPU,2074.326992034912
CPU,2090.7139778137207
CPU,2155.768299102783
CPU,2076.157808303833
CPU,2078.297996520996
CPU,2089.9134159088135
CPU,2086.102533340454
CPU,2112.6317977905273
CPU,2125.596809387207
CPU,2091.1048889160156
CPU,2091.8198108673096
CPU,2100.387477874756
CPU,2097.758960723877
CPU,2077.3722648620605
CPU,2086.2842559814453
CPU,2115.0274753570557
CPU,2089.3561840057373
CPU,2088.6857986450195
CPU,2077.1238327026367
CPU,2090.051031112671
CPU,2096.845817565918
CPU,2092.193126678467
CPU,2090.8791542053223
CPU,2111.151933670044
CPU,2088.8558387756348
CPU,2086.220645904541
CPU,2111.5952014923096
CPU,2090.275192260742
CPU,2087.4404907226562
CPU,2095.5520629882812
CPU,2081.5136432647705
CPU,2091.1948204040527
CPU,2076.0475635528564
CPU,2087.5216007232666
CPU,2109.0741634368896
CPU,2099.793291091919
CPU,2097.558879852295
CPU,2094.443655014038
CPU,2103.700065612793
CPU,2081.2426567077637
CPU,2085.361099243164
CPU,2078.372049331665
CPU,2090.605115890503
CPU,2107.0966243743896
CPU,2142.513608932495
CPU,2089.8698329925537
CPU,2086.3561630249023
CPU,2095.3997135162354
CPU,2095.00150680542
CPU,2096.597099304199
CPU,2115.1498317718506
CPU,2091.8351650238037
CPU,2110.1017475128174
CPU,2117.7631855010986
CPU,2149.108648300171
CPU,2102.457809448242
CPU,2095.8816051483154
CPU,2097.780990600586
CPU,2090.97056388855
CPU,2095.7042574882507
CPU,2080.1525115966797
CPU,2096.8061923980713
CPU,2120.8553314208984
CPU,2096.5667247772217
CPU,2092.97456741333
CPU,2083.0063819885254
CPU,2098.5012531280518
CPU,2092.387056350708
CPU,2095.711660385132
CPU,2173.4195232391357
CPU,2075.894784927368
CPU,2119.5390224456787
CPU,2084.9820613861084
CPU,2084.5922470092773
CPU,2090.6318187713623
CPU,2085.2354526519775
CPU,2078.6696434020996
CPU,2093.3897972106934
CPU,2127.450656890869
CPU,2076.0316848754883
CPU,2082.342767715454
CPU,2102.8422355651855
CPU,2088.854503631592
CPU,2091.558790206909
CPU,2104.6581745147705
CPU,2100.07963180542
CPU,2099.1672039031982
CPU,2109.9733352661133
CPU,2085.3480339050293
CPU,2093.1732654571533
CPU,2098.574161529541
CPU,2094.7149753570557
CPU,2079.0830612182617
CPU,2079.1001319885254
CPU,2080.4487705230713
CPU,2128.8207054138184
CPU,2132.1606159210205
GPU,2082.5260162353516
GPU,2086.3455295562744
GPU,2091.274833679199
GPU,2090.703821182251
GPU,2091.781187057495
GPU,2093.695020675659
GPU,2078.748083114624
GPU,2104.3220043182373
GPU,2105.6560039520264
GPU,2084.5494747161865
GPU,2111.02876663208
GPU,2096.4253902435303
GPU,2076.824903488159
GPU,2105.2873611450195
GPU,2112.5399589538574
GPU,2076.3131618499756
GPU,2093.9270973205566
GPU,2091.3836002349854
GPU,2076.9254207611084
GPU,2085.622549057007
GPU,2082.4368476867676
GPU,2116.8638706207275
GPU,2085.2580070495605
GPU,2083.5702419281006
GPU,2089.9213790893555
GPU,2076.458978652954
GPU,2098.225259780884
GPU,2111.823606491089
GPU,2080.863571166992
GPU,2081.6629886627197
GPU,2072.992992401123
GPU,2090.1938915252686
GPU,2121.2377548217773
GPU,2083.7090015411377
GPU,2076.7839431762695
GPU,2107.642364501953
GPU,2092.9722785949707
GPU,2084.804058074951
GPU,2103.5478591918945
GPU,2100.230884552002
GPU,2085.00919342041
GPU,2093.7952995300293
GPU,2083.2475185394287
GPU,2087.3051166534424
GPU,2081.8253993988037
GPU,2080.5397510528564
GPU,2077.200412750244
GPU,2111.0745906829834
GPU,2089.3277645111084
GPU,2087.3559951782227
GPU,2097.9087829589844
GPU,2076.827573776245
GPU,2098.8497257232666
GPU,2090.079641342163
GPU,2103.744077682495
GPU,2083.483600616455
GPU,2090.8849716186523
GPU,2094.553804397583
GPU,2108.5751056671143
GPU,2075.524854660034
GPU,2089.451313018799
GPU,2075.8277893066406
GPU,2075.4842281341553
GPU,2098.143196105957
GPU,2092.2651290893555
GPU,2086.471652984619
GPU,2078.756046295166
GPU,2119.3675994873047
GPU,2099.0665435791016
GPU,2083.1259727478027
GPU,2077.9205799102783
GPU,2082.602596282959
GPU,2101.4883518218994
GPU,2086.6569995880127
GPU,2121.094799041748
GPU,2109.1958045959473
GPU,2093.1174755096436
GPU,2112.537097930908
GPU,2094.0685749053955
GPU,2093.2950019836426
GPU,2086.215925216675
GPU,2081.3328742980957
