"Time","queue-proxy","user-container"
2025-09-13 12:56:39,,2.17 ms
2025-09-13 12:56:40,,2.28 ms
2025-09-13 12:56:41,,2.39 ms
2025-09-13 12:56:42,,2.49 ms
2025-09-13 12:56:43,,2.60 ms
2025-09-13 12:56:44,,2.70 ms
2025-09-13 12:56:45,,2.81 ms
2025-09-13 12:56:46,,2.91 ms
2025-09-13 12:56:47,792 µs,3.02 ms
2025-09-13 12:56:48,814 µs,3.12 ms
2025-09-13 12:56:49,836 µs,3.23 ms
2025-09-13 12:56:50,858 µs,3.33 ms
2025-09-13 12:56:51,880 µs,3.44 ms
2025-09-13 12:56:52,902 µs,3.55 ms
2025-09-13 12:56:53,924 µs,3.65 ms
2025-09-13 12:56:54,946 µs,3.76 ms
2025-09-13 12:56:55,968 µs,2.67 ms
2025-09-13 12:56:56,990 µs,2.74 ms
2025-09-13 12:56:57,1.01 ms,2.82 ms
2025-09-13 12:56:58,1.03 ms,2.89 ms
2025-09-13 12:56:59,1.06 ms,2.96 ms
2025-09-13 12:57:00,1.08 ms,3.03 ms
2025-09-13 12:57:01,1.10 ms,3.10 ms
2025-09-13 12:57:02,1.12 ms,3.17 ms
2025-09-13 12:57:03,1.12 ms,3.24 ms
2025-09-13 12:57:04,1.14 ms,3.31 ms
2025-09-13 12:57:05,1.16 ms,3.01 ms
2025-09-13 12:57:06,1.19 ms,3.07 ms
2025-09-13 12:57:07,1.21 ms,3.13 ms
2025-09-13 12:57:08,1.23 ms,3.20 ms
2025-09-13 12:57:09,1.25 ms,3.26 ms
2025-09-13 12:57:10,1.27 ms,3.32 ms
2025-09-13 12:57:11,1.29 ms,3.39 ms
2025-09-13 12:57:12,1.29 ms,3.45 ms
2025-09-13 12:57:13,1.29 ms,3.51 ms
2025-09-13 12:57:14,1.29 ms,3.57 ms
2025-09-13 12:57:15,1.29 ms,3.64 ms
2025-09-13 12:57:16,1.29 ms,3.70 ms
2025-09-13 12:57:17,1.29 ms,3.31 ms
2025-09-13 12:57:18,1.29 ms,3.31 ms
2025-09-13 12:57:19,1.29 ms,3.31 ms
2025-09-13 12:57:20,1.13 ms,3.31 ms
2025-09-13 12:57:21,696 µs,1.47 ms
2025-09-13 12:57:22,712 µs,1.50 ms
2025-09-13 12:57:23,728 µs,1.53 ms
2025-09-13 12:57:24,745 µs,1.56 ms
2025-09-13 12:57:25,761 µs,1.59 ms
2025-09-13 12:57:26,777 µs,1.82 ms
2025-09-13 12:57:27,793 µs,1.82 ms
2025-09-13 12:57:28,810 µs,1.82 ms
2025-09-13 12:57:29,977 µs,1.82 ms
2025-09-13 12:57:30,977 µs,1.59 ms
2025-09-13 12:57:31,977 µs,1.76 ms
2025-09-13 12:57:32,977 µs,1.76 ms
2025-09-13 12:57:33,977 µs,1.76 ms
2025-09-13 12:57:34,977 µs,1.76 ms
