"Time","queue-proxy","user-container"
2025-09-13 12:58:01,223 µs,3.53 ms
2025-09-13 12:58:02,233 µs,3.75 ms
2025-09-13 12:58:03,243 µs,3.96 ms
2025-09-13 12:58:04,253 µs,4.18 ms
2025-09-13 12:58:05,263 µs,4.39 ms
2025-09-13 12:58:06,273 µs,4.61 ms
2025-09-13 12:58:07,283 µs,4.82 ms
2025-09-13 12:58:08,294 µs,5.04 ms
2025-09-13 12:58:09,304 µs,5.25 ms
2025-09-13 12:58:10,314 µs,5.47 ms
2025-09-13 12:58:11,324 µs,5.68 ms
2025-09-13 12:58:12,334 µs,5.77 ms
2025-09-13 12:58:13,344 µs,5.98 ms
2025-09-13 12:58:14,363 µs,6.19 ms
2025-09-13 12:58:15,374 µs,6.40 ms
2025-09-13 12:58:16,384 µs,6.61 ms
2025-09-13 12:58:17,395 µs,6.82 ms
2025-09-13 12:58:18,405 µs,7.03 ms
2025-09-13 12:58:19,416 µs,7.24 ms
2025-09-13 12:58:20,427 µs,7.45 ms
2025-09-13 12:58:21,437 µs,7.65 ms
2025-09-13 12:58:22,448 µs,7.86 ms
2025-09-13 12:58:23,458 µs,8.07 ms
2025-09-13 12:58:24,469 µs,6.84 ms
2025-09-13 12:58:25,479 µs,6.84 ms
2025-09-13 12:58:26,490 µs,6.84 ms
2025-09-13 12:58:27,500 µs,9.19 ms
2025-09-13 12:58:28,424 µs,9.41 ms
2025-09-13 12:58:29,424 µs,9.62 ms
2025-09-13 12:58:30,543 µs,9.83 ms
2025-09-13 12:58:31,640 µs,10.0 ms
2025-09-13 12:58:32,640 µs,10.3 ms
2025-09-13 12:58:33,640 µs,10.5 ms
2025-09-13 12:58:34,640 µs,10.7 ms
2025-09-13 12:58:35,640 µs,10.9 ms
2025-09-13 12:58:36,640 µs,11.1 ms
2025-09-13 12:58:37,640 µs,12.8 ms
2025-09-13 12:58:38,640 µs,12.5 ms
2025-09-13 12:58:39,640 µs,12.5 ms
2025-09-13 12:58:40,640 µs,12.5 ms
2025-09-13 12:58:41,640 µs,12.5 ms
2025-09-13 12:58:42,640 µs,12.5 ms
2025-09-13 12:58:43,640 µs,12.5 ms
2025-09-13 12:58:44,640 µs,12.5 ms
2025-09-13 12:58:45,640 µs,12.5 ms
2025-09-13 12:58:46,543 µs,12.5 ms
2025-09-13 12:58:47,545 µs,12.5 ms
2025-09-13 12:58:48,534 µs,12.5 ms
