"Time","queue-proxy","user-container"
2025-09-13 18:31:00,6.33 MB,15.9 MB
2025-09-13 18:31:01,6.33 MB,15.9 MB
2025-09-13 18:31:02,10.0 MB,18.2 MB
2025-09-13 18:31:03,10.0 MB,18.2 MB
2025-09-13 18:31:04,10.0 MB,18.2 MB
2025-09-13 18:31:05,10.0 MB,18.2 MB
2025-09-13 18:31:06,10.0 MB,18.2 MB
2025-09-13 18:31:07,10.0 MB,18.2 MB
2025-09-13 18:31:08,10.0 MB,18.2 MB
2025-09-13 18:31:09,10.0 MB,18.2 MB
2025-09-13 18:31:10,10.0 MB,18.2 MB
2025-09-13 18:31:11,10.0 MB,18.2 MB
2025-09-13 18:31:12,10.0 MB,18.2 MB
2025-09-13 18:31:13,10.0 MB,18.2 MB
2025-09-13 18:31:14,10.0 MB,18.2 MB
2025-09-13 18:31:15,14.0 MB,18.2 MB
2025-09-13 18:31:16,14.0 MB,18.2 MB
2025-09-13 18:31:17,14.0 MB,18.2 MB
2025-09-13 18:31:18,14.0 MB,18.2 MB
2025-09-13 18:31:19,14.0 MB,18.2 MB
2025-09-13 18:31:20,14.0 MB,18.2 MB
2025-09-13 18:31:21,14.0 MB,18.2 MB
2025-09-13 18:31:22,14.0 MB,32.0 MB
2025-09-13 18:31:23,14.0 MB,32.0 MB
2025-09-13 18:31:24,14.0 MB,32.0 MB
2025-09-13 18:31:25,14.0 MB,32.0 MB
2025-09-13 18:31:26,14.0 MB,32.0 MB
2025-09-13 18:31:27,14.0 MB,32.0 MB
2025-09-13 18:31:28,14.0 MB,32.0 MB
2025-09-13 18:31:29,14.0 MB,32.0 MB
2025-09-13 18:31:30,14.2 MB,32.0 MB
2025-09-13 18:31:31,14.2 MB,32.0 MB
2025-09-13 18:31:32,14.2 MB,32.0 MB
2025-09-13 18:31:33,14.2 MB,32.0 MB
2025-09-13 18:31:34,14.2 MB,32.0 MB
2025-09-13 18:31:35,14.2 MB,32.0 MB
2025-09-13 18:31:36,14.2 MB,32.0 MB
2025-09-13 18:31:37,14.2 MB,32.0 MB
2025-09-13 18:31:38,14.2 MB,32.0 MB
2025-09-13 18:31:39,14.2 MB,32.0 MB
2025-09-13 18:31:40,14.2 MB,32.0 MB
2025-09-13 18:31:41,14.2 MB,32.0 MB
2025-09-13 18:31:42,14.3 MB,32.0 MB
2025-09-13 18:31:43,14.3 MB,32.0 MB
2025-09-13 18:31:44,14.3 MB,32.0 MB
2025-09-13 18:31:45,14.3 MB,32.0 MB
2025-09-13 18:31:46,14.3 MB,32.0 MB
2025-09-13 18:31:47,14.3 MB,32.0 MB
2025-09-13 18:31:48,14.3 MB,32.0 MB
2025-09-13 18:31:49,14.3 MB,32.0 MB
2025-09-13 18:31:50,14.3 MB,32.0 MB
2025-09-13 18:31:51,14.3 MB,32.0 MB
2025-09-13 18:31:52,14.3 MB,32.0 MB
2025-09-13 18:31:53,14.3 MB,32.0 MB
2025-09-13 18:31:54,14.3 MB,32.0 MB
2025-09-13 18:31:55,14.3 MB,32.0 MB
2025-09-13 18:31:56,14.3 MB,32.0 MB
2025-09-13 18:31:57,14.3 MB,32.0 MB
2025-09-13 18:31:58,14.4 MB,32.0 MB
2025-09-13 18:31:59,14.4 MB,32.0 MB
2025-09-13 18:32:00,14.4 MB,32.0 MB
2025-09-13 18:32:01,14.4 MB,32.0 MB
2025-09-13 18:32:02,14.4 MB,32.0 MB
2025-09-13 18:32:03,14.4 MB,32.0 MB
2025-09-13 18:32:04,14.4 MB,32.0 MB
2025-09-13 18:32:05,14.4 MB,32.0 MB
2025-09-13 18:32:06,14.4 MB,32.0 MB
2025-09-13 18:32:07,14.4 MB,32.0 MB
2025-09-13 18:32:08,14.4 MB,32.0 MB
2025-09-13 18:32:09,14.4 MB,32.0 MB
2025-09-13 18:32:10,14.5 MB,32.0 MB
2025-09-13 18:32:11,14.5 MB,32.0 MB
2025-09-13 18:32:12,14.5 MB,32.0 MB
2025-09-13 18:32:13,14.5 MB,32.0 MB
2025-09-13 18:32:14,14.5 MB,32.0 MB
2025-09-13 18:32:15,14.5 MB,32.1 MB
