step,ram-gpu_queue-proxy,ram-gpu_user-container,cpu-cpu-2_queue-proxy,cpu-cpu-2_user-container,cpu-cpu-1_queue-proxy,cpu-cpu-1_user-container,cpu-gpu_queue-proxy,cpu-gpu_user-container,ram-cpu-2_queue-proxy,ram-cpu-2_user-container,ram-cpu-1_queue-proxy,ram-cpu-1_user-container,gpu_gpu_0
0,,,,,56.7 µs,,,,,,9.13 MB,16.2 MB,
1,,,,,53.6 µs,,,,,,12.5 MB,18.3 MB,
2,,,,,50.5 µs,,,,,,12.5 MB,18.3 MB,
3,,,,,,,,,,,12.5 MB,18.3 MB,
4,,,,,,,,,,,12.5 MB,18.3 MB,
5,,,,,,,,,,,12.5 MB,18.3 MB,
6,,,,,,,,,,,12.5 MB,18.3 MB,
7,,,,,,,,,,,12.5 MB,18.3 MB,
8,,,,,,,,,,,12.5 MB,18.3 MB,
9,,,,,,,,,,,12.5 MB,18.3 MB,
10,,,,,,,,,,,12.5 MB,18.3 MB,
11,,,,,,,,,,,12.5 MB,18.3 MB,
12,,,,,,,,,,,12.5 MB,18.3 MB,
13,,,,,,1.85 ms,,,,,12.5 MB,32.2 MB,
14,,,,,,1.99 ms,,,,,12.5 MB,32.2 MB,
15,,,,,,2.13 ms,,,,,12.5 MB,32.2 MB,
16,,,,,,2.28 ms,,,,,12.5 MB,32.2 MB,
17,,,,,,2.42 ms,,,,,12.5 MB,32.2 MB,
18,,,,,,2.57 ms,,,,,12.5 MB,32.2 MB,
19,,,,,595 µs,2.71 ms,,,,,16.2 MB,32.2 MB,
20,,,,,617 µs,2.86 ms,,,,,16.2 MB,32.2 MB,
21,,,,,639 µs,3.00 ms,,,,,16.2 MB,32.2 MB,
22,,,,,660 µs,3.14 ms,,,,,16.2 MB,32.2 MB,
23,,,,,682 µs,3.29 ms,,,,,16.2 MB,32.2 MB,
24,,,,,704 µs,3.43 ms,,,,,16.2 MB,32.2 MB,
25,,,,,726 µs,2.55 ms,,,,,16.2 MB,32.2 MB,
26,,,,,748 µs,2.55 ms,,,,,16.2 MB,32.2 MB,
27,,,,,770 µs,2.55 ms,,,,,16.2 MB,32.2 MB,
28,,,,,792 µs,2.55 ms,,,,,16.2 MB,32.2 MB,
29,,,,,814 µs,2.55 ms,,,,,16.2 MB,32.2 MB,
30,,,,,836 µs,2.55 ms,,,,,16.2 MB,32.2 MB,
31,,,,,858 µs,2.55 ms,,,,,16.2 MB,32.2 MB,
32,,,,,880 µs,2.55 ms,,,,,16.2 MB,32.2 MB,
33,,,,,902 µs,2.55 ms,,,,,16.2 MB,32.2 MB,
34,,,,,924 µs,2.55 ms,,,,,16.2 MB,32.2 MB,
35,,,,,946 µs,2.55 ms,,,,,16.2 MB,32.2 MB,
36,,,,,968 µs,2.28 ms,,,,,16.2 MB,32.3 MB,
37,,,,,725 µs,2.34 ms,,,,,16.3 MB,32.3 MB,
38,,,,,742 µs,2.40 ms,,,,,16.3 MB,32.3 MB,
39,,,,,758 µs,2.46 ms,,,,,16.3 MB,32.3 MB,
40,,,,,774 µs,2.53 ms,,,,,16.3 MB,32.3 MB,
41,,,,,790 µs,2.59 ms,,,,,16.3 MB,32.3 MB,
42,,,,,870 µs,2.65 ms,,,,,16.3 MB,32.3 MB,
43,,,,,886 µs,2.71 ms,,,,,16.3 MB,32.3 MB,
44,,,,,902 µs,2.78 ms,,,,,16.3 MB,32.3 MB,
45,,,,,918 µs,2.84 ms,,,,,16.3 MB,32.3 MB,
46,3.41 MB,2.42 MB,,,935 µs,2.90 ms,,,,,16.3 MB,32.3 MB,0%
47,3.41 MB,2.42 MB,,,951 µs,2.96 ms,,,,,16.3 MB,32.3 MB,0%
48,3.41 MB,2.42 MB,,,967 µs,3.02 ms,,,,,16.3 MB,32.3 MB,0%
49,3.41 MB,2.42 MB,,,968 µs,3.09 ms,,,,,16.3 MB,32.3 MB,0%
50,3.41 MB,2.42 MB,,,968 µs,2.60 ms,,,,,16.3 MB,32.3 MB,0%
51,3.41 MB,2.42 MB,,,844 µs,2.65 ms,,,,,16.3 MB,32.3 MB,0%
52,3.41 MB,2.42 MB,,,844 µs,2.71 ms,,,,,16.3 MB,32.3 MB,0%
53,3.41 MB,2.42 MB,,,844 µs,2.76 ms,,,,,16.3 MB,32.3 MB,0%
54,3.41 MB,2.42 MB,,,844 µs,2.81 ms,,,,,16.3 MB,32.3 MB,0%
55,3.41 MB,2.42 MB,,,844 µs,2.86 ms,,,,,16.3 MB,32.3 MB,0%
56,3.41 MB,2.42 MB,,,844 µs,2.91 ms,,,,,16.3 MB,32.3 MB,0%
57,3.41 MB,16.0 MB,,,844 µs,2.96 ms,,3.39 ms,,,16.3 MB,32.3 MB,0%
58,3.41 MB,16.0 MB,,,844 µs,3.01 ms,,3.69 ms,,,16.3 MB,32.3 MB,0%
59,7.04 MB,16.0 MB,,,844 µs,3.06 ms,487 µs,3.99 ms,,,16.3 MB,32.3 MB,0%
60,7.04 MB,16.0 MB,,,844 µs,3.07 ms,512 µs,4.28 ms,,,16.3 MB,32.3 MB,0%
