"Time","queue-proxy","user-container"
2025-09-13 09:50:57,209 µs,90.8 µs
2025-09-13 09:50:58,202 µs,87.7 µs
2025-09-13 09:50:59,196 µs,84.6 µs
2025-09-13 09:51:00,190 µs,81.6 µs
2025-09-13 09:51:01,184 µs,78.5 µs
2025-09-13 09:51:02,177 µs,75.4 µs
2025-09-13 09:51:03,,72.3 µs
2025-09-13 09:51:15,602 µs,1.83 ms
2025-09-13 09:51:16,627 µs,1.93 ms
2025-09-13 09:51:17,652 µs,2.03 ms
2025-09-13 09:51:18,678 µs,2.13 ms
2025-09-13 09:51:19,703 µs,2.23 ms
2025-09-13 09:51:20,728 µs,2.33 ms
2025-09-13 09:51:21,753 µs,2.43 ms
2025-09-13 09:51:22,778 µs,2.53 ms
2025-09-13 09:51:23,803 µs,2.63 ms
2025-09-13 09:51:24,828 µs,2.73 ms
2025-09-13 09:51:25,853 µs,2.83 ms
2025-09-13 09:51:26,878 µs,2.93 ms
2025-09-13 09:51:27,710 µs,3.03 ms
2025-09-13 09:51:28,730 µs,3.13 ms
2025-09-13 09:51:29,751 µs,3.23 ms
2025-09-13 09:51:30,771 µs,3.33 ms
2025-09-13 09:51:31,791 µs,3.43 ms
2025-09-13 09:51:32,811 µs,3.53 ms
2025-09-13 09:51:33,832 µs,2.59 ms
2025-09-13 09:51:34,852 µs,2.59 ms
2025-09-13 09:51:35,872 µs,2.59 ms
2025-09-13 09:51:36,893 µs,2.59 ms
2025-09-13 09:51:37,913 µs,2.59 ms
2025-09-13 09:51:38,933 µs,2.59 ms
2025-09-13 09:51:39,954 µs,2.59 ms
2025-09-13 09:51:40,974 µs,2.59 ms
2025-09-13 09:51:41,998 µs,2.59 ms
2025-09-13 09:51:42,1.02 ms,2.59 ms
2025-09-13 09:51:43,1.04 ms,2.59 ms
2025-09-13 09:51:44,1.12 ms,2.59 ms
2025-09-13 09:51:45,1.14 ms,2.59 ms
2025-09-13 09:51:46,1.16 ms,2.59 ms
2025-09-13 09:51:47,1.18 ms,2.59 ms
2025-09-13 09:51:48,1.20 ms,2.59 ms
2025-09-13 09:51:49,1.22 ms,2.28 ms
2025-09-13 09:51:50,1.22 ms,2.32 ms
2025-09-13 09:51:51,1.22 ms,2.36 ms
2025-09-13 09:51:52,1.22 ms,2.41 ms
2025-09-13 09:51:53,1.22 ms,2.45 ms
2025-09-13 09:51:54,1.13 ms,2.48 ms
2025-09-13 09:51:55,1.13 ms,2.48 ms
2025-09-13 09:51:56,1.13 ms,2.48 ms
2025-09-13 09:51:57,1.13 ms,2.48 ms
2025-09-13 09:51:58,1.13 ms,2.48 ms
2025-09-13 09:51:59,825 µs,783 µs
2025-09-13 09:52:00,841 µs,783 µs
2025-09-13 09:52:01,974 µs,783 µs
2025-09-13 09:52:02,974 µs,783 µs
2025-09-13 09:52:03,974 µs,783 µs
2025-09-13 09:52:04,974 µs,783 µs
2025-09-13 09:52:05,974 µs,783 µs
