"Time","queue-proxy","user-container"
2025-09-13 09:59:36,11.2 MB,18.2 MB
2025-09-13 09:59:37,11.2 MB,18.2 MB
2025-09-13 09:59:38,11.2 MB,18.2 MB
2025-09-13 09:59:39,11.2 MB,18.2 MB
2025-09-13 09:59:40,11.2 MB,18.2 MB
2025-09-13 09:59:41,11.2 MB,18.2 MB
2025-09-13 09:59:42,11.2 MB,18.2 MB
2025-09-13 09:59:43,11.2 MB,18.2 MB
2025-09-13 09:59:44,11.2 MB,18.2 MB
2025-09-13 09:59:45,11.2 MB,18.2 MB
2025-09-13 09:59:46,11.2 MB,18.2 MB
2025-09-13 09:59:47,11.2 MB,18.2 MB
2025-09-13 09:59:48,11.2 MB,34.1 MB
2025-09-13 09:59:49,11.2 MB,34.1 MB
2025-09-13 09:59:50,11.2 MB,34.1 MB
2025-09-13 09:59:51,18.8 MB,34.1 MB
2025-09-13 09:59:52,18.8 MB,34.1 MB
2025-09-13 09:59:53,18.8 MB,34.1 MB
2025-09-13 09:59:54,18.8 MB,34.1 MB
2025-09-13 09:59:55,18.8 MB,34.1 MB
2025-09-13 09:59:56,18.8 MB,34.1 MB
2025-09-13 09:59:57,18.8 MB,34.1 MB
2025-09-13 09:59:58,18.8 MB,34.1 MB
2025-09-13 09:59:59,18.8 MB,34.1 MB
2025-09-13 10:00:00,18.8 MB,34.5 MB
2025-09-13 10:00:01,18.8 MB,34.5 MB
2025-09-13 10:00:02,18.8 MB,34.5 MB
2025-09-13 10:00:03,19.0 MB,34.5 MB
2025-09-13 10:00:04,19.0 MB,34.5 MB
2025-09-13 10:00:05,19.0 MB,34.5 MB
2025-09-13 10:00:06,19.0 MB,34.5 MB
2025-09-13 10:00:07,19.0 MB,34.5 MB
2025-09-13 10:00:08,19.0 MB,34.5 MB
2025-09-13 10:00:09,19.0 MB,34.5 MB
2025-09-13 10:00:10,19.0 MB,34.5 MB
2025-09-13 10:00:11,19.0 MB,34.5 MB
2025-09-13 10:00:12,19.0 MB,34.5 MB
2025-09-13 10:00:13,19.0 MB,34.5 MB
2025-09-13 10:00:14,19.0 MB,34.5 MB
2025-09-13 10:00:15,19.0 MB,34.5 MB
2025-09-13 10:00:16,19.0 MB,34.5 MB
2025-09-13 10:00:17,19.0 MB,34.8 MB
2025-09-13 10:00:18,19.0 MB,34.8 MB
2025-09-13 10:00:19,19.0 MB,34.8 MB
2025-09-13 10:00:20,19.6 MB,34.8 MB
2025-09-13 10:00:21,19.6 MB,34.8 MB
2025-09-13 10:00:22,19.6 MB,34.8 MB
2025-09-13 10:00:23,19.6 MB,34.8 MB
2025-09-13 10:00:24,19.6 MB,34.8 MB
2025-09-13 10:00:25,19.6 MB,34.8 MB
2025-09-13 10:00:26,19.6 MB,34.8 MB
2025-09-13 10:00:27,19.6 MB,34.8 MB
2025-09-13 10:00:28,19.6 MB,34.8 MB
2025-09-13 10:00:29,19.6 MB,34.8 MB
2025-09-13 10:00:30,19.6 MB,34.8 MB
2025-09-13 10:00:31,19.6 MB,34.8 MB
2025-09-13 10:00:32,20.0 MB,34.8 MB
2025-09-13 10:00:33,20.0 MB,34.8 MB
2025-09-13 10:00:34,20.0 MB,34.8 MB
2025-09-13 10:00:35,20.0 MB,35.2 MB
2025-09-13 10:00:36,20.0 MB,35.2 MB
2025-09-13 10:00:37,20.0 MB,35.2 MB
2025-09-13 10:00:38,20.0 MB,35.2 MB
2025-09-13 10:00:39,20.0 MB,35.2 MB
2025-09-13 10:00:40,20.0 MB,35.2 MB
2025-09-13 10:00:41,20.0 MB,35.2 MB
2025-09-13 10:00:42,20.0 MB,35.2 MB
2025-09-13 10:00:43,20.0 MB,35.2 MB
2025-09-13 10:00:44,20.0 MB,35.2 MB
2025-09-13 10:00:45,20.0 MB,35.2 MB
2025-09-13 10:00:46,20.0 MB,35.2 MB
2025-09-13 10:00:47,20.0 MB,35.2 MB
2025-09-13 10:00:48,20.0 MB,35.2 MB
2025-09-13 10:00:49,20.0 MB,35.2 MB
2025-09-13 10:00:50,20.0 MB,35.2 MB
2025-09-13 10:00:51,20.2 MB,35.2 MB
2025-09-13 10:00:52,20.2 MB,35.2 MB
2025-09-13 10:00:53,20.2 MB,35.2 MB
2025-09-13 10:00:54,20.2 MB,35.2 MB
2025-09-13 10:00:55,20.2 MB,35.2 MB
2025-09-13 10:00:56,20.2 MB,35.2 MB
2025-09-13 10:00:57,20.2 MB,35.2 MB
2025-09-13 10:00:58,20.2 MB,35.2 MB
2025-09-13 10:00:59,20.2 MB,35.2 MB
2025-09-13 10:01:00,20.2 MB,35.2 MB
2025-09-13 10:01:01,20.2 MB,35.2 MB
2025-09-13 10:01:02,20.2 MB,35.2 MB
2025-09-13 10:01:03,20.2 MB,35.2 MB
2025-09-13 10:01:04,20.2 MB,35.2 MB
2025-09-13 10:01:05,20.2 MB,35.2 MB
2025-09-13 10:01:06,20.2 MB,35.2 MB
2025-09-13 10:01:07,20.3 MB,35.2 MB
2025-09-13 10:01:08,20.3 MB,35.2 MB
2025-09-13 10:01:09,20.3 MB,35.2 MB
2025-09-13 10:01:10,20.3 MB,35.2 MB
2025-09-13 10:01:11,20.3 MB,35.2 MB
2025-09-13 10:01:12,20.3 MB,35.2 MB
2025-09-13 10:01:13,20.3 MB,35.2 MB
2025-09-13 10:01:14,20.3 MB,35.2 MB
2025-09-13 10:01:15,20.3 MB,35.2 MB
2025-09-13 10:01:16,20.3 MB,35.2 MB
2025-09-13 10:01:17,20.3 MB,35.2 MB
2025-09-13 10:01:18,20.3 MB,35.2 MB
2025-09-13 10:01:19,20.3 MB,35.2 MB
2025-09-13 10:01:20,20.3 MB,35.2 MB
2025-09-13 10:01:21,20.3 MB,35.2 MB
2025-09-13 10:01:22,20.3 MB,35.2 MB
2025-09-13 10:01:23,20.4 MB,35.2 MB
2025-09-13 10:01:24,20.4 MB,35.2 MB
2025-09-13 10:01:25,20.4 MB,35.2 MB
2025-09-13 10:01:26,20.4 MB,35.2 MB
2025-09-13 10:01:27,20.4 MB,35.2 MB
2025-09-13 10:01:28,20.4 MB,35.2 MB
2025-09-13 10:01:29,20.4 MB,35.2 MB
2025-09-13 10:01:30,20.4 MB,35.2 MB
2025-09-13 10:01:31,20.4 MB,35.2 MB
2025-09-13 10:01:32,20.4 MB,35.2 MB
2025-09-13 10:01:33,20.4 MB,35.2 MB
2025-09-13 10:01:34,20.4 MB,35.2 MB
2025-09-13 10:01:35,20.4 MB,35.2 MB
2025-09-13 10:01:36,20.4 MB,35.2 MB
2025-09-13 10:01:37,20.4 MB,35.2 MB
2025-09-13 10:01:38,20.4 MB,35.2 MB
2025-09-13 10:01:39,20.4 MB,35.2 MB
