step,ram_queue-proxy,ram_user-container,cpu_queue-proxy,cpu_user-container
0,10.6 MB,18.0 MB,209 µs,90.8 µs
1,10.6 MB,18.0 MB,202 µs,87.7 µs
2,14.0 MB,21.4 MB,196 µs,84.6 µs
3,14.0 MB,21.4 MB,190 µs,81.6 µs
4,14.0 MB,21.4 MB,184 µs,78.5 µs
5,14.0 MB,21.4 MB,177 µs,75.4 µs
6,14.0 MB,21.4 MB,,72.3 µs
7,14.0 MB,21.4 MB,,
8,14.0 MB,21.4 MB,,
9,14.0 MB,21.4 MB,,
10,14.0 MB,21.4 MB,,
11,14.0 MB,21.4 MB,,
12,14.0 MB,21.4 MB,,
13,14.0 MB,21.4 MB,,
14,14.0 MB,21.4 MB,,
15,14.0 MB,21.4 MB,,
16,14.0 MB,21.4 MB,,
17,14.0 MB,21.4 MB,,
18,18.4 MB,34.2 MB,602 µs,1.83 ms
19,18.4 MB,34.2 MB,627 µs,1.93 ms
20,18.4 MB,34.2 MB,652 µs,2.03 ms
21,18.4 MB,34.2 MB,678 µs,2.13 ms
22,18.4 MB,34.2 MB,703 µs,2.23 ms
23,18.4 MB,34.2 MB,728 µs,2.33 ms
24,18.4 MB,34.2 MB,753 µs,2.43 ms
25,18.4 MB,34.2 MB,778 µs,2.53 ms
26,18.4 MB,34.2 MB,803 µs,2.63 ms
27,18.4 MB,34.2 MB,828 µs,2.73 ms
28,18.4 MB,34.2 MB,853 µs,2.83 ms
29,18.4 MB,34.2 MB,878 µs,2.93 ms
30,18.6 MB,34.2 MB,710 µs,3.03 ms
31,18.6 MB,34.2 MB,730 µs,3.13 ms
32,18.6 MB,34.2 MB,751 µs,3.23 ms
33,18.6 MB,34.2 MB,771 µs,3.33 ms
34,18.6 MB,34.2 MB,791 µs,3.43 ms
35,18.6 MB,34.2 MB,811 µs,3.53 ms
36,18.6 MB,34.2 MB,832 µs,2.59 ms
37,18.6 MB,34.2 MB,852 µs,2.59 ms
38,18.6 MB,34.2 MB,872 µs,2.59 ms
39,18.6 MB,34.2 MB,893 µs,2.59 ms
40,18.6 MB,34.2 MB,913 µs,2.59 ms
41,18.6 MB,34.2 MB,933 µs,2.59 ms
42,18.6 MB,34.2 MB,954 µs,2.59 ms
43,18.6 MB,34.2 MB,974 µs,2.59 ms
44,19.5 MB,34.2 MB,998 µs,2.59 ms
45,19.5 MB,34.2 MB,1.02 ms,2.59 ms
46,19.5 MB,34.2 MB,1.04 ms,2.59 ms
47,19.5 MB,34.2 MB,1.12 ms,2.59 ms
48,19.5 MB,34.2 MB,1.14 ms,2.59 ms
49,19.5 MB,34.2 MB,1.16 ms,2.59 ms
50,19.5 MB,34.2 MB,1.18 ms,2.59 ms
51,19.5 MB,34.2 MB,1.20 ms,2.59 ms
52,19.5 MB,35.1 MB,1.22 ms,2.28 ms
53,19.5 MB,35.1 MB,1.22 ms,2.32 ms
54,19.5 MB,35.1 MB,1.22 ms,2.36 ms
55,19.5 MB,35.1 MB,1.22 ms,2.41 ms
56,19.5 MB,35.1 MB,1.22 ms,2.45 ms
57,19.4 MB,35.1 MB,1.13 ms,2.48 ms
58,19.4 MB,35.1 MB,1.13 ms,2.48 ms
59,19.4 MB,35.1 MB,1.13 ms,2.48 ms
60,19.4 MB,35.1 MB,1.13 ms,2.48 ms
61,19.4 MB,35.1 MB,1.13 ms,2.48 ms
62,19.4 MB,35.1 MB,825 µs,783 µs
63,19.4 MB,35.1 MB,841 µs,783 µs
64,19.4 MB,35.1 MB,974 µs,783 µs
65,19.4 MB,35.1 MB,974 µs,783 µs
66,19.4 MB,35.1 MB,974 µs,783 µs
67,19.4 MB,35.1 MB,974 µs,783 µs
68,19.4 MB,35.1 MB,974 µs,783 µs
69,19.4 MB,35.1 MB,974 µs,783 µs
70,19.4 MB,35.1 MB,974 µs,783 µs
71,19.4 MB,35.1 MB,974 µs,783 µs
72,19.4 MB,35.1 MB,832 µs,783 µs
73,19.4 MB,35.1 MB,816 µs,783 µs
74,20.3 MB,35.1 MB,979 µs,783 µs
75,20.3 MB,35.1 MB,979 µs,783 µs
76,20.3 MB,38.4 MB,979 µs,783 µs
77,20.3 MB,38.4 MB,979 µs,783 µs
78,20.3 MB,38.4 MB,1.02 ms,203 µs
79,20.3 MB,38.4 MB,1.02 ms,203 µs
80,20.3 MB,38.4 MB,1.02 ms,203 µs
81,20.3 MB,38.4 MB,1.02 ms,203 µs
82,20.3 MB,38.4 MB,1.02 ms,203 µs
83,20.3 MB,38.4 MB,1.02 ms,203 µs
84,20.3 MB,38.4 MB,1.02 ms,203 µs
85,20.3 MB,38.4 MB,1.02 ms,203 µs
86,20.3 MB,38.4 MB,1.02 ms,203 µs
87,20.3 MB,38.4 MB,1.02 ms,203 µs
88,20.3 MB,38.4 MB,1.02 ms,203 µs
89,20.3 MB,38.4 MB,1.02 ms,203 µs
90,20.3 MB,38.4 MB,776 µs,203 µs
91,20.5 MB,38.4 MB,970 µs,203 µs
92,20.5 MB,38.4 MB,970 µs,203 µs
93,20.5 MB,38.4 MB,970 µs,203 µs
94,20.5 MB,38.4 MB,970 µs,203 µs
95,20.5 MB,38.4 MB,970 µs,203 µs
96,20.5 MB,38.4 MB,970 µs,203 µs
97,20.5 MB,38.4 MB,970 µs,203 µs
98,20.5 MB,38.4 MB,970 µs,203 µs
99,20.5 MB,38.4 MB,970 µs,203 µs
