step,ram_queue-proxy,ram_user-container,cpu_queue-proxy,cpu_user-container,gpu_gpu_0
0,8.37 MB,16.1 MB,235 µs,44.5 µs,
1,8.37 MB,16.1 MB,229 µs,43.5 µs,
2,8.37 MB,16.1 MB,224 µs,42.4 µs,
3,8.37 MB,16.1 MB,218 µs,41.4 µs,
4,8.37 MB,16.1 MB,213 µs,40.4 µs,
5,8.37 MB,16.1 MB,208 µs,39.3 µs,
6,8.37 MB,16.1 MB,202 µs,38.3 µs,
7,8.37 MB,16.1 MB,197 µs,37.3 µs,
8,12.1 MB,18.2 MB,191 µs,36.2 µs,0%
9,12.1 MB,18.2 MB,186 µs,35.2 µs,0%
10,12.1 MB,18.2 MB,180 µs,34.2 µs,0%
11,12.1 MB,18.2 MB,175 µs,33.1 µs,0%
12,12.1 MB,18.2 MB,169 µs,32.1 µs,0%
13,12.1 MB,18.2 MB,164 µs,31.0 µs,0%
14,12.1 MB,18.2 MB,158 µs,30.0 µs,0%
15,12.1 MB,18.2 MB,153 µs,29.0 µs,0%
16,12.1 MB,18.2 MB,148 µs,27.9 µs,0%
17,12.1 MB,18.2 MB,142 µs,,0%
18,12.1 MB,18.2 MB,,,0%
19,12.1 MB,18.2 MB,,,0%
20,12.1 MB,18.2 MB,,,0%
21,12.1 MB,18.2 MB,,,0%
22,12.1 MB,18.2 MB,,,0%
23,12.1 MB,18.2 MB,,,0%
24,15.4 MB,18.2 MB,546 µs,,0%
25,15.4 MB,18.2 MB,568 µs,,0%
26,15.4 MB,32.1 MB,590 µs,1.64 ms,0%
27,15.4 MB,32.1 MB,612 µs,1.73 ms,0%
28,15.4 MB,32.1 MB,634 µs,1.81 ms,0%
29,15.4 MB,32.1 MB,656 µs,1.89 ms,0%
30,15.4 MB,32.1 MB,678 µs,1.97 ms,0%
31,15.4 MB,32.1 MB,700 µs,2.06 ms,0%
32,15.4 MB,32.1 MB,722 µs,2.14 ms,0%
33,15.4 MB,32.1 MB,744 µs,2.22 ms,0%
34,15.4 MB,32.1 MB,766 µs,2.31 ms,0%
35,15.4 MB,32.1 MB,788 µs,2.39 ms,0%
36,15.4 MB,32.1 MB,810 µs,1.69 ms,0%
37,15.4 MB,32.1 MB,832 µs,1.75 ms,0%
38,15.4 MB,32.1 MB,854 µs,1.80 ms,0%
39,15.4 MB,32.1 MB,639 µs,1.86 ms,0%
40,15.4 MB,32.1 MB,655 µs,1.91 ms,0%
41,15.4 MB,32.1 MB,671 µs,1.97 ms,0%
42,15.4 MB,32.1 MB,688 µs,2.02 ms,0%
43,15.4 MB,32.1 MB,704 µs,2.08 ms,0%
44,15.4 MB,32.1 MB,720 µs,2.14 ms,0%
45,15.4 MB,32.1 MB,736 µs,2.19 ms,0%
46,15.4 MB,32.1 MB,752 µs,2.25 ms,0%
47,15.4 MB,32.1 MB,768 µs,1.75 ms,0%
48,15.4 MB,32.1 MB,784 µs,1.80 ms,0%
49,15.4 MB,32.1 MB,800 µs,1.84 ms,0%
50,15.4 MB,32.1 MB,890 µs,1.88 ms,0%
51,15.4 MB,32.1 MB,906 µs,1.92 ms,0%
52,15.5 MB,32.1 MB,841 µs,1.96 ms,0%
53,15.5 MB,32.1 MB,856 µs,2.01 ms,0%
54,15.5 MB,32.1 MB,859 µs,2.05 ms,0%
55,15.5 MB,32.1 MB,859 µs,2.09 ms,0%
56,15.5 MB,32.1 MB,859 µs,2.13 ms,0%
57,15.5 MB,32.1 MB,859 µs,2.17 ms,0%
58,15.5 MB,32.1 MB,859 µs,2.22 ms,0%
59,15.5 MB,32.1 MB,859 µs,2.26 ms,0%
60,15.5 MB,32.1 MB,859 µs,1.86 ms,0%
61,15.5 MB,32.1 MB,859 µs,1.90 ms,0%
62,15.5 MB,32.1 MB,859 µs,1.93 ms,0%
63,15.5 MB,32.1 MB,859 µs,1.96 ms,0%
64,15.5 MB,32.1 MB,859 µs,2.00 ms,0%
65,15.5 MB,32.1 MB,859 µs,2.02 ms,0%
66,15.5 MB,32.1 MB,859 µs,2.02 ms,0%
67,15.5 MB,32.1 MB,859 µs,2.02 ms,0%
68,15.5 MB,32.1 MB,499 µs,394 µs,0%
69,15.5 MB,32.1 MB,489 µs,402 µs,0%
70,15.5 MB,32.1 MB,479 µs,410 µs,0%
71,15.5 MB,32.1 MB,469 µs,418 µs,0%
72,15.5 MB,32.1 MB,459 µs,426 µs,0%
73,15.5 MB,32.1 MB,449 µs,427 µs,0%
74,15.5 MB,32.1 MB,439 µs,419 µs,0%
75,15.5 MB,32.1 MB,430 µs,411 µs,0%
76,15.5 MB,32.1 MB,420 µs,403 µs,0%
77,15.5 MB,32.1 MB,410 µs,491 µs,0%
78,15.5 MB,32.1 MB,400 µs,491 µs,0%
79,15.5 MB,32.1 MB,390 µs,491 µs,0%
80,15.5 MB,32.1 MB,380 µs,491 µs,0%
81,15.5 MB,32.1 MB,370 µs,491 µs,0%
82,15.7 MB,32.1 MB,599 µs,491 µs,0%
83,15.7 MB,32.1 MB,599 µs,491 µs,0%
84,15.7 MB,32.1 MB,598 µs,491 µs,0%
85,15.7 MB,32.1 MB,598 µs,491 µs,0%
86,15.7 MB,32.1 MB,598 µs,484 µs,0%
87,15.7 MB,32.1 MB,598 µs,484 µs,0%
88,15.7 MB,32.1 MB,598 µs,484 µs,0%
89,15.7 MB,32.1 MB,598 µs,484 µs,0%
90,15.7 MB,32.1 MB,598 µs,484 µs,0%
91,15.7 MB,32.1 MB,598 µs,484 µs,0%
92,15.7 MB,32.1 MB,598 µs,415 µs,0%
93,15.7 MB,32.1 MB,598 µs,407 µs,0%
94,15.7 MB,32.1 MB,598 µs,508 µs,0%
95,15.9 MB,32.1 MB,592 µs,508 µs,0%
96,15.9 MB,32.1 MB,592 µs,527 µs,0%
97,15.9 MB,32.1 MB,592 µs,527 µs,0%
98,15.9 MB,32.1 MB,592 µs,527 µs,0%
99,15.9 MB,32.1 MB,594 µs,527 µs,0%
100,15.9 MB,32.1 MB,594 µs,527 µs,0%
101,15.9 MB,32.1 MB,594 µs,527 µs,0%
102,15.9 MB,32.1 MB,594 µs,527 µs,0%
103,15.9 MB,32.1 MB,594 µs,527 µs,0%
104,15.9 MB,32.1 MB,594 µs,527 µs,0%
105,15.9 MB,32.1 MB,594 µs,527 µs,0%
106,15.9 MB,32.1 MB,594 µs,527 µs,0%
107,15.9 MB,32.1 MB,594 µs,533 µs,0%
108,16.4 MB,32.1 MB,606 µs,514 µs,0%
109,16.4 MB,32.1 MB,606 µs,514 µs,0%
110,16.4 MB,32.1 MB,606 µs,514 µs,0%
111,16.4 MB,32.1 MB,606 µs,514 µs,0%
112,16.4 MB,32.1 MB,376 µs,514 µs,0%
113,16.4 MB,32.1 MB,386 µs,514 µs,0%
114,16.4 MB,32.1 MB,396 µs,514 µs,0%
115,16.4 MB,32.1 MB,406 µs,514 µs,0%
116,16.4 MB,32.1 MB,417 µs,514 µs,0%
117,16.4 MB,32.1 MB,427 µs,514 µs,0%
118,16.4 MB,32.1 MB,437 µs,514 µs,0%
119,16.4 MB,32.1 MB,447 µs,514 µs,0%
120,16.2 MB,32.1 MB,449 µs,522 µs,0%
121,16.2 MB,32.1 MB,459 µs,522 µs,0%
122,16.2 MB,32.1 MB,469 µs,548 µs,0%
123,16.2 MB,32.1 MB,479 µs,548 µs,0%
124,16.2 MB,32.1 MB,489 µs,548 µs,0%
125,16.2 MB,32.1 MB,499 µs,548 µs,0%
126,16.2 MB,32.1 MB,509 µs,548 µs,0%
127,16.2 MB,32.1 MB,519 µs,548 µs,0%
128,16.2 MB,32.1 MB,601 µs,548 µs,0%
129,16.2 MB,32.1 MB,601 µs,548 µs,0%
130,16.2 MB,32.1 MB,601 µs,548 µs,0%
131,16.2 MB,32.1 MB,601 µs,548 µs,0%
132,16.2 MB,32.1 MB,601 µs,547 µs,0%
133,16.5 MB,32.1 MB,623 µs,547 µs,0%
134,16.5 MB,32.1 MB,623 µs,547 µs,0%
135,16.5 MB,32.1 MB,623 µs,547 µs,0%
136,16.5 MB,32.1 MB,623 µs,547 µs,0%
137,16.5 MB,32.1 MB,623 µs,447 µs,0%
138,16.5 MB,32.1 MB,623 µs,456 µs,0%
139,16.5 MB,32.1 MB,623 µs,465 µs,0%
140,16.5 MB,32.1 MB,623 µs,538 µs,0%
141,16.5 MB,32.1 MB,623 µs,538 µs,0%
142,16.5 MB,32.1 MB,641 µs,538 µs,0%
143,16.5 MB,32.1 MB,641 µs,538 µs,0%
144,16.5 MB,32.1 MB,641 µs,538 µs,0%
145,16.5 MB,32.1 MB,641 µs,538 µs,0%
146,16.5 MB,32.1 MB,641 µs,466 µs,0%
147,16.5 MB,32.1 MB,554 µs,529 µs,0%
148,16.5 MB,32.1 MB,543 µs,529 µs,0%
149,16.5 MB,32.1 MB,532 µs,529 µs,0%
150,16.9 MB,32.1 MB,637 µs,529 µs,0%
151,16.9 MB,32.1 MB,637 µs,529 µs,0%
152,16.9 MB,32.1 MB,637 µs,529 µs,0%
153,16.9 MB,32.1 MB,637 µs,529 µs,0%
154,16.9 MB,32.1 MB,637 µs,551 µs,0%
155,16.9 MB,32.1 MB,634 µs,551 µs,0%
156,16.9 MB,32.1 MB,634 µs,551 µs,0%
157,16.9 MB,32.1 MB,634 µs,551 µs,0%
158,16.9 MB,32.1 MB,634 µs,551 µs,0%
159,16.9 MB,32.1 MB,634 µs,551 µs,0%
160,16.9 MB,32.1 MB,634 µs,551 µs,0%
