"Time","queue-proxy","user-container"
2025-09-11 17:04:47,3.78 ms,
2025-09-11 17:04:48,4.01 ms,
2025-09-11 17:04:49,4.23 ms,
2025-09-11 17:04:50,4.45 ms,206 ms
2025-09-11 17:04:51,4.68 ms,217 ms
2025-09-11 17:04:52,4.90 ms,228 ms
2025-09-11 17:04:53,5.12 ms,239 ms
2025-09-11 17:04:54,5.35 ms,249 ms
2025-09-11 17:04:55,5.57 ms,260 ms
2025-09-11 17:04:56,5.79 ms,271 ms
2025-09-11 17:04:57,6.02 ms,282 ms
2025-09-11 17:04:58,6.24 ms,292 ms
2025-09-11 17:04:59,6.46 ms,303 ms
2025-09-11 17:05:00,6.69 ms,314 ms
2025-09-11 17:05:01,6.91 ms,325 ms
2025-09-11 17:05:02,7.13 ms,335 ms
2025-09-11 17:05:03,7.36 ms,357 ms
2025-09-11 17:05:04,7.95 ms,368 ms
2025-09-11 17:05:05,8.19 ms,380 ms
2025-09-11 17:05:06,8.42 ms,391 ms
2025-09-11 17:05:07,8.66 ms,402 ms
2025-09-11 17:05:08,8.89 ms,413 ms
2025-09-11 17:05:09,9.13 ms,424 ms
2025-09-11 17:05:10,9.36 ms,435 ms
2025-09-11 17:05:11,9.59 ms,446 ms
2025-09-11 17:05:12,9.83 ms,457 ms
2025-09-11 17:05:13,10.1 ms,468 ms
2025-09-11 17:05:14,10.3 ms,480 ms
2025-09-11 17:05:15,10.5 ms,491 ms
2025-09-11 17:05:16,10.8 ms,502 ms
2025-09-11 17:05:17,11.0 ms,513 ms
2025-09-11 17:05:18,11.9 ms,524 ms
2025-09-11 17:05:19,12.1 ms,535 ms
2025-09-11 17:05:20,12.4 ms,439 ms
2025-09-11 17:05:21,12.6 ms,613 ms
2025-09-11 17:05:22,12.9 ms,625 ms
2025-09-11 17:05:23,13.1 ms,637 ms
2025-09-11 17:05:24,13.4 ms,650 ms
2025-09-11 17:05:25,13.6 ms,662 ms
2025-09-11 17:05:26,13.9 ms,674 ms
2025-09-11 17:05:27,14.1 ms,686 ms
2025-09-11 17:05:28,14.4 ms,698 ms
2025-09-11 17:05:29,14.6 ms,711 ms
2025-09-11 17:05:30,14.9 ms,723 ms
2025-09-11 17:05:31,15.3 ms,641 ms
2025-09-11 17:05:32,15.6 ms,654 ms
2025-09-11 17:05:33,15.7 ms,667 ms
2025-09-11 17:05:34,15.7 ms,784 ms
2025-09-11 17:05:35,13.2 ms,816 ms
2025-09-11 17:05:36,16.3 ms,816 ms
2025-09-11 17:05:37,16.3 ms,816 ms
2025-09-11 17:05:38,16.3 ms,816 ms
2025-09-11 17:05:39,16.3 ms,816 ms
2025-09-11 17:05:40,16.3 ms,816 ms
2025-09-11 17:05:41,16.3 ms,816 ms
2025-09-11 17:05:42,16.3 ms,816 ms
2025-09-11 17:05:43,16.3 ms,816 ms
2025-09-11 17:05:44,16.3 ms,816 ms
2025-09-11 17:05:45,16.3 ms,816 ms
2025-09-11 17:05:46,16.3 ms,833 ms
2025-09-11 17:05:47,17.1 ms,833 ms
2025-09-11 17:05:48,17.1 ms,833 ms
2025-09-11 17:05:49,17.1 ms,833 ms
2025-09-11 17:05:50,17.1 ms,872 ms
2025-09-11 17:05:51,17.1 ms,872 ms
2025-09-11 17:05:52,17.1 ms,872 ms
2025-09-11 17:05:53,17.1 ms,872 ms
2025-09-11 17:05:54,17.1 ms,872 ms
2025-09-11 17:05:55,17.1 ms,872 ms
2025-09-11 17:05:56,17.1 ms,817 ms
2025-09-11 17:05:57,17.1 ms,817 ms
2025-09-11 17:05:58,17.1 ms,817 ms
2025-09-11 17:05:59,17.1 ms,817 ms
2025-09-11 17:06:00,17.1 ms,817 ms
2025-09-11 17:06:01,17.1 ms,817 ms
2025-09-11 17:06:02,17.1 ms,817 ms
2025-09-11 17:06:03,17.1 ms,649 ms
2025-09-11 17:06:04,17.2 ms,663 ms
2025-09-11 17:06:05,17.2 ms,676 ms
2025-09-11 17:06:06,17.2 ms,689 ms
2025-09-11 17:06:07,17.2 ms,703 ms
2025-09-11 17:06:08,12.3 ms,800 ms
2025-09-11 17:06:09,12.3 ms,800 ms
2025-09-11 17:06:10,12.3 ms,692 ms
2025-09-11 17:06:11,12.3 ms,679 ms
2025-09-11 17:06:12,12.3 ms,552 ms
2025-09-11 17:06:13,12.3 ms,552 ms
2025-09-11 17:06:14,12.3 ms,552 ms
2025-09-11 17:06:15,12.3 ms,552 ms
2025-09-11 17:06:16,12.3 ms,552 ms
2025-09-11 17:06:17,12.3 ms,552 ms
2025-09-11 17:06:18,9.57 ms,552 ms
2025-09-11 17:06:19,9.57 ms,552 ms
2025-09-11 17:06:20,9.57 ms,552 ms
2025-09-11 17:06:21,9.57 ms,371 ms
2025-09-11 17:06:22,6.77 ms,425 ms
2025-09-11 17:06:23,6.77 ms,425 ms
2025-09-11 17:06:24,6.77 ms,425 ms
2025-09-11 17:06:25,6.77 ms,425 ms
2025-09-11 17:06:26,6.77 ms,313 ms
2025-09-11 17:06:27,6.77 ms,313 ms
2025-09-11 17:06:28,6.77 ms,313 ms
2025-09-11 17:06:29,6.77 ms,313 ms
2025-09-11 17:06:30,6.77 ms,313 ms
2025-09-11 17:06:31,6.77 ms,313 ms
2025-09-11 17:06:32,6.77 ms,313 ms
2025-09-11 17:06:33,6.77 ms,313 ms
2025-09-11 17:06:34,6.77 ms,313 ms
2025-09-11 17:06:35,6.77 ms,152 ms
2025-09-11 17:06:36,293 µs,121 ms
2025-09-11 17:06:37,299 µs,121 ms
2025-09-11 17:06:38,297 µs,121 ms
2025-09-11 17:06:39,291 µs,121 ms
2025-09-11 17:06:40,286 µs,121 ms
2025-09-11 17:06:41,280 µs,121 ms
