step,ram_queue-proxy,ram_user-container,cpu_queue-proxy,cpu_user-container
0,21.1 MB,899 MB,242 µs,77.6 µs
1,21.1 MB,899 MB,237 µs,76.1 µs
2,24.8 MB,902 MB,231 µs,74.6 µs
3,24.8 MB,902 MB,226 µs,73.1 µs
4,24.8 MB,902 MB,221 µs,25.0 µs
5,24.8 MB,902 MB,201 µs,24.4 µs
6,24.8 MB,902 MB,196 µs,23.9 µs
7,24.8 MB,902 MB,191 µs,23.4 µs
8,24.8 MB,902 MB,187 µs,22.9 µs
9,24.8 MB,902 MB,182 µs,22.3 µs
10,24.8 MB,902 MB,177 µs,21.8 µs
11,24.8 MB,902 MB,172 µs,21.3 µs
12,24.8 MB,902 MB,167 µs,20.7 µs
13,30.3 MB,902 MB,3.11 ms,20.2 µs
14,30.3 MB,902 MB,3.34 ms,19.7 µs
15,30.3 MB,902 MB,3.58 ms,19.2 µs
16,30.3 MB,902 MB,3.81 ms,0 s
17,30.3 MB,902 MB,4.04 ms,0 s
18,30.3 MB,902 MB,4.28 ms,0 s
19,30.3 MB,902 MB,4.51 ms,0 s
20,30.3 MB,902 MB,4.61 ms,0 s
21,30.3 MB,1.36 GB,4.85 ms,230 ms
22,30.3 MB,1.36 GB,5.09 ms,242 ms
23,30.3 MB,1.36 GB,5.33 ms,253 ms
24,30.3 MB,1.36 GB,5.56 ms,265 ms
25,30.3 MB,1.36 GB,5.80 ms,277 ms
26,30.3 MB,1.36 GB,4.22 ms,289 ms
27,30.3 MB,1.36 GB,4.22 ms,300 ms
28,30.3 MB,1.36 GB,4.22 ms,312 ms
29,30.3 MB,1.36 GB,4.22 ms,324 ms
30,30.3 MB,1.36 GB,4.22 ms,335 ms
31,30.3 MB,1.36 GB,4.22 ms,347 ms
32,30.3 MB,1.36 GB,4.22 ms,359 ms
33,31.1 MB,1.36 GB,7.55 ms,370 ms
34,31.1 MB,1.36 GB,7.78 ms,382 ms
35,31.1 MB,1.36 GB,8.01 ms,394 ms
36,31.1 MB,1.36 GB,8.25 ms,405 ms
37,31.1 MB,1.36 GB,8.48 ms,417 ms
38,31.1 MB,1.36 GB,8.71 ms,429 ms
