"Time","queue-proxy","user-container"
2025-09-12 11:54:17,220 µs,212 µs
2025-09-12 11:54:18,216 µs,212 µs
2025-09-12 11:54:19,212 µs,252 µs
2025-09-12 11:54:20,207 µs,246 µs
2025-09-12 11:54:21,203 µs,240 µs
2025-09-12 11:54:22,86.7 µs,234 µs
2025-09-12 11:54:23,86.7 µs,228 µs
2025-09-12 11:54:24,86.7 µs,222 µs
2025-09-12 11:54:25,86.7 µs,216 µs
2025-09-12 11:54:26,86.7 µs,210 µs
2025-09-12 11:54:27,86.7 µs,204 µs
2025-09-12 11:54:28,86.7 µs,198 µs
2025-09-12 11:54:29,101 µs,191 µs
2025-09-12 11:54:30,98.8 µs,185 µs
2025-09-12 11:54:31,96.1 µs,179 µs
2025-09-12 11:54:32,93.4 µs,137 µs
2025-09-12 11:54:33,90.7 µs,132 µs
2025-09-12 11:54:34,88.0 µs,127 µs
2025-09-12 11:54:35,85.3 µs,122 µs
2025-09-12 11:54:36,82.6 µs,117 µs
2025-09-12 11:54:37,80.0 µs,112 µs
2025-09-12 11:54:38,77.3 µs,108 µs
2025-09-12 11:54:39,74.6 µs,103 µs
2025-09-12 11:54:40,55.1 µs,97.8 µs
2025-09-12 11:54:41,53.1 µs,135 ms
2025-09-12 11:54:42,51.0 µs,144 ms
2025-09-12 11:54:43,49.0 µs,153 ms
2025-09-12 11:54:44,46.9 µs,161 ms
2025-09-12 11:54:45,5.54 ms,170 ms
2025-09-12 11:54:46,5.81 ms,179 ms
2025-09-12 11:54:47,6.07 ms,187 ms
2025-09-12 11:54:48,6.34 ms,196 ms
2025-09-12 11:54:49,6.61 ms,204 ms
2025-09-12 11:54:50,6.88 ms,213 ms
2025-09-12 11:54:51,7.12 ms,222 ms
2025-09-12 11:54:52,7.39 ms,230 ms
2025-09-12 11:54:53,7.66 ms,239 ms
2025-09-12 11:54:54,7.93 ms,248 ms
2025-09-12 11:54:55,8.20 ms,256 ms
2025-09-12 11:54:56,8.47 ms,265 ms
2025-09-12 11:54:57,8.74 ms,194 ms
2025-09-12 11:54:58,9.01 ms,242 ms
2025-09-12 11:54:59,9.28 ms,249 ms
2025-09-12 11:55:00,9.56 ms,257 ms
2025-09-12 11:55:01,9.96 ms,264 ms
2025-09-12 11:55:02,10.2 ms,271 ms
2025-09-12 11:55:03,10.5 ms,279 ms
2025-09-12 11:55:04,10.8 ms,286 ms
2025-09-12 11:55:05,11.1 ms,294 ms
2025-09-12 11:55:06,11.3 ms,301 ms
2025-09-12 11:55:07,11.6 ms,309 ms
2025-09-12 11:55:08,11.9 ms,316 ms
2025-09-12 11:55:09,12.2 ms,323 ms
2025-09-12 11:55:10,12.4 ms,331 ms
2025-09-12 11:55:11,12.7 ms,338 ms
2025-09-12 11:55:12,13.0 ms,346 ms
2025-09-12 11:55:13,13.3 ms,353 ms
2025-09-12 11:55:14,13.5 ms,360 ms
2025-09-12 11:55:15,13.8 ms,368 ms
2025-09-12 11:55:16,14.0 ms,299 ms
2025-09-12 11:55:17,14.3 ms,361 ms
2025-09-12 11:55:18,14.6 ms,368 ms
2025-09-12 11:55:19,14.8 ms,375 ms
