step,ram_queue-proxy,ram_user-container,cpu_queue-proxy,cpu_user-container,gpu_gpu_0
0,10.8 MB,720 MB,220 µs,212 µs,
1,10.8 MB,720 MB,216 µs,212 µs,
2,10.8 MB,720 MB,212 µs,252 µs,
3,10.8 MB,720 MB,207 µs,246 µs,
4,10.8 MB,720 MB,203 µs,240 µs,
5,10.8 MB,720 MB,86.7 µs,234 µs,
6,10.8 MB,720 MB,86.7 µs,228 µs,
7,10.8 MB,720 MB,86.7 µs,222 µs,
8,10.8 MB,720 MB,86.7 µs,216 µs,
9,14.2 MB,722 MB,86.7 µs,210 µs,0%
10,14.2 MB,722 MB,86.7 µs,204 µs,0%
11,14.2 MB,722 MB,86.7 µs,198 µs,0%
12,14.2 MB,722 MB,101 µs,191 µs,0%
13,14.2 MB,722 MB,98.8 µs,185 µs,1%
14,14.2 MB,722 MB,96.1 µs,179 µs,1%
15,14.2 MB,722 MB,93.4 µs,137 µs,1%
16,14.2 MB,722 MB,90.7 µs,132 µs,1%
17,14.2 MB,722 MB,88.0 µs,127 µs,1%
18,14.2 MB,722 MB,85.3 µs,122 µs,1%
19,14.2 MB,722 MB,82.6 µs,117 µs,1%
20,14.2 MB,722 MB,80.0 µs,112 µs,1%
21,14.2 MB,722 MB,77.3 µs,108 µs,1%
22,14.2 MB,722 MB,74.6 µs,103 µs,1%
23,14.2 MB,722 MB,55.1 µs,97.8 µs,0%
24,14.2 MB,1.44 GB,53.1 µs,135 ms,1%
25,14.2 MB,1.44 GB,51.0 µs,144 ms,0%
26,14.2 MB,1.44 GB,49.0 µs,153 ms,1%
27,14.2 MB,1.44 GB,46.9 µs,161 ms,0%
28,21.9 MB,1.44 GB,5.54 ms,170 ms,0%
29,21.9 MB,1.44 GB,5.81 ms,179 ms,1%
30,21.9 MB,1.44 GB,6.07 ms,187 ms,1%
31,21.9 MB,1.44 GB,6.34 ms,196 ms,1%
32,21.9 MB,1.44 GB,6.61 ms,204 ms,1%
33,21.9 MB,1.44 GB,6.88 ms,213 ms,1%
34,21.9 MB,1.44 GB,7.12 ms,222 ms,1%
35,21.9 MB,1.44 GB,7.39 ms,230 ms,1%
36,21.9 MB,1.44 GB,7.66 ms,239 ms,1%
37,21.9 MB,1.44 GB,7.93 ms,248 ms,1%
38,21.9 MB,1.44 GB,8.20 ms,256 ms,0%
39,21.9 MB,1.44 GB,8.47 ms,265 ms,1%
40,21.9 MB,1.44 GB,8.74 ms,194 ms,1%
41,21.9 MB,1.44 GB,9.01 ms,242 ms,1%
42,21.9 MB,1.44 GB,9.28 ms,249 ms,1%
43,21.9 MB,1.44 GB,9.56 ms,257 ms,1%
44,22.0 MB,1.44 GB,9.96 ms,264 ms,1%
45,22.0 MB,1.44 GB,10.2 ms,271 ms,1%
46,22.0 MB,1.44 GB,10.5 ms,279 ms,1%
47,22.0 MB,1.44 GB,10.8 ms,286 ms,0%
48,22.0 MB,1.44 GB,11.1 ms,294 ms,1%
49,22.0 MB,1.44 GB,11.3 ms,301 ms,1%
50,22.0 MB,1.44 GB,11.6 ms,309 ms,1%
51,22.0 MB,1.44 GB,11.9 ms,316 ms,0%
52,22.0 MB,1.44 GB,12.2 ms,323 ms,1%
53,22.0 MB,1.44 GB,12.4 ms,331 ms,1%
54,22.0 MB,1.44 GB,12.7 ms,338 ms,0%
55,22.0 MB,1.44 GB,13.0 ms,346 ms,1%
56,22.0 MB,1.44 GB,13.3 ms,353 ms,0%
57,22.0 MB,1.44 GB,13.5 ms,360 ms,1%
58,22.0 MB,1.44 GB,13.8 ms,368 ms,0%
59,22.5 MB,1.44 GB,14.0 ms,299 ms,1%
60,22.5 MB,1.44 GB,14.3 ms,361 ms,0%
61,22.5 MB,1.44 GB,14.6 ms,368 ms,0%
62,22.5 MB,1.44 GB,14.8 ms,375 ms,1%
63,22.5 MB,1.44 GB,15.1 ms,382 ms,0%
64,22.5 MB,1.44 GB,15.4 ms,389 ms,1%
65,22.5 MB,1.44 GB,15.7 ms,396 ms,1%
66,22.5 MB,1.44 GB,15.9 ms,403 ms,0%
67,22.5 MB,1.44 GB,16.2 ms,410 ms,0%
68,22.5 MB,1.44 GB,16.4 ms,417 ms,1%
69,22.5 MB,1.44 GB,13.4 ms,378 ms,1%
70,22.5 MB,1.44 GB,13.7 ms,378 ms,1%
71,22.5 MB,1.44 GB,16.5 ms,378 ms,1%
72,22.5 MB,1.44 GB,16.5 ms,378 ms,1%
73,22.5 MB,1.44 GB,16.5 ms,378 ms,1%
74,22.5 MB,1.44 GB,16.5 ms,378 ms,1%
75,22.5 MB,1.44 GB,16.5 ms,378 ms,1%
76,22.5 MB,1.44 GB,13.9 ms,378 ms,1%
77,22.0 MB,1.44 GB,16.6 ms,378 ms,1%
78,22.0 MB,1.44 GB,16.6 ms,378 ms,1%
79,22.0 MB,1.44 GB,16.6 ms,378 ms,1%
80,22.0 MB,1.44 GB,16.6 ms,378 ms,0%
81,22.0 MB,1.44 GB,16.6 ms,378 ms,0%
82,22.0 MB,1.44 GB,16.6 ms,378 ms,0%
83,22.0 MB,1.44 GB,16.6 ms,378 ms,0%
84,22.0 MB,1.44 GB,16.6 ms,376 ms,0%
85,22.0 MB,1.44 GB,16.6 ms,318 ms,0%
86,22.0 MB,1.44 GB,16.6 ms,318 ms,0%
87,22.0 MB,1.44 GB,16.6 ms,318 ms,0%
88,22.0 MB,1.44 GB,13.0 ms,318 ms,0%
89,22.0 MB,1.44 GB,13.0 ms,318 ms,0%
90,22.0 MB,1.44 GB,13.0 ms,318 ms,0%
91,22.0 MB,1.44 GB,13.0 ms,318 ms,0%
92,22.0 MB,1.44 GB,13.0 ms,318 ms,0%
93,22.0 MB,1.44 GB,13.0 ms,318 ms,0%
94,22.0 MB,1.44 GB,13.0 ms,318 ms,0%
95,22.0 MB,1.44 GB,13.0 ms,318 ms,0%
96,22.0 MB,1.44 GB,13.0 ms,318 ms,0%
97,22.0 MB,1.44 GB,13.0 ms,318 ms,0%
98,22.0 MB,1.44 GB,13.0 ms,318 ms,0%
99,22.0 MB,1.44 GB,13.0 ms,318 ms,0%
100,22.0 MB,1.44 GB,13.0 ms,318 ms,0%
101,22.0 MB,1.44 GB,13.0 ms,170 ms,0%
102,22.0 MB,1.44 GB,13.0 ms,170 ms,0%
103,22.0 MB,1.44 GB,13.0 ms,170 ms,0%
