Index,GPU,AUTO
0,1.0956,0.9086000000000001
1,1.0956,0.9094000000000001
2,1.0956,0.9126
3,1.0956,0.9126
4,1.0956,0.9126
5,1.0956,0.9126
6,1.0956,0.9126
7,1.0956,0.9126
8,1.0956,0.9126
9,1.0959999999999996,0.9126
10,1.0959999999999996,0.9126
11,1.0963999999999998,0.9126
12,1.0963999999999998,0.9126
13,1.0963999999999998,0.9126
14,1.0963999999999998,0.9126
15,1.0963999999999998,0.9126
16,1.0963999999999998,0.9126
17,1.0963999999999998,0.9126
18,1.0963999999999998,1.0028000000000001
19,1.0963999999999998,1.0028000000000001
20,1.0963999999999998,1.092
21,1.0963999999999998,1.2752000000000001
22,1.0963999999999998,1.2752000000000001
23,1.2404,1.2752000000000001
24,1.384,1.2752000000000001
25,1.384,1.2752000000000001
26,1.5279999999999998,1.2752000000000001
27,1.5279999999999998,1.2752000000000001
28,1.5279999999999998,1.2752000000000001
29,1.5279999999999998,1.2752000000000001
30,1.672,1.2752000000000001
31,1.816,1.2752000000000001
32,1.816,1.2752000000000001
33,1.816,1.2752000000000001
34,1.816,1.2752000000000001
35,1.816,1.2752000000000001
36,1.816,1.2752000000000001
37,1.816,1.2752000000000001
38,1.816,1.2752000000000001
39,1.816,1.2752000000000001
40,1.816,1.2752000000000001
41,1.816,1.2752000000000001
42,1.814,1.2752000000000001
43,1.814,1.2752000000000001
44,1.814,1.2752000000000001
45,1.814,1.2752000000000001
46,1.814,1.2752000000000001
47,1.814,1.2752000000000001
48,1.814,1.2772000000000001
49,1.814,1.2772000000000001
50,1.814,1.2772000000000001
51,1.814,1.2772000000000001
52,1.814,1.2772000000000001
53,1.814,1.2772000000000001
54,1.816,1.2772000000000001
55,1.816,1.2772000000000001
56,1.816,1.2772000000000001
57,1.816,1.2772000000000001
58,1.816,1.2772000000000001
59,1.816,1.2772000000000001
60,1.816,1.19
61,1.816,1.19
62,1.816,1.19
63,1.816,1.19
64,1.816,1.19
65,1.816,1.19
66,1.816,1.19
67,1.816,1.19
68,1.816,1.19
69,1.816,1.19
70,1.816,1.19
71,1.816,1.19
72,1.816,1.19
73,1.816,1.19
74,1.816,1.19
75,1.816,1.19
76,1.816,1.1868
77,1.816,1.0946
78,1.816,1.0946
79,1.816,1.0946
80,1.816,1.0946
81,1.816,1.0946
82,1.816,1.0946
83,1.816,1.0946
84,1.816,1.0946
85,1.816,1.0946
86,1.816,1.0977999999999999
87,1.814,1.0976000000000001
88,1.814,1.0976000000000001
89,1.814,1.0976000000000001
90,1.814,1.0976000000000001
91,1.814,1.0976000000000001
92,1.814,1.0976000000000001
93,1.814,1.0976000000000001
94,1.814,1.0976000000000001
95,1.814,1.0976000000000001
96,1.814,1.0976000000000001
97,1.814,1.0976000000000001
98,1.814,1.0976000000000001
99,1.814,1.0052
100,1.672,1.0052
101,1.3839999999999997,1.0052
102,1.3839999999999997,0.9126000000000001
103,1.3839999999999997,0.9126000000000001
104,1.3839999999999997,0.9126000000000001
105,1.3839999999999997,0.9126000000000001
106,1.3839999999999997,0.9126000000000001
107,1.3839999999999997,0.9126000000000001
108,1.3839999999999997,0.9126000000000001
109,1.3839999999999997,0.9126000000000001
110,1.3839999999999997,0.9126000000000001
111,1.3839999999999997,0.9126000000000001
112,1.3839999999999997,0.9126000000000001
113,1.3839999999999997,0.9126000000000001
114,1.3839999999999997,0.9126000000000001
115,1.3839999999999997,0.9126000000000001
116,1.3839999999999997,0.9126000000000001
117,1.3839999999999997,0.9126000000000001
118,1.3839999999999997,0.9126000000000001
119,1.3839999999999997,0.9126000000000001
120,1.3839999999999997,0.9126000000000001
121,1.3839999999999997,0.9126000000000001
122,1.3839999999999997,0.9126000000000001
123,1.3839999999999997,0.9126000000000001
124,1.3839999999999997,0.9126000000000001
125,1.3839999999999997,0.9126000000000001
126,1.3839999999999997,0.9126000000000001
127,1.3839999999999997,0.9126000000000001
128,1.3839999999999997,0.9126000000000001
129,1.3839999999999997,0.9126000000000001
130,1.3839999999999997,0.9126000000000001
131,1.3839999999999997,0.9126000000000001
132,1.3839999999999997,0.9126000000000001
133,1.3839999999999997,0.9126000000000001
134,1.3839999999999997,0.9126000000000001
135,1.3839999999999997,0.9117500000000001
136,1.3839999999999997,0.9117500000000001
137,1.3839999999999997,0.9117500000000001
138,1.3699999999999997,0.9055
139,1.3699999999999997,0.9055
140,1.3699999999999997,0.914
141,1.3466666666666665,0.914
142,1.16,0.914
143,1.16,
144,1.16,
145,1.16,
146,1.16,
147,1.16,
