"Time","queue-proxy","user-container"
2025-09-18 10:32:00,1.72 ms,159 ms
2025-09-18 10:32:02,1.88 ms,176 ms
2025-09-18 10:32:04,2.04 ms,193 ms
2025-09-18 10:32:06,2.20 ms,210 ms
2025-09-18 10:32:08,2.37 ms,227 ms
2025-09-18 10:32:10,2.53 ms,244 ms
2025-09-18 10:32:12,2.69 ms,261 ms
2025-09-18 10:32:14,2.85 ms,278 ms
2025-09-18 10:32:16,2.23 ms,295 ms
2025-09-18 10:32:18,2.35 ms,2.06 s
2025-09-18 10:32:20,2.46 ms,2.17 s
2025-09-18 10:32:22,2.58 ms,2.29 s
2025-09-18 10:32:24,2.70 ms,2.40 s
2025-09-18 10:32:26,2.81 ms,2.51 s
2025-09-18 10:32:28,2.93 ms,2.62 s
2025-09-18 10:32:30,3.05 ms,2.74 s
2025-09-18 10:32:32,2.36 ms,2.85 s
2025-09-18 10:32:34,2.45 ms,2.96 s
2025-09-18 10:32:36,2.53 ms,4.47 s
2025-09-18 10:32:38,2.55 ms,4.63 s
2025-09-18 10:32:40,2.55 ms,4.80 s
2025-09-18 10:32:42,1.35 ms,5.17 s
2025-09-18 10:32:44,1.17 ms,5.40 s
2025-09-18 10:32:46,1.17 ms,5.64 s
2025-09-18 10:32:48,1.17 ms,5.87 s
2025-09-18 10:32:50,1.17 ms,6.10 s
2025-09-18 10:32:52,1.17 ms,6.57 s
2025-09-18 10:32:54,1.17 ms,6.81 s
2025-09-18 10:32:56,1.17 ms,7.05 s
2025-09-18 10:32:58,1.17 ms,7.25 s
2025-09-18 10:33:00,654 µs,7.64 s
2025-09-18 10:33:02,654 µs,7.91 s
2025-09-18 10:33:04,654 µs,7.94 s
2025-09-18 10:33:06,654 µs,7.94 s
2025-09-18 10:33:08,654 µs,7.94 s
2025-09-18 10:33:10,654 µs,7.94 s
2025-09-18 10:33:12,654 µs,7.94 s
2025-09-18 10:33:14,654 µs,7.94 s
2025-09-18 10:33:16,557 µs,7.94 s
2025-09-18 10:33:18,767 µs,6.46 s
2025-09-18 10:33:20,767 µs,6.72 s
2025-09-18 10:33:22,767 µs,7.94 s
2025-09-18 10:33:24,767 µs,7.94 s
2025-09-18 10:33:26,767 µs,7.94 s
2025-09-18 10:33:28,767 µs,7.95 s
2025-09-18 10:33:30,767 µs,7.95 s
2025-09-18 10:33:32,736 µs,7.95 s
2025-09-18 10:33:34,736 µs,7.95 s
2025-09-18 10:33:36,736 µs,6.82 s
2025-09-18 10:33:38,736 µs,7.96 s
2025-09-18 10:33:40,736 µs,7.96 s
2025-09-18 10:33:42,736 µs,7.95 s
2025-09-18 10:33:44,758 µs,7.95 s
2025-09-18 10:33:46,742 µs,7.95 s
2025-09-18 10:33:48,742 µs,7.95 s
2025-09-18 10:33:50,742 µs,7.95 s
2025-09-18 10:33:52,742 µs,7.95 s
2025-09-18 10:33:54,742 µs,7.95 s
2025-09-18 10:33:56,742 µs,6.84 s
2025-09-18 10:33:58,742 µs,6.57 s
2025-09-18 10:34:00,529 µs,7.95 s
2025-09-18 10:34:02,531 µs,7.95 s
2025-09-18 10:34:04,509 µs,7.95 s
2025-09-18 10:34:06,687 µs,7.95 s
2025-09-18 10:34:08,687 µs,7.95 s
2025-09-18 10:34:10,687 µs,7.95 s
2025-09-18 10:34:12,687 µs,7.95 s
2025-09-18 10:34:14,687 µs,7.94 s
2025-09-18 10:34:16,687 µs,7.94 s
2025-09-18 10:34:18,737 µs,7.93 s
2025-09-18 10:34:20,697 µs,7.93 s
2025-09-18 10:34:22,697 µs,7.93 s
2025-09-18 10:34:24,697 µs,7.93 s
2025-09-18 10:34:26,697 µs,7.93 s
2025-09-18 10:34:28,697 µs,7.93 s
2025-09-18 10:34:30,697 µs,7.93 s
2025-09-18 10:34:32,693 µs,6.61 s
2025-09-18 10:34:34,684 µs,7.94 s
2025-09-18 10:34:36,684 µs,7.94 s
2025-09-18 10:34:38,684 µs,7.94 s
2025-09-18 10:34:40,684 µs,7.94 s
2025-09-18 10:34:42,684 µs,6.63 s
2025-09-18 10:34:44,684 µs,6.79 s
2025-09-18 10:34:46,507 µs,7.95 s
2025-09-18 10:34:48,528 µs,7.95 s
2025-09-18 10:34:50,522 µs,7.95 s
2025-09-18 10:34:52,607 µs,7.95 s
2025-09-18 10:34:54,607 µs,7.95 s
2025-09-18 10:34:56,607 µs,7.95 s
2025-09-18 10:34:58,607 µs,7.95 s
2025-09-18 10:35:00,607 µs,6.71 s
2025-09-18 10:35:02,607 µs,5.55 s
2025-09-18 10:35:04,607 µs,5.55 s
2025-09-18 10:35:06,609 µs,5.55 s
2025-09-18 10:35:08,609 µs,5.55 s
2025-09-18 10:35:10,507 µs,5.55 s
2025-09-18 10:35:12,507 µs,5.55 s
2025-09-18 10:35:14,507 µs,3.20 s
2025-09-18 10:35:16,507 µs,2.15 s
2025-09-18 10:35:18,507 µs,2.54 s
2025-09-18 10:35:20,447 µs,2.54 s
2025-09-18 10:35:22,447 µs,2.54 s
2025-09-18 10:35:24,447 µs,2.54 s
2025-09-18 10:35:26,412 µs,2.54 s
2025-09-18 10:35:28,412 µs,2.54 s
2025-09-18 10:35:30,412 µs,2.54 s
2025-09-18 10:35:32,412 µs,2.15 s
2025-09-18 10:35:34,326 µs,580 ms
2025-09-18 10:35:36,326 µs,439 ms
2025-09-18 10:35:38,326 µs,439 ms
2025-09-18 10:35:40,326 µs,439 ms
2025-09-18 10:35:42,314 µs,439 ms
2025-09-18 10:35:44,314 µs,122 µs
2025-09-18 10:35:46,314 µs,122 µs
2025-09-18 10:35:48,314 µs,122 µs
2025-09-18 10:35:50,314 µs,122 µs
2025-09-18 10:35:52,312 µs,119 µs
2025-09-18 10:35:54,312 µs,119 µs
2025-09-18 10:35:56,312 µs,119 µs
2025-09-18 10:35:58,312 µs,119 µs
2025-09-18 10:36:00,253 µs,119 µs
2025-09-18 10:36:02,243 µs,117 µs
2025-09-18 10:36:04,232 µs,101 µs
2025-09-18 10:36:06,222 µs,101 µs
2025-09-18 10:36:08,211 µs,101 µs
2025-09-18 10:36:10,270 µs,101 µs
2025-09-18 10:36:12,270 µs,101 µs
2025-09-18 10:36:14,270 µs,101 µs
2025-09-18 10:36:16,270 µs,69.7 µs
2025-09-18 10:36:18,270 µs,59.4 µs
2025-09-18 10:36:20,270 µs,71.2 µs
2025-09-18 10:36:22,270 µs,68.3 µs
2025-09-18 10:36:24,270 µs,65.4 µs
2025-09-18 10:36:26,261 µs,62.5 µs
2025-09-18 10:36:28,261 µs,59.5 µs
2025-09-18 10:36:30,261 µs,56.6 µs
2025-09-18 10:36:32,261 µs,53.7 µs
2025-09-18 10:36:34,261 µs,50.8 µs
2025-09-18 10:36:36,261 µs,18.5 µs
2025-09-18 10:36:38,261 µs,18.5 µs
2025-09-18 10:36:40,261 µs,23.2 µs
2025-09-18 10:36:42,,21.5 µs
2025-09-18 10:36:44,,19.9 µs
2025-09-18 10:36:46,,18.2 µs
2025-09-18 10:36:48,,16.5 µs
2025-09-18 10:36:50,,14.8 µs
