"Time","queue-proxy","user-container"
2025-09-18 10:34:18,,255 ms
2025-09-18 10:34:20,,282 ms
2025-09-18 10:34:22,3.40 ms,309 ms
2025-09-18 10:34:24,3.67 ms,336 ms
2025-09-18 10:34:26,3.94 ms,363 ms
2025-09-18 10:34:28,4.21 ms,390 ms
2025-09-18 10:34:30,4.48 ms,418 ms
2025-09-18 10:34:32,4.75 ms,445 ms
2025-09-18 10:34:34,5.03 ms,376 ms
2025-09-18 10:34:36,5.30 ms,398 ms
2025-09-18 10:34:38,3.67 ms,419 ms
2025-09-18 10:34:40,3.85 ms,440 ms
2025-09-18 10:34:42,4.03 ms,461 ms
2025-09-18 10:34:44,4.21 ms,482 ms
2025-09-18 10:34:46,4.38 ms,504 ms
2025-09-18 10:34:48,5.21 ms,525 ms
2025-09-18 10:34:50,5.33 ms,546 ms
2025-09-18 10:34:52,3.96 ms,454 ms
2025-09-18 10:34:54,3.96 ms,454 ms
2025-09-18 10:34:56,3.96 ms,454 ms
2025-09-18 10:34:58,3.96 ms,454 ms
2025-09-18 10:35:00,3.96 ms,438 ms
2025-09-18 10:35:02,3.96 ms,307 ms
2025-09-18 10:35:04,3.96 ms,291 ms
2025-09-18 10:35:06,1.77 ms,535 ms
2025-09-18 10:35:08,1.46 ms,535 ms
2025-09-18 10:35:10,1.40 ms,535 ms
2025-09-18 10:35:12,1.32 ms,535 ms
2025-09-18 10:35:14,1.32 ms,535 ms
2025-09-18 10:35:16,1.32 ms,535 ms
2025-09-18 10:35:18,1.32 ms,570 ms
2025-09-18 10:35:20,1.32 ms,691 ms
2025-09-18 10:35:22,591 µs,691 ms
2025-09-18 10:35:24,591 µs,691 ms
2025-09-18 10:35:26,591 µs,691 ms
2025-09-18 10:35:28,591 µs,691 ms
2025-09-18 10:35:30,591 µs,691 ms
2025-09-18 10:35:32,591 µs,691 ms
2025-09-18 10:35:34,591 µs,576 ms
2025-09-18 10:35:36,591 µs,619 ms
2025-09-18 10:35:38,623 µs,651 ms
2025-09-18 10:35:40,623 µs,684 ms
2025-09-18 10:35:42,623 µs,716 ms
2025-09-18 10:35:44,623 µs,748 ms
2025-09-18 10:35:46,623 µs,780 ms
2025-09-18 10:35:48,623 µs,812 ms
2025-09-18 10:35:50,623 µs,963 ms
2025-09-18 10:35:52,503 µs,963 ms
2025-09-18 10:35:54,607 µs,963 ms
2025-09-18 10:35:56,607 µs,963 ms
2025-09-18 10:35:58,607 µs,963 ms
2025-09-18 10:36:00,499 µs,963 ms
2025-09-18 10:36:02,479 µs,963 ms
2025-09-18 10:36:04,459 µs,963 ms
2025-09-18 10:36:06,438 µs,964 ms
2025-09-18 10:36:08,418 µs,791 ms
2025-09-18 10:36:10,398 µs,963 ms
2025-09-18 10:36:12,592 µs,963 ms
2025-09-18 10:36:14,592 µs,963 ms
2025-09-18 10:36:16,592 µs,963 ms
2025-09-18 10:36:18,592 µs,963 ms
2025-09-18 10:36:20,592 µs,961 ms
2025-09-18 10:36:22,592 µs,961 ms
2025-09-18 10:36:24,594 µs,961 ms
2025-09-18 10:36:26,594 µs,961 ms
2025-09-18 10:36:28,583 µs,961 ms
2025-09-18 10:36:30,583 µs,961 ms
2025-09-18 10:36:32,583 µs,961 ms
2025-09-18 10:36:34,583 µs,961 ms
2025-09-18 10:36:36,576 µs,961 ms
2025-09-18 10:36:38,576 µs,961 ms
2025-09-18 10:36:40,576 µs,961 ms
2025-09-18 10:36:42,354 µs,961 ms
2025-09-18 10:36:44,373 µs,961 ms
2025-09-18 10:36:46,392 µs,961 ms
2025-09-18 10:36:48,412 µs,960 ms
2025-09-18 10:36:50,431 µs,755 ms
2025-09-18 10:36:52,451 µs,787 ms
2025-09-18 10:36:54,470 µs,819 ms
2025-09-18 10:36:56,489 µs,959 ms
2025-09-18 10:36:58,577 µs,959 ms
2025-09-18 10:37:00,504 µs,959 ms
2025-09-18 10:37:02,591 µs,834 ms
2025-09-18 10:37:04,591 µs,961 ms
2025-09-18 10:37:06,591 µs,961 ms
2025-09-18 10:37:08,591 µs,961 ms
2025-09-18 10:37:10,591 µs,792 ms
2025-09-18 10:37:12,587 µs,825 ms
2025-09-18 10:37:14,587 µs,962 ms
2025-09-18 10:37:16,500 µs,961 ms
2025-09-18 10:37:18,570 µs,961 ms
2025-09-18 10:37:20,570 µs,961 ms
2025-09-18 10:37:22,570 µs,961 ms
2025-09-18 10:37:24,575 µs,961 ms
2025-09-18 10:37:26,575 µs,961 ms
2025-09-18 10:37:28,575 µs,962 ms
2025-09-18 10:37:30,575 µs,964 ms
2025-09-18 10:37:32,492 µs,964 ms
2025-09-18 10:37:34,473 µs,964 ms
2025-09-18 10:37:36,457 µs,964 ms
2025-09-18 10:37:38,575 µs,966 ms
2025-09-18 10:37:40,575 µs,966 ms
2025-09-18 10:37:42,575 µs,966 ms
2025-09-18 10:37:44,575 µs,966 ms
2025-09-18 10:37:46,575 µs,816 ms
2025-09-18 10:37:48,555 µs,962 ms
2025-09-18 10:37:50,555 µs,962 ms
2025-09-18 10:37:52,555 µs,962 ms
2025-09-18 10:37:54,555 µs,962 ms
2025-09-18 10:37:56,555 µs,962 ms
2025-09-18 10:37:58,555 µs,962 ms
2025-09-18 10:38:00,555 µs,962 ms
2025-09-18 10:38:02,569 µs,963 ms
2025-09-18 10:38:04,578 µs,964 ms
2025-09-18 10:38:06,578 µs,964 ms
2025-09-18 10:38:08,578 µs,964 ms
2025-09-18 10:38:10,578 µs,964 ms
2025-09-18 10:38:12,578 µs,964 ms
2025-09-18 10:38:14,578 µs,964 ms
2025-09-18 10:38:16,578 µs,961 ms
2025-09-18 10:38:18,472 µs,961 ms
2025-09-18 10:38:20,479 µs,961 ms
2025-09-18 10:38:22,565 µs,961 ms
2025-09-18 10:38:24,565 µs,961 ms
2025-09-18 10:38:26,565 µs,961 ms
2025-09-18 10:38:28,565 µs,961 ms
2025-09-18 10:38:30,565 µs,792 ms
2025-09-18 10:38:32,565 µs,669 ms
2025-09-18 10:38:34,482 µs,964 ms
2025-09-18 10:38:36,571 µs,964 ms
2025-09-18 10:38:38,574 µs,964 ms
2025-09-18 10:38:40,574 µs,964 ms
2025-09-18 10:38:42,574 µs,964 ms
2025-09-18 10:38:44,574 µs,964 ms
2025-09-18 10:38:46,574 µs,964 ms
2025-09-18 10:38:48,563 µs,962 ms
2025-09-18 10:38:50,563 µs,960 ms
2025-09-18 10:38:52,563 µs,960 ms
2025-09-18 10:38:54,457 µs,960 ms
2025-09-18 10:38:56,439 µs,960 ms
2025-09-18 10:38:58,420 µs,960 ms
2025-09-18 10:39:00,401 µs,960 ms
2025-09-18 10:39:02,382 µs,960 ms
2025-09-18 10:39:04,384 µs,960 ms
2025-09-18 10:39:06,365 µs,960 ms
2025-09-18 10:39:08,603 µs,960 ms
2025-09-18 10:39:10,603 µs,960 ms
2025-09-18 10:39:12,603 µs,960 ms
2025-09-18 10:39:14,603 µs,960 ms
2025-09-18 10:39:16,603 µs,959 ms
2025-09-18 10:39:18,603 µs,958 ms
2025-09-18 10:39:20,612 µs,958 ms
2025-09-18 10:39:22,612 µs,958 ms
2025-09-18 10:39:24,612 µs,958 ms
2025-09-18 10:39:26,611 µs,958 ms
2025-09-18 10:39:28,611 µs,958 ms
2025-09-18 10:39:30,611 µs,958 ms
2025-09-18 10:39:32,611 µs,959 ms
2025-09-18 10:39:34,611 µs,960 ms
2025-09-18 10:39:36,398 µs,960 ms
2025-09-18 10:39:38,419 µs,960 ms
2025-09-18 10:39:40,439 µs,960 ms
2025-09-18 10:39:42,459 µs,960 ms
2025-09-18 10:39:44,460 µs,960 ms
2025-09-18 10:39:46,586 µs,960 ms
2025-09-18 10:39:48,586 µs,960 ms
2025-09-18 10:39:50,586 µs,794 ms
2025-09-18 10:39:52,586 µs,826 ms
2025-09-18 10:39:54,586 µs,959 ms
2025-09-18 10:39:56,586 µs,959 ms
2025-09-18 10:39:58,586 µs,817 ms
2025-09-18 10:40:00,586 µs,961 ms
2025-09-18 10:40:02,586 µs,961 ms
2025-09-18 10:40:04,465 µs,961 ms
2025-09-18 10:40:06,446 µs,961 ms
2025-09-18 10:40:08,544 µs,963 ms
2025-09-18 10:40:10,544 µs,963 ms
2025-09-18 10:40:12,544 µs,963 ms
2025-09-18 10:40:14,544 µs,963 ms
2025-09-18 10:40:16,544 µs,816 ms
2025-09-18 10:40:18,544 µs,785 ms
2025-09-18 10:40:20,544 µs,961 ms
2025-09-18 10:40:22,539 µs,961 ms
2025-09-18 10:40:24,539 µs,961 ms
2025-09-18 10:40:26,528 µs,961 ms
2025-09-18 10:40:28,528 µs,961 ms
2025-09-18 10:40:30,528 µs,961 ms
2025-09-18 10:40:32,528 µs,961 ms
2025-09-18 10:40:34,528 µs,961 ms
2025-09-18 10:40:36,528 µs,961 ms
2025-09-18 10:40:38,528 µs,961 ms
2025-09-18 10:40:40,553 µs,961 ms
2025-09-18 10:40:42,553 µs,961 ms
2025-09-18 10:40:44,423 µs,959 ms
2025-09-18 10:40:46,442 µs,959 ms
2025-09-18 10:40:48,461 µs,959 ms
2025-09-18 10:40:50,571 µs,960 ms
2025-09-18 10:40:52,571 µs,960 ms
2025-09-18 10:40:54,567 µs,960 ms
2025-09-18 10:40:56,567 µs,960 ms
2025-09-18 10:40:58,567 µs,960 ms
2025-09-18 10:41:00,567 µs,764 ms
2025-09-18 10:41:02,567 µs,796 ms
2025-09-18 10:41:04,567 µs,964 ms
2025-09-18 10:41:06,567 µs,964 ms
2025-09-18 10:41:08,584 µs,964 ms
2025-09-18 10:41:10,584 µs,964 ms
2025-09-18 10:41:12,584 µs,964 ms
2025-09-18 10:41:14,608 µs,964 ms
2025-09-18 10:41:16,608 µs,964 ms
2025-09-18 10:41:18,608 µs,964 ms
2025-09-18 10:41:20,608 µs,966 ms
2025-09-18 10:41:22,611 µs,789 ms
2025-09-18 10:41:24,611 µs,963 ms
2025-09-18 10:41:26,597 µs,963 ms
2025-09-18 10:41:28,597 µs,963 ms
2025-09-18 10:41:30,597 µs,963 ms
2025-09-18 10:41:32,597 µs,963 ms
2025-09-18 10:41:34,597 µs,964 ms
2025-09-18 10:41:36,597 µs,964 ms
2025-09-18 10:41:38,589 µs,964 ms
2025-09-18 10:41:40,600 µs,964 ms
2025-09-18 10:41:42,600 µs,962 ms
2025-09-18 10:41:44,600 µs,962 ms
2025-09-18 10:41:46,600 µs,962 ms
2025-09-18 10:41:48,600 µs,962 ms
2025-09-18 10:41:50,595 µs,959 ms
2025-09-18 10:41:52,595 µs,959 ms
2025-09-18 10:41:54,440 µs,959 ms
2025-09-18 10:41:56,459 µs,959 ms
2025-09-18 10:41:58,478 µs,959 ms
2025-09-18 10:42:00,497 µs,959 ms
2025-09-18 10:42:02,490 µs,959 ms
2025-09-18 10:42:04,471 µs,750 ms
2025-09-18 10:42:06,452 µs,718 ms
2025-09-18 10:42:08,560 µs,686 ms
2025-09-18 10:42:10,560 µs,959 ms
2025-09-18 10:42:12,560 µs,959 ms
2025-09-18 10:42:14,562 µs,959 ms
2025-09-18 10:42:16,562 µs,959 ms
2025-09-18 10:42:18,562 µs,959 ms
2025-09-18 10:42:20,562 µs,961 ms
2025-09-18 10:42:22,477 µs,961 ms
2025-09-18 10:42:24,458 µs,961 ms
2025-09-18 10:42:26,550 µs,961 ms
2025-09-18 10:42:28,550 µs,961 ms
2025-09-18 10:42:30,550 µs,961 ms
2025-09-18 10:42:32,550 µs,961 ms
2025-09-18 10:42:34,550 µs,961 ms
2025-09-18 10:42:36,558 µs,961 ms
2025-09-18 10:42:38,553 µs,964 ms
2025-09-18 10:42:40,553 µs,964 ms
2025-09-18 10:42:42,553 µs,653 ms
2025-09-18 10:42:44,553 µs,685 ms
2025-09-18 10:42:46,553 µs,717 ms
2025-09-18 10:42:48,546 µs,749 ms
2025-09-18 10:42:50,460 µs,782 ms
2025-09-18 10:42:52,543 µs,676 ms
2025-09-18 10:42:54,543 µs,798 ms
2025-09-18 10:42:56,543 µs,765 ms
2025-09-18 10:42:58,543 µs,733 ms
2025-09-18 10:43:00,542 µs,701 ms
2025-09-18 10:43:02,542 µs,669 ms
2025-09-18 10:43:04,542 µs,636 ms
2025-09-18 10:43:06,542 µs,604 ms
2025-09-18 10:43:08,452 µs,572 ms
2025-09-18 10:43:10,471 µs,965 ms
2025-09-18 10:43:12,477 µs,965 ms
2025-09-18 10:43:14,592 µs,965 ms
2025-09-18 10:43:16,592 µs,965 ms
2025-09-18 10:43:18,592 µs,965 ms
2025-09-18 10:43:20,592 µs,963 ms
2025-09-18 10:43:22,592 µs,960 ms
2025-09-18 10:43:24,591 µs,960 ms
2025-09-18 10:43:26,590 µs,960 ms
2025-09-18 10:43:28,590 µs,960 ms
2025-09-18 10:43:30,590 µs,960 ms
2025-09-18 10:43:32,590 µs,960 ms
2025-09-18 10:43:34,590 µs,960 ms
2025-09-18 10:43:36,615 µs,960 ms
2025-09-18 10:43:38,529 µs,563 ms
2025-09-18 10:43:40,597 µs,595 ms
2025-09-18 10:43:42,597 µs,626 ms
2025-09-18 10:43:44,597 µs,658 ms
2025-09-18 10:43:46,597 µs,690 ms
2025-09-18 10:43:48,613 µs,721 ms
2025-09-18 10:43:50,613 µs,753 ms
2025-09-18 10:43:52,613 µs,781 ms
2025-09-18 10:43:54,530 µs,813 ms
2025-09-18 10:43:56,510 µs,946 ms
2025-09-18 10:43:58,490 µs,946 ms
2025-09-18 10:44:00,431 µs,946 ms
2025-09-18 10:44:02,413 µs,946 ms
2025-09-18 10:44:04,394 µs,946 ms
2025-09-18 10:44:06,375 µs,806 ms
2025-09-18 10:44:08,356 µs,951 ms
2025-09-18 10:44:10,569 µs,951 ms
2025-09-18 10:44:12,569 µs,951 ms
2025-09-18 10:44:14,565 µs,951 ms
2025-09-18 10:44:16,565 µs,951 ms
2025-09-18 10:44:18,565 µs,951 ms
2025-09-18 10:44:20,565 µs,951 ms
2025-09-18 10:44:22,565 µs,954 ms
2025-09-18 10:44:24,571 µs,954 ms
2025-09-18 10:44:26,571 µs,954 ms
2025-09-18 10:44:28,571 µs,954 ms
2025-09-18 10:44:30,545 µs,954 ms
2025-09-18 10:44:32,545 µs,954 ms
2025-09-18 10:44:34,545 µs,958 ms
2025-09-18 10:44:36,545 µs,958 ms
2025-09-18 10:44:38,545 µs,963 ms
2025-09-18 10:44:40,345 µs,963 ms
2025-09-18 10:44:42,372 µs,963 ms
2025-09-18 10:44:44,391 µs,963 ms
2025-09-18 10:44:46,409 µs,963 ms
2025-09-18 10:44:48,427 µs,827 ms
2025-09-18 10:44:50,445 µs,795 ms
2025-09-18 10:44:52,545 µs,964 ms
2025-09-18 10:44:54,545 µs,964 ms
2025-09-18 10:44:56,545 µs,964 ms
2025-09-18 10:44:58,455 µs,964 ms
2025-09-18 10:45:00,437 µs,964 ms
2025-09-18 10:45:02,418 µs,964 ms
2025-09-18 10:45:04,400 µs,964 ms
2025-09-18 10:45:06,382 µs,964 ms
2025-09-18 10:45:08,574 µs,966 ms
2025-09-18 10:45:10,609 µs,966 ms
2025-09-18 10:45:12,609 µs,966 ms
2025-09-18 10:45:14,609 µs,966 ms
2025-09-18 10:45:16,609 µs,966 ms
2025-09-18 10:45:18,609 µs,966 ms
2025-09-18 10:45:20,596 µs,966 ms
2025-09-18 10:45:22,596 µs,964 ms
2025-09-18 10:45:24,596 µs,964 ms
2025-09-18 10:45:26,596 µs,964 ms
2025-09-18 10:45:28,596 µs,964 ms
2025-09-18 10:45:30,593 µs,964 ms
2025-09-18 10:45:32,593 µs,964 ms
2025-09-18 10:45:34,588 µs,785 ms
2025-09-18 10:45:36,588 µs,818 ms
2025-09-18 10:45:38,588 µs,964 ms
2025-09-18 10:45:40,588 µs,964 ms
2025-09-18 10:45:42,402 µs,964 ms
2025-09-18 10:45:44,421 µs,964 ms
2025-09-18 10:45:46,447 µs,811 ms
2025-09-18 10:45:48,466 µs,779 ms
2025-09-18 10:45:50,485 µs,961 ms
2025-09-18 10:45:52,577 µs,960 ms
2025-09-18 10:45:54,577 µs,960 ms
2025-09-18 10:45:56,577 µs,960 ms
2025-09-18 10:45:58,577 µs,960 ms
2025-09-18 10:46:00,577 µs,960 ms
2025-09-18 10:46:02,485 µs,960 ms
2025-09-18 10:46:04,466 µs,820 ms
2025-09-18 10:46:06,569 µs,958 ms
2025-09-18 10:46:08,572 µs,958 ms
2025-09-18 10:46:10,572 µs,958 ms
2025-09-18 10:46:12,572 µs,958 ms
2025-09-18 10:46:14,572 µs,958 ms
2025-09-18 10:46:16,577 µs,954 ms
2025-09-18 10:46:18,577 µs,954 ms
2025-09-18 10:46:20,577 µs,952 ms
2025-09-18 10:46:22,577 µs,952 ms
2025-09-18 10:46:24,577 µs,952 ms
2025-09-18 10:46:26,577 µs,952 ms
2025-09-18 10:46:28,568 µs,952 ms
2025-09-18 10:46:30,568 µs,954 ms
2025-09-18 10:46:32,568 µs,791 ms
2025-09-18 10:46:34,559 µs,823 ms
2025-09-18 10:46:36,559 µs,954 ms
2025-09-18 10:46:38,559 µs,954 ms
2025-09-18 10:46:40,559 µs,954 ms
2025-09-18 10:46:42,559 µs,954 ms
2025-09-18 10:46:44,565 µs,954 ms
2025-09-18 10:46:46,463 µs,954 ms
2025-09-18 10:46:48,482 µs,954 ms
2025-09-18 10:46:50,571 µs,952 ms
2025-09-18 10:46:52,571 µs,952 ms
2025-09-18 10:46:54,571 µs,952 ms
2025-09-18 10:46:56,571 µs,952 ms
2025-09-18 10:46:58,562 µs,952 ms
2025-09-18 10:47:00,562 µs,952 ms
2025-09-18 10:47:02,562 µs,795 ms
2025-09-18 10:47:04,562 µs,959 ms
2025-09-18 10:47:06,553 µs,959 ms
2025-09-18 10:47:08,553 µs,959 ms
2025-09-18 10:47:10,553 µs,959 ms
2025-09-18 10:47:12,553 µs,959 ms
2025-09-18 10:47:14,472 µs,959 ms
2025-09-18 10:47:16,462 µs,959 ms
2025-09-18 10:47:18,593 µs,959 ms
2025-09-18 10:47:20,593 µs,959 ms
2025-09-18 10:47:22,593 µs,959 ms
2025-09-18 10:47:24,593 µs,957 ms
2025-09-18 10:47:26,593 µs,957 ms
2025-09-18 10:47:28,600 µs,957 ms
2025-09-18 10:47:30,600 µs,958 ms
2025-09-18 10:47:32,600 µs,958 ms
2025-09-18 10:47:34,600 µs,958 ms
2025-09-18 10:47:36,589 µs,957 ms
2025-09-18 10:47:38,589 µs,957 ms
2025-09-18 10:47:40,589 µs,957 ms
2025-09-18 10:47:42,589 µs,957 ms
2025-09-18 10:47:44,609 µs,957 ms
2025-09-18 10:47:46,609 µs,799 ms
2025-09-18 10:47:48,609 µs,954 ms
2025-09-18 10:47:50,583 µs,954 ms
2025-09-18 10:47:52,583 µs,801 ms
2025-09-18 10:47:54,583 µs,955 ms
2025-09-18 10:47:56,583 µs,955 ms
2025-09-18 10:47:58,448 µs,955 ms
2025-09-18 10:48:00,546 µs,955 ms
2025-09-18 10:48:02,546 µs,955 ms
2025-09-18 10:48:04,546 µs,787 ms
2025-09-18 10:48:06,561 µs,955 ms
2025-09-18 10:48:08,561 µs,955 ms
2025-09-18 10:48:10,561 µs,802 ms
2025-09-18 10:48:12,561 µs,770 ms
2025-09-18 10:48:14,561 µs,955 ms
2025-09-18 10:48:16,561 µs,955 ms
2025-09-18 10:48:18,451 µs,955 ms
2025-09-18 10:48:20,469 µs,955 ms
2025-09-18 10:48:22,545 µs,955 ms
2025-09-18 10:48:24,545 µs,955 ms
2025-09-18 10:48:26,545 µs,955 ms
2025-09-18 10:48:28,545 µs,955 ms
2025-09-18 10:48:30,545 µs,956 ms
2025-09-18 10:48:32,464 µs,956 ms
2025-09-18 10:48:34,547 µs,956 ms
2025-09-18 10:48:36,557 µs,956 ms
2025-09-18 10:48:38,557 µs,956 ms
2025-09-18 10:48:40,557 µs,956 ms
2025-09-18 10:48:42,557 µs,956 ms
2025-09-18 10:48:44,557 µs,956 ms
2025-09-18 10:48:46,557 µs,956 ms
2025-09-18 10:48:48,557 µs,953 ms
2025-09-18 10:48:50,470 µs,953 ms
2025-09-18 10:48:52,543 µs,953 ms
2025-09-18 10:48:54,543 µs,790 ms
2025-09-18 10:48:56,543 µs,951 ms
2025-09-18 10:48:58,538 µs,951 ms
2025-09-18 10:49:00,538 µs,951 ms
2025-09-18 10:49:02,538 µs,951 ms
2025-09-18 10:49:04,538 µs,951 ms
2025-09-18 10:49:06,545 µs,953 ms
2025-09-18 10:49:08,545 µs,953 ms
2025-09-18 10:49:10,545 µs,953 ms
2025-09-18 10:49:12,545 µs,953 ms
2025-09-18 10:49:14,573 µs,951 ms
2025-09-18 10:49:16,573 µs,951 ms
2025-09-18 10:49:18,499 µs,953 ms
2025-09-18 10:49:20,582 µs,953 ms
2025-09-18 10:49:22,582 µs,953 ms
2025-09-18 10:49:24,582 µs,953 ms
2025-09-18 10:49:26,582 µs,953 ms
2025-09-18 10:49:28,504 µs,953 ms
2025-09-18 10:49:30,485 µs,957 ms
2025-09-18 10:49:32,465 µs,957 ms
2025-09-18 10:49:34,581 µs,957 ms
2025-09-18 10:49:36,581 µs,785 ms
2025-09-18 10:49:38,581 µs,959 ms
2025-09-18 10:49:40,581 µs,959 ms
2025-09-18 10:49:42,581 µs,959 ms
2025-09-18 10:49:44,581 µs,959 ms
2025-09-18 10:49:46,603 µs,959 ms
2025-09-18 10:49:48,603 µs,961 ms
2025-09-18 10:49:50,603 µs,961 ms
2025-09-18 10:49:52,591 µs,961 ms
2025-09-18 10:49:54,591 µs,799 ms
2025-09-18 10:49:56,591 µs,767 ms
2025-09-18 10:49:58,566 µs,735 ms
2025-09-18 10:50:00,566 µs,703 ms
2025-09-18 10:50:02,566 µs,671 ms
2025-09-18 10:50:04,566 µs,639 ms
2025-09-18 10:50:06,566 µs,630 ms
2025-09-18 10:50:08,566 µs,598 ms
2025-09-18 10:50:10,559 µs,961 ms
2025-09-18 10:50:12,559 µs,961 ms
2025-09-18 10:50:14,557 µs,961 ms
2025-09-18 10:50:16,557 µs,961 ms
2025-09-18 10:50:18,557 µs,961 ms
2025-09-18 10:50:20,557 µs,960 ms
2025-09-18 10:50:22,548 µs,960 ms
2025-09-18 10:50:24,548 µs,960 ms
2025-09-18 10:50:26,548 µs,960 ms
2025-09-18 10:50:28,548 µs,960 ms
2025-09-18 10:50:30,548 µs,960 ms
2025-09-18 10:50:32,548 µs,960 ms
2025-09-18 10:50:34,535 µs,960 ms
2025-09-18 10:50:36,535 µs,960 ms
2025-09-18 10:50:38,451 µs,575 ms
2025-09-18 10:50:40,551 µs,607 ms
2025-09-18 10:50:42,551 µs,639 ms
2025-09-18 10:50:44,551 µs,671 ms
2025-09-18 10:50:46,551 µs,704 ms
2025-09-18 10:50:48,551 µs,736 ms
2025-09-18 10:50:50,551 µs,763 ms
2025-09-18 10:50:52,467 µs,795 ms
2025-09-18 10:50:54,555 µs,827 ms
2025-09-18 10:50:56,555 µs,957 ms
2025-09-18 10:50:58,459 µs,957 ms
2025-09-18 10:51:00,440 µs,957 ms
