"Time","GPU 0","GPU 0"
2025-09-18 10:56:46,,0%
2025-09-18 10:56:48,,0%
2025-09-18 10:56:50,,0%
2025-09-18 10:56:52,,0%
2025-09-18 10:56:54,,0%
2025-09-18 10:56:56,,0%
2025-09-18 10:56:58,,0%
2025-09-18 10:57:00,,0%
2025-09-18 10:57:02,,0%
2025-09-18 10:57:04,,0%
2025-09-18 10:57:06,,0%
2025-09-18 10:57:08,,0%
2025-09-18 10:57:10,,0%
2025-09-18 10:57:12,,0%
2025-09-18 10:57:14,,0%
2025-09-18 10:57:16,,0%
2025-09-18 10:57:18,,0%
2025-09-18 10:57:20,,0%
2025-09-18 10:57:22,,0%
2025-09-18 10:57:24,,0%
2025-09-18 10:57:26,,0%
2025-09-18 10:57:28,,0%
2025-09-18 10:57:30,,0%
2025-09-18 10:57:32,,0%
2025-09-18 10:57:34,,0%
2025-09-18 10:57:36,,0%
2025-09-18 10:57:38,,0%
2025-09-18 10:57:40,,0%
2025-09-18 10:57:42,,0%
2025-09-18 10:57:44,,0%
2025-09-18 10:57:46,,0%
2025-09-18 10:57:48,,0%
2025-09-18 10:57:50,,0%
2025-09-18 10:57:52,,0%
2025-09-18 10:57:54,,0%
2025-09-18 10:57:56,,0%
2025-09-18 10:57:58,,0%
2025-09-18 10:58:00,,0%
2025-09-18 10:58:02,,0%
2025-09-18 10:58:04,,0%
2025-09-18 10:58:06,,0%
2025-09-18 10:58:08,,0%
2025-09-18 10:58:10,,0%
2025-09-18 10:58:12,,0%
2025-09-18 10:58:14,,0%
2025-09-18 10:58:16,,0%
2025-09-18 10:58:18,,0%
2025-09-18 10:58:20,,0%
2025-09-18 10:58:22,,0%
2025-09-18 10:58:24,,0%
2025-09-18 10:58:26,,0%
2025-09-18 10:58:28,,0%
2025-09-18 10:58:30,,0%
2025-09-18 10:58:32,,0%
2025-09-18 10:58:34,,0%
2025-09-18 10:58:36,,0%
2025-09-18 10:58:38,0%,
2025-09-18 10:58:40,0%,
2025-09-18 10:58:42,0%,
2025-09-18 10:58:44,0%,
2025-09-18 10:58:46,0%,
2025-09-18 10:58:48,0%,
2025-09-18 10:58:50,0%,
2025-09-18 10:58:52,0%,
2025-09-18 10:58:54,0%,
2025-09-18 10:58:56,0%,
2025-09-18 10:58:58,0%,
2025-09-18 10:59:00,3%,
2025-09-18 10:59:02,0%,
2025-09-18 10:59:04,0%,
2025-09-18 10:59:06,0%,
2025-09-18 10:59:08,0%,
2025-09-18 10:59:10,0%,
2025-09-18 10:59:12,0%,
2025-09-18 10:59:14,0%,
2025-09-18 10:59:16,0%,
2025-09-18 10:59:18,0%,
2025-09-18 10:59:20,63%,
2025-09-18 10:59:22,62%,
2025-09-18 10:59:24,31%,
2025-09-18 10:59:26,63%,
2025-09-18 10:59:28,64%,
2025-09-18 10:59:30,62%,
2025-09-18 10:59:32,63%,
2025-09-18 10:59:34,63%,
2025-09-18 10:59:36,63%,
2025-09-18 10:59:38,62%,
2025-09-18 10:59:40,65%,
2025-09-18 10:59:42,37%,
2025-09-18 10:59:44,65%,
2025-09-18 10:59:46,68%,
2025-09-18 10:59:48,67%,
2025-09-18 10:59:50,65%,
2025-09-18 10:59:52,65%,
2025-09-18 10:59:54,65%,
2025-09-18 10:59:56,63%,
2025-09-18 10:59:58,61%,
2025-09-18 11:00:00,61%,
2025-09-18 11:00:02,35%,
2025-09-18 11:00:04,64%,
2025-09-18 11:00:06,62%,
2025-09-18 11:00:08,60%,
2025-09-18 11:00:10,65%,
2025-09-18 11:00:12,64%,
2025-09-18 11:00:14,63%,
2025-09-18 11:00:16,63%,
2025-09-18 11:00:18,3%,
2025-09-18 11:00:20,65%,
2025-09-18 11:00:22,64%,
2025-09-18 11:00:24,63%,
2025-09-18 11:00:26,62%,
2025-09-18 11:00:28,64%,
2025-09-18 11:00:30,62%,
2025-09-18 11:00:32,60%,
2025-09-18 11:00:34,62%,
2025-09-18 11:00:36,63%,
2025-09-18 11:00:38,55%,
2025-09-18 11:00:40,65%,
2025-09-18 11:00:42,64%,
2025-09-18 11:00:44,65%,
2025-09-18 11:00:46,68%,
2025-09-18 11:00:48,67%,
2025-09-18 11:00:50,62%,
2025-09-18 11:00:52,64%,
2025-09-18 11:00:54,60%,
2025-09-18 11:00:56,59%,
2025-09-18 11:00:58,61%,
2025-09-18 11:01:00,62%,
2025-09-18 11:01:02,61%,
2025-09-18 11:01:04,58%,
2025-09-18 11:01:06,64%,
2025-09-18 11:01:08,60%,
2025-09-18 11:01:10,61%,
2025-09-18 11:01:12,64%,
2025-09-18 11:01:14,64%,
2025-09-18 11:01:16,64%,
2025-09-18 11:01:18,65%,
2025-09-18 11:01:20,35%,
2025-09-18 11:01:22,63%,
2025-09-18 11:01:24,62%,
2025-09-18 11:01:26,64%,
2025-09-18 11:01:28,63%,
2025-09-18 11:01:30,63%,
2025-09-18 11:01:32,63%,
2025-09-18 11:01:34,60%,
2025-09-18 11:01:36,60%,
2025-09-18 11:01:38,61%,
2025-09-18 11:01:40,36%,
2025-09-18 11:01:42,65%,
2025-09-18 11:01:44,63%,
2025-09-18 11:01:46,21%,
2025-09-18 11:01:48,61%,
2025-09-18 11:01:50,65%,
2025-09-18 11:01:52,62%,
