step,ram-cpu_queue-proxy,ram-cpu_user-container,ram-gpu_queue-proxy,ram-gpu_user-container,cpu-cpu_queue-proxy,cpu-cpu_user-container,cpu-gpu_queue-proxy,cpu-gpu_user-container,gpu_gpu_0
0,,,,,,,,,
1,9.09 MB,5.77 GB,,,203 µs,70.5 µs,,,
2,,,,,,,,,
3,12.6 MB,5.77 GB,,,193 µs,67.5 µs,,,
4,,,,,,,,,
5,12.6 MB,5.77 GB,,,184 µs,64.4 µs,,,
6,,,,,,,,,
7,12.6 MB,5.77 GB,,,174 µs,61.4 µs,,,
8,,,,,,,,,
9,12.6 MB,5.77 GB,,,164 µs,58.3 µs,,,
10,,,,,,,,,
11,12.6 MB,5.77 GB,,,155 µs,55.3 µs,,,
12,,,,,,,,,
13,12.6 MB,5.77 GB,,,145 µs,52.2 µs,,,
14,,,,,,,,,
15,16.8 MB,8.58 GB,,,1.43 ms,119 ms,,,
16,,,,,,,,,
17,16.8 MB,8.58 GB,,,1.59 ms,138 ms,,,
18,,,,,,,,,
19,16.8 MB,8.58 GB,,,1.64 ms,157 ms,,,
20,,,,,,,,,
21,16.8 MB,8.58 GB,,,1.81 ms,176 ms,,,
22,,,,,,,,,
23,16.8 MB,8.58 GB,,,1.98 ms,195 ms,,,
24,,,,,,,,,
25,16.8 MB,8.58 GB,,,2.15 ms,214 ms,,,
26,,,,,,,,,
27,16.8 MB,8.58 GB,,,1.72 ms,233 ms,,,
28,,,,,,,,,
29,16.8 MB,8.58 GB,,,1.72 ms,173 ms,,,
30,,,,,,,,,
31,16.8 MB,8.58 GB,,,1.72 ms,173 ms,,,
32,,,,,,,,,
33,17.6 MB,11.6 GB,,,2.13 ms,1.29 s,,,
34,,,,,,,,,
35,17.6 MB,11.6 GB,,,2.26 ms,1.37 s,,,
36,,,,,,,,,
37,17.6 MB,11.6 GB,,,2.38 ms,1.46 s,,,
38,,,,,,,,,
39,17.6 MB,11.6 GB,,,2.51 ms,1.54 s,,,
40,,,,,,,,,
41,17.6 MB,11.6 GB,,,2.63 ms,1.63 s,,,
42,,,,,,,,,
43,17.6 MB,11.6 GB,,,2.76 ms,1.71 s,,,
44,,,,,,,,,
45,17.6 MB,11.6 GB,,,2.88 ms,1.80 s,,,
46,,,,,,,,,
47,17.6 MB,11.6 GB,,,3.01 ms,1.88 s,,,
48,,,,,,,,,
49,17.6 MB,11.6 GB,,,2.50 ms,1.55 s,,,
50,,,,,,,,,
51,17.7 MB,11.6 GB,,,2.25 ms,3.75 s,,,
52,,,,,,,,,
53,17.7 MB,11.6 GB,,,2.33 ms,3.90 s,,,
54,,,,,,,,,
55,17.7 MB,11.6 GB,,,2.41 ms,4.05 s,,,
56,,,,,,,,,
57,17.7 MB,11.6 GB,,,2.50 ms,4.21 s,,,
58,,,,,,,,,
59,17.7 MB,11.6 GB,,,2.51 ms,4.36 s,,,
60,,,,,,,,,
61,17.7 MB,11.6 GB,,,2.51 ms,4.52 s,,,
62,,,,,,,,,
63,18.0 MB,11.6 GB,,,1.44 ms,4.97 s,,,
64,,,,,,,,,
65,18.0 MB,11.6 GB,,,1.44 ms,5.63 s,,,
66,,,,,,,,,
67,18.0 MB,11.6 GB,,,1.44 ms,5.85 s,,,
68,,,,,,,,,
69,18.0 MB,11.6 GB,,,1.44 ms,6.07 s,,,
70,,,,,,,,,
71,18.0 MB,11.6 GB,,,1.44 ms,6.29 s,,,
72,,,,,,,,,
73,18.0 MB,11.6 GB,,,1.44 ms,6.51 s,,,
74,,,,,,,,,
75,18.0 MB,11.6 GB,,,529 µs,6.97 s,,,
76,,,,,,,,,
77,17.8 MB,11.6 GB,,,634 µs,7.24 s,,,
78,,,,,,,,,
79,17.8 MB,11.6 GB,,,634 µs,7.50 s,,,
80,,,,,,,,,
81,17.8 MB,11.6 GB,,,634 µs,7.76 s,,,
82,,,,,,,,,
83,17.8 MB,11.6 GB,,,634 µs,7.95 s,,,
84,,,,,,,,,
85,17.8 MB,11.6 GB,,,634 µs,7.95 s,,,
86,,,,,,,,,
87,17.8 MB,11.6 GB,,,634 µs,7.95 s,,,
88,,,,,,,,,
89,17.8 MB,11.6 GB,,,634 µs,7.95 s,,,
90,,,,,,,,,
91,17.8 MB,11.6 GB,,,634 µs,7.95 s,,,
92,,,,,,,,,
93,17.8 MB,11.6 GB,,,618 µs,6.68 s,,,
94,,,,,,,,,
95,17.8 MB,11.6 GB,,,643 µs,7.94 s,,,
96,,,,,,,,,
97,17.8 MB,11.6 GB,,,752 µs,7.94 s,,,
98,,,,,,,,,
99,17.8 MB,11.6 GB,,,752 µs,6.57 s,,,
100,,,,,,,,,
101,17.8 MB,11.6 GB,,,752 µs,7.94 s,,,
102,,,,,,,,,
103,17.8 MB,11.6 GB,,,752 µs,7.94 s,,,
104,,,,,,,,,
105,17.8 MB,11.6 GB,,,752 µs,7.94 s,,,
106,,,,,,,,,
107,17.8 MB,11.6 GB,,,752 µs,7.94 s,,,
108,,,,,,,,,
109,17.8 MB,11.6 GB,,,637 µs,7.94 s,,,
110,,,,,,,,,
111,17.8 MB,11.6 GB,3.66 MB,2.76 MB,645 µs,7.94 s,,,0%
112,,,,,,,,,
113,17.8 MB,11.6 GB,3.66 MB,2.76 MB,741 µs,7.94 s,,,0%
114,,,,,,,,,
115,17.8 MB,11.6 GB,3.66 MB,2.76 MB,741 µs,7.94 s,,,0%
116,,,,,,,,,
117,17.8 MB,11.6 GB,3.66 MB,2.76 MB,741 µs,7.94 s,,,0%
118,,,,,,,,,
119,17.8 MB,11.6 GB,3.66 MB,2.76 MB,741 µs,7.94 s,,,0%
120,,,,,,,,,
121,17.8 MB,11.6 GB,3.66 MB,2.03 GB,741 µs,7.94 s,,162 ms,0%
122,,,,,,,,,
123,17.8 MB,11.6 GB,3.66 MB,2.03 GB,777 µs,7.93 s,,191 ms,0%
124,,,,,,,,,
125,17.8 MB,11.6 GB,3.66 MB,2.03 GB,777 µs,6.71 s,,219 ms,0%
126,,,,,,,,,
127,17.8 MB,11.6 GB,3.66 MB,2.03 GB,777 µs,7.93 s,,248 ms,0%
128,,,,,,,,,
129,17.8 MB,11.6 GB,7.14 MB,2.03 GB,777 µs,7.93 s,3.50 ms,277 ms,0%
130,,,,,,,,,
131,17.8 MB,11.6 GB,7.14 MB,2.03 GB,777 µs,7.93 s,3.82 ms,306 ms,0%
132,,,,,,,,,
133,17.8 MB,11.6 GB,7.14 MB,2.03 GB,632 µs,7.93 s,4.15 ms,334 ms,3%
134,,,,,,,,,
135,17.8 MB,11.6 GB,7.14 MB,5.63 GB,606 µs,7.93 s,4.47 ms,372 ms,0%
136,,,,,,,,,
137,17.8 MB,11.5 GB,7.14 MB,5.63 GB,516 µs,7.92 s,4.80 ms,401 ms,0%
138,,,,,,,,,
139,17.8 MB,11.5 GB,7.14 MB,5.63 GB,494 µs,7.92 s,5.12 ms,430 ms,0%
140,,,,,,,,,
141,18.0 MB,11.5 GB,7.14 MB,5.63 GB,727 µs,6.09 s,5.45 ms,460 ms,0%
142,,,,,,,,,
143,18.0 MB,11.5 GB,7.14 MB,5.63 GB,727 µs,6.35 s,5.77 ms,489 ms,0%
144,,,,,,,,,
