,response_time_ms
0,40386.33704185486
1,17778.187036514282
2,17883.4490776062
3,18842.20600128174
4,17509.18197631836
5,19762.36891746521
6,19049.48902130127
7,2570.5180168151855
8,2178.1110763549805
9,2218.5683250427246
10,2234.1127395629883
11,2260.4498863220215
12,2363.36612701416
13,2347.9058742523193
14,2455.080032348633
15,2354.728937149048
16,2352.0257472991943
17,2312.041997909546
18,2350.6429195404053
19,2196.9830989837646
20,2251.7149448394775
21,2252.0880699157715
22,2247.1587657928467
23,2358.2639694213867
24,1765.956163406372
25,2326.2760639190674
26,2361.2637519836426
27,2326.9848823547363
28,2327.7080059051514
29,2333.254098892212
30,2373.7471103668213
31,2408.169984817505
32,2323.0278491973877
33,2222.982168197632
34,2208.889961242676
35,2157.273054122925
36,2198.2781887054443
37,2195.863723754883
38,2248.492956161499
39,2208.1470489501953
40,2206.2339782714844
41,2242.6629066467285
42,2225.9678840637207
43,2381.204843521118
44,2250.821828842163
45,2252.44402885437
46,2149.916172027588
47,2188.8599395751953
48,2185.5669021606445
49,2177.698135375977
50,2149.3821144104004
51,2216.5911197662354
52,2146.9409465789795
53,2196.4287757873535
54,2251.8930435180664
55,2200.6261348724365
56,2253.1330585479736
57,2178.699731826782
58,2243.016004562378
59,2275.348901748657
60,2161.571979522705
61,2243.391990661621
62,2161.3340377807617
63,2164.206027984619
64,2224.0068912506104
65,2223.432779312134
66,2218.3079719543457
67,2216.171979904175
68,2313.244104385376
69,2256.596326828003
70,2197.397947311402
71,2193.0370330810547
72,2091.933012008667
73,2130.074977874756
74,2191.9591426849365
75,2143.9008712768555
76,2158.8332653045654
77,2133.3320140838623
78,2157.8738689422607
79,2154.144048690796
80,2210.649013519287
81,2228.783130645752
82,2295.5729961395264
83,2355.9138774871826
84,2201.4100551605225
85,2101.922035217285
86,2211.463928222656
87,2117.374897003174
88,2182.370901107788
89,2180.34291267395
90,2162.292957305908
91,2144.710063934326
92,2213.3848667144775
93,2287.3899936676025
94,2228.498935699463
95,2224.316120147705
96,2234.6110343933105
97,2232.8362464904785
98,2189.5148754119873
99,2034.639835357666
100,2183.783054351806
101,2171.056032180786
102,2145.3568935394287
103,2204.8282623291016
104,2197.866201400757
105,2190.7389163970947
106,2319.9708461761475
107,2252.56609916687
108,2235.7120513916016
109,2255.7597160339355
110,2265.117883682251
111,2239.345073699951
112,2202.961206436157
113,2257.3351860046387
114,2152.748107910156
115,2203.857183456421
116,2180.583953857422
117,2136.814832687378
118,2163.3212566375732
119,2222.551107406616
120,2257.5368881225586
121,2248.72088432312
122,2254.024028778076
123,2301.0919094085693
