Index,AUTO,GPU
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,0.0
10,,0.0
11,,0.0
12,,0.0
13,,0.0
14,,0.0
15,,0.0
16,,0.0
17,,0.0
18,,0.0
19,,0.0
20,,0.0
21,,0.0
22,,0.0
23,,0.0
24,,0.0
25,,0.0
26,,0.0
27,,0.0
28,,0.0
29,,0.0
30,,0.0
31,,0.0
32,,0.0
33,,12.0
34,,13.8
35,,28.0
36,,29.6
37,,29.0
38,,26.8
39,,43.2
40,,29.4
41,,36.6
42,,33.6
43,,34.0
44,,34.6
45,,51.4
46,,49.4
47,,24.2
48,,42.4
49,,41.8
50,,35.6
51,,33.2
52,,22.4
53,,45.0
54,,39.2
55,,29.4
56,,35.4
57,,42.6
58,,32.4
59,,29.2
60,,31.8
61,,27.2
62,,22.2
63,,38.4
64,,33.0
65,,23.8
66,,36.0
67,,36.6
68,,29.6
69,,27.8
70,,36.8
71,,31.4
72,,34.4
73,,25.6
74,,25.8
75,,30.0
76,,41.4
77,,35.0
78,,20.6
79,,32.8
80,,44.2
81,,26.4
82,,40.6
83,,21.8
84,,19.0
85,,31.6
86,,46.8
87,,37.6
88,,33.8
89,0.0,25.8
90,0.0,30.4
91,0.0,29.4
92,0.0,29.8
93,0.0,31.4
94,0.0,30.4
95,0.0,28.8
96,0.0,43.4
97,0.0,38.2
98,0.0,24.4
99,0.0,31.6
100,0.0,37.0
101,0.0,54.4
102,0.0,36.8
103,0.0,32.8
104,0.0,28.0
105,0.0,30.0
106,0.0,24.4
107,0.0,35.8
108,0.0,29.4
109,0.0,31.8
110,0.0,32.4
111,0.0,19.8
112,2.2,27.8
113,0.0,36.6
114,0.0,20.6
115,0.0,18.8
116,9.4,20.2
117,9.0,12.4
118,9.0,8.2
119,2.6,2.4
120,16.4,4.0
121,7.4,6.6
122,10.0,3.6
123,16.2,4.4
124,31.0,0.0
125,20.8,0.0
126,26.2,0.0
127,19.4,0.0
128,17.2,0.0
129,16.4,0.0
130,17.8,0.0
131,21.2,0.0
132,24.4,0.0
133,26.2,0.0
134,29.8,0.0
135,38.0,0.0
136,46.6,0.0
137,35.8,0.0
138,36.2,0.0
139,52.8,0.0
140,24.6,0.0
141,38.2,0.0
142,45.2,0.0
143,25.6,0.0
144,48.8,0.0
145,34.0,0.0
146,32.2,0.0
147,28.0,0.0
148,39.6,0.0
149,27.0,0.0
150,42.4,0.0
151,47.0,0.0
152,37.6,0.0
153,35.8,0.0
154,37.4,0.0
155,35.2,0.0
156,31.0,0.0
157,33.6,0.0
158,28.0,0.0
159,42.6,0.0
160,37.6,0.0
161,37.2,0.0
162,31.6,0.0
163,30.8,0.0
164,30.6,0.0
165,26.0,0.0
166,23.0,0.0
167,31.6,0.0
168,34.2,0.0
169,26.6,0.0
170,36.2,0.0
171,39.0,0.0
172,42.6,0.0
173,33.0,0.0
174,39.6,0.0
175,36.0,0.0
176,38.8,0.0
177,53.2,0.0
178,37.8,0.0
179,38.2,0.0
180,35.2,0.0
181,27.4,0.0
182,36.4,
183,41.4,
184,32.4,
185,31.6,
186,24.2,
187,23.4,
188,20.6,
189,29.0,
190,23.2,
191,27.8,
192,30.0,
193,20.5,
194,33.0,
195,9.5,
196,16.75,
197,19.25,
198,13.0,
199,26.0,
200,14.75,
201,13.5,
202,22.25,
203,19.25,
204,18.25,
205,9.0,
206,14.0,
207,0.0,
208,0.0,
209,0.0,
210,0.0,
211,0.0,
212,0.0,
213,0.0,
214,0.0,
215,0.0,
216,0.0,
217,0.0,
218,0.0,
219,0.0,
220,0.0,
221,0.0,
222,0.0,
223,0.0,
224,0.0,
225,0.0,
226,0.0,
227,0.0,
228,0.0,
229,0.0,
230,0.0,
231,0.0,
232,0.0,
233,0.0,
234,0.0,
235,0.0,
236,0.0,
237,0.0,
238,0.0,
239,0.0,
240,0.0,
241,0.0,
242,0.0,
243,0.0,
244,0.0,
245,0.0,
246,0.0,
247,0.0,
248,0.0,
249,0.0,
250,0.0,
251,0.0,
252,0.0,
253,0.0,
254,0.0,
255,0.0,
256,0.0,
257,0.0,
258,0.0,
259,0.0,
260,0.0,
261,0.0,
262,0.0,
263,0.0,
264,0.0,
