"Time","queue-proxy","user-container"
2025-09-03 11:51:55,82.2 µs,
2025-09-03 11:51:56,79.8 µs,
2025-09-03 11:51:57,77.5 µs,
2025-09-03 11:51:58,75.1 µs,
2025-09-03 11:51:59,72.8 µs,
2025-09-03 11:52:00,70.4 µs,
2025-09-03 11:52:01,68.0 µs,
2025-09-03 11:52:02,65.7 µs,
2025-09-03 11:52:03,63.3 µs,
2025-09-03 11:52:08,1.09 ms,
2025-09-03 11:52:09,1.16 ms,
2025-09-03 11:52:10,1.24 ms,
2025-09-03 11:52:11,1.32 ms,
2025-09-03 11:52:12,1.40 ms,133 ms
2025-09-03 11:52:13,1.48 ms,141 ms
2025-09-03 11:52:14,1.56 ms,150 ms
2025-09-03 11:52:15,1.63 ms,159 ms
2025-09-03 11:52:16,1.71 ms,167 ms
2025-09-03 11:52:17,1.79 ms,176 ms
2025-09-03 11:52:18,1.87 ms,184 ms
2025-09-03 11:52:19,1.95 ms,193 ms
2025-09-03 11:52:20,1.45 ms,202 ms
2025-09-03 11:52:21,1.45 ms,210 ms
2025-09-03 11:52:22,1.45 ms,219 ms
2025-09-03 11:52:23,2.02 ms,228 ms
2025-09-03 11:52:24,2.09 ms,236 ms
2025-09-03 11:52:25,2.16 ms,245 ms
2025-09-03 11:52:26,2.23 ms,253 ms
2025-09-03 11:52:27,2.30 ms,262 ms
2025-09-03 11:52:28,2.37 ms,191 ms
2025-09-03 11:52:29,2.44 ms,191 ms
2025-09-03 11:52:30,2.51 ms,191 ms
2025-09-03 11:52:31,2.58 ms,191 ms
2025-09-03 11:52:32,2.65 ms,1.48 s
2025-09-03 11:52:33,2.71 ms,1.52 s
2025-09-03 11:52:34,2.13 ms,1.56 s
2025-09-03 11:52:35,2.18 ms,1.61 s
2025-09-03 11:52:36,2.23 ms,1.65 s
2025-09-03 11:52:37,2.29 ms,1.69 s
2025-09-03 11:52:38,2.34 ms,1.73 s
2025-09-03 11:52:39,2.39 ms,1.77 s
2025-09-03 11:52:40,2.44 ms,1.81 s
2025-09-03 11:52:41,2.49 ms,1.86 s
2025-09-03 11:52:42,2.55 ms,1.90 s
2025-09-03 11:52:43,2.60 ms,1.94 s
2025-09-03 11:52:44,2.65 ms,1.98 s
2025-09-03 11:52:45,2.70 ms,2.02 s
2025-09-03 11:52:46,2.75 ms,2.06 s
2025-09-03 11:52:47,2.40 ms,2.99 s
2025-09-03 11:52:48,2.40 ms,3.05 s
2025-09-03 11:52:49,2.40 ms,3.11 s
2025-09-03 11:52:50,2.40 ms,3.16 s
2025-09-03 11:52:51,2.40 ms,3.22 s
2025-09-03 11:52:52,2.28 ms,3.28 s
2025-09-03 11:52:53,2.28 ms,3.34 s
2025-09-03 11:52:54,2.28 ms,3.40 s
2025-09-03 11:52:55,2.28 ms,3.46 s
2025-09-03 11:52:56,2.28 ms,3.52 s
2025-09-03 11:52:57,1.69 ms,3.81 s
2025-09-03 11:52:58,1.69 ms,3.89 s
2025-09-03 11:52:59,1.69 ms,3.97 s
2025-09-03 11:53:00,1.69 ms,4.05 s
2025-09-03 11:53:01,1.69 ms,4.13 s
2025-09-03 11:53:02,1.69 ms,4.21 s
2025-09-03 11:53:03,1.69 ms,4.29 s
