"Time","queue-proxy","user-container"
2025-09-03 11:40:37,,132 ms
2025-09-03 11:40:38,1.78 ms,141 ms
2025-09-03 11:40:39,1.88 ms,151 ms
2025-09-03 11:40:40,1.99 ms,161 ms
2025-09-03 11:40:41,2.10 ms,171 ms
2025-09-03 11:40:42,2.21 ms,181 ms
2025-09-03 11:40:43,2.32 ms,191 ms
2025-09-03 11:40:44,2.43 ms,201 ms
2025-09-03 11:40:45,2.53 ms,211 ms
2025-09-03 11:40:46,2.64 ms,221 ms
2025-09-03 11:40:47,2.75 ms,231 ms
2025-09-03 11:40:48,2.86 ms,241 ms
2025-09-03 11:40:49,2.97 ms,251 ms
2025-09-03 11:40:50,3.07 ms,185 ms
2025-09-03 11:40:51,3.18 ms,224 ms
2025-09-03 11:40:52,3.29 ms,232 ms
2025-09-03 11:40:53,2.63 ms,240 ms
2025-09-03 11:40:54,2.71 ms,249 ms
2025-09-03 11:40:55,2.80 ms,257 ms
2025-09-03 11:40:56,2.88 ms,265 ms
2025-09-03 11:40:57,2.96 ms,273 ms
2025-09-03 11:40:58,3.04 ms,281 ms
2025-09-03 11:40:59,3.12 ms,290 ms
2025-09-03 11:41:00,3.21 ms,298 ms
2025-09-03 11:41:01,3.29 ms,306 ms
2025-09-03 11:41:02,3.37 ms,314 ms
2025-09-03 11:41:03,3.45 ms,322 ms
2025-09-03 11:41:04,3.53 ms,282 ms
2025-09-03 11:41:05,3.62 ms,289 ms
2025-09-03 11:41:06,3.70 ms,296 ms
2025-09-03 11:41:07,3.78 ms,303 ms
2025-09-03 11:41:08,3.86 ms,310 ms
2025-09-03 11:41:09,3.17 ms,317 ms
2025-09-03 11:41:10,3.49 ms,324 ms
2025-09-03 11:41:11,3.56 ms,331 ms
2025-09-03 11:41:12,3.63 ms,338 ms
2025-09-03 11:41:13,3.70 ms,345 ms
2025-09-03 11:41:14,3.77 ms,352 ms
2025-09-03 11:41:15,3.84 ms,359 ms
2025-09-03 11:41:16,3.91 ms,366 ms
2025-09-03 11:41:17,3.98 ms,373 ms
2025-09-03 11:41:18,4.05 ms,402 ms
2025-09-03 11:41:19,4.12 ms,410 ms
2025-09-03 11:41:20,4.19 ms,417 ms
2025-09-03 11:41:21,4.18 ms,424 ms
2025-09-03 11:41:22,4.18 ms,432 ms
2025-09-03 11:41:23,4.18 ms,439 ms
2025-09-03 11:41:24,3.45 ms,399 ms
2025-09-03 11:41:25,3.45 ms,399 ms
2025-09-03 11:41:26,3.45 ms,399 ms
2025-09-03 11:41:27,3.45 ms,399 ms
2025-09-03 11:41:28,3.45 ms,399 ms
2025-09-03 11:41:29,3.45 ms,424 ms
2025-09-03 11:41:30,3.45 ms,424 ms
2025-09-03 11:41:31,3.45 ms,424 ms
2025-09-03 11:41:32,3.58 ms,424 ms
2025-09-03 11:41:33,3.58 ms,424 ms
2025-09-03 11:41:34,3.58 ms,424 ms
2025-09-03 11:41:35,3.58 ms,424 ms
2025-09-03 11:41:36,3.58 ms,424 ms
2025-09-03 11:41:37,3.58 ms,431 ms
2025-09-03 11:41:38,3.62 ms,431 ms
2025-09-03 11:41:39,3.62 ms,431 ms
2025-09-03 11:41:40,3.62 ms,431 ms
2025-09-03 11:41:41,3.62 ms,431 ms
2025-09-03 11:41:42,3.62 ms,431 ms
2025-09-03 11:41:43,3.62 ms,376 ms
2025-09-03 11:41:44,3.66 ms,451 ms
2025-09-03 11:41:45,3.66 ms,451 ms
2025-09-03 11:41:46,3.66 ms,451 ms
2025-09-03 11:41:47,3.66 ms,451 ms
2025-09-03 11:41:48,3.66 ms,451 ms
2025-09-03 11:41:49,3.66 ms,451 ms
2025-09-03 11:41:50,3.66 ms,451 ms
2025-09-03 11:41:51,3.66 ms,510 ms
2025-09-03 11:41:52,3.66 ms,510 ms
2025-09-03 11:41:53,3.28 ms,510 ms
2025-09-03 11:41:54,3.34 ms,510 ms
2025-09-03 11:41:55,3.41 ms,510 ms
2025-09-03 11:41:56,3.48 ms,510 ms
2025-09-03 11:41:57,3.49 ms,510 ms
2025-09-03 11:41:58,3.42 ms,510 ms
2025-09-03 11:41:59,3.36 ms,521 ms
2025-09-03 11:42:00,3.29 ms,521 ms
2025-09-03 11:42:01,3.22 ms,521 ms
2025-09-03 11:42:02,3.16 ms,521 ms
2025-09-03 11:42:03,3.88 ms,521 ms
2025-09-03 11:42:04,3.88 ms,524 ms
2025-09-03 11:42:05,3.88 ms,524 ms
2025-09-03 11:42:06,3.88 ms,524 ms
2025-09-03 11:42:07,3.88 ms,524 ms
2025-09-03 11:42:08,3.88 ms,524 ms
2025-09-03 11:42:09,3.88 ms,524 ms
2025-09-03 11:42:10,3.84 ms,524 ms
2025-09-03 11:42:11,3.84 ms,524 ms
2025-09-03 11:42:12,3.84 ms,524 ms
2025-09-03 11:42:13,3.84 ms,524 ms
2025-09-03 11:42:14,3.84 ms,524 ms
2025-09-03 11:42:15,3.84 ms,444 ms
2025-09-03 11:42:16,3.84 ms,455 ms
2025-09-03 11:42:17,3.84 ms,455 ms
2025-09-03 11:42:18,3.84 ms,441 ms
2025-09-03 11:42:19,3.25 ms,441 ms
2025-09-03 11:42:20,3.19 ms,441 ms
2025-09-03 11:42:21,3.09 ms,441 ms
2025-09-03 11:42:22,2.80 ms,441 ms
2025-09-03 11:42:23,2.80 ms,441 ms
2025-09-03 11:42:24,2.80 ms,441 ms
2025-09-03 11:42:25,2.80 ms,441 ms
2025-09-03 11:42:26,2.80 ms,441 ms
2025-09-03 11:42:27,2.80 ms,441 ms
2025-09-03 11:42:28,2.80 ms,354 ms
2025-09-03 11:42:29,2.80 ms,303 ms
2025-09-03 11:42:30,2.80 ms,303 ms
2025-09-03 11:42:31,2.80 ms,303 ms
2025-09-03 11:42:32,2.48 ms,303 ms
2025-09-03 11:42:33,2.48 ms,303 ms
2025-09-03 11:42:34,2.48 ms,303 ms
2025-09-03 11:42:35,1.94 ms,303 ms
2025-09-03 11:42:36,1.94 ms,303 ms
2025-09-03 11:42:37,1.94 ms,303 ms
2025-09-03 11:42:38,1.94 ms,303 ms
2025-09-03 11:42:39,1.94 ms,303 ms
2025-09-03 11:42:40,1.94 ms,303 ms
2025-09-03 11:42:41,1.94 ms,303 ms
2025-09-03 11:42:42,1.94 ms,303 ms
2025-09-03 11:42:43,1.94 ms,303 ms
2025-09-03 11:42:44,724 µs,144 ms
2025-09-03 11:42:45,615 µs,142 ms
2025-09-03 11:42:46,627 µs,139 ms
2025-09-03 11:42:47,640 µs,136 ms
2025-09-03 11:42:48,750 µs,101 ms
2025-09-03 11:42:49,750 µs,101 ms
2025-09-03 11:42:50,750 µs,101 ms
2025-09-03 11:42:51,750 µs,101 ms
2025-09-03 11:42:52,750 µs,101 ms
2025-09-03 11:42:53,750 µs,101 ms
2025-09-03 11:42:54,750 µs,101 ms
2025-09-03 11:42:55,750 µs,101 ms
2025-09-03 11:42:56,750 µs,101 ms
2025-09-03 11:42:57,750 µs,101 ms
2025-09-03 11:42:58,750 µs,101 ms
2025-09-03 11:42:59,750 µs,485 µs
2025-09-03 11:43:00,645 µs,485 µs
2025-09-03 11:43:01,633 µs,485 µs
2025-09-03 11:43:02,634 µs,485 µs
2025-09-03 11:43:03,279 µs,485 µs
2025-09-03 11:43:04,285 µs,485 µs
2025-09-03 11:43:05,291 µs,407 µs
2025-09-03 11:43:06,296 µs,399 µs
2025-09-03 11:43:07,349 µs,466 µs
