"Time","GPU 0","GPU 0"
2025-09-03 11:38:55,,0%
2025-09-03 11:38:56,,0%
2025-09-03 11:38:57,,0%
2025-09-03 11:38:58,,0%
2025-09-03 11:38:59,,0%
2025-09-03 11:39:00,,0%
2025-09-03 11:39:01,,0%
2025-09-03 11:39:02,,0%
2025-09-03 11:39:03,,0%
2025-09-03 11:39:04,,0%
2025-09-03 11:39:05,,0%
2025-09-03 11:39:06,,0%
2025-09-03 11:39:07,,0%
2025-09-03 11:39:08,,0%
2025-09-03 11:39:09,,0%
2025-09-03 11:39:10,,0%
2025-09-03 11:39:11,,0%
2025-09-03 11:39:12,,0%
2025-09-03 11:39:13,,0%
2025-09-03 11:39:14,,0%
2025-09-03 11:39:15,,0%
2025-09-03 11:39:16,,0%
2025-09-03 11:39:17,,0%
2025-09-03 11:39:18,,0%
2025-09-03 11:39:19,,0%
2025-09-03 11:39:20,,0%
2025-09-03 11:39:21,,0%
2025-09-03 11:39:22,,0%
2025-09-03 11:39:23,,0%
2025-09-03 11:39:24,,0%
2025-09-03 11:39:25,,0%
2025-09-03 11:39:26,,0%
2025-09-03 11:39:27,,0%
2025-09-03 11:39:28,,0%
2025-09-03 11:39:29,,0%
2025-09-03 11:39:30,,0%
2025-09-03 11:39:31,,0%
2025-09-03 11:39:32,,0%
2025-09-03 11:39:33,,0%
2025-09-03 11:39:34,,0%
2025-09-03 11:39:35,,0%
2025-09-03 11:39:36,,0%
2025-09-03 11:39:37,,0%
2025-09-03 11:39:38,,0%
2025-09-03 11:39:39,,0%
2025-09-03 11:39:40,,0%
2025-09-03 11:39:41,,0%
2025-09-03 11:39:42,,0%
2025-09-03 11:39:43,,0%
2025-09-03 11:39:44,,0%
2025-09-03 11:39:45,,0%
2025-09-03 11:39:46,,0%
2025-09-03 11:39:47,,0%
2025-09-03 11:39:48,,0%
2025-09-03 11:39:49,,0%
2025-09-03 11:39:50,,0%
2025-09-03 11:39:51,,0%
2025-09-03 11:39:52,,0%
2025-09-03 11:39:53,,0%
2025-09-03 11:39:54,,0%
2025-09-03 11:39:55,,0%
2025-09-03 11:39:56,,0%
2025-09-03 11:39:57,,0%
2025-09-03 11:39:58,,0%
2025-09-03 11:39:59,,0%
2025-09-03 11:40:00,,0%
2025-09-03 11:40:01,,0%
2025-09-03 11:40:02,,0%
2025-09-03 11:40:03,,0%
2025-09-03 11:40:04,,0%
2025-09-03 11:40:05,,0%
2025-09-03 11:40:06,,0%
2025-09-03 11:40:07,,0%
2025-09-03 11:40:08,,0%
2025-09-03 11:40:09,,0%
2025-09-03 11:40:10,,0%
2025-09-03 11:40:11,,0%
2025-09-03 11:40:12,,0%
2025-09-03 11:40:13,,0%
2025-09-03 11:40:14,,0%
2025-09-03 11:40:15,,0%
2025-09-03 11:40:16,,0%
2025-09-03 11:40:17,,0%
2025-09-03 11:40:18,,0%
2025-09-03 11:40:19,,0%
2025-09-03 11:40:20,,0%
2025-09-03 11:40:21,,0%
2025-09-03 11:40:22,,0%
