"Time","queue-proxy","user-container"
2025-09-03 11:27:03,2.05 ms,
2025-09-03 11:27:04,2.17 ms,
2025-09-03 11:27:05,2.28 ms,
2025-09-03 11:27:06,2.40 ms,
2025-09-03 11:27:07,2.52 ms,188 ms
2025-09-03 11:27:08,2.63 ms,197 ms
2025-09-03 11:27:09,2.75 ms,207 ms
2025-09-03 11:27:10,2.86 ms,217 ms
2025-09-03 11:27:11,2.98 ms,227 ms
2025-09-03 11:27:12,3.10 ms,237 ms
2025-09-03 11:27:13,3.21 ms,247 ms
2025-09-03 11:27:14,3.33 ms,257 ms
2025-09-03 11:27:15,3.44 ms,267 ms
2025-09-03 11:27:16,2.90 ms,276 ms
2025-09-03 11:27:17,2.99 ms,286 ms
2025-09-03 11:27:18,3.08 ms,296 ms
2025-09-03 11:27:19,3.17 ms,306 ms
2025-09-03 11:27:20,3.27 ms,316 ms
2025-09-03 11:27:21,3.36 ms,326 ms
2025-09-03 11:27:22,3.45 ms,336 ms
2025-09-03 11:27:23,3.54 ms,346 ms
2025-09-03 11:27:24,3.64 ms,356 ms
2025-09-03 11:27:25,3.73 ms,365 ms
2025-09-03 11:27:26,3.22 ms,277 ms
2025-09-03 11:27:27,3.30 ms,284 ms
2025-09-03 11:27:28,3.37 ms,292 ms
2025-09-03 11:27:29,3.45 ms,299 ms
2025-09-03 11:27:30,3.53 ms,306 ms
2025-09-03 11:27:31,3.60 ms,313 ms
2025-09-03 11:27:32,3.68 ms,321 ms
2025-09-03 11:27:33,3.76 ms,328 ms
2025-09-03 11:27:34,3.83 ms,335 ms
2025-09-03 11:27:35,3.91 ms,343 ms
2025-09-03 11:27:36,3.99 ms,350 ms
2025-09-03 11:27:37,4.06 ms,357 ms
2025-09-03 11:27:38,4.14 ms,364 ms
2025-09-03 11:27:39,4.22 ms,372 ms
2025-09-03 11:27:40,3.69 ms,379 ms
2025-09-03 11:27:41,4.20 ms,386 ms
2025-09-03 11:27:42,4.27 ms,394 ms
2025-09-03 11:27:43,4.34 ms,401 ms
2025-09-03 11:27:44,4.40 ms,408 ms
2025-09-03 11:27:45,4.40 ms,433 ms
2025-09-03 11:27:46,4.40 ms,441 ms
2025-09-03 11:27:47,4.40 ms,449 ms
2025-09-03 11:27:48,4.40 ms,456 ms
2025-09-03 11:27:49,3.42 ms,392 ms
2025-09-03 11:27:50,3.42 ms,392 ms
2025-09-03 11:27:51,3.42 ms,392 ms
2025-09-03 11:27:52,3.45 ms,392 ms
2025-09-03 11:27:53,3.45 ms,392 ms
2025-09-03 11:27:54,3.45 ms,392 ms
2025-09-03 11:27:55,3.45 ms,392 ms
2025-09-03 11:27:56,3.45 ms,392 ms
2025-09-03 11:27:57,3.45 ms,392 ms
2025-09-03 11:27:58,3.45 ms,392 ms
2025-09-03 11:27:59,3.45 ms,392 ms
2025-09-03 11:28:00,3.45 ms,392 ms
2025-09-03 11:28:01,3.45 ms,431 ms
2025-09-03 11:28:02,3.45 ms,431 ms
2025-09-03 11:28:03,3.33 ms,431 ms
2025-09-03 11:28:04,3.33 ms,431 ms
2025-09-03 11:28:05,3.33 ms,431 ms
2025-09-03 11:28:06,3.33 ms,431 ms
2025-09-03 11:28:07,3.33 ms,508 ms
2025-09-03 11:28:08,3.33 ms,508 ms
2025-09-03 11:28:09,3.33 ms,508 ms
2025-09-03 11:28:10,3.33 ms,508 ms
2025-09-03 11:28:11,3.33 ms,508 ms
2025-09-03 11:28:12,3.33 ms,508 ms
2025-09-03 11:28:13,3.33 ms,508 ms
2025-09-03 11:28:14,3.42 ms,508 ms
2025-09-03 11:28:15,3.42 ms,508 ms
2025-09-03 11:28:16,3.71 ms,508 ms
2025-09-03 11:28:17,3.71 ms,498 ms
2025-09-03 11:28:18,3.71 ms,498 ms
2025-09-03 11:28:19,3.71 ms,498 ms
2025-09-03 11:28:20,3.71 ms,498 ms
2025-09-03 11:28:21,3.71 ms,498 ms
2025-09-03 11:28:22,3.71 ms,498 ms
2025-09-03 11:28:23,3.71 ms,498 ms
2025-09-03 11:28:24,3.71 ms,498 ms
2025-09-03 11:28:25,3.71 ms,498 ms
2025-09-03 11:28:26,3.07 ms,412 ms
2025-09-03 11:28:27,2.67 ms,421 ms
2025-09-03 11:28:28,2.67 ms,502 ms
2025-09-03 11:28:29,3.05 ms,502 ms
2025-09-03 11:28:30,2.98 ms,502 ms
2025-09-03 11:28:31,2.92 ms,502 ms
