"Time","queue-proxy","user-container"
2025-09-03 11:32:46,176 µs,86.8 µs
2025-09-03 11:32:47,172 µs,70.8 µs
2025-09-03 11:32:48,168 µs,69.3 µs
2025-09-03 11:32:49,164 µs,67.9 µs
2025-09-03 11:32:50,160 µs,66.4 µs
2025-09-03 11:32:51,156 µs,65.0 µs
2025-09-03 11:32:52,152 µs,63.5 µs
2025-09-03 11:32:53,148 µs,41.8 µs
2025-09-03 11:32:54,144 µs,40.9 µs
2025-09-03 11:32:55,140 µs,39.9 µs
2025-09-03 11:32:56,135 µs,38.9 µs
2025-09-03 11:32:57,70.1 µs,37.9 µs
2025-09-03 11:32:58,68.0 µs,36.9 µs
2025-09-03 11:32:59,66.0 µs,36.0 µs
2025-09-03 11:33:00,63.9 µs,35.0 µs
2025-09-03 11:33:01,1.39 ms,115 ms
2025-09-03 11:33:02,1.47 ms,124 ms
2025-09-03 11:33:03,1.55 ms,132 ms
2025-09-03 11:33:04,1.63 ms,141 ms
2025-09-03 11:33:05,1.71 ms,150 ms
2025-09-03 11:33:06,1.80 ms,158 ms
2025-09-03 11:33:07,1.88 ms,167 ms
2025-09-03 11:33:08,1.91 ms,175 ms
2025-09-03 11:33:09,2.00 ms,184 ms
2025-09-03 11:33:10,2.08 ms,193 ms
2025-09-03 11:33:11,2.16 ms,201 ms
2025-09-03 11:33:12,2.25 ms,210 ms
2025-09-03 11:33:13,2.33 ms,546 ms
2025-09-03 11:33:14,2.10 ms,567 ms
2025-09-03 11:33:15,2.17 ms,589 ms
2025-09-03 11:33:16,2.25 ms,610 ms
2025-09-03 11:33:17,2.32 ms,632 ms
2025-09-03 11:33:18,2.39 ms,653 ms
2025-09-03 11:33:19,2.46 ms,675 ms
2025-09-03 11:33:20,2.53 ms,696 ms
2025-09-03 11:33:21,2.61 ms,718 ms
2025-09-03 11:33:22,2.68 ms,739 ms
2025-09-03 11:33:23,2.75 ms,761 ms
2025-09-03 11:33:24,2.82 ms,782 ms
2025-09-03 11:33:25,2.89 ms,803 ms
2025-09-03 11:33:26,2.97 ms,825 ms
2025-09-03 11:33:27,3.04 ms,674 ms
2025-09-03 11:33:28,2.52 ms,674 ms
2025-09-03 11:33:29,2.52 ms,674 ms
2025-09-03 11:33:30,2.52 ms,674 ms
2025-09-03 11:33:31,2.52 ms,2.31 s
2025-09-03 11:33:32,2.52 ms,2.36 s
2025-09-03 11:33:33,2.32 ms,2.41 s
2025-09-03 11:33:34,2.37 ms,2.47 s
2025-09-03 11:33:35,2.41 ms,2.52 s
2025-09-03 11:33:36,2.46 ms,2.57 s
2025-09-03 11:33:37,2.51 ms,2.63 s
2025-09-03 11:33:38,2.55 ms,2.68 s
2025-09-03 11:33:39,2.60 ms,2.73 s
2025-09-03 11:33:40,2.65 ms,2.78 s
2025-09-03 11:33:41,2.69 ms,2.84 s
2025-09-03 11:33:42,2.74 ms,2.89 s
2025-09-03 11:33:43,2.79 ms,2.94 s
2025-09-03 11:33:44,2.80 ms,3.58 s
2025-09-03 11:33:45,2.80 ms,3.65 s
2025-09-03 11:33:46,2.80 ms,3.71 s
2025-09-03 11:33:47,2.80 ms,3.78 s
2025-09-03 11:33:48,1.87 ms,3.91 s
2025-09-03 11:33:49,1.87 ms,3.99 s
2025-09-03 11:33:50,1.56 ms,4.07 s
2025-09-03 11:33:51,1.47 ms,4.15 s
2025-09-03 11:33:52,1.47 ms,4.22 s
2025-09-03 11:33:53,1.47 ms,4.30 s
2025-09-03 11:33:54,1.47 ms,4.38 s
2025-09-03 11:33:55,1.47 ms,4.64 s
2025-09-03 11:33:56,1.47 ms,4.72 s
2025-09-03 11:33:57,1.47 ms,4.80 s
2025-09-03 11:33:58,1.47 ms,4.89 s
2025-09-03 11:33:59,1.47 ms,4.95 s
2025-09-03 11:34:00,1.47 ms,4.95 s
2025-09-03 11:34:01,759 µs,5.23 s
2025-09-03 11:34:02,759 µs,5.33 s
2025-09-03 11:34:03,759 µs,5.43 s
2025-09-03 11:34:04,759 µs,5.53 s
2025-09-03 11:34:05,759 µs,5.62 s
2025-09-03 11:34:06,759 µs,5.72 s
2025-09-03 11:34:07,776 µs,5.82 s
2025-09-03 11:34:08,776 µs,5.83 s
2025-09-03 11:34:09,776 µs,5.83 s
2025-09-03 11:34:10,776 µs,4.98 s
2025-09-03 11:34:11,776 µs,4.88 s
2025-09-03 11:34:12,776 µs,4.78 s
2025-09-03 11:34:13,776 µs,4.80 s
2025-09-03 11:34:14,804 µs,4.90 s
2025-09-03 11:34:15,804 µs,5.00 s
2025-09-03 11:34:16,804 µs,5.87 s
2025-09-03 11:34:17,804 µs,5.87 s
2025-09-03 11:34:18,878 µs,5.87 s
2025-09-03 11:34:19,878 µs,5.87 s
2025-09-03 11:34:20,878 µs,5.87 s
2025-09-03 11:34:21,878 µs,5.87 s
2025-09-03 11:34:22,878 µs,5.87 s
2025-09-03 11:34:23,878 µs,5.87 s
2025-09-03 11:34:24,878 µs,5.87 s
2025-09-03 11:34:25,878 µs,5.87 s
2025-09-03 11:34:26,878 µs,5.87 s
2025-09-03 11:34:27,878 µs,5.87 s
2025-09-03 11:34:28,878 µs,5.83 s
2025-09-03 11:34:29,878 µs,5.83 s
2025-09-03 11:34:30,878 µs,5.83 s
2025-09-03 11:34:31,878 µs,5.79 s
2025-09-03 11:34:32,878 µs,5.79 s
2025-09-03 11:34:33,637 µs,5.79 s
2025-09-03 11:34:34,637 µs,5.79 s
2025-09-03 11:34:35,637 µs,5.79 s
2025-09-03 11:34:36,759 µs,5.79 s
2025-09-03 11:34:37,861 µs,5.79 s
2025-09-03 11:34:38,861 µs,5.79 s
2025-09-03 11:34:39,861 µs,5.79 s
2025-09-03 11:34:40,861 µs,5.79 s
2025-09-03 11:34:41,861 µs,5.79 s
2025-09-03 11:34:42,861 µs,5.69 s
2025-09-03 11:34:43,861 µs,5.69 s
2025-09-03 11:34:44,861 µs,5.68 s
2025-09-03 11:34:45,861 µs,5.68 s
2025-09-03 11:34:46,861 µs,5.68 s
2025-09-03 11:34:47,861 µs,5.68 s
2025-09-03 11:34:48,861 µs,5.68 s
2025-09-03 11:34:49,861 µs,5.68 s
2025-09-03 11:34:50,861 µs,5.68 s
2025-09-03 11:34:51,885 µs,5.68 s
2025-09-03 11:34:52,885 µs,5.68 s
2025-09-03 11:34:53,749 µs,5.68 s
2025-09-03 11:34:54,734 µs,5.68 s
2025-09-03 11:34:55,719 µs,4.53 s
2025-09-03 11:34:56,805 µs,4.62 s
2025-09-03 11:34:57,805 µs,5.56 s
2025-09-03 11:34:58,805 µs,5.56 s
2025-09-03 11:34:59,805 µs,5.56 s
2025-09-03 11:35:00,805 µs,5.56 s
2025-09-03 11:35:01,805 µs,5.56 s
2025-09-03 11:35:02,805 µs,5.56 s
2025-09-03 11:35:03,805 µs,5.56 s
2025-09-03 11:35:04,805 µs,5.56 s
2025-09-03 11:35:05,805 µs,5.56 s
2025-09-03 11:35:06,805 µs,5.56 s
2025-09-03 11:35:07,714 µs,5.56 s
2025-09-03 11:35:08,714 µs,5.56 s
2025-09-03 11:35:09,622 µs,5.56 s
2025-09-03 11:35:10,622 µs,4.41 s
2025-09-03 11:35:11,622 µs,4.41 s
2025-09-03 11:35:12,622 µs,4.41 s
2025-09-03 11:35:13,622 µs,3.97 s
2025-09-03 11:35:14,622 µs,3.97 s
2025-09-03 11:35:15,622 µs,3.97 s
2025-09-03 11:35:16,622 µs,3.97 s
2025-09-03 11:35:17,622 µs,3.97 s
2025-09-03 11:35:18,455 µs,3.97 s
2025-09-03 11:35:19,549 µs,3.97 s
2025-09-03 11:35:20,549 µs,3.97 s
2025-09-03 11:35:21,549 µs,3.97 s
2025-09-03 11:35:22,549 µs,3.97 s
2025-09-03 11:35:23,549 µs,3.97 s
2025-09-03 11:35:24,549 µs,3.97 s
2025-09-03 11:35:25,474 µs,3.40 s
2025-09-03 11:35:26,474 µs,3.34 s
2025-09-03 11:35:27,474 µs,3.27 s
2025-09-03 11:35:28,474 µs,2.66 s
2025-09-03 11:35:29,474 µs,1.96 s
2025-09-03 11:35:30,474 µs,1.96 s
2025-09-03 11:35:31,474 µs,1.96 s
2025-09-03 11:35:32,474 µs,1.96 s
2025-09-03 11:35:33,474 µs,1.96 s
2025-09-03 11:35:34,474 µs,1.96 s
2025-09-03 11:35:35,474 µs,1.96 s
2025-09-03 11:35:36,474 µs,1.96 s
2025-09-03 11:35:37,281 µs,1.96 s
2025-09-03 11:35:38,286 µs,1.96 s
2025-09-03 11:35:39,292 µs,1.96 s
2025-09-03 11:35:40,293 µs,1.96 s
2025-09-03 11:35:41,287 µs,1.96 s
2025-09-03 11:35:42,338 µs,117 ms
2025-09-03 11:35:43,338 µs,117 ms
2025-09-03 11:35:44,338 µs,117 ms
2025-09-03 11:35:45,338 µs,117 ms
2025-09-03 11:35:46,338 µs,117 ms
2025-09-03 11:35:47,338 µs,117 ms
