"Time","GPU 0","GPU 0"
2025-09-03 11:51:55,,0%
2025-09-03 11:51:56,,0%
2025-09-03 11:51:57,,0%
2025-09-03 11:51:58,,0%
2025-09-03 11:51:59,,0%
2025-09-03 11:52:00,,0%
2025-09-03 11:52:01,,0%
2025-09-03 11:52:02,,0%
2025-09-03 11:52:03,,0%
2025-09-03 11:52:04,,0%
2025-09-03 11:52:05,,0%
2025-09-03 11:52:06,,0%
2025-09-03 11:52:07,,0%
2025-09-03 11:52:08,,0%
2025-09-03 11:52:09,,0%
2025-09-03 11:52:10,,0%
2025-09-03 11:52:11,,0%
2025-09-03 11:52:12,,0%
2025-09-03 11:52:13,,0%
2025-09-03 11:52:14,,0%
2025-09-03 11:52:15,,0%
2025-09-03 11:52:16,,0%
2025-09-03 11:52:17,,0%
2025-09-03 11:52:18,,0%
2025-09-03 11:52:19,,0%
2025-09-03 11:52:20,,0%
2025-09-03 11:52:21,,0%
2025-09-03 11:52:22,,0%
2025-09-03 11:52:23,,0%
2025-09-03 11:52:24,,0%
2025-09-03 11:52:25,,0%
2025-09-03 11:52:26,,0%
2025-09-03 11:52:27,,0%
2025-09-03 11:52:28,,0%
2025-09-03 11:52:29,,0%
2025-09-03 11:52:30,,0%
2025-09-03 11:52:31,,0%
2025-09-03 11:52:32,,0%
2025-09-03 11:52:33,,0%
2025-09-03 11:52:34,,0%
2025-09-03 11:52:35,,0%
2025-09-03 11:52:36,,0%
2025-09-03 11:52:37,,0%
2025-09-03 11:52:38,,0%
2025-09-03 11:52:39,,0%
2025-09-03 11:52:40,,0%
2025-09-03 11:52:41,,0%
2025-09-03 11:52:42,,0%
2025-09-03 11:52:43,,0%
2025-09-03 11:52:44,,0%
2025-09-03 11:52:45,,0%
2025-09-03 11:52:46,,0%
2025-09-03 11:52:47,,0%
2025-09-03 11:52:48,,0%
2025-09-03 11:52:49,,0%
2025-09-03 11:52:50,,0%
2025-09-03 11:52:51,,0%
2025-09-03 11:52:52,,0%
2025-09-03 11:52:53,,0%
2025-09-03 11:52:54,,0%
2025-09-03 11:52:55,,0%
2025-09-03 11:52:56,,0%
2025-09-03 11:52:57,,0%
2025-09-03 11:52:58,,0%
2025-09-03 11:52:59,,0%
2025-09-03 11:53:00,,0%
2025-09-03 11:53:01,,0%
2025-09-03 11:53:02,,0%
2025-09-03 11:53:03,,0%
2025-09-03 11:53:04,,0%
2025-09-03 11:53:05,,0%
2025-09-03 11:53:06,,0%
2025-09-03 11:53:07,,0%
2025-09-03 11:53:08,,0%
2025-09-03 11:53:09,,0%
2025-09-03 11:53:10,,0%
2025-09-03 11:53:11,,0%
2025-09-03 11:53:12,,0%
2025-09-03 11:53:13,,0%
2025-09-03 11:53:14,,0%
2025-09-03 11:53:15,,0%
2025-09-03 11:53:16,,0%
2025-09-03 11:53:17,,0%
2025-09-03 11:53:18,,0%
2025-09-03 11:53:19,,0%
2025-09-03 11:53:20,,0%
2025-09-03 11:53:21,,0%
2025-09-03 11:53:22,,0%
2025-09-03 11:53:23,,0%
2025-09-03 11:53:24,,0%
2025-09-03 11:53:25,,0%
2025-09-03 11:53:26,,0%
2025-09-03 11:53:27,,0%
2025-09-03 11:53:28,,0%
2025-09-03 11:53:29,,0%
2025-09-03 11:53:30,,0%
2025-09-03 11:53:31,,0%
2025-09-03 11:53:32,,0%
2025-09-03 11:53:33,,0%
2025-09-03 11:53:34,,0%
2025-09-03 11:53:35,0%,
2025-09-03 11:53:36,0%,
2025-09-03 11:53:37,0%,
2025-09-03 11:53:38,0%,
2025-09-03 11:53:39,0%,
2025-09-03 11:53:40,0%,
2025-09-03 11:53:41,0%,
2025-09-03 11:53:42,0%,
2025-09-03 11:53:43,0%,
2025-09-03 11:53:44,0%,
2025-09-03 11:53:45,0%,
2025-09-03 11:53:46,0%,
2025-09-03 11:53:47,0%,
2025-09-03 11:53:48,0%,
2025-09-03 11:53:49,0%,
2025-09-03 11:53:50,0%,
2025-09-03 11:53:51,0%,
2025-09-03 11:53:52,0%,
2025-09-03 11:53:53,0%,
2025-09-03 11:53:54,0%,
2025-09-03 11:53:55,0%,
2025-09-03 11:53:56,0%,
2025-09-03 11:53:57,0%,
2025-09-03 11:53:58,0%,
2025-09-03 11:53:59,0%,
2025-09-03 11:54:00,0%,
2025-09-03 11:54:01,0%,
2025-09-03 11:54:02,0%,
2025-09-03 11:54:03,0%,
2025-09-03 11:54:04,0%,
2025-09-03 11:54:05,0%,
2025-09-03 11:54:06,0%,
2025-09-03 11:54:07,0%,
2025-09-03 11:54:08,0%,
2025-09-03 11:54:09,0%,
2025-09-03 11:54:10,49%,
2025-09-03 11:54:11,45%,
2025-09-03 11:54:12,23%,
