,response_time_ms
0,25034.547328948975
1,1215.5179977416992
2,1226.754665374756
3,1228.2087802886963
4,1547.8787422180176
5,2586.708068847656
6,1340.129852294922
7,1649.1141319274902
8,1206.8042755126953
9,1217.6358699798584
10,1197.7989673614502
11,1213.202953338623
12,1287.266969680786
13,1193.997144699097
14,1200.1948356628418
15,1248.711347579956
16,1216.1850929260254
17,1517.0588493347168
18,1268.990993499756
19,1218.736171722412
20,1216.994047164917
21,1226.2530326843262
22,1353.8470268249512
23,2601.9558906555176
24,1220.5898761749268
25,1229.9590110778809
26,1703.855037689209
27,1272.2208499908447
28,1279.5851230621338
29,2668.998956680298
30,1214.5228385925293
31,1220.2367782592771
32,1199.7888088226318
33,2605.069160461426
34,1345.4101085662842
35,1491.579294204712
36,1264.7600173950195
37,1355.1087379455566
38,1301.0540008544922
39,1496.7219829559326
40,1355.2618026733398
41,1232.7382564544678
42,1243.707895278931
43,1330.955982208252
44,2606.7850589752197
45,1432.3480129241943
46,1380.2590370178225
47,1331.0120105743408
48,1442.251205444336
49,1442.568063735962
50,1645.8990573883057
51,1551.61714553833
52,1574.7861862182615
53,1442.5301551818848
54,1384.7510814666748
55,1463.5889530181885
56,1443.9239501953125
57,1405.0369262695312
58,1748.832941055298
59,1323.2390880584717
60,2434.453010559082
61,1292.4528121948242
62,1218.1830406188965
63,1237.705945968628
64,1215.6519889831543
65,1241.5311336517334
66,1739.7360801696775
67,485.9631061553955
68,139.8611068725586
69,137.12716102600098
70,220.40987014770508
71,138.52715492248535
72,155.72834014892578
73,142.1339511871338
74,201.53117179870603
75,143.48602294921875
76,143.53680610656738
77,216.63689613342285
78,132.66372680664062
79,172.88899421691897
80,215.75570106506348
81,139.3599510192871
82,135.9391212463379
83,136.71612739562988
84,269.791841506958
85,145.6921100616455
86,156.27431869506836
87,149.17778968811035
88,151.46493911743164
89,137.77875900268555
90,137.07995414733887
91,135.53094863891602
92,239.4278049468994
93,132.28702545166016
94,156.74495697021484
95,139.2519474029541
96,166.27907752990723
97,135.68997383117676
98,159.99484062194824
99,154.48307991027832
100,135.91480255126953
101,135.62965393066406
102,138.17191123962402
103,139.0693187713623
104,138.41700553894043
105,149.3511199951172
106,149.22308921813965
107,140.0609016418457
108,139.62984085083008
109,143.36204528808594
110,139.23978805541992
111,147.11809158325195
112,145.07007598876953
113,145.8451747894287
114,134.7658634185791
115,153.1829833984375
116,138.78607749938965
117,155.02309799194336
118,184.71813201904297
119,178.85494232177734
120,135.06102561950684
121,139.45865631103516
122,150.0680446624756
123,213.17100524902344
124,136.9950771331787
125,137.91990280151367
126,140.99812507629397
127,204.4308185577393
128,217.01717376708984
129,138.83376121520996
130,152.18615531921387
131,133.3010196685791
132,159.6212387084961
133,137.8629207611084
134,131.9878101348877
135,145.6320285797119
136,144.54984664916992
137,136.1980438232422
138,131.6080093383789
139,135.0691318511963
140,132.83610343933103
141,139.9078369140625
142,141.17932319641113
143,145.91002464294434
144,137.92085647583008
145,476.8979549407959
146,130.25474548339844
147,134.46593284606934
148,139.04500007629397
149,140.6729221343994
150,155.23314476013184
151,134.3708038330078
152,135.02001762390137
153,133.1791877746582
154,140.85698127746582
155,141.28684997558594
156,138.17095756530762
157,136.49821281433103
158,477.97584533691406
159,198.06599617004397
160,140.5959129333496
161,153.80287170410156
162,155.1492214202881
163,158.86378288269043
164,136.49988174438477
165,145.55716514587402
166,178.1759262084961
167,135.4880332946777
168,134.5369815826416
169,160.9799861907959
170,154.24704551696777
171,150.37107467651367
172,138.55886459350586
173,138.18907737731934
174,172.55091667175293
175,192.3189163208008
176,134.1381072998047
177,147.32813835144043
178,226.5808582305908
179,139.21213150024414
180,180.25708198547363
181,192.80695915222168
182,190.30308723449707
183,150.67291259765625
184,139.52088356018066
185,146.2991237640381
186,151.06582641601562
187,152.8470516204834
188,137.77709007263184
189,161.87739372253418
190,142.32492446899414
191,198.35591316223145
192,147.42493629455566
193,176.65886878967285
194,137.40897178649902
195,193.253755569458
196,141.44611358642578
197,197.22485542297363
198,139.80603218078613
199,172.9531288146973
200,140.98310470581055
201,160.23588180541992
202,138.57698440551758
203,138.8649940490723
204,143.0342197418213
205,175.40597915649414
206,194.3681240081787
207,132.3378086090088
208,136.63101196289062
209,135.5886459350586
210,143.49818229675293
211,156.41069412231445
212,138.2579803466797
213,138.90504837036133
214,136.368989944458
215,150.8889198303223
216,135.86997985839844
217,197.11995124816897
218,139.08696174621582
219,165.787935256958
220,136.50894165039062
221,134.5229148864746
222,133.10623168945312
223,156.3248634338379
224,160.20989418029785
225,253.74913215637207
226,161.62514686584473
227,136.59381866455078
228,256.98399543762207
229,138.8528347015381
230,138.98515701293945
231,172.76597023010254
232,136.45124435424805
233,139.53089714050293
234,133.98194313049316
235,172.8839874267578
236,148.8208770751953
237,199.3081569671631
238,450.3350257873535
239,179.05521392822266
240,179.15105819702148
241,137.78114318847656
242,163.96784782409668
243,164.55769538879397
244,203.3846378326416
245,176.3918399810791
246,182.45291709899905
247,892.4920558929443
248,139.9691104888916
249,144.33789253234863
250,196.24805450439453
251,138.0460262298584
252,142.51708984375
253,289.0191078186035
254,158.48088264465332
255,189.8598670959473
256,154.3581485748291
257,137.9871368408203
258,244.99106407165527
259,137.70604133605957
260,386.1441612243652
261,144.9379920959473
262,159.54208374023438
263,190.46306610107425
264,138.17811012268066
265,154.2060375213623
266,173.45404624938965
267,135.3931427001953
268,147.20821380615234
269,138.35787773132324
270,176.50103569030762
271,139.19782638549805
272,140.55824279785156
273,177.3080825805664
274,136.57593727111816
275,139.42503929138184
276,137.36581802368164
277,137.3887062072754
278,134.98497009277344
279,157.0839881896973
280,140.19083976745603
281,333.29105377197266
282,141.69597625732422
283,216.202974319458
284,141.9389247894287
285,176.77617073059082
286,136.6102695465088
287,150.25997161865234
288,151.68094635009766
289,144.74177360534668
290,220.75390815734863
291,136.45577430725098
292,175.78601837158203
293,176.0408878326416
294,134.91106033325195
295,225.94308853149417
296,136.55805587768555
297,146.38304710388184
298,151.71098709106445
299,135.5118751525879
300,153.8407802581787
301,140.40207862854004
302,312.7138614654541
303,138.9138698577881
304,139.50371742248535
305,138.35501670837402
306,142.9879665374756
307,346.5149402618408
308,186.34486198425293
309,201.5140056610107
310,163.5270118713379
311,136.32822036743164
312,142.11201667785645
313,160.1557731628418
314,182.12199211120603
315,136.38019561767578
316,139.5702362060547
317,139.36996459960938
318,179.89206314086914
319,146.57998085021973
320,134.48500633239746
321,178.9560317993164
322,136.8732452392578
323,138.06605339050293
324,136.83295249938965
325,179.55803871154785
326,153.42378616333008
327,182.3759078979492
328,139.30583000183103
329,220.96991539001465
330,135.7898712158203
331,151.55696868896484
332,138.54408264160156
333,146.80910110473633
334,134.9329948425293
335,141.1736011505127
336,139.0359401702881
337,137.12787628173828
338,140.0759220123291
339,141.00909233093262
340,302.95801162719727
341,134.71579551696777
342,141.6189670562744
343,135.91694831848145
344,194.4820880889893
345,139.27292823791504
346,188.95697593688965
347,141.9980525970459
348,176.94902420043945
349,142.25101470947266
350,606.2362194061279
351,134.95588302612305
352,135.19692420959473
353,151.94225311279297
354,137.0997428894043
355,162.2028350830078
356,190.2940273284912
357,157.79519081115723
358,131.78396224975586
359,157.8998565673828
360,232.81002044677737
361,136.98887825012207
