step,ram-cpu_queue-proxy,ram-cpu_user-container,ram-gpu_queue-proxy,ram-gpu_user-container,cpu-cpu_queue-proxy,cpu-cpu_user-container,cpu-gpu_queue-proxy,cpu-gpu_user-container,gpu_gpu_0
0,8.19 MB,10.2 GB,,,57.3 µs,33.7 µs,,,
1,8.19 MB,10.2 GB,,,55.6 µs,32.6 µs,,,
2,11.6 MB,10.2 GB,,,53.9 µs,31.5 µs,,,
3,11.6 MB,10.2 GB,,,52.3 µs,30.4 µs,,,
4,11.6 MB,10.2 GB,,,50.6 µs,29.3 µs,,,
5,11.6 MB,10.2 GB,,,48.9 µs,28.2 µs,,,
6,11.6 MB,10.2 GB,,,47.3 µs,27.1 µs,,,
7,11.6 MB,10.2 GB,,,45.6 µs,26.1 µs,,,
8,11.6 MB,10.2 GB,,,43.9 µs,25.0 µs,,,
9,11.6 MB,10.2 GB,,,,23.9 µs,,,
10,11.6 MB,10.2 GB,,,,22.8 µs,,,
11,11.6 MB,10.2 GB,,,,21.7 µs,,,
12,11.6 MB,10.2 GB,,,,,,,
13,11.6 MB,10.2 GB,,,,,,,
14,11.6 MB,10.2 GB,,,,,,,
15,11.6 MB,10.2 GB,,,,,,,
16,11.6 MB,10.2 GB,,,,,,,
17,11.6 MB,10.2 GB,,,,,,,
18,11.6 MB,14.0 GB,,,,136 ms,,,
19,11.6 MB,14.0 GB,,,,145 ms,,,
20,16.4 MB,14.0 GB,,,1.61 ms,153 ms,,,
21,16.4 MB,14.0 GB,,,1.69 ms,161 ms,,,
22,16.4 MB,14.0 GB,,,1.77 ms,169 ms,,,
23,16.4 MB,14.0 GB,,,1.84 ms,178 ms,,,
24,16.4 MB,14.0 GB,,,1.92 ms,186 ms,,,
25,16.4 MB,14.0 GB,,,2.00 ms,194 ms,,,
26,16.4 MB,14.0 GB,,,2.07 ms,203 ms,,,
27,16.4 MB,14.0 GB,,,2.15 ms,211 ms,,,
28,16.4 MB,14.0 GB,,,2.23 ms,219 ms,,,
29,16.4 MB,14.0 GB,,,2.30 ms,227 ms,,,
30,16.4 MB,14.0 GB,,,2.38 ms,236 ms,,,
31,16.4 MB,14.0 GB,,,2.46 ms,244 ms,,,
32,16.4 MB,20.3 GB,,,2.54 ms,997 ms,,,
33,16.4 MB,20.3 GB,,,2.61 ms,1.03 s,,,
34,16.4 MB,20.3 GB,,,2.69 ms,1.06 s,,,
35,16.4 MB,20.3 GB,,,2.77 ms,1.09 s,,,
36,16.4 MB,20.3 GB,,,2.84 ms,1.13 s,,,
37,16.4 MB,20.3 GB,,,2.92 ms,1.16 s,,,
38,16.4 MB,20.3 GB,,,3.00 ms,1.19 s,,,
39,17.5 MB,20.3 GB,,,2.16 ms,1.23 s,,,
40,17.5 MB,20.3 GB,,,2.21 ms,1.26 s,,,
41,17.5 MB,20.3 GB,,,2.27 ms,1.29 s,,,
42,17.5 MB,20.3 GB,,,2.32 ms,1.32 s,,,
43,17.5 MB,20.3 GB,,,2.37 ms,1.36 s,,,
44,17.5 MB,20.3 GB,,,2.42 ms,1.39 s,,,
45,17.5 MB,20.3 GB,,,2.48 ms,1.42 s,,,
46,17.5 MB,20.3 GB,,,2.53 ms,1.46 s,,,
47,17.5 MB,20.3 GB,,,2.58 ms,2.46 s,,,
48,17.5 MB,20.3 GB,,,2.63 ms,2.51 s,,,
49,17.5 MB,20.3 GB,,,2.69 ms,2.57 s,,,
