"Time","queue-proxy","user-container"
2025-09-03 15:38:37,190 µs,64.7 µs
2025-09-03 15:38:38,186 µs,63.3 µs
2025-09-03 15:38:39,182 µs,61.9 µs
2025-09-03 15:38:40,179 µs,60.5 µs
2025-09-03 15:38:41,175 µs,59.1 µs
2025-09-03 15:38:42,171 µs,57.7 µs
2025-09-03 15:38:43,167 µs,56.3 µs
2025-09-03 15:38:44,163 µs,54.9 µs
2025-09-03 15:38:45,68.6 µs,37.9 µs
2025-09-03 15:38:46,68.6 µs,36.9 µs
2025-09-03 15:38:47,68.6 µs,35.9 µs
2025-09-03 15:38:48,87.2 µs,34.9 µs
2025-09-03 15:38:49,84.9 µs,33.9 µs
2025-09-03 15:38:50,82.5 µs,32.9 µs
2025-09-03 15:38:51,80.2 µs,31.9 µs
2025-09-03 15:38:52,77.9 µs,31.0 µs
2025-09-03 15:38:53,75.6 µs,30.0 µs
2025-09-03 15:38:54,73.2 µs,29.0 µs
2025-09-03 15:38:55,70.9 µs,143 ms
2025-09-03 15:38:56,68.6 µs,152 ms
2025-09-03 15:38:57,66.3 µs,161 ms
2025-09-03 15:38:58,63.9 µs,169 ms
2025-09-03 15:38:59,1.84 ms,178 ms
2025-09-03 15:39:00,1.91 ms,187 ms
2025-09-03 15:39:01,1.99 ms,195 ms
2025-09-03 15:39:02,2.06 ms,204 ms
2025-09-03 15:39:03,2.14 ms,213 ms
2025-09-03 15:39:04,2.16 ms,222 ms
2025-09-03 15:39:05,2.24 ms,669 ms
2025-09-03 15:39:06,2.32 ms,695 ms
2025-09-03 15:39:07,2.40 ms,720 ms
2025-09-03 15:39:08,2.47 ms,745 ms
2025-09-03 15:39:09,2.55 ms,771 ms
2025-09-03 15:39:10,2.63 ms,796 ms
2025-09-03 15:39:11,2.71 ms,821 ms
2025-09-03 15:39:12,2.78 ms,847 ms
2025-09-03 15:39:13,2.86 ms,872 ms
2025-09-03 15:39:14,2.94 ms,897 ms
2025-09-03 15:39:15,3.02 ms,923 ms
2025-09-03 15:39:16,3.09 ms,948 ms
2025-09-03 15:39:17,2.14 ms,973 ms
2025-09-03 15:39:18,2.19 ms,998 ms
2025-09-03 15:39:19,2.24 ms,1.02 s
2025-09-03 15:39:20,2.29 ms,835 ms
2025-09-03 15:39:21,2.34 ms,835 ms
2025-09-03 15:39:22,2.39 ms,835 ms
2025-09-03 15:39:23,2.45 ms,835 ms
2025-09-03 15:39:24,2.50 ms,2.45 s
2025-09-03 15:39:25,2.55 ms,2.50 s
2025-09-03 15:39:26,2.60 ms,2.56 s
2025-09-03 15:39:27,2.65 ms,2.61 s
2025-09-03 15:39:28,2.70 ms,2.67 s
2025-09-03 15:39:29,2.75 ms,2.72 s
2025-09-03 15:39:30,2.31 ms,2.77 s
2025-09-03 15:39:31,2.35 ms,2.83 s
2025-09-03 15:39:32,2.39 ms,2.88 s
2025-09-03 15:39:33,2.43 ms,2.93 s
2025-09-03 15:39:34,2.47 ms,2.99 s
2025-09-03 15:39:35,2.47 ms,3.04 s
2025-09-03 15:39:36,2.47 ms,3.10 s
2025-09-03 15:39:37,2.47 ms,3.69 s
2025-09-03 15:39:38,2.47 ms,3.75 s
2025-09-03 15:39:39,834 µs,3.87 s
2025-09-03 15:39:40,851 µs,3.96 s
2025-09-03 15:39:41,868 µs,4.04 s
2025-09-03 15:39:42,1.04 ms,4.12 s
2025-09-03 15:39:43,910 µs,4.21 s
2025-09-03 15:39:44,910 µs,4.29 s
2025-09-03 15:39:45,910 µs,4.37 s
2025-09-03 15:39:46,910 µs,4.46 s
2025-09-03 15:39:47,910 µs,4.54 s
2025-09-03 15:39:48,910 µs,4.63 s
2025-09-03 15:39:49,910 µs,4.71 s
2025-09-03 15:39:50,910 µs,4.79 s
2025-09-03 15:39:51,910 µs,5.07 s
2025-09-03 15:39:52,910 µs,5.16 s
2025-09-03 15:39:53,910 µs,5.22 s
2025-09-03 15:39:54,910 µs,5.22 s
2025-09-03 15:39:55,910 µs,5.46 s
2025-09-03 15:39:56,910 µs,5.55 s
2025-09-03 15:39:57,910 µs,5.65 s
2025-09-03 15:39:58,910 µs,5.74 s
2025-09-03 15:39:59,559 µs,5.74 s
2025-09-03 15:40:00,570 µs,5.74 s
2025-09-03 15:40:01,582 µs,5.74 s
2025-09-03 15:40:02,681 µs,5.74 s
2025-09-03 15:40:03,681 µs,5.73 s
2025-09-03 15:40:04,681 µs,5.73 s
2025-09-03 15:40:05,681 µs,4.62 s
2025-09-03 15:40:06,681 µs,4.72 s
2025-09-03 15:40:07,681 µs,4.82 s
2025-09-03 15:40:08,681 µs,4.91 s
2025-09-03 15:40:09,681 µs,5.73 s
2025-09-03 15:40:10,681 µs,5.73 s
2025-09-03 15:40:11,681 µs,5.73 s
2025-09-03 15:40:12,681 µs,5.73 s
2025-09-03 15:40:13,722 µs,5.73 s
2025-09-03 15:40:14,722 µs,5.73 s
2025-09-03 15:40:15,722 µs,5.73 s
2025-09-03 15:40:16,722 µs,5.73 s
2025-09-03 15:40:17,726 µs,4.92 s
2025-09-03 15:40:18,726 µs,4.83 s
2025-09-03 15:40:19,726 µs,4.73 s
2025-09-03 15:40:20,726 µs,4.64 s
2025-09-03 15:40:21,726 µs,4.54 s
2025-09-03 15:40:22,726 µs,5.74 s
2025-09-03 15:40:23,726 µs,5.74 s
2025-09-03 15:40:24,726 µs,5.76 s
2025-09-03 15:40:25,726 µs,5.76 s
2025-09-03 15:40:26,726 µs,5.76 s
2025-09-03 15:40:27,726 µs,5.76 s
2025-09-03 15:40:28,726 µs,5.76 s
2025-09-03 15:40:29,612 µs,5.76 s
2025-09-03 15:40:30,643 µs,5.76 s
2025-09-03 15:40:31,631 µs,5.76 s
2025-09-03 15:40:32,797 µs,5.76 s
2025-09-03 15:40:33,797 µs,5.76 s
2025-09-03 15:40:34,797 µs,5.76 s
2025-09-03 15:40:35,797 µs,5.76 s
2025-09-03 15:40:36,797 µs,5.76 s
2025-09-03 15:40:37,797 µs,5.74 s
2025-09-03 15:40:38,797 µs,5.74 s
2025-09-03 15:40:39,797 µs,5.74 s
2025-09-03 15:40:40,797 µs,5.74 s
2025-09-03 15:40:41,797 µs,5.74 s
2025-09-03 15:40:42,797 µs,5.74 s
2025-09-03 15:40:43,818 µs,5.74 s
2025-09-03 15:40:44,818 µs,5.74 s
2025-09-03 15:40:45,818 µs,5.74 s
2025-09-03 15:40:46,818 µs,5.74 s
2025-09-03 15:40:47,818 µs,5.74 s
2025-09-03 15:40:48,818 µs,5.74 s
2025-09-03 15:40:49,818 µs,5.74 s
2025-09-03 15:40:50,818 µs,5.74 s
2025-09-03 15:40:51,818 µs,5.75 s
2025-09-03 15:40:52,818 µs,5.76 s
2025-09-03 15:40:53,818 µs,5.76 s
2025-09-03 15:40:54,818 µs,5.76 s
2025-09-03 15:40:55,818 µs,5.76 s
2025-09-03 15:40:56,835 µs,5.76 s
2025-09-03 15:40:57,835 µs,5.76 s
2025-09-03 15:40:58,835 µs,5.76 s
2025-09-03 15:40:59,832 µs,5.76 s
2025-09-03 15:41:00,832 µs,5.76 s
2025-09-03 15:41:01,832 µs,5.76 s
2025-09-03 15:41:02,832 µs,5.76 s
2025-09-03 15:41:03,832 µs,4.65 s
2025-09-03 15:41:04,832 µs,4.74 s
2025-09-03 15:41:05,832 µs,4.84 s
2025-09-03 15:41:06,832 µs,5.76 s
2025-09-03 15:41:07,832 µs,5.76 s
2025-09-03 15:41:08,832 µs,4.87 s
2025-09-03 15:41:09,832 µs,5.73 s
2025-09-03 15:41:10,832 µs,5.73 s
2025-09-03 15:41:11,832 µs,5.73 s
2025-09-03 15:41:12,708 µs,5.73 s
2025-09-03 15:41:13,514 µs,5.73 s
2025-09-03 15:41:14,514 µs,5.73 s
2025-09-03 15:41:15,700 µs,5.73 s
2025-09-03 15:41:16,821 µs,5.73 s
2025-09-03 15:41:17,821 µs,5.73 s
2025-09-03 15:41:18,821 µs,5.73 s
2025-09-03 15:41:19,821 µs,5.73 s
2025-09-03 15:41:20,821 µs,5.73 s
2025-09-03 15:41:21,821 µs,5.73 s
2025-09-03 15:41:22,821 µs,5.73 s
2025-09-03 15:41:23,821 µs,5.72 s
2025-09-03 15:41:24,821 µs,5.72 s
2025-09-03 15:41:25,821 µs,5.72 s
2025-09-03 15:41:26,821 µs,5.72 s
2025-09-03 15:41:27,821 µs,5.72 s
2025-09-03 15:41:28,830 µs,5.72 s
2025-09-03 15:41:29,830 µs,5.72 s
2025-09-03 15:41:30,830 µs,5.72 s
2025-09-03 15:41:31,830 µs,5.72 s
2025-09-03 15:41:32,847 µs,5.72 s
2025-09-03 15:41:33,847 µs,5.72 s
2025-09-03 15:41:34,847 µs,5.72 s
2025-09-03 15:41:35,847 µs,5.72 s
2025-09-03 15:41:36,847 µs,5.71 s
2025-09-03 15:41:37,847 µs,5.69 s
2025-09-03 15:41:38,847 µs,5.69 s
2025-09-03 15:41:39,847 µs,5.69 s
2025-09-03 15:41:40,847 µs,5.69 s
2025-09-03 15:41:41,847 µs,5.69 s
2025-09-03 15:41:42,847 µs,5.69 s
2025-09-03 15:41:43,828 µs,5.69 s
2025-09-03 15:41:44,828 µs,5.69 s
2025-09-03 15:41:45,827 µs,5.69 s
2025-09-03 15:41:46,827 µs,5.69 s
2025-09-03 15:41:47,827 µs,5.69 s
2025-09-03 15:41:48,827 µs,5.69 s
2025-09-03 15:41:49,827 µs,5.71 s
2025-09-03 15:41:50,827 µs,5.71 s
2025-09-03 15:41:51,827 µs,5.71 s
2025-09-03 15:41:52,827 µs,4.81 s
2025-09-03 15:41:53,827 µs,4.90 s
2025-09-03 15:41:54,827 µs,5.73 s
2025-09-03 15:41:55,827 µs,5.73 s
2025-09-03 15:41:56,691 µs,5.73 s
2025-09-03 15:41:57,705 µs,5.73 s
2025-09-03 15:41:58,840 µs,5.73 s
2025-09-03 15:41:59,840 µs,5.73 s
2025-09-03 15:42:00,840 µs,5.73 s
2025-09-03 15:42:01,840 µs,5.73 s
2025-09-03 15:42:02,701 µs,5.73 s
2025-09-03 15:42:03,687 µs,5.73 s
2025-09-03 15:42:04,833 µs,4.91 s
2025-09-03 15:42:05,833 µs,4.82 s
2025-09-03 15:42:06,833 µs,4.72 s
2025-09-03 15:42:07,833 µs,4.63 s
2025-09-03 15:42:08,833 µs,4.53 s
2025-09-03 15:42:09,833 µs,5.70 s
2025-09-03 15:42:10,833 µs,5.70 s
2025-09-03 15:42:11,833 µs,5.70 s
2025-09-03 15:42:12,833 µs,5.70 s
2025-09-03 15:42:13,833 µs,5.70 s
2025-09-03 15:42:14,833 µs,5.70 s
2025-09-03 15:42:15,825 µs,5.70 s
2025-09-03 15:42:16,825 µs,5.70 s
2025-09-03 15:42:17,825 µs,5.70 s
2025-09-03 15:42:18,825 µs,5.70 s
2025-09-03 15:42:19,825 µs,5.70 s
2025-09-03 15:42:20,825 µs,5.70 s
2025-09-03 15:42:21,825 µs,5.70 s
2025-09-03 15:42:22,776 µs,5.72 s
2025-09-03 15:42:23,776 µs,5.73 s
2025-09-03 15:42:24,776 µs,5.73 s
2025-09-03 15:42:25,776 µs,5.73 s
2025-09-03 15:42:26,776 µs,5.73 s
2025-09-03 15:42:27,776 µs,5.73 s
2025-09-03 15:42:28,753 µs,5.73 s
2025-09-03 15:42:29,753 µs,5.73 s
2025-09-03 15:42:30,753 µs,5.73 s
2025-09-03 15:42:31,753 µs,5.73 s
2025-09-03 15:42:32,753 µs,5.73 s
2025-09-03 15:42:33,753 µs,5.73 s
2025-09-03 15:42:34,753 µs,5.73 s
2025-09-03 15:42:35,753 µs,5.73 s
2025-09-03 15:42:36,753 µs,5.70 s
2025-09-03 15:42:37,753 µs,5.70 s
2025-09-03 15:42:38,753 µs,5.70 s
2025-09-03 15:42:39,753 µs,5.70 s
