step,ram_queue-proxy,ram_user-container,cpu_queue-proxy,cpu_user-container
0,9.42 MB,10.3 GB,203 µs,69.4 µs
1,9.42 MB,10.3 GB,106 µs,67.9 µs
2,12.8 MB,10.3 GB,106 µs,66.5 µs
3,12.8 MB,10.3 GB,106 µs,65.1 µs
4,12.8 MB,10.3 GB,138 µs,63.7 µs
5,12.8 MB,10.3 GB,134 µs,62.3 µs
6,12.8 MB,10.3 GB,130 µs,60.9 µs
7,12.8 MB,10.3 GB,126 µs,59.5 µs
8,12.8 MB,10.3 GB,122 µs,58.1 µs
9,12.8 MB,10.3 GB,118 µs,56.7 µs
10,12.8 MB,10.3 GB,115 µs,40.8 µs
11,12.8 MB,10.3 GB,111 µs,39.8 µs
12,12.8 MB,10.3 GB,107 µs,38.8 µs
13,12.8 MB,10.3 GB,103 µs,37.8 µs
14,12.8 MB,12.9 GB,99.1 µs,112 ms
15,12.8 MB,12.9 GB,95.3 µs,121 ms
16,12.8 MB,12.9 GB,91.4 µs,129 ms
17,12.8 MB,12.9 GB,87.5 µs,138 ms
18,12.8 MB,12.9 GB,83.7 µs,147 ms
19,12.8 MB,12.9 GB,79.8 µs,156 ms
20,17.4 MB,12.9 GB,1.60 ms,165 ms
21,17.4 MB,12.9 GB,1.67 ms,174 ms
22,17.4 MB,12.9 GB,1.75 ms,183 ms
23,17.4 MB,12.9 GB,1.83 ms,192 ms
24,17.4 MB,20.5 GB,1.90 ms,231 ms
25,17.4 MB,20.5 GB,1.98 ms,242 ms
26,17.4 MB,20.5 GB,2.05 ms,252 ms
27,17.4 MB,20.5 GB,2.13 ms,262 ms
28,17.4 MB,20.5 GB,2.21 ms,272 ms
29,17.4 MB,20.5 GB,2.28 ms,283 ms
30,17.4 MB,20.5 GB,2.36 ms,293 ms
31,17.4 MB,20.5 GB,2.43 ms,303 ms
32,17.4 MB,20.5 GB,2.51 ms,314 ms
33,17.4 MB,20.5 GB,2.59 ms,324 ms
34,17.4 MB,20.5 GB,2.66 ms,334 ms
35,18.5 MB,20.5 GB,2.13 ms,345 ms
36,18.5 MB,20.5 GB,2.19 ms,355 ms
37,18.5 MB,20.5 GB,2.24 ms,287 ms
38,18.5 MB,20.5 GB,2.30 ms,287 ms
39,18.5 MB,20.5 GB,2.36 ms,287 ms
40,18.5 MB,20.5 GB,2.42 ms,287 ms
41,18.5 MB,20.5 GB,2.47 ms,287 ms
42,18.5 MB,20.5 GB,2.53 ms,287 ms
43,18.5 MB,20.5 GB,2.59 ms,287 ms
44,18.5 MB,20.5 GB,2.65 ms,2.07 s
45,18.5 MB,20.5 GB,2.71 ms,2.12 s
46,18.5 MB,20.5 GB,2.76 ms,2.17 s
47,18.5 MB,20.5 GB,2.82 ms,2.22 s
48,18.5 MB,20.5 GB,2.88 ms,2.27 s
49,18.5 MB,20.5 GB,2.94 ms,2.31 s
50,18.6 MB,20.5 GB,2.29 ms,2.36 s
51,18.6 MB,20.5 GB,2.33 ms,2.41 s
52,18.6 MB,20.5 GB,2.37 ms,2.46 s
53,18.6 MB,20.5 GB,2.42 ms,2.51 s
54,18.6 MB,20.5 GB,2.46 ms,2.56 s
55,18.6 MB,20.5 GB,2.50 ms,2.61 s
56,18.6 MB,20.5 GB,2.55 ms,2.66 s
57,18.6 MB,20.5 GB,2.59 ms,2.70 s
58,18.6 MB,20.5 GB,2.59 ms,2.75 s
59,18.6 MB,20.5 GB,2.59 ms,3.47 s
60,18.6 MB,20.5 GB,2.59 ms,3.53 s
61,18.6 MB,20.5 GB,2.59 ms,3.59 s
62,18.6 MB,20.5 GB,1.24 ms,3.70 s
63,18.6 MB,20.5 GB,1.47 ms,3.77 s
64,18.6 MB,20.5 GB,1.47 ms,3.85 s
65,18.6 MB,20.5 GB,1.47 ms,3.92 s
66,18.6 MB,20.5 GB,1.47 ms,3.99 s
67,18.6 MB,20.5 GB,1.25 ms,4.07 s
68,18.7 MB,20.5 GB,1.21 ms,4.14 s
69,18.7 MB,20.5 GB,1.21 ms,4.21 s
70,18.7 MB,20.5 GB,1.21 ms,4.50 s
71,18.7 MB,20.5 GB,1.21 ms,4.58 s
72,18.7 MB,20.5 GB,1.21 ms,4.64 s
73,18.7 MB,20.5 GB,1.21 ms,4.64 s
74,18.7 MB,20.5 GB,1.21 ms,4.88 s
75,18.7 MB,20.5 GB,1.21 ms,4.97 s
76,18.7 MB,20.5 GB,1.21 ms,5.07 s
77,18.7 MB,20.5 GB,1.21 ms,5.16 s
78,18.7 MB,20.5 GB,1.21 ms,5.25 s
79,18.7 MB,20.5 GB,1.21 ms,5.34 s
80,18.7 MB,20.5 GB,752 µs,5.44 s
81,18.7 MB,20.5 GB,752 µs,5.53 s
82,18.7 MB,20.5 GB,752 µs,5.56 s
83,18.7 MB,20.5 GB,752 µs,5.56 s
84,18.7 MB,20.5 GB,734 µs,3.61 s
85,18.7 MB,20.5 GB,734 µs,4.43 s
86,18.7 MB,20.5 GB,734 µs,4.53 s
87,18.7 MB,20.5 GB,734 µs,4.62 s
88,18.7 MB,20.5 GB,734 µs,4.71 s
89,18.7 MB,20.5 GB,734 µs,5.52 s
90,18.7 MB,20.5 GB,734 µs,5.52 s
91,18.7 MB,20.5 GB,734 µs,5.52 s
92,18.7 MB,20.5 GB,734 µs,5.52 s
93,18.7 MB,20.5 GB,734 µs,5.52 s
94,18.7 MB,20.5 GB,734 µs,5.52 s
95,18.8 MB,20.5 GB,805 µs,5.52 s
96,18.8 MB,20.5 GB,805 µs,5.52 s
97,18.8 MB,20.5 GB,805 µs,5.52 s
98,18.8 MB,20.5 GB,805 µs,5.52 s
99,18.8 MB,20.5 GB,805 µs,5.49 s
100,18.8 MB,20.5 GB,805 µs,5.49 s
101,18.8 MB,20.5 GB,805 µs,5.49 s
102,18.8 MB,20.5 GB,805 µs,5.49 s
103,18.8 MB,20.5 GB,805 µs,5.49 s
104,18.8 MB,20.5 GB,805 µs,5.44 s
105,18.8 MB,20.5 GB,805 µs,5.44 s
106,18.8 MB,20.5 GB,805 µs,5.44 s
107,18.8 MB,20.5 GB,805 µs,5.44 s
108,18.8 MB,20.5 GB,805 µs,5.44 s
109,18.8 MB,20.5 GB,805 µs,5.44 s
110,18.8 MB,20.5 GB,557 µs,5.44 s
111,18.8 MB,20.5 GB,557 µs,5.44 s
112,18.8 MB,20.5 GB,557 µs,5.44 s
113,18.8 MB,20.5 GB,829 µs,5.44 s
114,18.8 MB,20.5 GB,829 µs,5.42 s
115,18.8 MB,20.5 GB,829 µs,5.42 s
116,18.8 MB,20.5 GB,829 µs,5.42 s
117,18.8 MB,20.5 GB,829 µs,5.42 s
118,18.8 MB,20.5 GB,829 µs,5.42 s
119,18.8 MB,20.5 GB,829 µs,5.39 s
120,18.8 MB,20.5 GB,829 µs,5.39 s
121,18.8 MB,20.5 GB,829 µs,5.39 s
122,18.8 MB,20.5 GB,829 µs,5.39 s
123,18.8 MB,20.5 GB,829 µs,5.39 s
124,18.8 MB,20.5 GB,829 µs,5.39 s
125,18.8 MB,20.5 GB,829 µs,5.39 s
126,18.8 MB,20.5 GB,829 µs,5.39 s
127,18.8 MB,20.5 GB,829 µs,5.39 s
128,18.9 MB,20.5 GB,865 µs,5.39 s
129,18.9 MB,20.5 GB,865 µs,5.39 s
130,18.9 MB,20.5 GB,865 µs,4.51 s
131,18.9 MB,20.5 GB,865 µs,4.42 s
132,18.9 MB,20.5 GB,865 µs,5.40 s
133,18.9 MB,20.5 GB,865 µs,5.40 s
134,18.9 MB,20.5 GB,865 µs,5.40 s
135,18.9 MB,20.5 GB,865 µs,5.40 s
136,18.9 MB,20.5 GB,865 µs,5.40 s
137,18.9 MB,20.5 GB,865 µs,5.40 s
138,18.9 MB,20.5 GB,865 µs,5.40 s
139,18.9 MB,20.5 GB,865 µs,5.40 s
140,19.0 MB,20.5 GB,830 µs,5.40 s
141,19.0 MB,20.5 GB,830 µs,5.40 s
142,19.0 MB,20.5 GB,830 µs,5.40 s
143,19.0 MB,20.5 GB,830 µs,5.37 s
144,19.0 MB,20.5 GB,781 µs,5.37 s
