"Time","queue-proxy","user-container"
2025-09-03 13:31:30,,129 ms
2025-09-03 13:31:31,1.49 ms,138 ms
2025-09-03 13:31:32,1.57 ms,146 ms
2025-09-03 13:31:33,1.65 ms,155 ms
2025-09-03 13:31:34,1.72 ms,163 ms
2025-09-03 13:31:35,1.80 ms,172 ms
2025-09-03 13:31:36,1.88 ms,180 ms
2025-09-03 13:31:37,1.96 ms,189 ms
2025-09-03 13:31:38,2.04 ms,197 ms
2025-09-03 13:31:39,2.12 ms,206 ms
2025-09-03 13:31:40,2.20 ms,214 ms
2025-09-03 13:31:41,2.28 ms,223 ms
2025-09-03 13:31:42,2.36 ms,231 ms
2025-09-03 13:31:43,2.43 ms,240 ms
2025-09-03 13:31:44,2.38 ms,248 ms
2025-09-03 13:31:45,2.45 ms,259 ms
2025-09-03 13:31:46,2.53 ms,268 ms
2025-09-03 13:31:47,2.60 ms,276 ms
2025-09-03 13:31:48,2.67 ms,285 ms
2025-09-03 13:31:49,2.75 ms,294 ms
2025-09-03 13:31:50,2.82 ms,302 ms
2025-09-03 13:31:51,2.90 ms,311 ms
2025-09-03 13:31:52,2.97 ms,319 ms
2025-09-03 13:31:53,3.05 ms,328 ms
2025-09-03 13:31:54,3.12 ms,337 ms
2025-09-03 13:31:55,3.19 ms,345 ms
2025-09-03 13:31:56,3.27 ms,354 ms
2025-09-03 13:31:57,3.34 ms,359 ms
2025-09-03 13:31:58,3.42 ms,368 ms
2025-09-03 13:31:59,3.49 ms,376 ms
2025-09-03 13:32:00,2.86 ms,385 ms
2025-09-03 13:32:01,2.86 ms,393 ms
2025-09-03 13:32:02,3.50 ms,402 ms
2025-09-03 13:32:03,3.57 ms,410 ms
2025-09-03 13:32:04,3.64 ms,419 ms
2025-09-03 13:32:05,3.70 ms,427 ms
2025-09-03 13:32:06,3.77 ms,436 ms
2025-09-03 13:32:07,3.84 ms,445 ms
2025-09-03 13:32:08,3.91 ms,453 ms
2025-09-03 13:32:09,3.98 ms,462 ms
2025-09-03 13:32:10,4.05 ms,470 ms
2025-09-03 13:32:11,4.12 ms,479 ms
2025-09-03 13:32:12,4.18 ms,483 ms
2025-09-03 13:32:13,4.18 ms,491 ms
2025-09-03 13:32:14,4.18 ms,500 ms
2025-09-03 13:32:15,3.90 ms,505 ms
2025-09-03 13:32:16,3.90 ms,505 ms
2025-09-03 13:32:17,3.90 ms,505 ms
2025-09-03 13:32:18,3.90 ms,505 ms
2025-09-03 13:32:19,3.90 ms,505 ms
2025-09-03 13:32:20,3.24 ms,505 ms
2025-09-03 13:32:21,3.17 ms,505 ms
2025-09-03 13:32:22,3.95 ms,505 ms
2025-09-03 13:32:23,3.95 ms,505 ms
2025-09-03 13:32:24,3.95 ms,505 ms
2025-09-03 13:32:25,3.95 ms,505 ms
2025-09-03 13:32:26,3.95 ms,505 ms
2025-09-03 13:32:27,3.95 ms,505 ms
2025-09-03 13:32:28,3.95 ms,428 ms
2025-09-03 13:32:29,3.95 ms,420 ms
2025-09-03 13:32:30,3.95 ms,498 ms
2025-09-03 13:32:31,3.90 ms,498 ms
2025-09-03 13:32:32,3.90 ms,498 ms
2025-09-03 13:32:33,3.90 ms,498 ms
2025-09-03 13:32:34,3.90 ms,498 ms
2025-09-03 13:32:35,3.90 ms,498 ms
2025-09-03 13:32:36,3.90 ms,498 ms
2025-09-03 13:32:37,3.90 ms,498 ms
2025-09-03 13:32:38,3.90 ms,498 ms
2025-09-03 13:32:39,3.91 ms,498 ms
2025-09-03 13:32:40,3.91 ms,498 ms
2025-09-03 13:32:41,3.91 ms,498 ms
2025-09-03 13:32:42,3.91 ms,498 ms
2025-09-03 13:32:43,3.91 ms,498 ms
2025-09-03 13:32:44,3.99 ms,498 ms
2025-09-03 13:32:45,3.99 ms,497 ms
2025-09-03 13:32:46,3.99 ms,497 ms
2025-09-03 13:32:47,3.99 ms,497 ms
2025-09-03 13:32:48,3.99 ms,497 ms
2025-09-03 13:32:49,3.99 ms,497 ms
2025-09-03 13:32:50,3.99 ms,497 ms
2025-09-03 13:32:51,3.99 ms,497 ms
2025-09-03 13:32:52,3.99 ms,497 ms
2025-09-03 13:32:53,3.99 ms,497 ms
2025-09-03 13:32:54,3.99 ms,497 ms
