"Time","GPU 0","GPU 0"
2025-09-03 14:04:36,,0%
2025-09-03 14:04:37,,0%
2025-09-03 14:04:38,,0%
2025-09-03 14:04:39,,0%
2025-09-03 14:04:40,,0%
2025-09-03 14:04:41,,0%
2025-09-03 14:04:42,,0%
2025-09-03 14:04:43,,0%
2025-09-03 14:04:44,,0%
2025-09-03 14:04:45,,0%
2025-09-03 14:04:46,,0%
2025-09-03 14:04:47,0%,
2025-09-03 14:04:48,0%,
2025-09-03 14:04:49,0%,
2025-09-03 14:04:50,0%,
2025-09-03 14:04:51,0%,
2025-09-03 14:04:52,0%,
2025-09-03 14:04:53,0%,
2025-09-03 14:04:54,0%,
2025-09-03 14:04:55,0%,
2025-09-03 14:04:56,0%,
2025-09-03 14:04:57,0%,
2025-09-03 14:04:58,0%,
2025-09-03 14:04:59,0%,
2025-09-03 14:05:00,0%,
2025-09-03 14:05:01,0%,
2025-09-03 14:05:02,0%,
2025-09-03 14:05:03,0%,
2025-09-03 14:05:04,0%,
2025-09-03 14:05:05,0%,
2025-09-03 14:05:06,0%,
2025-09-03 14:05:07,0%,
2025-09-03 14:05:08,0%,
2025-09-03 14:05:09,38%,
2025-09-03 14:05:10,0%,
2025-09-03 14:05:11,1%,
2025-09-03 14:05:12,26%,
2025-09-03 14:05:13,29%,
2025-09-03 14:05:14,18%,
2025-09-03 14:05:15,49%,
2025-09-03 14:05:16,40%,
2025-09-03 14:05:17,57%,
2025-09-03 14:05:18,34%,
2025-09-03 14:05:19,37%,
2025-09-03 14:05:20,23%,
2025-09-03 14:05:21,68%,
2025-09-03 14:05:22,58%,
2025-09-03 14:05:23,12%,
2025-09-03 14:05:24,21%,
2025-09-03 14:05:25,45%,
2025-09-03 14:05:26,25%,
2025-09-03 14:05:27,14%,
2025-09-03 14:05:28,48%,
2025-09-03 14:05:29,69%,
2025-09-03 14:05:30,40%,
2025-09-03 14:05:31,13%,
2025-09-03 14:05:32,20%,
2025-09-03 14:05:33,36%,
2025-09-03 14:05:34,17%,
2025-09-03 14:05:35,13%,
2025-09-03 14:05:36,31%,
2025-09-03 14:05:37,18%,
2025-09-03 14:05:38,22%,
2025-09-03 14:05:39,45%,
2025-09-03 14:05:40,18%,
2025-09-03 14:05:41,15%,
2025-09-03 14:05:42,40%,
2025-09-03 14:05:43,17%,
2025-09-03 14:05:44,49%,
2025-09-03 14:05:45,45%,
2025-09-03 14:05:46,14%,
2025-09-03 14:05:47,43%,
2025-09-03 14:05:48,42%,
2025-09-03 14:05:49,13%,
2025-09-03 14:05:50,46%,
2025-09-03 14:05:51,19%,
2025-09-03 14:05:52,17%,
2025-09-03 14:05:53,41%,
2025-09-03 14:05:54,14%,
2025-09-03 14:05:55,38%,
2025-09-03 14:05:56,60%,
2025-09-03 14:05:57,18%,
2025-09-03 14:05:58,39%,
2025-09-03 14:05:59,15%,
2025-09-03 14:06:00,0%,
2025-09-03 14:06:01,17%,
2025-09-03 14:06:02,45%,
2025-09-03 14:06:03,32%,
2025-09-03 14:06:04,33%,
2025-09-03 14:06:05,14%,
2025-09-03 14:06:06,39%,
2025-09-03 14:06:07,8%,
2025-09-03 14:06:08,37%,
2025-09-03 14:06:09,20%,
2025-09-03 14:06:10,36%,
2025-09-03 14:06:11,20%,
2025-09-03 14:06:12,45%,
2025-09-03 14:06:13,19%,
2025-09-03 14:06:14,12%,
2025-09-03 14:06:15,29%,
2025-09-03 14:06:16,15%,
2025-09-03 14:06:17,69%,
2025-09-03 14:06:18,42%,
2025-09-03 14:06:19,27%,
2025-09-03 14:06:20,69%,
2025-09-03 14:06:21,30%,
2025-09-03 14:06:22,32%,
2025-09-03 14:06:23,32%,
2025-09-03 14:06:24,14%,
2025-09-03 14:06:25,17%,
2025-09-03 14:06:26,14%,
2025-09-03 14:06:27,18%,
2025-09-03 14:06:28,19%,
2025-09-03 14:06:29,43%,
2025-09-03 14:06:30,34%,
2025-09-03 14:06:31,18%,
2025-09-03 14:06:32,49%,
2025-09-03 14:06:33,29%,
2025-09-03 14:06:34,0%,
2025-09-03 14:06:35,0%,
2025-09-03 14:06:36,0%,
2025-09-03 14:06:37,0%,
2025-09-03 14:06:38,0%,
