step,ram_queue-proxy,ram_user-container,cpu_queue-proxy,cpu_user-container,gpu_gpu_0
0,,,,,
1,,,,,
2,,,,,
3,,,,,
4,,,,,
5,,,,,
6,,,,,
7,,,,,
8,,,,,
9,,,,,
10,,,,,
11,3.62 MB,2.65 MB,,,0%
12,3.62 MB,2.65 MB,,,0%
13,3.62 MB,2.65 MB,,,0%
14,3.62 MB,2.65 MB,,,0%
15,3.62 MB,2.65 MB,,,0%
16,3.62 MB,2.65 MB,,,0%
17,3.62 MB,2.65 MB,,,0%
18,3.62 MB,2.65 MB,,,0%
19,3.62 MB,2.65 MB,,,0%
20,3.62 MB,2.65 MB,,,0%
21,3.62 MB,2.65 MB,,,0%
22,3.62 MB,2.65 MB,,,0%
23,3.62 MB,2.65 MB,,,0%
24,3.62 MB,2.65 MB,,,0%
25,3.62 MB,2.65 MB,,,0%
26,3.62 MB,3.29 GB,,129 ms,0%
27,7.80 MB,3.29 GB,1.49 ms,138 ms,0%
28,7.80 MB,3.29 GB,1.57 ms,146 ms,0%
29,7.80 MB,3.29 GB,1.65 ms,155 ms,0%
30,7.80 MB,3.29 GB,1.72 ms,163 ms,0%
31,7.80 MB,3.29 GB,1.80 ms,172 ms,0%
32,7.80 MB,3.29 GB,1.88 ms,180 ms,0%
33,7.80 MB,3.29 GB,1.96 ms,189 ms,0%
34,7.80 MB,3.29 GB,2.04 ms,197 ms,0%
35,7.80 MB,3.29 GB,2.12 ms,206 ms,18%
36,7.80 MB,3.29 GB,2.20 ms,214 ms,27%
37,7.80 MB,3.29 GB,2.28 ms,223 ms,19%
38,7.80 MB,3.29 GB,2.36 ms,231 ms,41%
39,7.80 MB,3.29 GB,2.43 ms,240 ms,47%
40,8.86 MB,3.29 GB,2.38 ms,248 ms,16%
41,8.86 MB,6.70 GB,2.45 ms,259 ms,45%
42,8.86 MB,6.70 GB,2.53 ms,268 ms,20%
43,8.86 MB,6.70 GB,2.60 ms,276 ms,45%
44,8.86 MB,6.70 GB,2.67 ms,285 ms,46%
45,8.86 MB,6.70 GB,2.75 ms,294 ms,45%
46,8.86 MB,6.70 GB,2.82 ms,302 ms,45%
47,8.86 MB,6.70 GB,2.90 ms,311 ms,10%
48,8.86 MB,6.70 GB,2.97 ms,319 ms,32%
49,8.86 MB,6.70 GB,3.05 ms,328 ms,45%
50,8.86 MB,6.70 GB,3.12 ms,337 ms,33%
51,8.86 MB,6.70 GB,3.19 ms,345 ms,45%
52,8.86 MB,6.70 GB,3.27 ms,354 ms,3%
53,8.86 MB,6.70 GB,3.34 ms,359 ms,43%
54,8.86 MB,6.70 GB,3.42 ms,368 ms,43%
55,8.86 MB,6.70 GB,3.49 ms,376 ms,69%
56,8.86 MB,6.70 GB,2.86 ms,385 ms,53%
57,8.86 MB,6.70 GB,2.86 ms,393 ms,38%
