Index,AUTO-cpu-revision,AUTO-gpu-revision,CPU,GPU
0,2.7066666666666666e-05,,0.0104017,0.00018199999999999998
1,2.3633333333333333e-05,,0.010966699999999998,0.00015225
2,2.3199999999999998e-05,,0.011531733333333334,0.00014875
3,2.3666666666666665e-05,,0.012130400000000001,0.000145
4,2.3100000000000002e-05,,0.012695399999999997,0.00014125
5,2.2566666666666665e-05,,0.013260566666666668,0.0001375
6,1.2466666666666667e-05,,0.0138251,0.00011689999999999998
7,1.2199999999999998e-05,,0.014390266666666665,7.703333333333333e-05
8,1.1966666666666668e-05,,0.0149554,4.466666666666667e-05
9,7.276666666666667e-06,,0.015520566666666666,5.7333333333333336e-05
10,7.056666666666666e-06,,0.016119066666666668,5.566666666666667e-05
11,6.8366666666666676e-06,,0.016684233333333333,5.433333333333334e-05
12,6.616666666666667e-06,,0.017249366666666665,5.266666666666666e-05
13,6.396666666666666e-06,,0.1731109,5.133333333333333e-05
14,6.180000000000001e-06,,0.1870348,4.966666666666666e-05
15,0.5086666666666667,,0.2682541666666666,4.8e-05
16,0.5463333333333333,,0.2871535333333333,4.6666666666666665e-05
17,0.6605,,0.6140195666666667,4.5e-05
18,0.7045,,0.6410189333333334,4.366666666666667e-05
19,0.7477499999999999,,0.764263725,4.2e-05
20,0.7925,,1.085,4.066666666666667e-05
21,0.8325,,1.1400000000000001,3.9e-05
22,0.8799999999999999,,1.19,3.766666666666666e-05
23,0.925,,1.245,0.087
24,0.9675,,1.295,0.0935
25,1.01,,1.3499999999999999,0.15350000000000003
26,1.46,,1.4825000000000002,0.1788
27,1.5225,,1.5399999999999998,0.2365
28,1.48,,1.5925,0.24925
29,1.5275,,1.6475,0.2625
30,1.67,,1.705,0.2755
31,1.7225,,1.85,0.28825
32,1.8559999999999999,,1.9099999999999997,0.30125
33,1.7979999999999996,,1.9700000000000002,0.314
34,2.086,,2.2380000000000004,0.32725
35,2.1439999999999997,,2.1739999999999995,0.34
36,2.4219999999999997,,2.3120000000000003,0.353
37,2.4939999999999998,,2.574,0.34650000000000003
38,2.566,,2.644,0.39625
39,2.51,,2.608,0.40975
40,2.566,,2.666,0.42324999999999996
41,2.622,,2.936,0.437
42,2.7299999999999995,,3.01,0.41725
43,3.0100000000000002,,3.13,0.4365
44,3.0839999999999996,,3.252,0.425
45,3.038,,3.3280000000000003,0.4366
