"Time","GPU 0","GPU 0"
2025-09-14 15:06:03,,0%
2025-09-14 15:06:04,,0%
2025-09-14 15:06:05,,0%
2025-09-14 15:06:06,,0%
2025-09-14 15:06:07,,0%
2025-09-14 15:06:08,,0%
2025-09-14 15:06:09,,0%
2025-09-14 15:06:10,,0%
2025-09-14 15:06:11,,0%
2025-09-14 15:06:12,,0%
2025-09-14 15:06:13,,0%
2025-09-14 15:06:14,,0%
2025-09-14 15:06:15,,0%
2025-09-14 15:06:16,,0%
2025-09-14 15:06:17,,0%
2025-09-14 15:06:18,,0%
2025-09-14 15:06:19,,0%
2025-09-14 15:06:20,,0%
2025-09-14 15:06:21,,0%
2025-09-14 15:06:22,,0%
2025-09-14 15:06:23,,0%
2025-09-14 15:06:24,,0%
2025-09-14 15:06:25,,0%
2025-09-14 15:06:26,,0%
2025-09-14 15:06:27,,0%
2025-09-14 15:06:28,,0%
2025-09-14 15:06:29,,0%
2025-09-14 15:06:30,,0%
2025-09-14 15:06:31,,0%
2025-09-14 15:06:32,,0%
2025-09-14 15:06:33,,0%
2025-09-14 15:06:34,,0%
2025-09-14 15:06:35,,0%
2025-09-14 15:06:36,,0%
2025-09-14 15:06:37,,0%
2025-09-14 15:06:38,,0%
2025-09-14 15:06:39,,0%
2025-09-14 15:06:40,,0%
2025-09-14 15:06:41,,0%
2025-09-14 15:06:42,,0%
2025-09-14 15:06:43,,0%
2025-09-14 15:06:44,,0%
2025-09-14 15:06:45,,0%
2025-09-14 15:06:46,,0%
2025-09-14 15:06:47,,0%
2025-09-14 15:06:48,,0%
2025-09-14 15:06:49,,0%
2025-09-14 15:06:50,,0%
2025-09-14 15:06:51,,0%
2025-09-14 15:06:52,,0%
2025-09-14 15:06:53,,0%
2025-09-14 15:06:54,,0%
2025-09-14 15:06:55,,0%
2025-09-14 15:06:56,,0%
2025-09-14 15:06:57,,0%
2025-09-14 15:06:58,,0%
2025-09-14 15:06:59,,0%
2025-09-14 15:07:00,,0%
2025-09-14 15:07:01,,0%
2025-09-14 15:07:02,,0%
2025-09-14 15:07:03,0%,
2025-09-14 15:07:04,0%,
2025-09-14 15:07:05,0%,
2025-09-14 15:07:06,0%,
2025-09-14 15:07:07,0%,
2025-09-14 15:07:08,0%,
2025-09-14 15:07:09,0%,
2025-09-14 15:07:10,0%,
2025-09-14 15:07:11,0%,
2025-09-14 15:07:12,0%,
2025-09-14 15:07:13,0%,
2025-09-14 15:07:14,0%,
2025-09-14 15:07:15,90%,
2025-09-14 15:07:16,21%,
2025-09-14 15:07:17,0%,
2025-09-14 15:07:18,0%,
2025-09-14 15:07:19,0%,
2025-09-14 15:07:20,26%,
2025-09-14 15:07:21,0%,
2025-09-14 15:07:22,0%,
2025-09-14 15:07:23,100%,
2025-09-14 15:07:24,0%,
2025-09-14 15:07:25,0%,
2025-09-14 15:07:26,45%,
2025-09-14 15:07:27,0%,
2025-09-14 15:07:28,0%,
2025-09-14 15:07:29,0%,
2025-09-14 15:07:30,0%,
2025-09-14 15:07:31,100%,
2025-09-14 15:07:32,0%,
2025-09-14 15:07:33,0%,
2025-09-14 15:07:34,0%,
2025-09-14 15:07:35,36%,
2025-09-14 15:07:36,0%,
2025-09-14 15:07:37,31%,
2025-09-14 15:07:38,0%,
2025-09-14 15:07:39,52%,
2025-09-14 15:07:40,0%,
2025-09-14 15:07:41,28%,
2025-09-14 15:07:42,0%,
2025-09-14 15:07:43,42%,
2025-09-14 15:07:44,0%,
2025-09-14 15:07:45,40%,
2025-09-14 15:07:46,0%,
2025-09-14 15:07:47,30%,
2025-09-14 15:07:48,0%,
2025-09-14 15:07:49,56%,
2025-09-14 15:07:50,0%,
