"Time","queue-proxy","user-container"
2025-09-14 15:11:37,177 µs,19.4 µs
2025-09-14 15:11:38,173 µs,19.0 µs
2025-09-14 15:11:39,169 µs,18.6 µs
2025-09-14 15:11:40,166 µs,18.2 µs
2025-09-14 15:11:41,162 µs,17.8 µs
2025-09-14 15:11:42,158 µs,17.4 µs
2025-09-14 15:11:43,154 µs,17.0 µs
2025-09-14 15:11:44,151 µs,16.6 µs
2025-09-14 15:11:45,147 µs,16.2 µs
2025-09-14 15:11:46,143 µs,0 s
2025-09-14 15:11:47,139 µs,0 s
2025-09-14 15:11:48,43.1 µs,0 s
2025-09-14 15:11:49,43.1 µs,0 s
2025-09-14 15:11:50,43.1 µs,0 s
2025-09-14 15:11:51,43.1 µs,0 s
2025-09-14 15:11:52,43.1 µs,0 s
2025-09-14 15:11:53,55.1 µs,0 s
2025-09-14 15:11:54,53.3 µs,0 s
2025-09-14 15:11:55,51.4 µs,0 s
2025-09-14 15:11:56,49.6 µs,0 s
2025-09-14 15:11:57,47.7 µs,0 s
2025-09-14 15:11:58,45.9 µs,0 s
2025-09-14 15:11:59,44.0 µs,0 s
2025-09-14 15:12:00,42.2 µs,0 s
2025-09-14 15:12:01,40.4 µs,0 s
2025-09-14 15:12:02,38.5 µs,0 s
2025-09-14 15:12:03,36.7 µs,
2025-09-14 15:12:04,34.8 µs,
2025-09-14 15:12:05,33.0 µs,
2025-09-14 15:12:09,,2.17 s
2025-09-14 15:12:10,,2.24 s
2025-09-14 15:12:11,,2.31 s
2025-09-14 15:12:12,1.12 ms,2.38 s
2025-09-14 15:12:13,1.15 ms,2.45 s
2025-09-14 15:12:14,1.17 ms,2.52 s
2025-09-14 15:12:15,1.20 ms,2.59 s
2025-09-14 15:12:16,1.23 ms,2.66 s
2025-09-14 15:12:17,1.26 ms,2.73 s
2025-09-14 15:12:18,1.28 ms,2.80 s
2025-09-14 15:12:19,1.31 ms,3.13 s
2025-09-14 15:12:20,1.34 ms,3.21 s
2025-09-14 15:12:21,1.36 ms,3.29 s
2025-09-14 15:12:22,1.39 ms,3.36 s
2025-09-14 15:12:23,1.42 ms,3.44 s
2025-09-14 15:12:24,1.45 ms,3.52 s
2025-09-14 15:12:25,1.47 ms,3.59 s
2025-09-14 15:12:26,1.50 ms,3.67 s
2025-09-14 15:12:27,1.53 ms,3.75 s
2025-09-14 15:12:28,1.55 ms,3.82 s
2025-09-14 15:12:29,1.28 ms,3.90 s
2025-09-14 15:12:30,1.28 ms,4.12 s
2025-09-14 15:12:31,1.28 ms,4.20 s
2025-09-14 15:12:32,1.28 ms,4.28 s
2025-09-14 15:12:33,1.28 ms,4.36 s
2025-09-14 15:12:34,1.28 ms,4.44 s
2025-09-14 15:12:35,1.28 ms,4.52 s
2025-09-14 15:12:36,1.28 ms,4.60 s
