"Time","queue-proxy","user-container"
2025-09-14 15:25:23,,165 ms
2025-09-14 15:25:24,697 µs,176 ms
2025-09-14 15:25:25,728 µs,188 ms
2025-09-14 15:25:26,760 µs,200 ms
2025-09-14 15:25:27,792 µs,212 ms
2025-09-14 15:25:28,823 µs,224 ms
2025-09-14 15:25:29,855 µs,236 ms
2025-09-14 15:25:30,887 µs,247 ms
2025-09-14 15:25:31,918 µs,259 ms
2025-09-14 15:25:32,950 µs,271 ms
2025-09-14 15:25:33,982 µs,283 ms
2025-09-14 15:25:34,1.01 ms,295 ms
2025-09-14 15:25:35,1.05 ms,306 ms
2025-09-14 15:25:36,750 µs,318 ms
2025-09-14 15:25:37,773 µs,230 ms
2025-09-14 15:25:38,795 µs,230 ms
2025-09-14 15:25:39,818 µs,420 ms
2025-09-14 15:25:40,840 µs,434 ms
2025-09-14 15:25:41,863 µs,448 ms
2025-09-14 15:25:42,885 µs,462 ms
2025-09-14 15:25:43,907 µs,476 ms
2025-09-14 15:25:44,930 µs,490 ms
2025-09-14 15:25:45,952 µs,504 ms
2025-09-14 15:25:46,975 µs,518 ms
2025-09-14 15:25:47,997 µs,532 ms
2025-09-14 15:25:48,1.02 ms,546 ms
2025-09-14 15:25:49,1.04 ms,560 ms
2025-09-14 15:25:50,1.06 ms,574 ms
2025-09-14 15:25:51,894 µs,588 ms
2025-09-14 15:25:52,913 µs,602 ms
2025-09-14 15:25:53,931 µs,616 ms
2025-09-14 15:25:54,949 µs,630 ms
2025-09-14 15:25:55,1.10 ms,509 ms
2025-09-14 15:25:56,1.10 ms,690 ms
2025-09-14 15:25:57,1.10 ms,705 ms
2025-09-14 15:25:58,1.10 ms,719 ms
2025-09-14 15:25:59,1.10 ms,734 ms
2025-09-14 15:26:00,1.10 ms,749 ms
2025-09-14 15:26:01,1.10 ms,764 ms
2025-09-14 15:26:02,1.10 ms,778 ms
2025-09-14 15:26:03,1.10 ms,793 ms
2025-09-14 15:26:04,1.10 ms,808 ms
2025-09-14 15:26:05,1.10 ms,822 ms
2025-09-14 15:26:06,943 µs,837 ms
2025-09-14 15:26:07,925 µs,852 ms
2025-09-14 15:26:08,906 µs,867 ms
2025-09-14 15:26:09,925 µs,881 ms
2025-09-14 15:26:10,615 µs,913 ms
2025-09-14 15:26:11,615 µs,928 ms
2025-09-14 15:26:12,615 µs,944 ms
2025-09-14 15:26:13,615 µs,955 ms
2025-09-14 15:26:14,615 µs,955 ms
2025-09-14 15:26:15,615 µs,955 ms
2025-09-14 15:26:16,615 µs,955 ms
2025-09-14 15:26:17,615 µs,955 ms
2025-09-14 15:26:18,615 µs,955 ms
2025-09-14 15:26:19,615 µs,955 ms
2025-09-14 15:26:20,615 µs,955 ms
2025-09-14 15:26:21,615 µs,955 ms
2025-09-14 15:26:22,615 µs,955 ms
2025-09-14 15:26:23,615 µs,957 ms
2025-09-14 15:26:24,585 µs,957 ms
2025-09-14 15:26:25,585 µs,957 ms
2025-09-14 15:26:26,585 µs,957 ms
2025-09-14 15:26:27,486 µs,957 ms
2025-09-14 15:26:28,477 µs,957 ms
2025-09-14 15:26:29,577 µs,957 ms
2025-09-14 15:26:30,577 µs,957 ms
2025-09-14 15:26:31,577 µs,957 ms
2025-09-14 15:26:32,577 µs,957 ms
2025-09-14 15:26:33,577 µs,957 ms
2025-09-14 15:26:34,577 µs,957 ms
2025-09-14 15:26:35,577 µs,958 ms
2025-09-14 15:26:36,546 µs,958 ms
2025-09-14 15:26:37,546 µs,958 ms
2025-09-14 15:26:38,546 µs,958 ms
2025-09-14 15:26:39,546 µs,805 ms
2025-09-14 15:26:40,546 µs,821 ms
2025-09-14 15:26:41,546 µs,962 ms
2025-09-14 15:26:42,558 µs,962 ms
2025-09-14 15:26:43,558 µs,962 ms
2025-09-14 15:26:44,558 µs,962 ms
2025-09-14 15:26:45,558 µs,962 ms
2025-09-14 15:26:46,558 µs,962 ms
2025-09-14 15:26:47,558 µs,962 ms
2025-09-14 15:26:48,558 µs,962 ms
2025-09-14 15:26:49,558 µs,830 ms
2025-09-14 15:26:50,558 µs,814 ms
2025-09-14 15:26:51,576 µs,798 ms
2025-09-14 15:26:52,576 µs,782 ms
2025-09-14 15:26:53,576 µs,765 ms
2025-09-14 15:26:54,576 µs,749 ms
2025-09-14 15:26:55,576 µs,733 ms
2025-09-14 15:26:56,576 µs,528 ms
2025-09-14 15:26:57,576 µs,528 ms
2025-09-14 15:26:58,576 µs,528 ms
2025-09-14 15:26:59,576 µs,528 ms
2025-09-14 15:27:00,475 µs,528 ms
2025-09-14 15:27:01,466 µs,620 ms
2025-09-14 15:27:02,456 µs,604 ms
2025-09-14 15:27:03,447 µs,588 ms
2025-09-14 15:27:04,437 µs,572 ms
2025-09-14 15:27:05,427 µs,556 ms
2025-09-14 15:27:06,418 µs,540 ms
2025-09-14 15:27:07,408 µs,524 ms
2025-09-14 15:27:08,399 µs,508 ms
2025-09-14 15:27:09,253 µs,492 ms
2025-09-14 15:27:10,253 µs,699 ms
2025-09-14 15:27:11,469 µs,699 ms
2025-09-14 15:27:12,469 µs,699 ms
2025-09-14 15:27:13,469 µs,637 ms
2025-09-14 15:27:14,469 µs,637 ms
2025-09-14 15:27:15,469 µs,637 ms
2025-09-14 15:27:16,469 µs,637 ms
2025-09-14 15:27:17,469 µs,637 ms
2025-09-14 15:27:18,469 µs,637 ms
2025-09-14 15:27:19,469 µs,637 ms
2025-09-14 15:27:20,469 µs,637 ms
2025-09-14 15:27:21,469 µs,637 ms
2025-09-14 15:27:22,469 µs,637 ms
2025-09-14 15:27:23,469 µs,637 ms
2025-09-14 15:27:24,469 µs,537 ms
2025-09-14 15:27:25,469 µs,382 ms
2025-09-14 15:27:26,469 µs,382 ms
2025-09-14 15:27:27,469 µs,382 ms
2025-09-14 15:27:28,469 µs,382 ms
2025-09-14 15:27:29,396 µs,382 ms
2025-09-14 15:27:30,396 µs,382 ms
2025-09-14 15:27:31,396 µs,382 ms
2025-09-14 15:27:32,396 µs,382 ms
2025-09-14 15:27:33,396 µs,382 ms
2025-09-14 15:27:34,396 µs,382 ms
2025-09-14 15:27:35,396 µs,190 µs
2025-09-14 15:27:36,396 µs,196 µs
2025-09-14 15:27:37,396 µs,202 µs
2025-09-14 15:27:38,396 µs,208 µs
2025-09-14 15:27:39,396 µs,216 µs
2025-09-14 15:27:40,380 µs,222 µs
2025-09-14 15:27:41,380 µs,228 µs
2025-09-14 15:27:42,225 µs,234 µs
2025-09-14 15:27:43,231 µs,240 µs
2025-09-14 15:27:44,237 µs,245 µs
2025-09-14 15:27:45,243 µs,251 µs
2025-09-14 15:27:46,249 µs,257 µs
2025-09-14 15:27:47,254 µs,263 µs
2025-09-14 15:27:48,260 µs,269 µs
2025-09-14 15:27:49,266 µs,275 µs
2025-09-14 15:27:50,272 µs,281 µs
2025-09-14 15:27:51,277 µs,287 µs
2025-09-14 15:27:52,283 µs,292 µs
2025-09-14 15:27:53,289 µs,298 µs
