step,ram-cpu_queue-proxy,ram-cpu_user-container,ram-gpu_queue-proxy,ram-gpu_user-container,cpu-cpu_queue-proxy,cpu-cpu_user-container,cpu-gpu_queue-proxy,cpu-gpu_user-container,gpu_gpu_0
0,6.46 MB,269 MB,,,71.9 µs,9.50 µs,,,
1,6.46 MB,269 MB,,,92.5 µs,9.50 µs,,,
2,6.46 MB,269 MB,,,89.4 µs,9.50 µs,,,
3,6.46 MB,269 MB,,,86.2 µs,12.1 µs,,,
4,6.46 MB,269 MB,,,83.0 µs,11.7 µs,,,
5,13.5 MB,269 MB,,,79.8 µs,11.4 µs,,,
6,13.5 MB,269 MB,,,76.7 µs,11.0 µs,,,
7,13.5 MB,269 MB,,,73.5 µs,10.6 µs,,,
8,13.5 MB,269 MB,,,70.3 µs,10.3 µs,,,
9,13.5 MB,269 MB,,,67.1 µs,9.93 µs,,,
10,13.5 MB,269 MB,,,64.0 µs,9.57 µs,,,
11,13.5 MB,269 MB,,,60.8 µs,9.21 µs,,,
12,13.5 MB,269 MB,,,57.6 µs,8.85 µs,,,
13,13.5 MB,269 MB,,,54.4 µs,8.49 µs,,,
14,13.5 MB,269 MB,,,,8.14 µs,,,
15,13.5 MB,979 MB,,,,746 ms,,,
16,13.5 MB,979 MB,,,,802 ms,,,
17,13.5 MB,979 MB,,,,858 ms,,,
18,13.5 MB,979 MB,,,,915 ms,,,
19,13.7 MB,979 MB,,,476 µs,971 ms,,,
20,13.7 MB,979 MB,,,499 µs,1.03 s,,,
21,13.7 MB,979 MB,,,522 µs,1.08 s,,,
22,13.7 MB,979 MB,,,545 µs,1.14 s,,,
23,13.7 MB,979 MB,,,568 µs,1.20 s,,,
24,13.7 MB,979 MB,,,591 µs,1.25 s,,,
25,13.7 MB,979 MB,,,614 µs,1.31 s,,,
26,13.7 MB,979 MB,,,637 µs,1.37 s,,,
27,13.7 MB,979 MB,,,659 µs,1.42 s,,,
28,13.7 MB,979 MB,,,682 µs,1.48 s,,,
29,13.7 MB,979 MB,,,705 µs,1.53 s,,,
30,13.7 MB,569 MB,,,728 µs,1.94 s,,,
31,13.7 MB,569 MB,,,751 µs,2.01 s,,,
32,13.7 MB,569 MB,,,774 µs,2.08 s,,,
33,13.8 MB,569 MB,,,595 µs,2.15 s,,,
34,13.8 MB,569 MB,,,612 µs,2.22 s,,,
35,13.8 MB,569 MB,,,629 µs,2.29 s,,,
36,13.8 MB,569 MB,,,646 µs,2.36 s,,,
37,13.8 MB,569 MB,,,663 µs,2.43 s,,,
38,13.8 MB,569 MB,,,680 µs,2.50 s,,,
39,13.8 MB,569 MB,,,697 µs,2.56 s,,,
40,13.8 MB,569 MB,,,714 µs,2.63 s,,,
41,13.8 MB,569 MB,,,731 µs,2.70 s,,,
42,13.8 MB,569 MB,,,748 µs,2.77 s,,,
43,13.8 MB,569 MB,,,765 µs,2.84 s,,,
44,13.9 MB,569 MB,,,711 µs,2.91 s,,,
45,13.9 MB,569 MB,,,726 µs,2.38 s,,,
46,13.9 MB,1.68 GB,,,742 µs,3.39 s,,,
47,13.9 MB,1.68 GB,,,757 µs,3.47 s,,,
48,13.9 MB,1.68 GB,,,773 µs,3.55 s,,,
49,13.9 MB,1.68 GB,,,789 µs,3.62 s,,,
50,13.9 MB,1.68 GB,,,804 µs,3.70 s,,,
51,13.9 MB,1.68 GB,,,935 µs,3.78 s,,,
52,13.9 MB,1.68 GB,,,935 µs,3.85 s,,,
53,13.9 MB,1.68 GB,,,935 µs,3.93 s,,,
54,13.9 MB,1.68 GB,,,935 µs,4.01 s,,,
55,13.9 MB,1.68 GB,,,935 µs,4.08 s,,,
56,13.9 MB,1.68 GB,,,935 µs,4.16 s,,,
57,13.9 MB,1.82 GB,,,935 µs,4.38 s,,,
58,13.9 MB,1.82 GB,,,935 µs,4.46 s,,,
59,13.9 MB,1.82 GB,,,800 µs,4.54 s,,,
60,13.9 MB,1.82 GB,,,784 µs,4.62 s,,,0%
61,13.9 MB,1.82 GB,,,768 µs,4.70 s,,,0%
62,13.9 MB,1.82 GB,,270 MB,753 µs,4.81 s,,,0%
63,14.0 MB,1.82 GB,,270 MB,808 µs,4.90 s,,,0%
64,14.0 MB,1.82 GB,,270 MB,808 µs,4.99 s,,,0%
65,14.0 MB,1.82 GB,6.16 MB,270 MB,637 µs,5.07 s,,,0%
66,14.0 MB,1.82 GB,6.16 MB,270 MB,637 µs,5.16 s,,,0%
67,14.0 MB,1.82 GB,6.16 MB,270 MB,637 µs,5.18 s,,,0%
68,14.0 MB,1.82 GB,6.16 MB,270 MB,637 µs,5.18 s,,,0%
69,14.0 MB,1.82 GB,6.16 MB,270 MB,637 µs,5.18 s,,,0%
70,14.0 MB,572 MB,6.16 MB,270 MB,637 µs,4.85 s,,,0%
71,14.0 MB,572 MB,6.16 MB,270 MB,637 µs,4.85 s,,,0%
72,14.0 MB,572 MB,6.16 MB,270 MB,637 µs,4.85 s,,,90%
73,14.0 MB,572 MB,6.16 MB,270 MB,637 µs,4.85 s,,,21%
74,14.0 MB,572 MB,6.16 MB,270 MB,637 µs,4.85 s,,,0%
75,14.0 MB,572 MB,6.16 MB,270 MB,637 µs,4.86 s,,,0%
76,14.0 MB,572 MB,7.00 MB,270 MB,637 µs,4.86 s,279 µs,,0%
77,14.0 MB,572 MB,7.00 MB,270 MB,637 µs,4.86 s,296 µs,,26%
78,14.0 MB,572 MB,7.00 MB,270 MB,637 µs,4.86 s,313 µs,,0%
79,14.0 MB,572 MB,7.00 MB,270 MB,522 µs,4.86 s,330 µs,,0%
80,14.0 MB,572 MB,7.00 MB,1.31 GB,512 µs,3.86 s,347 µs,256 ms,100%
81,14.1 MB,572 MB,7.00 MB,1.31 GB,534 µs,3.86 s,364 µs,268 ms,0%
82,14.1 MB,572 MB,7.00 MB,1.31 GB,534 µs,3.86 s,381 µs,281 ms,0%
83,14.1 MB,572 MB,7.00 MB,1.31 GB,534 µs,3.86 s,398 µs,293 ms,45%
84,14.1 MB,572 MB,7.00 MB,1.31 GB,534 µs,3.86 s,415 µs,306 ms,0%
85,14.1 MB,572 MB,7.00 MB,1.31 GB,534 µs,3.86 s,432 µs,318 ms,0%
86,14.1 MB,572 MB,7.00 MB,1.31 GB,534 µs,3.86 s,449 µs,331 ms,0%
87,14.1 MB,572 MB,7.07 MB,1.31 GB,534 µs,3.86 s,389 µs,343 ms,0%
88,14.1 MB,572 MB,7.07 MB,1.31 GB,534 µs,3.86 s,404 µs,356 ms,100%
89,14.1 MB,572 MB,7.07 MB,1.31 GB,534 µs,3.86 s,418 µs,368 ms,0%
90,14.1 MB,572 MB,7.07 MB,1.31 GB,534 µs,2.58 s,432 µs,381 ms,0%
91,14.1 MB,572 MB,7.07 MB,1.31 GB,534 µs,1.97 s,446 µs,393 ms,0%
92,14.1 MB,572 MB,7.07 MB,1.31 GB,501 µs,2.01 s,460 µs,406 ms,36%
93,14.1 MB,572 MB,7.07 MB,1.64 GB,446 µs,2.05 s,474 µs,457 ms,0%
94,14.1 MB,572 MB,7.07 MB,1.64 GB,446 µs,2.34 s,488 µs,471 ms,31%
95,14.1 MB,572 MB,7.07 MB,1.64 GB,446 µs,2.34 s,503 µs,485 ms,0%
96,14.1 MB,572 MB,7.07 MB,1.64 GB,446 µs,2.34 s,517 µs,499 ms,52%
97,14.1 MB,572 MB,7.07 MB,1.64 GB,446 µs,2.34 s,531 µs,512 ms,0%
98,14.1 MB,572 MB,7.12 MB,1.64 GB,446 µs,2.34 s,521 µs,526 ms,28%
99,14.1 MB,572 MB,7.12 MB,1.64 GB,446 µs,2.34 s,535 µs,540 ms,0%
100,14.1 MB,572 MB,7.12 MB,1.64 GB,446 µs,2.34 s,548 µs,554 ms,42%
101,14.1 MB,572 MB,7.12 MB,1.64 GB,446 µs,2.34 s,562 µs,568 ms,0%
102,14.1 MB,572 MB,7.12 MB,1.64 GB,446 µs,2.34 s,575 µs,581 ms,40%
103,14.1 MB,572 MB,7.12 MB,1.30 GB,446 µs,2.34 s,589 µs,616 ms,0%
104,14.1 MB,572 MB,7.12 MB,1.30 GB,311 µs,2.04 s,603 µs,630 ms,30%
105,14.1 MB,572 MB,7.12 MB,1.30 GB,318 µs,2.00 s,616 µs,644 ms,0%
106,14.1 MB,572 MB,7.12 MB,1.30 GB,324 µs,939 ms,630 µs,658 ms,56%
107,14.1 MB,572 MB,7.12 MB,1.30 GB,383 µs,939 ms,643 µs,673 ms,0%
108,14.1 MB,572 MB,7.12 MB,1.30 GB,323 µs,939 ms,657 µs,687 ms,0%
109,14.1 MB,572 MB,7.12 MB,1.30 GB,316 µs,939 ms,670 µs,701 ms,0%
110,14.1 MB,572 MB,7.12 MB,1.30 GB,310 µs,939 ms,585 µs,715 ms,0%
111,14.1 MB,572 MB,7.12 MB,1.30 GB,303 µs,939 ms,585 µs,730 ms,100%
112,14.1 MB,572 MB,7.12 MB,1.30 GB,297 µs,939 ms,585 µs,744 ms,0%
113,14.1 MB,572 MB,7.12 MB,1.30 GB,291 µs,939 ms,585 µs,758 ms,27%
114,14.1 MB,572 MB,7.31 MB,1.30 GB,284 µs,939 ms,758 µs,773 ms,0%
115,14.1 MB,572 MB,7.31 MB,1.30 GB,278 µs,939 ms,758 µs,787 ms,0%
116,14.1 MB,572 MB,7.31 MB,1.30 GB,271 µs,939 ms,758 µs,801 ms,0%
117,14.1 MB,572 MB,7.31 MB,744 MB,265 µs,106 µs,758 µs,838 ms,0%
118,14.1 MB,572 MB,7.31 MB,744 MB,259 µs,106 µs,758 µs,853 ms,100%
119,14.1 MB,572 MB,7.31 MB,744 MB,252 µs,106 µs,758 µs,867 ms,0%
120,14.1 MB,572 MB,7.31 MB,744 MB,246 µs,106 µs,758 µs,881 ms,73%
121,14.1 MB,572 MB,7.31 MB,744 MB,240 µs,106 µs,758 µs,881 ms,0%
122,14.1 MB,572 MB,7.31 MB,744 MB,233 µs,106 µs,758 µs,763 ms,0%
123,14.1 MB,572 MB,7.31 MB,744 MB,131 µs,106 µs,758 µs,779 ms,100%
124,14.1 MB,572 MB,7.31 MB,744 MB,131 µs,106 µs,758 µs,795 ms,0%
125,14.1 MB,572 MB,7.31 MB,744 MB,131 µs,106 µs,684 µs,810 ms,0%
126,14.1 MB,572 MB,7.31 MB,744 MB,131 µs,106 µs,684 µs,826 ms,100%
127,14.5 MB,572 MB,7.31 MB,744 MB,404 µs,106 µs,684 µs,943 ms,0%
128,14.5 MB,572 MB,7.31 MB,744 MB,404 µs,106 µs,595 µs,943 ms,0%
129,14.5 MB,572 MB,7.31 MB,744 MB,404 µs,106 µs,583 µs,943 ms,12%
130,14.5 MB,572 MB,7.43 MB,744 MB,404 µs,87.2 µs,653 µs,943 ms,0%
131,14.5 MB,572 MB,7.43 MB,744 MB,404 µs,85.5 µs,653 µs,812 ms,46%
132,14.5 MB,572 MB,7.43 MB,2.32 GB,404 µs,83.9 µs,653 µs,950 ms,0%
133,14.5 MB,572 MB,7.43 MB,2.32 GB,404 µs,82.2 µs,653 µs,950 ms,0%
134,14.5 MB,572 MB,7.43 MB,2.32 GB,404 µs,80.6 µs,653 µs,950 ms,100%
135,14.5 MB,572 MB,7.43 MB,2.32 GB,404 µs,78.9 µs,653 µs,950 ms,0%
136,14.5 MB,572 MB,7.43 MB,2.32 GB,404 µs,86.4 µs,644 µs,950 ms,0%
137,14.5 MB,572 MB,7.43 MB,2.32 GB,404 µs,86.4 µs,644 µs,950 ms,100%
138,14.5 MB,572 MB,7.43 MB,2.32 GB,404 µs,86.4 µs,644 µs,950 ms,0%
139,14.5 MB,572 MB,7.43 MB,2.32 GB,404 µs,86.4 µs,644 µs,950 ms,0%
140,14.5 MB,572 MB,7.43 MB,2.32 GB,404 µs,74.6 µs,644 µs,956 ms,0%
141,14.5 MB,572 MB,7.43 MB,2.32 GB,339 µs,74.6 µs,644 µs,956 ms,0%
142,14.5 MB,572 MB,7.43 MB,2.32 GB,339 µs,74.6 µs,644 µs,956 ms,55%
143,14.5 MB,572 MB,7.60 MB,2.32 GB,339 µs,74.6 µs,633 µs,956 ms,40%
144,14.5 MB,572 MB,7.60 MB,2.32 GB,339 µs,74.6 µs,633 µs,956 ms,0%
145,14.5 MB,572 MB,7.60 MB,2.32 GB,339 µs,74.6 µs,633 µs,956 ms,0%
146,14.5 MB,572 MB,7.60 MB,2.32 GB,339 µs,74.6 µs,633 µs,824 ms,24%
147,14.5 MB,572 MB,7.60 MB,2.32 GB,339 µs,74.6 µs,608 µs,808 ms,0%
148,14.5 MB,572 MB,7.60 MB,2.32 GB,339 µs,74.6 µs,608 µs,792 ms,0%
149,14.5 MB,572 MB,7.60 MB,2.12 GB,339 µs,74.6 µs,608 µs,958 ms,40%
150,14.5 MB,572 MB,7.60 MB,2.12 GB,339 µs,74.6 µs,608 µs,958 ms,0%
151,14.5 MB,572 MB,7.60 MB,2.12 GB,339 µs,66.5 µs,608 µs,958 ms,0%
152,14.5 MB,572 MB,7.60 MB,2.12 GB,78.0 µs,66.5 µs,608 µs,958 ms,82%
153,14.5 MB,572 MB,7.60 MB,2.12 GB,80.4 µs,55.7 µs,608 µs,961 ms,0%
154,14.5 MB,572 MB,7.60 MB,2.12 GB,82.8 µs,54.6 µs,608 µs,961 ms,0%
