"Time","queue-proxy","user-container"
2025-09-14 10:30:43,12.6 MB,16.3 GB
2025-09-14 10:30:44,12.6 MB,16.3 GB
2025-09-14 10:30:45,16.5 MB,16.3 GB
2025-09-14 10:30:46,16.5 MB,16.3 GB
2025-09-14 10:30:47,16.5 MB,16.3 GB
2025-09-14 10:30:48,16.5 MB,16.3 GB
2025-09-14 10:30:49,16.5 MB,16.3 GB
2025-09-14 10:30:50,16.5 MB,16.3 GB
2025-09-14 10:30:51,16.5 MB,16.3 GB
2025-09-14 10:30:52,16.5 MB,16.3 GB
2025-09-14 10:30:53,16.5 MB,16.3 GB
2025-09-14 10:30:54,16.5 MB,16.3 GB
2025-09-14 10:30:55,16.5 MB,16.3 GB
2025-09-14 10:30:56,16.5 MB,16.3 GB
2025-09-14 10:30:57,16.5 MB,16.3 GB
2025-09-14 10:30:58,16.5 MB,16.3 GB
2025-09-14 10:30:59,16.5 MB,16.3 GB
2025-09-14 10:31:00,16.5 MB,16.3 GB
2025-09-14 10:31:01,16.5 MB,16.3 GB
2025-09-14 10:31:02,16.5 MB,16.3 GB
2025-09-14 10:31:03,16.5 MB,16.8 GB
2025-09-14 10:31:04,16.5 MB,16.8 GB
2025-09-14 10:31:05,16.5 MB,16.8 GB
2025-09-14 10:31:06,16.5 MB,16.8 GB
2025-09-14 10:31:07,16.5 MB,15.0 GB
2025-09-14 10:31:08,16.5 MB,15.0 GB
2025-09-14 10:31:09,20.9 MB,15.0 GB
2025-09-14 10:31:10,20.9 MB,15.0 GB
2025-09-14 10:31:11,20.9 MB,15.0 GB
2025-09-14 10:31:12,20.9 MB,15.0 GB
2025-09-14 10:31:13,20.9 MB,15.0 GB
2025-09-14 10:31:14,20.9 MB,15.0 GB
2025-09-14 10:31:15,20.9 MB,15.0 GB
2025-09-14 10:31:16,20.9 MB,15.0 GB
2025-09-14 10:31:17,20.9 MB,15.0 GB
2025-09-14 10:31:18,20.9 MB,15.0 GB
2025-09-14 10:31:19,20.9 MB,15.3 GB
2025-09-14 10:31:20,20.9 MB,15.3 GB
2025-09-14 10:31:21,20.9 MB,15.3 GB
2025-09-14 10:31:22,20.9 MB,15.3 GB
2025-09-14 10:31:23,20.9 MB,15.3 GB
2025-09-14 10:31:24,20.9 MB,15.3 GB
2025-09-14 10:31:25,20.9 MB,15.3 GB
2025-09-14 10:31:26,20.9 MB,15.3 GB
2025-09-14 10:31:27,20.9 MB,15.3 GB
2025-09-14 10:31:28,21.3 MB,15.3 GB
2025-09-14 10:31:29,21.3 MB,12.7 GB
2025-09-14 10:31:30,21.3 MB,13.3 GB
2025-09-14 10:31:31,21.3 MB,13.3 GB
2025-09-14 10:31:32,21.3 MB,13.3 GB
2025-09-14 10:31:33,21.3 MB,13.3 GB
2025-09-14 10:31:34,21.3 MB,13.3 GB
2025-09-14 10:31:35,21.3 MB,13.3 GB
2025-09-14 10:31:36,21.3 MB,13.3 GB
2025-09-14 10:31:37,21.3 MB,13.3 GB
2025-09-14 10:31:38,21.3 MB,13.3 GB
2025-09-14 10:31:39,21.3 MB,13.3 GB
2025-09-14 10:31:40,21.3 MB,13.3 GB
2025-09-14 10:31:41,21.3 MB,13.3 GB
2025-09-14 10:31:42,21.3 MB,13.3 GB
2025-09-14 10:31:43,21.3 MB,13.3 GB
2025-09-14 10:31:44,22.0 MB,13.3 GB
2025-09-14 10:31:45,22.0 MB,13.3 GB
2025-09-14 10:31:46,22.0 MB,13.3 GB
2025-09-14 10:31:47,22.0 MB,13.3 GB
2025-09-14 10:31:48,22.0 MB,13.3 GB
2025-09-14 10:31:49,22.0 MB,13.3 GB
2025-09-14 10:31:50,22.0 MB,13.3 GB
2025-09-14 10:31:51,22.0 MB,13.3 GB
2025-09-14 10:31:52,22.0 MB,13.3 GB
2025-09-14 10:31:53,22.0 MB,13.3 GB
2025-09-14 10:31:54,22.0 MB,13.3 GB
2025-09-14 10:31:55,22.0 MB,13.3 GB
2025-09-14 10:31:56,22.0 MB,13.3 GB
2025-09-14 10:31:57,22.0 MB,13.3 GB
2025-09-14 10:31:58,22.0 MB,13.3 GB
2025-09-14 10:31:59,22.0 MB,13.3 GB
2025-09-14 10:32:00,22.0 MB,13.3 GB
2025-09-14 10:32:01,22.0 MB,13.3 GB
2025-09-14 10:32:02,22.0 MB,13.3 GB
2025-09-14 10:32:03,22.0 MB,13.3 GB
2025-09-14 10:32:04,22.0 MB,13.3 GB
2025-09-14 10:32:05,22.0 MB,13.3 GB
2025-09-14 10:32:06,22.0 MB,13.3 GB
2025-09-14 10:32:07,22.0 MB,13.3 GB
2025-09-14 10:32:08,22.0 MB,13.3 GB
2025-09-14 10:32:09,22.0 MB,13.3 GB
2025-09-14 10:32:10,22.0 MB,15.7 GB
2025-09-14 10:32:11,22.0 MB,15.7 GB
2025-09-14 10:32:12,22.5 MB,15.7 GB
2025-09-14 10:32:13,22.5 MB,15.7 GB
2025-09-14 10:32:14,22.5 MB,14.2 GB
2025-09-14 10:32:15,22.5 MB,14.2 GB
2025-09-14 10:32:16,22.5 MB,14.2 GB
2025-09-14 10:32:17,22.5 MB,14.3 GB
2025-09-14 10:32:18,22.5 MB,14.3 GB
2025-09-14 10:32:19,22.5 MB,14.3 GB
2025-09-14 10:32:20,22.5 MB,14.3 GB
2025-09-14 10:32:21,22.5 MB,14.3 GB
2025-09-14 10:32:22,22.5 MB,14.3 GB
2025-09-14 10:32:23,22.5 MB,14.3 GB
2025-09-14 10:32:24,22.5 MB,14.3 GB
2025-09-14 10:32:25,22.5 MB,14.3 GB
2025-09-14 10:32:26,22.5 MB,14.3 GB
2025-09-14 10:32:27,22.5 MB,14.3 GB
2025-09-14 10:32:28,23.5 MB,14.3 GB
2025-09-14 10:32:29,23.5 MB,14.3 GB
2025-09-14 10:32:30,23.5 MB,14.3 GB
2025-09-14 10:32:31,23.5 MB,14.3 GB
2025-09-14 10:32:32,23.5 MB,14.3 GB
2025-09-14 10:32:33,23.5 MB,14.3 GB
2025-09-14 10:32:34,23.5 MB,14.3 GB
2025-09-14 10:32:35,23.5 MB,17.5 GB
2025-09-14 10:32:36,23.5 MB,17.5 GB
2025-09-14 10:32:37,23.5 MB,17.5 GB
2025-09-14 10:32:38,23.5 MB,17.5 GB
2025-09-14 10:32:39,23.5 MB,17.5 GB
2025-09-14 10:32:40,23.5 MB,17.5 GB
2025-09-14 10:32:41,23.5 MB,17.5 GB
2025-09-14 10:32:42,23.5 MB,17.5 GB
