"Time","queue-proxy","user-container"
2025-09-14 10:37:16,2.85 ms,31.0 ms
2025-09-14 10:37:17,2.85 ms,32.7 ms
2025-09-14 10:37:18,2.85 ms,34.4 ms
2025-09-14 10:37:19,2.85 ms,36.2 ms
2025-09-14 10:37:20,2.85 ms,37.9 ms
2025-09-14 10:37:21,2.85 ms,39.6 ms
2025-09-14 10:37:22,2.85 ms,41.3 ms
2025-09-14 10:37:23,2.85 ms,43.0 ms
2025-09-14 10:37:24,2.85 ms,44.7 ms
2025-09-14 10:37:25,2.85 ms,46.4 ms
2025-09-14 10:37:26,2.85 ms,48.2 ms
2025-09-14 10:37:27,2.58 ms,49.9 ms
2025-09-14 10:37:28,1.71 ms,51.6 ms
2025-09-14 10:37:29,1.75 ms,53.3 ms
2025-09-14 10:37:30,2.04 ms,55.0 ms
2025-09-14 10:37:31,2.04 ms,56.7 ms
2025-09-14 10:37:32,2.04 ms,58.4 ms
2025-09-14 10:37:33,2.04 ms,984 ms
2025-09-14 10:37:34,2.04 ms,1.01 s
2025-09-14 10:37:35,2.04 ms,1.04 s
2025-09-14 10:37:36,2.04 ms,1.07 s
2025-09-14 10:37:37,2.04 ms,1.10 s
2025-09-14 10:37:38,2.04 ms,1.12 s
2025-09-14 10:37:39,2.04 ms,1.15 s
2025-09-14 10:37:40,2.04 ms,1.18 s
2025-09-14 10:37:41,1.88 ms,1.21 s
2025-09-14 10:37:42,1.88 ms,1.24 s
2025-09-14 10:37:43,1.88 ms,1.27 s
2025-09-14 10:37:44,1.88 ms,1.29 s
2025-09-14 10:37:45,1.54 ms,1.32 s
2025-09-14 10:37:46,1.54 ms,1.35 s
2025-09-14 10:37:47,1.54 ms,1.38 s
2025-09-14 10:37:48,1.54 ms,1.41 s
2025-09-14 10:37:49,1.54 ms,1.43 s
2025-09-14 10:37:50,1.54 ms,2.48 s
2025-09-14 10:37:51,1.54 ms,2.52 s
2025-09-14 10:37:52,1.54 ms,2.57 s
2025-09-14 10:37:53,1.54 ms,2.62 s
2025-09-14 10:37:54,1.54 ms,2.67 s
2025-09-14 10:37:55,1.26 ms,2.71 s
2025-09-14 10:37:56,1.28 ms,2.76 s
2025-09-14 10:37:57,1.08 ms,2.81 s
2025-09-14 10:37:58,1.28 ms,2.86 s
2025-09-14 10:37:59,1.25 ms,3.14 s
2025-09-14 10:38:00,1.23 ms,3.43 s
2025-09-14 10:38:01,1.20 ms,3.50 s
2025-09-14 10:38:02,1.18 ms,3.58 s
2025-09-14 10:38:03,1.15 ms,3.65 s
2025-09-14 10:38:04,1.12 ms,3.73 s
2025-09-14 10:38:05,1.10 ms,3.81 s
2025-09-14 10:38:06,1.07 ms,3.88 s
2025-09-14 10:38:07,1.05 ms,3.96 s
2025-09-14 10:38:08,1.02 ms,4.03 s
2025-09-14 10:38:09,996 µs,4.11 s
2025-09-14 10:38:10,971 µs,4.19 s
2025-09-14 10:38:11,1.50 ms,4.26 s
2025-09-14 10:38:12,1.50 ms,4.34 s
2025-09-14 10:38:13,1.45 ms,4.41 s
2025-09-14 10:38:14,1.45 ms,4.49 s
2025-09-14 10:38:15,1.45 ms,4.56 s
2025-09-14 10:38:16,1.45 ms,3.66 s
2025-09-14 10:38:17,1.45 ms,3.66 s
2025-09-14 10:38:18,1.45 ms,4.02 s
2025-09-14 10:38:19,1.45 ms,4.02 s
2025-09-14 10:38:20,1.45 ms,4.02 s
2025-09-14 10:38:21,1.45 ms,4.02 s
2025-09-14 10:38:22,1.45 ms,3.97 s
2025-09-14 10:38:23,1.45 ms,3.88 s
2025-09-14 10:38:24,1.45 ms,3.79 s
2025-09-14 10:38:25,1.45 ms,3.70 s
2025-09-14 10:38:26,1.45 ms,3.61 s
2025-09-14 10:38:27,1.78 ms,3.52 s
2025-09-14 10:38:28,1.78 ms,3.43 s
2025-09-14 10:38:29,1.78 ms,3.35 s
2025-09-14 10:38:30,1.78 ms,3.26 s
2025-09-14 10:38:31,1.78 ms,3.17 s
2025-09-14 10:38:32,1.78 ms,3.08 s
2025-09-14 10:38:33,1.78 ms,1.94 s
2025-09-14 10:38:34,1.78 ms,1.94 s
2025-09-14 10:38:35,1.78 ms,1.94 s
2025-09-14 10:38:36,1.78 ms,3.71 s
2025-09-14 10:38:37,1.78 ms,3.81 s
2025-09-14 10:38:38,1.78 ms,4.43 s
2025-09-14 10:38:39,1.78 ms,4.44 s
2025-09-14 10:38:40,1.78 ms,4.44 s
2025-09-14 10:38:41,1.51 ms,4.44 s
2025-09-14 10:38:42,1.55 ms,4.45 s
2025-09-14 10:38:43,2.32 ms,4.45 s
2025-09-14 10:38:44,2.38 ms,4.45 s
2025-09-14 10:38:45,2.43 ms,4.45 s
2025-09-14 10:38:46,2.49 ms,4.46 s
2025-09-14 10:38:47,2.55 ms,4.46 s
2025-09-14 10:38:48,2.60 ms,4.46 s
2025-09-14 10:38:49,2.66 ms,4.47 s
2025-09-14 10:38:50,2.72 ms,3.09 s
2025-09-14 10:38:51,2.77 ms,3.18 s
2025-09-14 10:38:52,2.83 ms,3.28 s
2025-09-14 10:38:53,3.42 ms,3.37 s
2025-09-14 10:38:54,3.42 ms,3.47 s
2025-09-14 10:38:55,3.42 ms,3.56 s
2025-09-14 10:38:56,3.42 ms,3.68 s
2025-09-14 10:38:57,3.42 ms,3.77 s
2025-09-14 10:38:58,3.42 ms,3.87 s
2025-09-14 10:38:59,3.42 ms,3.96 s
2025-09-14 10:39:00,3.42 ms,4.06 s
2025-09-14 10:39:01,2.77 ms,4.15 s
2025-09-14 10:39:02,2.77 ms,4.25 s
2025-09-14 10:39:03,2.77 ms,4.35 s
2025-09-14 10:39:04,2.77 ms,4.44 s
2025-09-14 10:39:05,2.77 ms,4.54 s
2025-09-14 10:39:06,2.77 ms,4.63 s
2025-09-14 10:39:07,2.77 ms,4.73 s
2025-09-14 10:39:08,2.77 ms,4.82 s
2025-09-14 10:39:09,2.77 ms,4.92 s
2025-09-14 10:39:10,2.77 ms,5.01 s
2025-09-14 10:39:11,2.97 ms,5.11 s
2025-09-14 10:39:12,2.97 ms,5.20 s
2025-09-14 10:39:13,2.97 ms,5.33 s
2025-09-14 10:39:14,2.97 ms,5.42 s
2025-09-14 10:39:15,2.97 ms,5.52 s
2025-09-14 10:39:16,3.58 ms,5.61 s
2025-09-14 10:39:17,3.58 ms,5.71 s
2025-09-14 10:39:18,3.58 ms,5.77 s
2025-09-14 10:39:19,3.58 ms,5.77 s
2025-09-14 10:39:20,3.58 ms,5.77 s
2025-09-14 10:39:21,3.58 ms,5.77 s
2025-09-14 10:39:22,3.58 ms,5.77 s
2025-09-14 10:39:23,3.58 ms,5.77 s
2025-09-14 10:39:24,3.58 ms,5.77 s
2025-09-14 10:39:25,3.58 ms,5.77 s
2025-09-14 10:39:26,3.58 ms,5.77 s
2025-09-14 10:39:27,3.15 ms,5.77 s
2025-09-14 10:39:28,3.15 ms,5.77 s
2025-09-14 10:39:29,3.54 ms,5.77 s
2025-09-14 10:39:30,3.54 ms,5.77 s
2025-09-14 10:39:31,3.54 ms,5.77 s
2025-09-14 10:39:32,3.54 ms,5.77 s
2025-09-14 10:39:33,3.54 ms,5.77 s
2025-09-14 10:39:34,3.54 ms,4.64 s
2025-09-14 10:39:35,3.54 ms,4.54 s
2025-09-14 10:39:36,3.54 ms,4.45 s
2025-09-14 10:39:37,3.54 ms,4.35 s
2025-09-14 10:39:38,3.54 ms,4.25 s
2025-09-14 10:39:39,3.54 ms,4.16 s
2025-09-14 10:39:40,3.54 ms,4.06 s
2025-09-14 10:39:41,3.54 ms,3.96 s
2025-09-14 10:39:42,3.54 ms,3.87 s
2025-09-14 10:39:43,3.91 ms,3.77 s
2025-09-14 10:39:44,3.99 ms,3.67 s
2025-09-14 10:39:45,3.35 ms,3.58 s
2025-09-14 10:39:46,3.98 ms,3.48 s
2025-09-14 10:39:47,3.90 ms,3.38 s
2025-09-14 10:39:48,3.82 ms,3.29 s
2025-09-14 10:39:49,4.63 ms,3.19 s
2025-09-14 10:39:50,4.63 ms,3.09 s
2025-09-14 10:39:51,4.63 ms,3.00 s
2025-09-14 10:39:52,4.63 ms,2.90 s
2025-09-14 10:39:53,4.63 ms,2.80 s
2025-09-14 10:39:54,4.63 ms,2.71 s
2025-09-14 10:39:55,4.63 ms,2.61 s
2025-09-14 10:39:56,4.63 ms,
2025-09-14 10:39:57,4.63 ms,
2025-09-14 10:39:58,4.63 ms,
2025-09-14 10:39:59,4.63 ms,
2025-09-14 10:40:00,4.63 ms,
2025-09-14 10:40:01,4.45 ms,
2025-09-14 10:40:02,4.45 ms,
2025-09-14 10:40:03,4.45 ms,
2025-09-14 10:40:04,4.45 ms,
2025-09-14 10:40:05,4.45 ms,
2025-09-14 10:40:06,3.73 ms,
2025-09-14 10:40:07,3.65 ms,
2025-09-14 10:40:08,3.58 ms,
2025-09-14 10:40:09,3.50 ms,
2025-09-14 10:40:10,3.43 ms,
2025-09-14 10:40:11,3.35 ms,
2025-09-14 10:40:12,3.28 ms,
