step,ram_queue-proxy,ram_user-container,cpu_queue-proxy,cpu_user-container
0,12.6 MB,16.3 GB,228 µs,93.1 µs
1,12.6 MB,16.3 GB,223 µs,91.1 µs
2,16.5 MB,16.3 GB,219 µs,89.2 µs
3,16.5 MB,16.3 GB,214 µs,87.2 µs
4,16.5 MB,16.3 GB,210 µs,85.2 µs
5,16.5 MB,16.3 GB,205 µs,83.3 µs
6,16.5 MB,16.3 GB,201 µs,79.5 µs
7,16.5 MB,16.3 GB,153 µs,77.6 µs
8,16.5 MB,16.3 GB,150 µs,75.7 µs
9,16.5 MB,16.3 GB,146 µs,73.8 µs
10,16.5 MB,16.3 GB,143 µs,71.9 µs
11,16.5 MB,16.3 GB,140 µs,70.0 µs
12,16.5 MB,16.3 GB,136 µs,68.1 µs
13,16.5 MB,16.3 GB,133 µs,66.2 µs
14,16.5 MB,16.3 GB,129 µs,64.4 µs
15,16.5 MB,16.3 GB,126 µs,62.5 µs
16,16.5 MB,16.3 GB,122 µs,60.6 µs
17,16.5 MB,16.3 GB,119 µs,58.7 µs
18,16.5 MB,16.3 GB,115 µs,56.8 µs
19,16.5 MB,16.3 GB,112 µs,54.9 µs
20,16.5 MB,16.8 GB,108 µs,1.13 s
21,16.5 MB,16.8 GB,74.6 µs,1.19 s
22,16.5 MB,16.8 GB,72.1 µs,1.25 s
23,16.5 MB,16.8 GB,69.5 µs,1.31 s
24,16.5 MB,15.0 GB,67.0 µs,1.37 s
25,16.5 MB,15.0 GB,64.5 µs,1.43 s
26,20.9 MB,15.0 GB,1.17 ms,1.49 s
27,20.9 MB,15.0 GB,1.21 ms,1.55 s
28,20.9 MB,15.0 GB,1.24 ms,1.61 s
29,20.9 MB,15.0 GB,1.28 ms,1.67 s
30,20.9 MB,15.0 GB,1.31 ms,1.73 s
31,20.9 MB,15.0 GB,1.35 ms,1.79 s
32,20.9 MB,15.0 GB,1.38 ms,1.85 s
33,20.9 MB,15.0 GB,1.42 ms,1.91 s
34,20.9 MB,15.0 GB,1.41 ms,1.97 s
35,20.9 MB,15.0 GB,1.44 ms,2.03 s
36,20.9 MB,15.3 GB,1.48 ms,2.51 s
37,20.9 MB,15.3 GB,1.52 ms,2.58 s
38,20.9 MB,15.3 GB,1.56 ms,2.65 s
39,20.9 MB,15.3 GB,1.59 ms,2.73 s
40,20.9 MB,15.3 GB,1.63 ms,2.80 s
41,20.9 MB,15.3 GB,1.67 ms,2.87 s
42,20.9 MB,15.3 GB,1.70 ms,2.94 s
43,20.9 MB,15.3 GB,1.74 ms,3.02 s
44,20.9 MB,15.3 GB,1.78 ms,3.09 s
45,21.3 MB,15.3 GB,1.45 ms,3.16 s
46,21.3 MB,12.7 GB,1.48 ms,3.23 s
47,21.3 MB,13.3 GB,1.51 ms,3.51 s
48,21.3 MB,13.3 GB,1.54 ms,3.59 s
49,21.3 MB,13.3 GB,1.57 ms,3.67 s
50,21.3 MB,13.3 GB,1.60 ms,3.75 s
51,21.3 MB,13.3 GB,1.62 ms,3.82 s
52,21.3 MB,13.3 GB,1.65 ms,3.90 s
53,21.3 MB,13.3 GB,1.68 ms,3.98 s
54,21.3 MB,13.3 GB,1.71 ms,4.05 s
55,21.3 MB,13.3 GB,1.72 ms,4.13 s
56,21.3 MB,13.3 GB,1.72 ms,4.21 s
57,21.3 MB,13.3 GB,1.72 ms,4.28 s
58,21.3 MB,13.3 GB,1.72 ms,4.36 s
59,21.3 MB,13.3 GB,1.72 ms,4.44 s
60,21.3 MB,13.3 GB,1.72 ms,4.52 s
61,22.0 MB,13.3 GB,1.57 ms,4.59 s
62,22.0 MB,13.3 GB,875 µs,4.36 s
63,22.0 MB,13.3 GB,894 µs,3.66 s
64,22.0 MB,13.3 GB,913 µs,4.12 s
65,22.0 MB,13.3 GB,932 µs,4.12 s
66,22.0 MB,13.3 GB,1.15 ms,4.12 s
67,22.0 MB,13.3 GB,1.15 ms,4.11 s
68,22.0 MB,13.3 GB,1.15 ms,4.03 s
69,22.0 MB,13.3 GB,1.15 ms,3.94 s
70,22.0 MB,13.3 GB,1.15 ms,3.85 s
71,22.0 MB,13.3 GB,1.15 ms,3.76 s
72,22.0 MB,13.3 GB,1.15 ms,3.68 s
73,22.0 MB,13.3 GB,1.15 ms,3.59 s
74,22.0 MB,13.3 GB,1.15 ms,3.50 s
75,22.0 MB,13.3 GB,1.15 ms,3.41 s
76,22.0 MB,13.3 GB,1.15 ms,3.33 s
77,22.0 MB,13.3 GB,1.15 ms,3.24 s
78,22.0 MB,13.3 GB,1.15 ms,3.15 s
79,22.0 MB,13.3 GB,1.15 ms,3.06 s
80,22.0 MB,13.3 GB,1.15 ms,2.14 s
81,22.0 MB,13.3 GB,930 µs,2.14 s
82,22.0 MB,13.3 GB,910 µs,2.14 s
83,22.0 MB,13.3 GB,891 µs,2.69 s
84,22.0 MB,13.3 GB,872 µs,2.60 s
85,22.0 MB,13.3 GB,853 µs,2.51 s
86,22.0 MB,13.3 GB,635 µs,2.42 s
