"Time","queue-proxy","user-container"
2025-09-14 12:01:51,,241 ms
2025-09-14 12:01:52,,254 ms
2025-09-14 12:01:53,,267 ms
2025-09-14 12:01:54,,281 ms
2025-09-14 12:01:55,,294 ms
2025-09-14 12:01:56,,307 ms
2025-09-14 12:01:57,,320 ms
2025-09-14 12:01:58,,334 ms
2025-09-14 12:01:59,,347 ms
2025-09-14 12:02:00,,360 ms
2025-09-14 12:02:01,,373 ms
2025-09-14 12:02:02,,387 ms
2025-09-14 12:02:03,,400 ms
2025-09-14 12:02:04,,413 ms
2025-09-14 12:02:05,,427 ms
2025-09-14 12:02:06,,440 ms
2025-09-14 12:02:07,,453 ms
2025-09-14 12:02:08,,503 ms
2025-09-14 12:02:09,,517 ms
2025-09-14 12:02:10,1.32 ms,532 ms
2025-09-14 12:02:11,1.35 ms,546 ms
2025-09-14 12:02:12,1.38 ms,560 ms
2025-09-14 12:02:13,1.41 ms,574 ms
2025-09-14 12:02:14,1.44 ms,589 ms
2025-09-14 12:02:15,1.47 ms,603 ms
2025-09-14 12:02:16,1.50 ms,617 ms
2025-09-14 12:02:17,1.53 ms,632 ms
2025-09-14 12:02:18,1.56 ms,646 ms
2025-09-14 12:02:19,1.59 ms,660 ms
2025-09-14 12:02:20,1.62 ms,675 ms
2025-09-14 12:02:21,1.65 ms,689 ms
2025-09-14 12:02:22,1.68 ms,703 ms
2025-09-14 12:02:23,1.71 ms,718 ms
2025-09-14 12:02:24,1.74 ms,732 ms
2025-09-14 12:02:25,1.77 ms,746 ms
2025-09-14 12:02:26,1.80 ms,761 ms
2025-09-14 12:02:27,1.70 ms,775 ms
2025-09-14 12:02:28,1.70 ms,820 ms
2025-09-14 12:02:29,1.70 ms,835 ms
2025-09-14 12:02:30,1.70 ms,850 ms
2025-09-14 12:02:31,1.70 ms,864 ms
2025-09-14 12:02:32,1.70 ms,879 ms
2025-09-14 12:02:33,778 µs,898 ms
2025-09-14 12:02:34,803 µs,914 ms
2025-09-14 12:02:35,827 µs,930 ms
2025-09-14 12:02:36,852 µs,937 ms
2025-09-14 12:02:37,877 µs,937 ms
2025-09-14 12:02:38,901 µs,937 ms
2025-09-14 12:02:39,926 µs,937 ms
2025-09-14 12:02:40,951 µs,937 ms
2025-09-14 12:02:41,849 µs,937 ms
2025-09-14 12:02:42,871 µs,937 ms
2025-09-14 12:02:43,893 µs,937 ms
2025-09-14 12:02:44,914 µs,937 ms
2025-09-14 12:02:45,936 µs,937 ms
2025-09-14 12:02:46,958 µs,937 ms
2025-09-14 12:02:47,980 µs,937 ms
2025-09-14 12:02:48,1.00 ms,946 ms
2025-09-14 12:02:49,1.02 ms,946 ms
2025-09-14 12:02:50,1.05 ms,946 ms
2025-09-14 12:02:51,1.07 ms,957 ms
2025-09-14 12:02:52,1.09 ms,957 ms
2025-09-14 12:02:53,1.31 ms,957 ms
2025-09-14 12:02:54,1.31 ms,957 ms
2025-09-14 12:02:55,1.31 ms,957 ms
2025-09-14 12:02:56,1.31 ms,957 ms
2025-09-14 12:02:57,1.31 ms,957 ms
2025-09-14 12:02:58,1.10 ms,957 ms
2025-09-14 12:02:59,1.14 ms,957 ms
2025-09-14 12:03:00,1.14 ms,957 ms
2025-09-14 12:03:01,1.14 ms,957 ms
2025-09-14 12:03:02,1.14 ms,957 ms
2025-09-14 12:03:03,1.14 ms,957 ms
2025-09-14 12:03:04,1.14 ms,957 ms
2025-09-14 12:03:05,1.14 ms,957 ms
2025-09-14 12:03:06,1.14 ms,957 ms
2025-09-14 12:03:07,1.14 ms,957 ms
2025-09-14 12:03:08,1.14 ms,963 ms
2025-09-14 12:03:09,1.14 ms,772 ms
2025-09-14 12:03:10,963 µs,755 ms
2025-09-14 12:03:11,963 µs,739 ms
2025-09-14 12:03:12,963 µs,723 ms
2025-09-14 12:03:13,963 µs,707 ms
2025-09-14 12:03:14,963 µs,691 ms
2025-09-14 12:03:15,963 µs,675 ms
2025-09-14 12:03:16,963 µs,659 ms
2025-09-14 12:03:17,799 µs,643 ms
2025-09-14 12:03:18,1.00 ms,627 ms
2025-09-14 12:03:19,1.00 ms,611 ms
2025-09-14 12:03:20,1.00 ms,595 ms
2025-09-14 12:03:21,1.00 ms,579 ms
2025-09-14 12:03:22,1.00 ms,563 ms
2025-09-14 12:03:23,1.00 ms,547 ms
2025-09-14 12:03:24,1.00 ms,531 ms
2025-09-14 12:03:25,1.00 ms,515 ms
2025-09-14 12:03:26,1.00 ms,499 ms
2025-09-14 12:03:27,961 µs,535 ms
2025-09-14 12:03:28,830 µs,54.5 ms
2025-09-14 12:03:29,830 µs,56.3 ms
2025-09-14 12:03:30,830 µs,58.1 ms
2025-09-14 12:03:31,830 µs,60.0 ms
2025-09-14 12:03:32,830 µs,61.8 ms
2025-09-14 12:03:33,830 µs,63.6 ms
2025-09-14 12:03:34,830 µs,65.5 ms
2025-09-14 12:03:35,830 µs,67.3 ms
2025-09-14 12:03:36,830 µs,69.1 ms
2025-09-14 12:03:37,830 µs,71.0 ms
2025-09-14 12:03:38,746 µs,72.8 ms
2025-09-14 12:03:39,746 µs,74.7 ms
2025-09-14 12:03:40,746 µs,44.6 ms
2025-09-14 12:03:41,568 µs,45.7 ms
2025-09-14 12:03:42,580 µs,46.8 ms
2025-09-14 12:03:43,592 µs,48.0 ms
2025-09-14 12:03:44,603 µs,49.1 ms
2025-09-14 12:03:45,699 µs,50.2 ms
2025-09-14 12:03:46,699 µs,51.3 ms
2025-09-14 12:03:47,699 µs,52.4 ms
2025-09-14 12:03:48,699 µs,53.5 ms
2025-09-14 12:03:49,622 µs,54.6 ms
2025-09-14 12:03:50,622 µs,55.8 ms
2025-09-14 12:03:51,622 µs,66.9 ms
2025-09-14 12:03:52,622 µs,66.9 ms
2025-09-14 12:03:53,622 µs,66.9 ms
2025-09-14 12:03:54,622 µs,66.9 ms
2025-09-14 12:03:55,622 µs,45.1 ms
2025-09-14 12:03:56,622 µs,45.1 ms
2025-09-14 12:03:57,622 µs,45.1 ms
2025-09-14 12:03:58,622 µs,45.1 ms
2025-09-14 12:03:59,266 µs,45.1 ms
2025-09-14 12:04:00,271 µs,45.1 ms
2025-09-14 12:04:01,277 µs,45.1 ms
2025-09-14 12:04:02,283 µs,45.1 ms
2025-09-14 12:04:03,289 µs,45.1 ms
2025-09-14 12:04:04,294 µs,45.1 ms
2025-09-14 12:04:05,300 µs,45.1 ms
2025-09-14 12:04:06,306 µs,45.1 ms
2025-09-14 12:04:07,342 µs,45.1 ms
2025-09-14 12:04:08,342 µs,423 µs
2025-09-14 12:04:09,342 µs,432 µs
