"Time","GPU 0","GPU 0"
2025-09-14 12:12:39,,0%
2025-09-14 12:12:40,,0%
2025-09-14 12:12:41,,0%
2025-09-14 12:12:42,,0%
2025-09-14 12:12:43,,0%
2025-09-14 12:12:44,,0%
2025-09-14 12:12:45,,0%
2025-09-14 12:12:46,,0%
2025-09-14 12:12:47,,0%
2025-09-14 12:12:48,,0%
2025-09-14 12:12:49,0%,
2025-09-14 12:12:50,0%,
2025-09-14 12:12:51,0%,
2025-09-14 12:12:52,0%,
2025-09-14 12:12:53,3%,
2025-09-14 12:12:54,0%,
2025-09-14 12:12:55,14%,
2025-09-14 12:12:56,0%,
2025-09-14 12:12:57,0%,
2025-09-14 12:12:58,23%,
2025-09-14 12:12:59,0%,
2025-09-14 12:13:00,0%,
2025-09-14 12:13:01,3%,
2025-09-14 12:13:02,19%,
2025-09-14 12:13:03,0%,
2025-09-14 12:13:04,61%,
2025-09-14 12:13:05,0%,
2025-09-14 12:13:06,0%,
2025-09-14 12:13:07,64%,
2025-09-14 12:13:08,0%,
2025-09-14 12:13:09,0%,
2025-09-14 12:13:10,0%,
2025-09-14 12:13:11,0%,
2025-09-14 12:13:12,0%,
2025-09-14 12:13:13,0%,
2025-09-14 12:13:14,0%,
2025-09-14 12:13:15,44%,
2025-09-14 12:13:16,85%,
2025-09-14 12:13:17,34%,
2025-09-14 12:13:18,0%,
2025-09-14 12:13:19,0%,
2025-09-14 12:13:20,0%,
2025-09-14 12:13:21,0%,
2025-09-14 12:13:22,99%,
2025-09-14 12:13:23,0%,
2025-09-14 12:13:24,0%,
2025-09-14 12:13:25,0%,
2025-09-14 12:13:26,42%,
2025-09-14 12:13:27,0%,
2025-09-14 12:13:28,0%,
2025-09-14 12:13:29,0%,
2025-09-14 12:13:30,0%,
2025-09-14 12:13:31,41%,
2025-09-14 12:13:32,0%,
2025-09-14 12:13:33,0%,
2025-09-14 12:13:34,100%,
2025-09-14 12:13:35,0%,
2025-09-14 12:13:36,0%,
2025-09-14 12:13:37,0%,
2025-09-14 12:13:38,64%,
2025-09-14 12:13:39,0%,
2025-09-14 12:13:40,34%,
2025-09-14 12:13:41,0%,
2025-09-14 12:13:42,0%,
2025-09-14 12:13:43,0%,
2025-09-14 12:13:44,0%,
2025-09-14 12:13:45,65%,
2025-09-14 12:13:46,0%,
2025-09-14 12:13:47,62%,
2025-09-14 12:13:48,0%,
2025-09-14 12:13:49,0%,
2025-09-14 12:13:50,0%,
2025-09-14 12:13:51,0%,
2025-09-14 12:13:52,0%,
2025-09-14 12:13:53,0%,
2025-09-14 12:13:54,0%,
2025-09-14 12:13:55,0%,
2025-09-14 12:13:56,98%,
2025-09-14 12:13:57,0%,
2025-09-14 12:13:58,92%,
2025-09-14 12:13:59,0%,
2025-09-14 12:14:00,73%,
2025-09-14 12:14:01,0%,
2025-09-14 12:14:02,0%,
2025-09-14 12:14:03,88%,
2025-09-14 12:14:04,0%,
2025-09-14 12:14:05,46%,
2025-09-14 12:14:06,0%,
2025-09-14 12:14:07,0%,
2025-09-14 12:14:08,13%,
2025-09-14 12:14:09,0%,
2025-09-14 12:14:10,100%,
2025-09-14 12:14:11,46%,
2025-09-14 12:14:12,0%,
2025-09-14 12:14:13,28%,
2025-09-14 12:14:14,0%,
2025-09-14 12:14:15,0%,
2025-09-14 12:14:16,100%,
2025-09-14 12:14:17,0%,
2025-09-14 12:14:18,73%,
2025-09-14 12:14:19,0%,
2025-09-14 12:14:20,0%,
2025-09-14 12:14:21,16%,
2025-09-14 12:14:22,0%,
2025-09-14 12:14:23,0%,
2025-09-14 12:14:24,100%,
2025-09-14 12:14:25,0%,
2025-09-14 12:14:26,0%,
2025-09-14 12:14:27,100%,
2025-09-14 12:14:28,0%,
2025-09-14 12:14:29,0%,
2025-09-14 12:14:30,100%,
2025-09-14 12:14:31,0%,
2025-09-14 12:14:32,0%,
2025-09-14 12:14:33,100%,
2025-09-14 12:14:34,0%,
2025-09-14 12:14:35,0%,
2025-09-14 12:14:36,100%,
2025-09-14 12:14:37,0%,
2025-09-14 12:14:38,0%,
2025-09-14 12:14:39,100%,
2025-09-14 12:14:40,0%,
2025-09-14 12:14:41,0%,
2025-09-14 12:14:42,100%,
2025-09-14 12:14:43,0%,
2025-09-14 12:14:44,0%,
2025-09-14 12:14:45,0%,
2025-09-14 12:14:46,0%,
2025-09-14 12:14:47,0%,
2025-09-14 12:14:48,0%,
2025-09-14 12:14:49,0%,
2025-09-14 12:14:50,0%,
2025-09-14 12:14:51,0%,
2025-09-14 12:14:52,0%,
2025-09-14 12:14:53,0%,
2025-09-14 12:14:54,0%,
2025-09-14 12:14:55,0%,
2025-09-14 12:14:56,0%,
2025-09-14 12:14:57,0%,
2025-09-14 12:14:58,0%,
2025-09-14 12:14:59,0%,
2025-09-14 12:15:00,0%,
2025-09-14 12:15:01,0%,
2025-09-14 12:15:02,0%,
2025-09-14 12:15:03,0%,
2025-09-14 12:15:04,0%,
2025-09-14 12:15:05,0%,
2025-09-14 12:15:06,0%,
2025-09-14 12:15:07,0%,
2025-09-14 12:15:08,0%,
2025-09-14 12:15:09,0%,
2025-09-14 12:15:10,0%,
2025-09-14 12:15:11,0%,
2025-09-14 12:15:12,0%,
2025-09-14 12:15:13,0%,
2025-09-14 12:15:14,0%,
2025-09-14 12:15:15,0%,
2025-09-14 12:15:16,0%,
2025-09-14 12:15:17,0%,
2025-09-14 12:15:18,0%,
2025-09-14 12:15:19,0%,
2025-09-14 12:15:20,0%,
2025-09-14 12:15:21,0%,
2025-09-14 12:15:22,0%,
2025-09-14 12:15:23,0%,
2025-09-14 12:15:24,0%,
2025-09-14 12:15:25,0%,
2025-09-14 12:15:26,0%,
2025-09-14 12:15:27,0%,
2025-09-14 12:15:28,0%,
2025-09-14 12:15:29,0%,
2025-09-14 12:15:30,0%,
2025-09-14 12:15:31,0%,
2025-09-14 12:15:32,0%,
2025-09-14 12:15:33,0%,
2025-09-14 12:15:34,0%,
2025-09-14 12:15:35,0%,
2025-09-14 12:15:36,0%,
2025-09-14 12:15:37,0%,
2025-09-14 12:15:38,0%,
2025-09-14 12:15:39,0%,
2025-09-14 12:15:40,0%,
