step,ram_queue-proxy,ram_user-container,cpu_queue-proxy,cpu_user-container,gpu_gpu_0
0,19.9 MB,1.47 GB,263 µs,103 µs,
1,19.9 MB,1.47 GB,263 µs,0 s,
2,19.9 MB,1.47 GB,263 µs,0 s,
3,19.9 MB,1.47 GB,77.9 µs,0 s,
4,19.9 MB,1.47 GB,77.9 µs,0 s,
5,19.9 MB,1.47 GB,77.9 µs,0 s,
6,19.9 MB,1.47 GB,77.9 µs,0 s,
7,19.9 MB,1.47 GB,77.9 µs,0 s,
8,19.9 MB,1.47 GB,77.9 µs,0 s,
9,19.9 MB,1.47 GB,100 µs,0 s,
10,19.9 MB,1.47 GB,97.6 µs,0 s,
11,19.9 MB,1.47 GB,95.1 µs,0 s,
12,19.9 MB,1.47 GB,92.7 µs,0 s,0%
13,19.9 MB,1.47 GB,90.2 µs,0 s,0%
14,19.9 MB,1.47 GB,87.8 µs,0 s,0%
15,19.9 MB,1.47 GB,85.3 µs,0 s,1%
16,19.9 MB,1.47 GB,82.9 µs,0 s,4%
17,19.9 MB,1.47 GB,80.4 µs,0 s,0%
18,19.9 MB,1.47 GB,77.9 µs,0 s,7%
19,19.9 MB,1.47 GB,75.5 µs,0 s,10%
20,19.9 MB,1.47 GB,73.0 µs,0 s,27%
21,19.9 MB,1.47 GB,70.6 µs,0 s,0%
22,19.9 MB,1.47 GB,68.1 µs,0 s,0%
23,19.9 MB,1.47 GB,65.6 µs,0 s,0%
24,27.2 MB,1.47 GB,63.2 µs,0 s,32%
25,27.2 MB,1.47 GB,60.7 µs,0 s,0%
26,27.2 MB,1.47 GB,,0 s,0%
27,27.2 MB,1.47 GB,,,0%
28,27.2 MB,1.47 GB,,,53%
29,27.2 MB,2.23 GB,,,0%
30,27.2 MB,2.23 GB,,,0%
31,27.2 MB,2.23 GB,,,19%
32,27.2 MB,2.23 GB,,,75%
33,27.2 MB,1.85 GB,,,0%
34,27.2 MB,1.85 GB,,,0%
35,27.2 MB,1.85 GB,,,90%
36,27.2 MB,1.85 GB,,,75%
37,27.2 MB,1.85 GB,,,100%
