Index,AUTO,GPU
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,0.0
9,,0.0
10,,0.0
11,,0.0
12,,0.2
13,,1.2
14,,3.4
15,,5.6
16,,7.2
17,,4.6
18,,6.6
19,,14.0
20,,19.0
21,,14.8
22,,0.6
23,,3.8
24,,17.6
25,,22.6
26,,0.0
27,,6.0
28,,26.2
29,,26.2
30,,15.8
31,,3.8
32,,18.0
33,,2.0
34,,20.0
35,,30.8
36,,47.8
37,,37.0
38,,6.8
39,,18.4
40,,1.4
41,,24.2
42,,16.2
43,,20.2
44,,8.0
45,,8.2
46,,29.2
47,,25.8
48,,0.0
49,,29.8
50,,12.2
51,,0.0
52,,45.0
53,,34.8
54,,20.0
55,,61.4
56,,20.0
57,,25.4
58,,0.0
59,0.0,32.8
60,0.0,0.0
61,0.0,14.0
62,0.0,13.0
63,0.0,20.0
64,5.0,53.2
65,11.75,20.0
66,5.5,59.4
67,0.0,20.0
68,0.0,45.6
69,0.0,20.0
70,0.0,26.6
71,19.6,20.0
72,47.2,23.2
73,8.4,20.0
74,0.0,29.8
75,4.0,8.4
76,21.2,20.0
77,23.0,36.0
78,5.2,6.6
79,9.6,38.4
80,28.6,0.0
81,19.6,54.6
82,0.0,20.0
83,17.4,37.0
84,11.8,25.8
85,20.0,6.4
86,28.0,9.2
87,28.2,0.0
88,40.0,40.0
89,26.6,26.0
90,11.0,20.0
91,17.6,39.2
92,27.2,49.2
93,0.0,20.0
94,20.0,25.6
95,16.0,0.8
96,26.2,19.4
97,15.8,28.8
98,45.6,7.8
99,16.0,42.0
100,48.4,20.0
101,14.4,20.0
102,68.0,24.6
103,14.8,20.0
104,66.0,27.4
105,12.4,20.0
106,42.2,0.0
107,0.0,44.2
108,33.4,40.0
109,0.0,0.0
110,11.0,21.0
111,20.0,40.0
112,20.0,0.0
113,45.4,32.8
114,8.4,20.0
115,37.8,0.0
116,0.0,24.2
117,6.0,20.0
118,20.0,0.0
119,20.0,32.4
120,54.6,20.0
121,3.0,0.0
122,16.4,25.8
123,41.6,20.0
124,20.0,0.0
125,18.8,7.6
126,40.0,20.0
127,3.2,0.0
128,18.2,0.0
129,2.4,40.0
130,29.8,0.0
131,49.2,0.0
132,14.2,10.4
133,20.0,0.0
134,47.0,0.0
135,24.2,0.0
136,16.6,40.0
137,20.2,0.0
138,31.6,0.0
139,16.8,10.0
140,0.0,0.0
141,32.2,0.0
142,17.6,0.0
143,8.0,0.0
144,28.2,0.0
145,10.8,0.0
146,4.8,0.0
147,32.8,0.0
148,24.6,0.0
149,8.0,0.0
150,30.8,0.0
151,15.8,0.0
152,44.4,0.0
153,33.2,0.0
154,0.0,0.0
155,60.0,0.0
156,24.2,0.0
157,0.0,0.0
158,60.0,0.0
159,0.0,0.0
160,20.0,0.0
161,30.0,0.0
162,0.0,0.0
163,40.0,0.0
164,16.2,0.0
165,60.0,0.0
166,40.0,0.0
167,0.0,0.0
168,40.0,0.0
169,20.0,0.0
170,18.8,0.0
171,3.8,0.0
172,12.8,0.0
173,20.0,0.0
174,0.0,0.0
175,0.0,0.0
176,0.0,0.0
177,0.0,0.0
178,0.0,0.0
179,0.0,0.0
180,0.0,0.0
181,0.0,0.0
182,0.0,0.0
183,0.0,0.0
184,0.0,0.0
185,0.0,0.0
186,0.0,0.0
187,0.0,0.0
188,0.0,0.0
189,0.0,0.0
190,0.0,0.0
191,0.0,0.0
192,0.0,0.0
193,0.0,0.0
194,0.0,0.0
195,0.0,0.0
196,0.0,0.0
197,0.0,0.0
198,0.0,
199,0.0,
200,0.0,
201,0.0,
202,0.0,
203,0.0,
204,0.0,
205,0.0,
206,0.0,
207,0.0,
208,0.0,
209,0.0,
210,0.0,
211,0.0,
212,0.0,
213,0.0,
214,0.0,
215,0.0,
216,0.0,
217,0.0,
218,0.0,
219,0.0,
220,0.0,
221,0.0,
222,0.0,
223,0.0,
224,0.0,
225,0.0,
226,0.0,
227,0.0,
228,0.0,
229,0.0,
230,0.0,
