"Time","queue-proxy","user-container"
2025-09-13 12:59:38,,1.96 ms
2025-09-13 12:59:39,,2.10 ms
2025-09-13 12:59:40,,2.23 ms
2025-09-13 12:59:41,,2.37 ms
2025-09-13 12:59:42,,2.51 ms
2025-09-13 12:59:43,587 µs,2.65 ms
2025-09-13 12:59:44,608 µs,2.78 ms
2025-09-13 12:59:45,630 µs,2.92 ms
2025-09-13 12:59:46,651 µs,3.06 ms
2025-09-13 12:59:47,673 µs,3.20 ms
2025-09-13 12:59:48,694 µs,3.33 ms
2025-09-13 12:59:49,716 µs,3.47 ms
2025-09-13 12:59:50,737 µs,3.61 ms
2025-09-13 12:59:51,758 µs,3.75 ms
2025-09-13 12:59:52,780 µs,2.77 ms
2025-09-13 12:59:53,801 µs,2.77 ms
2025-09-13 12:59:54,823 µs,2.77 ms
2025-09-13 12:59:55,844 µs,2.77 ms
2025-09-13 12:59:56,866 µs,2.77 ms
2025-09-13 12:59:57,887 µs,2.42 ms
2025-09-13 12:59:58,909 µs,2.49 ms
2025-09-13 12:59:59,930 µs,2.57 ms
2025-09-13 13:00:00,952 µs,2.64 ms
2025-09-13 13:00:01,973 µs,2.71 ms
2025-09-13 13:00:02,755 µs,2.78 ms
2025-09-13 13:00:03,772 µs,2.85 ms
2025-09-13 13:00:04,788 µs,2.92 ms
2025-09-13 13:00:05,880 µs,2.99 ms
2025-09-13 13:00:06,896 µs,3.06 ms
2025-09-13 13:00:07,912 µs,3.13 ms
2025-09-13 13:00:08,929 µs,3.21 ms
2025-09-13 13:00:09,945 µs,3.28 ms
2025-09-13 13:00:10,961 µs,3.35 ms
2025-09-13 13:00:11,977 µs,2.74 ms
2025-09-13 13:00:12,977 µs,2.80 ms
2025-09-13 13:00:13,977 µs,2.85 ms
2025-09-13 13:00:14,886 µs,2.91 ms
2025-09-13 13:00:15,886 µs,2.97 ms
2025-09-13 13:00:16,886 µs,3.02 ms
2025-09-13 13:00:17,886 µs,3.08 ms
2025-09-13 13:00:18,886 µs,3.14 ms
2025-09-13 13:00:19,886 µs,3.19 ms
2025-09-13 13:00:20,886 µs,3.25 ms
2025-09-13 13:00:21,886 µs,3.30 ms
2025-09-13 13:00:22,886 µs,3.36 ms
2025-09-13 13:00:23,886 µs,3.39 ms
2025-09-13 13:00:24,886 µs,3.39 ms
2025-09-13 13:00:25,539 µs,1.51 ms
2025-09-13 13:00:26,540 µs,1.46 ms
2025-09-13 13:00:27,550 µs,1.46 ms
2025-09-13 13:00:28,645 µs,1.46 ms
2025-09-13 13:00:29,645 µs,1.46 ms
2025-09-13 13:00:30,645 µs,1.46 ms
