"Time","queue-proxy","user-container"
2025-09-13 18:09:07,487 µs,
2025-09-13 18:09:08,514 µs,
2025-09-13 18:09:09,541 µs,
2025-09-13 18:09:10,567 µs,
2025-09-13 18:09:11,594 µs,
2025-09-13 18:09:12,620 µs,4.69 ms
2025-09-13 18:09:13,647 µs,4.95 ms
2025-09-13 18:09:14,673 µs,5.21 ms
2025-09-13 18:09:15,700 µs,5.47 ms
2025-09-13 18:09:16,727 µs,5.73 ms
2025-09-13 18:09:17,753 µs,5.99 ms
2025-09-13 18:09:18,780 µs,6.25 ms
2025-09-13 18:09:19,618 µs,6.51 ms
2025-09-13 18:09:20,571 µs,6.77 ms
2025-09-13 18:09:21,589 µs,7.04 ms
2025-09-13 18:09:22,607 µs,7.30 ms
2025-09-13 18:09:23,625 µs,6.98 ms
2025-09-13 18:09:24,643 µs,7.22 ms
2025-09-13 18:09:25,661 µs,7.46 ms
2025-09-13 18:09:26,679 µs,7.70 ms
2025-09-13 18:09:27,697 µs,7.94 ms
2025-09-13 18:09:28,715 µs,8.18 ms
2025-09-13 18:09:29,733 µs,8.42 ms
2025-09-13 18:09:30,751 µs,8.66 ms
2025-09-13 18:09:31,769 µs,8.90 ms
2025-09-13 18:09:32,787 µs,9.14 ms
2025-09-13 18:09:33,670 µs,9.38 ms
2025-09-13 18:09:34,670 µs,9.62 ms
2025-09-13 18:09:35,670 µs,9.87 ms
2025-09-13 18:09:36,733 µs,10.1 ms
2025-09-13 18:09:37,748 µs,10.3 ms
2025-09-13 18:09:38,763 µs,8.50 ms
2025-09-13 18:09:39,778 µs,8.50 ms
2025-09-13 18:09:40,892 µs,8.50 ms
2025-09-13 18:09:41,907 µs,8.50 ms
2025-09-13 18:09:42,908 µs,8.50 ms
2025-09-13 18:09:43,908 µs,8.50 ms
2025-09-13 18:09:44,908 µs,8.50 ms
2025-09-13 18:09:45,908 µs,11.4 ms
2025-09-13 18:09:46,908 µs,11.6 ms
2025-09-13 18:09:47,908 µs,11.9 ms
2025-09-13 18:09:48,908 µs,12.1 ms
2025-09-13 18:09:49,908 µs,12.3 ms
2025-09-13 18:09:50,908 µs,12.5 ms
2025-09-13 18:09:51,783 µs,12.8 ms
2025-09-13 18:09:52,767 µs,13.0 ms
2025-09-13 18:09:53,752 µs,13.2 ms
2025-09-13 18:09:54,737 µs,13.4 ms
2025-09-13 18:09:55,514 µs,12.2 ms
2025-09-13 18:09:56,627 µs,12.2 ms
2025-09-13 18:09:57,627 µs,12.2 ms
2025-09-13 18:09:58,627 µs,12.2 ms
2025-09-13 18:09:59,627 µs,12.2 ms
2025-09-13 18:10:00,627 µs,12.2 ms
2025-09-13 18:10:01,627 µs,12.2 ms
2025-09-13 18:10:02,627 µs,12.4 ms
2025-09-13 18:10:03,627 µs,12.4 ms
2025-09-13 18:10:04,627 µs,12.4 ms
2025-09-13 18:10:05,627 µs,12.4 ms
2025-09-13 18:10:06,627 µs,12.4 ms
2025-09-13 18:10:07,627 µs,12.4 ms
2025-09-13 18:10:08,636 µs,12.4 ms
2025-09-13 18:10:09,636 µs,12.4 ms
2025-09-13 18:10:10,636 µs,12.4 ms
2025-09-13 18:10:11,636 µs,12.4 ms
2025-09-13 18:10:12,636 µs,12.4 ms
2025-09-13 18:10:13,636 µs,12.4 ms
2025-09-13 18:10:14,636 µs,12.4 ms
2025-09-13 18:10:15,636 µs,12.4 ms
2025-09-13 18:10:16,636 µs,12.4 ms
2025-09-13 18:10:17,636 µs,12.4 ms
2025-09-13 18:10:18,636 µs,12.4 ms
2025-09-13 18:10:19,636 µs,12.4 ms
2025-09-13 18:10:20,628 µs,12.4 ms
2025-09-13 18:10:21,628 µs,12.4 ms
2025-09-13 18:10:22,628 µs,12.4 ms
2025-09-13 18:10:23,628 µs,9.56 ms
2025-09-13 18:10:24,628 µs,9.77 ms
2025-09-13 18:10:25,628 µs,9.98 ms
2025-09-13 18:10:26,632 µs,10.2 ms
2025-09-13 18:10:27,632 µs,8.64 ms
2025-09-13 18:10:28,632 µs,8.64 ms
2025-09-13 18:10:29,632 µs,12.7 ms
2025-09-13 18:10:30,632 µs,12.7 ms
2025-09-13 18:10:31,632 µs,12.7 ms
2025-09-13 18:10:32,632 µs,12.7 ms
2025-09-13 18:10:33,632 µs,12.7 ms
2025-09-13 18:10:34,632 µs,12.7 ms
2025-09-13 18:10:35,632 µs,12.7 ms
