"Time","queue-proxy","user-container"
2025-09-13 10:08:13,343 µs,68.5 µs
2025-09-13 10:08:14,343 µs,68.5 µs
2025-09-13 10:08:15,,68.5 µs
2025-09-13 10:08:16,,68.5 µs
2025-09-13 10:08:17,,68.5 µs
2025-09-13 10:08:18,,68.5 µs
2025-09-13 10:08:19,,68.5 µs
2025-09-13 10:08:20,,68.5 µs
2025-09-13 10:08:21,,68.5 µs
2025-09-13 10:08:22,,68.5 µs
2025-09-13 10:08:23,,68.5 µs
2025-09-13 10:08:29,601 µs,
2025-09-13 10:08:30,629 µs,1.91 ms
2025-09-13 10:08:31,657 µs,2.02 ms
2025-09-13 10:08:32,685 µs,2.13 ms
2025-09-13 10:08:33,713 µs,2.24 ms
2025-09-13 10:08:34,742 µs,2.35 ms
2025-09-13 10:08:35,770 µs,2.47 ms
2025-09-13 10:08:36,798 µs,2.58 ms
2025-09-13 10:08:37,826 µs,2.69 ms
2025-09-13 10:08:38,854 µs,2.80 ms
2025-09-13 10:08:39,882 µs,2.91 ms
2025-09-13 10:08:40,714 µs,3.02 ms
2025-09-13 10:08:41,737 µs,3.13 ms
2025-09-13 10:08:42,760 µs,3.24 ms
2025-09-13 10:08:43,782 µs,3.35 ms
2025-09-13 10:08:44,805 µs,2.00 ms
2025-09-13 10:08:45,828 µs,2.06 ms
2025-09-13 10:08:46,850 µs,2.12 ms
2025-09-13 10:08:47,873 µs,2.18 ms
2025-09-13 10:08:48,896 µs,2.24 ms
2025-09-13 10:08:49,918 µs,2.30 ms
2025-09-13 10:08:50,941 µs,2.36 ms
2025-09-13 10:08:51,964 µs,2.42 ms
2025-09-13 10:08:52,986 µs,2.49 ms
2025-09-13 10:08:53,841 µs,2.55 ms
2025-09-13 10:08:54,841 µs,2.61 ms
2025-09-13 10:08:55,841 µs,2.67 ms
2025-09-13 10:08:56,841 µs,2.73 ms
2025-09-13 10:08:57,841 µs,2.79 ms
2025-09-13 10:08:58,1.11 ms,2.85 ms
2025-09-13 10:08:59,1.18 ms,2.91 ms
2025-09-13 10:09:00,1.20 ms,2.29 ms
2025-09-13 10:09:01,1.22 ms,2.33 ms
2025-09-13 10:09:02,1.24 ms,2.38 ms
2025-09-13 10:09:03,1.26 ms,2.42 ms
2025-09-13 10:09:04,1.29 ms,2.47 ms
2025-09-13 10:09:05,1.31 ms,2.51 ms
2025-09-13 10:09:06,1.32 ms,2.56 ms
2025-09-13 10:09:07,1.32 ms,2.61 ms
2025-09-13 10:09:08,1.32 ms,2.65 ms
2025-09-13 10:09:09,1.32 ms,2.70 ms
2025-09-13 10:09:10,1.32 ms,2.74 ms
2025-09-13 10:09:11,1.32 ms,2.75 ms
2025-09-13 10:09:12,1.15 ms,2.75 ms
2025-09-13 10:09:13,1.15 ms,2.75 ms
2025-09-13 10:09:14,1.15 ms,2.75 ms
2025-09-13 10:09:15,972 µs,777 µs
2025-09-13 10:09:16,972 µs,777 µs
2025-09-13 10:09:17,972 µs,777 µs
2025-09-13 10:09:18,972 µs,777 µs
2025-09-13 10:09:19,972 µs,777 µs
2025-09-13 10:09:20,972 µs,777 µs
2025-09-13 10:09:21,972 µs,777 µs
2025-09-13 10:09:22,972 µs,777 µs
2025-09-13 10:09:23,972 µs,777 µs
2025-09-13 10:09:24,972 µs,777 µs
2025-09-13 10:09:25,972 µs,777 µs
2025-09-13 10:09:26,972 µs,777 µs
2025-09-13 10:09:27,972 µs,777 µs
2025-09-13 10:09:28,829 µs,777 µs
2025-09-13 10:09:29,987 µs,825 µs
2025-09-13 10:09:30,825 µs,878 µs
2025-09-13 10:09:31,1.03 ms,878 µs
2025-09-13 10:09:32,1.03 ms,878 µs
2025-09-13 10:09:33,1.03 ms,878 µs
2025-09-13 10:09:34,1.03 ms,878 µs
2025-09-13 10:09:35,1.03 ms,878 µs
2025-09-13 10:09:36,1.03 ms,878 µs
2025-09-13 10:09:37,1.03 ms,878 µs
2025-09-13 10:09:38,1.03 ms,878 µs
2025-09-13 10:09:39,1.03 ms,878 µs
2025-09-13 10:09:40,900 µs,878 µs
2025-09-13 10:09:41,900 µs,878 µs
2025-09-13 10:09:42,900 µs,878 µs
2025-09-13 10:09:43,900 µs,878 µs
2025-09-13 10:09:44,937 µs,631 µs
2025-09-13 10:09:45,937 µs,625 µs
2025-09-13 10:09:46,937 µs,613 µs
2025-09-13 10:09:47,937 µs,756 µs
2025-09-13 10:09:48,937 µs,756 µs
2025-09-13 10:09:49,937 µs,756 µs
2025-09-13 10:09:50,937 µs,756 µs
2025-09-13 10:09:51,937 µs,756 µs
2025-09-13 10:09:52,937 µs,756 µs
2025-09-13 10:09:53,937 µs,756 µs
2025-09-13 10:09:54,937 µs,756 µs
2025-09-13 10:09:55,937 µs,756 µs
2025-09-13 10:09:56,937 µs,756 µs
2025-09-13 10:09:57,937 µs,756 µs
2025-09-13 10:09:58,1.07 ms,756 µs
2025-09-13 10:09:59,1.07 ms,756 µs
2025-09-13 10:10:00,1.07 ms,868 µs
2025-09-13 10:10:01,1.07 ms,868 µs
2025-09-13 10:10:02,891 µs,800 µs
2025-09-13 10:10:03,946 µs,800 µs
2025-09-13 10:10:04,946 µs,800 µs
2025-09-13 10:10:05,946 µs,800 µs
2025-09-13 10:10:06,946 µs,800 µs
2025-09-13 10:10:07,946 µs,800 µs
2025-09-13 10:10:08,946 µs,800 µs
2025-09-13 10:10:09,946 µs,800 µs
2025-09-13 10:10:10,946 µs,800 µs
2025-09-13 10:10:11,946 µs,800 µs
2025-09-13 10:10:12,704 µs,800 µs
2025-09-13 10:10:13,854 µs,800 µs
2025-09-13 10:10:14,854 µs,800 µs
2025-09-13 10:10:15,854 µs,736 µs
2025-09-13 10:10:16,854 µs,736 µs
2025-09-13 10:10:17,854 µs,736 µs
2025-09-13 10:10:18,854 µs,736 µs
2025-09-13 10:10:19,854 µs,736 µs
2025-09-13 10:10:20,854 µs,736 µs
2025-09-13 10:10:21,706 µs,736 µs
2025-09-13 10:10:22,692 µs,736 µs
2025-09-13 10:10:23,936 µs,736 µs
2025-09-13 10:10:24,936 µs,736 µs
2025-09-13 10:10:25,936 µs,736 µs
2025-09-13 10:10:26,936 µs,736 µs
2025-09-13 10:10:27,936 µs,771 µs
2025-09-13 10:10:28,936 µs,771 µs
2025-09-13 10:10:29,936 µs,625 µs
2025-09-13 10:10:30,936 µs,638 µs
2025-09-13 10:10:31,904 µs,651 µs
2025-09-13 10:10:32,904 µs,663 µs
2025-09-13 10:10:33,904 µs,766 µs
2025-09-13 10:10:34,904 µs,766 µs
2025-09-13 10:10:35,904 µs,766 µs
2025-09-13 10:10:36,904 µs,766 µs
2025-09-13 10:10:37,904 µs,766 µs
2025-09-13 10:10:38,904 µs,766 µs
2025-09-13 10:10:39,904 µs,766 µs
2025-09-13 10:10:40,904 µs,766 µs
2025-09-13 10:10:41,904 µs,766 µs
2025-09-13 10:10:42,904 µs,655 µs
2025-09-13 10:10:43,904 µs,642 µs
2025-09-13 10:10:44,852 µs,629 µs
2025-09-13 10:10:45,834 µs,721 µs
2025-09-13 10:10:46,816 µs,721 µs
2025-09-13 10:10:47,798 µs,745 µs
2025-09-13 10:10:48,780 µs,745 µs
2025-09-13 10:10:49,943 µs,745 µs
2025-09-13 10:10:50,943 µs,745 µs
2025-09-13 10:10:51,943 µs,745 µs
2025-09-13 10:10:52,943 µs,745 µs
2025-09-13 10:10:53,943 µs,745 µs
2025-09-13 10:10:54,943 µs,745 µs
2025-09-13 10:10:55,943 µs,745 µs
2025-09-13 10:10:56,943 µs,745 µs
2025-09-13 10:10:57,943 µs,817 µs
2025-09-13 10:10:58,943 µs,817 µs
2025-09-13 10:10:59,943 µs,817 µs
2025-09-13 10:11:00,943 µs,817 µs
2025-09-13 10:11:01,943 µs,817 µs
2025-09-13 10:11:02,943 µs,833 µs
2025-09-13 10:11:03,851 µs,833 µs
2025-09-13 10:11:04,851 µs,833 µs
2025-09-13 10:11:05,876 µs,833 µs
2025-09-13 10:11:06,876 µs,833 µs
2025-09-13 10:11:07,876 µs,833 µs
2025-09-13 10:11:08,876 µs,833 µs
2025-09-13 10:11:09,876 µs,833 µs
2025-09-13 10:11:10,876 µs,833 µs
2025-09-13 10:11:11,876 µs,833 µs
2025-09-13 10:11:12,876 µs,714 µs
2025-09-13 10:11:13,876 µs,820 µs
2025-09-13 10:11:14,876 µs,820 µs
2025-09-13 10:11:15,876 µs,798 µs
2025-09-13 10:11:16,876 µs,798 µs
2025-09-13 10:11:17,876 µs,798 µs
2025-09-13 10:11:18,957 µs,798 µs
2025-09-13 10:11:19,957 µs,798 µs
2025-09-13 10:11:20,957 µs,798 µs
2025-09-13 10:11:21,957 µs,798 µs
2025-09-13 10:11:22,957 µs,798 µs
2025-09-13 10:11:23,728 µs,798 µs
2025-09-13 10:11:24,745 µs,798 µs
2025-09-13 10:11:25,763 µs,798 µs
2025-09-13 10:11:26,781 µs,798 µs
2025-09-13 10:11:27,798 µs,756 µs
2025-09-13 10:11:28,816 µs,635 µs
2025-09-13 10:11:29,833 µs,839 µs
2025-09-13 10:11:30,851 µs,839 µs
2025-09-13 10:11:31,868 µs,839 µs
2025-09-13 10:11:32,886 µs,839 µs
2025-09-13 10:11:33,753 µs,839 µs
2025-09-13 10:11:34,887 µs,839 µs
2025-09-13 10:11:35,869 µs,839 µs
