"Time","queue-proxy","user-container"
2025-09-13 10:53:44,218 µs,6.90 µs
2025-09-13 10:53:45,214 µs,6.90 µs
2025-09-13 10:53:46,209 µs,6.90 µs
2025-09-13 10:53:47,205 µs,8.12 µs
2025-09-13 10:53:48,200 µs,7.94 µs
2025-09-13 10:53:49,196 µs,7.75 µs
2025-09-13 10:53:50,172 µs,7.56 µs
2025-09-13 10:53:51,168 µs,7.37 µs
2025-09-13 10:53:52,164 µs,7.18 µs
2025-09-13 10:53:53,160 µs,6.99 µs
2025-09-13 10:53:54,156 µs,6.80 µs
2025-09-13 10:53:55,152 µs,6.62 µs
2025-09-13 10:53:56,148 µs,6.43 µs
2025-09-13 10:53:57,144 µs,6.24 µs
2025-09-13 10:53:58,140 µs,6.05 µs
2025-09-13 10:53:59,136 µs,5.86 µs
2025-09-13 10:54:00,132 µs,0 s
2025-09-13 10:54:01,128 µs,0 s
2025-09-13 10:54:02,124 µs,0 s
2025-09-13 10:54:03,120 µs,0 s
2025-09-13 10:54:04,116 µs,0 s
2025-09-13 10:54:05,,0 s
2025-09-13 10:54:06,,1.77 ms
2025-09-13 10:54:07,,1.88 ms
2025-09-13 10:54:08,579 µs,1.99 ms
2025-09-13 10:54:09,602 µs,2.09 ms
2025-09-13 10:54:10,624 µs,2.20 ms
2025-09-13 10:54:11,647 µs,2.31 ms
2025-09-13 10:54:12,669 µs,2.42 ms
2025-09-13 10:54:13,692 µs,2.53 ms
2025-09-13 10:54:14,715 µs,2.64 ms
2025-09-13 10:54:15,737 µs,2.75 ms
2025-09-13 10:54:16,760 µs,2.86 ms
2025-09-13 10:54:17,782 µs,2.97 ms
2025-09-13 10:54:18,805 µs,3.08 ms
2025-09-13 10:54:19,827 µs,3.18 ms
2025-09-13 10:54:20,850 µs,3.29 ms
2025-09-13 10:54:21,873 µs,3.40 ms
2025-09-13 10:54:22,895 µs,2.50 ms
2025-09-13 10:54:23,688 µs,2.50 ms
2025-09-13 10:54:24,705 µs,2.50 ms
2025-09-13 10:54:25,723 µs,1.90 ms
2025-09-13 10:54:26,740 µs,1.95 ms
2025-09-13 10:54:27,757 µs,2.01 ms
2025-09-13 10:54:28,774 µs,2.06 ms
2025-09-13 10:54:29,791 µs,2.11 ms
2025-09-13 10:54:30,808 µs,2.16 ms
2025-09-13 10:54:31,825 µs,2.22 ms
2025-09-13 10:54:32,842 µs,2.27 ms
2025-09-13 10:54:33,860 µs,2.32 ms
2025-09-13 10:54:34,981 µs,2.37 ms
2025-09-13 10:54:35,998 µs,2.43 ms
2025-09-13 10:54:36,1.02 ms,2.48 ms
2025-09-13 10:54:37,1.03 ms,2.53 ms
2025-09-13 10:54:38,1.03 ms,2.58 ms
2025-09-13 10:54:39,1.03 ms,2.64 ms
2025-09-13 10:54:40,861 µs,2.69 ms
2025-09-13 10:54:41,844 µs,2.74 ms
2025-09-13 10:54:42,827 µs,2.03 ms
2025-09-13 10:54:43,810 µs,2.07 ms
2025-09-13 10:54:44,793 µs,2.11 ms
2025-09-13 10:54:45,776 µs,2.15 ms
2025-09-13 10:54:46,759 µs,2.18 ms
2025-09-13 10:54:47,742 µs,2.22 ms
2025-09-13 10:54:48,724 µs,2.26 ms
2025-09-13 10:54:49,844 µs,2.26 ms
2025-09-13 10:54:50,844 µs,2.26 ms
2025-09-13 10:54:51,637 µs,548 µs
2025-09-13 10:54:52,637 µs,548 µs
2025-09-13 10:54:53,637 µs,547 µs
2025-09-13 10:54:54,637 µs,547 µs
2025-09-13 10:54:55,637 µs,547 µs
2025-09-13 10:54:56,637 µs,547 µs
2025-09-13 10:54:57,637 µs,547 µs
2025-09-13 10:54:58,637 µs,547 µs
2025-09-13 10:54:59,637 µs,547 µs
2025-09-13 10:55:00,637 µs,547 µs
2025-09-13 10:55:01,637 µs,547 µs
2025-09-13 10:55:02,637 µs,547 µs
2025-09-13 10:55:03,637 µs,547 µs
2025-09-13 10:55:04,637 µs,546 µs
2025-09-13 10:55:05,637 µs,546 µs
2025-09-13 10:55:06,640 µs,446 µs
2025-09-13 10:55:07,640 µs,456 µs
2025-09-13 10:55:08,633 µs,465 µs
2025-09-13 10:55:09,633 µs,474 µs
2025-09-13 10:55:10,633 µs,554 µs
