"Time","GPU 0","GPU 0"
2025-09-13 10:53:44,,0%
2025-09-13 10:53:45,,0%
2025-09-13 10:53:46,,0%
2025-09-13 10:53:47,,0%
2025-09-13 10:53:48,,0%
2025-09-13 10:53:49,,0%
2025-09-13 10:53:50,,0%
2025-09-13 10:53:51,0%,
2025-09-13 10:53:52,0%,
2025-09-13 10:53:53,0%,
2025-09-13 10:53:54,0%,
2025-09-13 10:53:55,0%,
2025-09-13 10:53:56,0%,
2025-09-13 10:53:57,0%,
2025-09-13 10:53:58,0%,
2025-09-13 10:53:59,0%,
2025-09-13 10:54:00,0%,
2025-09-13 10:54:01,0%,
2025-09-13 10:54:02,0%,
2025-09-13 10:54:03,0%,
2025-09-13 10:54:04,0%,
2025-09-13 10:54:05,0%,
2025-09-13 10:54:06,0%,
2025-09-13 10:54:07,0%,
2025-09-13 10:54:08,0%,
2025-09-13 10:54:09,0%,
2025-09-13 10:54:10,0%,
2025-09-13 10:54:11,0%,
2025-09-13 10:54:12,0%,
2025-09-13 10:54:13,0%,
2025-09-13 10:54:14,0%,
2025-09-13 10:54:15,0%,
2025-09-13 10:54:16,0%,
2025-09-13 10:54:17,0%,
2025-09-13 10:54:18,0%,
2025-09-13 10:54:19,0%,
2025-09-13 10:54:20,0%,
2025-09-13 10:54:21,0%,
2025-09-13 10:54:22,0%,
2025-09-13 10:54:23,0%,
2025-09-13 10:54:24,0%,
2025-09-13 10:54:25,0%,
2025-09-13 10:54:26,0%,
2025-09-13 10:54:27,0%,
2025-09-13 10:54:28,0%,
2025-09-13 10:54:29,0%,
2025-09-13 10:54:30,0%,
2025-09-13 10:54:31,0%,
2025-09-13 10:54:32,0%,
2025-09-13 10:54:33,0%,
2025-09-13 10:54:34,0%,
2025-09-13 10:54:35,0%,
2025-09-13 10:54:36,0%,
2025-09-13 10:54:37,0%,
2025-09-13 10:54:38,0%,
2025-09-13 10:54:39,0%,
2025-09-13 10:54:40,0%,
2025-09-13 10:54:41,0%,
2025-09-13 10:54:42,0%,
2025-09-13 10:54:43,0%,
2025-09-13 10:54:44,0%,
2025-09-13 10:54:45,0%,
2025-09-13 10:54:46,0%,
2025-09-13 10:54:47,0%,
