"Time","queue-proxy","user-container"
2025-09-11 16:54:51,214 µs,80.8 µs
2025-09-11 16:54:52,142 µs,78.9 µs
2025-09-11 16:54:53,138 µs,77.0 µs
2025-09-11 16:54:54,135 µs,75.1 µs
2025-09-11 16:54:55,132 µs,73.2 µs
2025-09-11 16:54:56,129 µs,71.3 µs
2025-09-11 16:54:57,126 µs,69.4 µs
2025-09-11 16:54:58,123 µs,67.5 µs
2025-09-11 16:54:59,120 µs,65.6 µs
2025-09-11 16:55:00,117 µs,63.7 µs
2025-09-11 16:55:01,114 µs,0 s
2025-09-11 16:55:02,111 µs,0 s
2025-09-11 16:55:03,107 µs,0 s
2025-09-11 16:55:04,104 µs,0 s
2025-09-11 16:55:05,101 µs,0 s
2025-09-11 16:55:06,98.2 µs,0 s
2025-09-11 16:55:07,95.1 µs,0 s
2025-09-11 16:55:08,92.0 µs,0 s
2025-09-11 16:55:09,88.9 µs,247 ms
2025-09-11 16:55:10,5.14 ms,261 ms
2025-09-11 16:55:11,5.32 ms,276 ms
2025-09-11 16:55:12,5.60 ms,291 ms
2025-09-11 16:55:13,5.87 ms,305 ms
2025-09-11 16:55:14,6.14 ms,320 ms
2025-09-11 16:55:15,6.42 ms,334 ms
2025-09-11 16:55:16,6.69 ms,349 ms
2025-09-11 16:55:17,6.96 ms,364 ms
2025-09-11 16:55:18,7.24 ms,378 ms
2025-09-11 16:55:19,7.51 ms,393 ms
2025-09-11 16:55:20,7.78 ms,408 ms
2025-09-11 16:55:21,8.05 ms,422 ms
2025-09-11 16:55:22,8.33 ms,417 ms
2025-09-11 16:55:23,8.60 ms,431 ms
2025-09-11 16:55:24,8.87 ms,445 ms
2025-09-11 16:55:25,9.15 ms,459 ms
2025-09-11 16:55:26,9.42 ms,473 ms
2025-09-11 16:55:27,9.69 ms,487 ms
2025-09-11 16:55:28,10.0 ms,501 ms
2025-09-11 16:55:29,10.3 ms,515 ms
2025-09-11 16:55:30,10.6 ms,529 ms
2025-09-11 16:55:31,10.8 ms,543 ms
2025-09-11 16:55:32,11.1 ms,557 ms
2025-09-11 16:55:33,11.4 ms,571 ms
2025-09-11 16:55:34,11.7 ms,585 ms
2025-09-11 16:55:35,11.9 ms,599 ms
2025-09-11 16:55:36,12.2 ms,613 ms
2025-09-11 16:55:37,12.5 ms,627 ms
2025-09-11 16:55:38,12.8 ms,641 ms
2025-09-11 16:55:39,13.0 ms,649 ms
2025-09-11 16:55:40,13.3 ms,663 ms
2025-09-11 16:55:41,13.6 ms,676 ms
2025-09-11 16:55:42,13.9 ms,690 ms
2025-09-11 16:55:43,14.1 ms,704 ms
2025-09-11 16:55:44,14.4 ms,718 ms
2025-09-11 16:55:45,14.7 ms,732 ms
2025-09-11 16:55:46,14.9 ms,746 ms
2025-09-11 16:55:47,15.2 ms,759 ms
2025-09-11 16:55:48,15.5 ms,773 ms
2025-09-11 16:55:49,15.8 ms,787 ms
2025-09-11 16:55:50,16.0 ms,793 ms
2025-09-11 16:55:51,16.3 ms,807 ms
2025-09-11 16:55:52,16.5 ms,821 ms
2025-09-11 16:55:53,14.2 ms,678 ms
2025-09-11 16:55:54,16.6 ms,800 ms
2025-09-11 16:55:55,16.6 ms,800 ms
2025-09-11 16:55:56,16.6 ms,800 ms
2025-09-11 16:55:57,16.6 ms,800 ms
2025-09-11 16:55:58,16.6 ms,800 ms
2025-09-11 16:55:59,16.6 ms,800 ms
2025-09-11 16:56:00,16.6 ms,800 ms
2025-09-11 16:56:01,16.6 ms,800 ms
2025-09-11 16:56:02,16.6 ms,803 ms
2025-09-11 16:56:03,16.6 ms,803 ms
2025-09-11 16:56:04,16.6 ms,803 ms
2025-09-11 16:56:05,16.6 ms,803 ms
2025-09-11 16:56:06,16.6 ms,803 ms
2025-09-11 16:56:07,16.6 ms,803 ms
2025-09-11 16:56:08,16.6 ms,803 ms
2025-09-11 16:56:09,16.6 ms,808 ms
2025-09-11 16:56:10,13.5 ms,808 ms
2025-09-11 16:56:11,13.8 ms,808 ms
2025-09-11 16:56:12,14.0 ms,808 ms
2025-09-11 16:56:13,14.3 ms,808 ms
2025-09-11 16:56:14,16.6 ms,808 ms
2025-09-11 16:56:15,16.6 ms,808 ms
2025-09-11 16:56:16,14.4 ms,808 ms
2025-09-11 16:56:17,14.4 ms,691 ms
2025-09-11 16:56:18,14.4 ms,685 ms
2025-09-11 16:56:19,14.4 ms,685 ms
2025-09-11 16:56:20,14.4 ms,685 ms
2025-09-11 16:56:21,14.4 ms,685 ms
2025-09-11 16:56:22,14.4 ms,519 ms
2025-09-11 16:56:23,14.4 ms,529 ms
2025-09-11 16:56:24,14.4 ms,539 ms
2025-09-11 16:56:25,14.4 ms,627 ms
2025-09-11 16:56:26,14.4 ms,627 ms
2025-09-11 16:56:27,14.4 ms,627 ms
2025-09-11 16:56:28,10.4 ms,627 ms
2025-09-11 16:56:29,11.8 ms,627 ms
2025-09-11 16:56:30,11.6 ms,627 ms
2025-09-11 16:56:31,11.4 ms,627 ms
2025-09-11 16:56:32,9.36 ms,453 ms
2025-09-11 16:56:33,9.36 ms,453 ms
2025-09-11 16:56:34,9.36 ms,453 ms
2025-09-11 16:56:35,9.36 ms,453 ms
2025-09-11 16:56:36,9.36 ms,453 ms
2025-09-11 16:56:37,9.36 ms,453 ms
2025-09-11 16:56:38,9.36 ms,453 ms
2025-09-11 16:56:39,9.36 ms,367 ms
2025-09-11 16:56:40,9.36 ms,367 ms
2025-09-11 16:56:41,6.99 ms,367 ms
2025-09-11 16:56:42,6.99 ms,367 ms
2025-09-11 16:56:43,6.99 ms,367 ms
2025-09-11 16:56:44,6.99 ms,367 ms
2025-09-11 16:56:45,6.99 ms,285 ms
2025-09-11 16:56:46,5.25 ms,285 ms
2025-09-11 16:56:47,5.25 ms,285 ms
2025-09-11 16:56:48,5.25 ms,285 ms
2025-09-11 16:56:49,5.25 ms,285 ms
2025-09-11 16:56:50,5.25 ms,135 ms
2025-09-11 16:56:51,5.25 ms,135 ms
2025-09-11 16:56:52,5.25 ms,135 ms
2025-09-11 16:56:53,2.22 ms,135 ms
2025-09-11 16:56:54,2.22 ms,135 ms
2025-09-11 16:56:55,2.22 ms,108 ms
2025-09-11 16:56:56,2.22 ms,108 ms
2025-09-11 16:56:57,2.22 ms,108 ms
2025-09-11 16:56:58,2.22 ms,108 ms
2025-09-11 16:56:59,2.22 ms,108 ms
2025-09-11 16:57:00,2.22 ms,108 ms
2025-09-11 16:57:01,1.90 ms,108 ms
2025-09-11 16:57:02,1.86 ms,166 µs
2025-09-11 16:57:03,1.83 ms,169 µs
2025-09-11 16:57:04,1.79 ms,195 µs
2025-09-11 16:57:05,271 µs,195 µs
2025-09-11 16:57:06,337 µs,195 µs
