"Time","queue-proxy","user-container"
2025-09-12 12:00:15,206 µs,283 µs
2025-09-12 12:00:16,104 µs,277 µs
2025-09-12 12:00:17,104 µs,271 µs
2025-09-12 12:00:18,104 µs,265 µs
2025-09-12 12:00:19,104 µs,259 µs
2025-09-12 12:00:20,135 µs,253 µs
2025-09-12 12:00:21,131 µs,247 µs
2025-09-12 12:00:22,127 µs,240 µs
2025-09-12 12:00:23,123 µs,234 µs
2025-09-12 12:00:24,118 µs,228 µs
2025-09-12 12:00:25,114 µs,222 µs
2025-09-12 12:00:26,110 µs,216 µs
2025-09-12 12:00:27,106 µs,210 µs
2025-09-12 12:00:28,102 µs,163 µs
2025-09-12 12:00:29,97.7 µs,158 µs
2025-09-12 12:00:30,93.5 µs,153 µs
2025-09-12 12:00:31,89.4 µs,149 µs
2025-09-12 12:00:32,85.2 µs,144 µs
2025-09-12 12:00:33,81.1 µs,139 µs
2025-09-12 12:00:34,,134 µs
2025-09-12 12:00:35,,129 µs
2025-09-12 12:00:36,,125 µs
2025-09-12 12:00:37,,120 µs
2025-09-12 12:00:38,,115 µs
2025-09-12 12:00:39,,110 µs
2025-09-12 12:00:40,3.99 ms,105 µs
2025-09-12 12:00:41,4.25 ms,
2025-09-12 12:00:42,4.52 ms,
2025-09-12 12:00:43,4.79 ms,
2025-09-12 12:00:44,5.05 ms,
2025-09-12 12:00:45,5.32 ms,160 ms
2025-09-12 12:00:46,5.58 ms,168 ms
2025-09-12 12:00:47,5.85 ms,176 ms
2025-09-12 12:00:48,6.12 ms,184 ms
2025-09-12 12:00:49,6.38 ms,193 ms
2025-09-12 12:00:50,6.65 ms,201 ms
2025-09-12 12:00:51,6.91 ms,209 ms
2025-09-12 12:00:52,7.18 ms,217 ms
2025-09-12 12:00:53,7.44 ms,226 ms
2025-09-12 12:00:54,8.28 ms,234 ms
2025-09-12 12:00:55,8.57 ms,242 ms
2025-09-12 12:00:56,8.85 ms,251 ms
2025-09-12 12:00:57,9.14 ms,259 ms
2025-09-12 12:00:58,9.42 ms,267 ms
2025-09-12 12:00:59,9.71 ms,275 ms
2025-09-12 12:01:00,10.00 ms,260 ms
2025-09-12 12:01:01,10.3 ms,268 ms
2025-09-12 12:01:02,10.6 ms,275 ms
2025-09-12 12:01:03,10.9 ms,283 ms
2025-09-12 12:01:04,11.1 ms,291 ms
2025-09-12 12:01:05,11.4 ms,298 ms
2025-09-12 12:01:06,11.7 ms,306 ms
2025-09-12 12:01:07,12.0 ms,313 ms
2025-09-12 12:01:08,12.3 ms,321 ms
2025-09-12 12:01:09,12.6 ms,328 ms
2025-09-12 12:01:10,12.9 ms,336 ms
2025-09-12 12:01:11,13.2 ms,344 ms
2025-09-12 12:01:12,13.5 ms,351 ms
2025-09-12 12:01:13,13.8 ms,359 ms
2025-09-12 12:01:14,14.0 ms,366 ms
2025-09-12 12:01:15,14.3 ms,354 ms
2025-09-12 12:01:16,14.6 ms,361 ms
2025-09-12 12:01:17,14.9 ms,368 ms
2025-09-12 12:01:18,15.2 ms,375 ms
2025-09-12 12:01:19,15.5 ms,382 ms
2025-09-12 12:01:20,15.8 ms,389 ms
2025-09-12 12:01:21,16.1 ms,397 ms
2025-09-12 12:01:22,16.4 ms,404 ms
2025-09-12 12:01:23,16.6 ms,411 ms
2025-09-12 12:01:24,16.9 ms,418 ms
2025-09-12 12:01:25,17.2 ms,425 ms
2025-09-12 12:01:26,17.6 ms,323 ms
2025-09-12 12:01:27,17.7 ms,324 ms
2025-09-12 12:01:28,17.7 ms,330 ms
2025-09-12 12:01:29,17.7 ms,390 ms
2025-09-12 12:01:30,17.7 ms,390 ms
2025-09-12 12:01:31,17.7 ms,390 ms
2025-09-12 12:01:32,17.7 ms,390 ms
2025-09-12 12:01:33,17.2 ms,390 ms
2025-09-12 12:01:34,17.2 ms,390 ms
2025-09-12 12:01:35,17.2 ms,390 ms
2025-09-12 12:01:36,17.2 ms,390 ms
2025-09-12 12:01:37,17.2 ms,390 ms
2025-09-12 12:01:38,17.2 ms,390 ms
2025-09-12 12:01:39,17.2 ms,390 ms
2025-09-12 12:01:40,16.8 ms,352 ms
2025-09-12 12:01:41,16.8 ms,352 ms
2025-09-12 12:01:42,16.8 ms,352 ms
2025-09-12 12:01:43,16.8 ms,352 ms
2025-09-12 12:01:44,14.0 ms,352 ms
2025-09-12 12:01:45,14.0 ms,285 ms
2025-09-12 12:01:46,14.0 ms,330 ms
2025-09-12 12:01:47,14.0 ms,330 ms
2025-09-12 12:01:48,14.0 ms,330 ms
2025-09-12 12:01:49,14.0 ms,330 ms
2025-09-12 12:01:50,14.0 ms,330 ms
2025-09-12 12:01:51,14.0 ms,330 ms
2025-09-12 12:01:52,14.0 ms,254 ms
2025-09-12 12:01:53,14.0 ms,254 ms
2025-09-12 12:01:54,11.0 ms,254 ms
2025-09-12 12:01:55,8.59 ms,254 ms
2025-09-12 12:01:56,9.76 ms,254 ms
2025-09-12 12:01:57,9.76 ms,254 ms
2025-09-12 12:01:58,9.76 ms,254 ms
2025-09-12 12:01:59,9.76 ms,254 ms
2025-09-12 12:02:00,9.76 ms,174 ms
2025-09-12 12:02:01,9.76 ms,177 ms
2025-09-12 12:02:02,9.76 ms,204 ms
2025-09-12 12:02:03,9.76 ms,204 ms
2025-09-12 12:02:04,9.76 ms,204 ms
2025-09-12 12:02:05,9.76 ms,178 ms
2025-09-12 12:02:06,9.76 ms,175 ms
2025-09-12 12:02:07,9.76 ms,143 ms
2025-09-12 12:02:08,6.62 ms,143 ms
2025-09-12 12:02:09,6.49 ms,143 ms
2025-09-12 12:02:10,6.37 ms,143 ms
2025-09-12 12:02:11,6.24 ms,143 ms
2025-09-12 12:02:12,6.11 ms,143 ms
2025-09-12 12:02:13,5.18 ms,143 ms
2025-09-12 12:02:14,5.18 ms,143 ms
2025-09-12 12:02:15,5.18 ms,76.9 ms
2025-09-12 12:02:16,5.18 ms,76.9 ms
2025-09-12 12:02:17,5.18 ms,76.9 ms
2025-09-12 12:02:18,5.18 ms,76.9 ms
2025-09-12 12:02:19,1.31 ms,59.5 ms
2025-09-12 12:02:20,1.31 ms,59.5 ms
2025-09-12 12:02:21,1.31 ms,59.5 ms
2025-09-12 12:02:22,1.31 ms,59.5 ms
2025-09-12 12:02:23,1.31 ms,59.5 ms
2025-09-12 12:02:24,1.31 ms,59.5 ms
2025-09-12 12:02:25,1.31 ms,59.5 ms
2025-09-12 12:02:26,1.31 ms,59.5 ms
2025-09-12 12:02:27,1.13 ms,511 µs
2025-09-12 12:02:28,1.11 ms,511 µs
2025-09-12 12:02:29,1.09 ms,511 µs
2025-09-12 12:02:30,1.07 ms,511 µs
2025-09-12 12:02:31,1.02 ms,511 µs
2025-09-12 12:02:32,1.02 ms,494 µs
2025-09-12 12:02:33,367 µs,494 µs
2025-09-12 12:02:34,367 µs,494 µs
2025-09-12 12:02:35,367 µs,494 µs
