"Time","GPU 0","GPU 0"
2025-09-12 12:03:15,,0%
2025-09-12 12:03:16,,0%
2025-09-12 12:03:17,,0%
2025-09-12 12:03:18,,0%
2025-09-12 12:03:19,,0%
2025-09-12 12:03:20,,0%
2025-09-12 12:03:21,,0%
2025-09-12 12:03:22,,0%
2025-09-12 12:03:23,,0%
2025-09-12 12:03:24,,0%
2025-09-12 12:03:25,,0%
2025-09-12 12:03:26,0%,
2025-09-12 12:03:27,0%,
2025-09-12 12:03:28,0%,
2025-09-12 12:03:29,0%,
2025-09-12 12:03:30,3%,
2025-09-12 12:03:31,1%,
2025-09-12 12:03:32,1%,
2025-09-12 12:03:33,1%,
2025-09-12 12:03:34,1%,
2025-09-12 12:03:35,1%,
2025-09-12 12:03:36,1%,
2025-09-12 12:03:37,0%,
2025-09-12 12:03:38,1%,
2025-09-12 12:03:39,1%,
2025-09-12 12:03:40,1%,
2025-09-12 12:03:41,0%,
2025-09-12 12:03:42,1%,
2025-09-12 12:03:43,0%,
2025-09-12 12:03:44,0%,
2025-09-12 12:03:45,1%,
2025-09-12 12:03:46,1%,
2025-09-12 12:03:47,1%,
2025-09-12 12:03:48,1%,
2025-09-12 12:03:49,1%,
2025-09-12 12:03:50,1%,
2025-09-12 12:03:51,1%,
2025-09-12 12:03:52,1%,
2025-09-12 12:03:53,0%,
2025-09-12 12:03:54,1%,
2025-09-12 12:03:55,1%,
2025-09-12 12:03:56,1%,
2025-09-12 12:03:57,1%,
2025-09-12 12:03:58,1%,
2025-09-12 12:03:59,1%,
2025-09-12 12:04:00,1%,
2025-09-12 12:04:01,1%,
2025-09-12 12:04:02,0%,
2025-09-12 12:04:03,0%,
2025-09-12 12:04:04,0%,
2025-09-12 12:04:05,1%,
2025-09-12 12:04:06,0%,
2025-09-12 12:04:07,1%,
2025-09-12 12:04:08,1%,
2025-09-12 12:04:09,1%,
2025-09-12 12:04:10,1%,
2025-09-12 12:04:11,1%,
2025-09-12 12:04:12,1%,
2025-09-12 12:04:13,1%,
2025-09-12 12:04:14,0%,
2025-09-12 12:04:15,1%,
2025-09-12 12:04:16,1%,
2025-09-12 12:04:17,1%,
2025-09-12 12:04:18,1%,
2025-09-12 12:04:19,1%,
2025-09-12 12:04:20,1%,
2025-09-12 12:04:21,1%,
2025-09-12 12:04:22,1%,
2025-09-12 12:04:23,1%,
2025-09-12 12:04:24,1%,
2025-09-12 12:04:25,1%,
2025-09-12 12:04:26,0%,
2025-09-12 12:04:27,0%,
2025-09-12 12:04:28,1%,
2025-09-12 12:04:29,1%,
2025-09-12 12:04:30,1%,
2025-09-12 12:04:31,1%,
2025-09-12 12:04:32,1%,
2025-09-12 12:04:33,0%,
2025-09-12 12:04:34,1%,
2025-09-12 12:04:35,1%,
2025-09-12 12:04:36,1%,
2025-09-12 12:04:37,0%,
2025-09-12 12:04:38,0%,
2025-09-12 12:04:39,0%,
2025-09-12 12:04:40,0%,
2025-09-12 12:04:41,0%,
2025-09-12 12:04:42,0%,
2025-09-12 12:04:43,0%,
2025-09-12 12:04:44,0%,
2025-09-12 12:04:45,0%,
2025-09-12 12:04:46,0%,
2025-09-12 12:04:47,0%,
2025-09-12 12:04:48,0%,
2025-09-12 12:04:49,0%,
2025-09-12 12:04:50,0%,
2025-09-12 12:04:51,0%,
2025-09-12 12:04:52,0%,
2025-09-12 12:04:53,0%,
2025-09-12 12:04:54,0%,
2025-09-12 12:04:55,0%,
2025-09-12 12:04:56,0%,
2025-09-12 12:04:57,0%,
2025-09-12 12:04:58,0%,
2025-09-12 12:04:59,0%,
2025-09-12 12:05:00,0%,
2025-09-12 12:05:01,0%,
2025-09-12 12:05:02,0%,
2025-09-12 12:05:03,0%,
2025-09-12 12:05:04,0%,
2025-09-12 12:05:05,0%,
2025-09-12 12:05:06,0%,
2025-09-12 12:05:07,0%,
2025-09-12 12:05:08,0%,
2025-09-12 12:05:09,0%,
2025-09-12 12:05:10,0%,
2025-09-12 12:05:11,0%,
2025-09-12 12:05:12,0%,
2025-09-12 12:05:13,0%,
2025-09-12 12:05:14,0%,
2025-09-12 12:05:15,0%,
2025-09-12 12:05:16,0%,
2025-09-12 12:05:17,0%,
2025-09-12 12:05:18,0%,
2025-09-12 12:05:19,0%,
2025-09-12 12:05:20,0%,
2025-09-12 12:05:21,0%,
2025-09-12 12:05:22,0%,
2025-09-12 12:05:23,0%,
2025-09-12 12:05:24,0%,
2025-09-12 12:05:25,0%,
2025-09-12 12:05:26,0%,
2025-09-12 12:05:27,0%,
2025-09-12 12:05:28,0%,
2025-09-12 12:05:29,0%,
2025-09-12 12:05:30,0%,
2025-09-12 12:05:31,0%,
2025-09-12 12:05:32,0%,
2025-09-12 12:05:33,0%,
2025-09-12 12:05:34,0%,
2025-09-12 12:05:35,0%,
2025-09-12 12:05:36,0%,
