"Time","queue-proxy","user-container"
2025-09-18 10:58:48,,162 ms
2025-09-18 10:58:50,,191 ms
2025-09-18 10:58:52,,219 ms
2025-09-18 10:58:54,,248 ms
2025-09-18 10:58:56,3.50 ms,277 ms
2025-09-18 10:58:58,3.82 ms,306 ms
2025-09-18 10:59:00,4.15 ms,334 ms
2025-09-18 10:59:02,4.47 ms,372 ms
2025-09-18 10:59:04,4.80 ms,401 ms
2025-09-18 10:59:06,5.12 ms,430 ms
2025-09-18 10:59:08,5.45 ms,460 ms
2025-09-18 10:59:10,5.77 ms,489 ms
2025-09-18 10:59:12,6.10 ms,519 ms
2025-09-18 10:59:14,4.49 ms,548 ms
2025-09-18 10:59:16,4.71 ms,366 ms
2025-09-18 10:59:18,4.93 ms,385 ms
2025-09-18 10:59:20,5.15 ms,403 ms
2025-09-18 10:59:22,5.37 ms,422 ms
2025-09-18 10:59:24,5.59 ms,441 ms
2025-09-18 10:59:26,5.81 ms,459 ms
2025-09-18 10:59:28,4.49 ms,523 ms
2025-09-18 10:59:30,4.65 ms,544 ms
2025-09-18 10:59:32,4.80 ms,564 ms
2025-09-18 10:59:34,4.80 ms,585 ms
2025-09-18 10:59:36,4.80 ms,605 ms
2025-09-18 10:59:38,2.17 ms,541 ms
2025-09-18 10:59:40,2.17 ms,541 ms
2025-09-18 10:59:42,2.17 ms,649 ms
2025-09-18 10:59:44,2.17 ms,649 ms
2025-09-18 10:59:46,1.62 ms,649 ms
2025-09-18 10:59:48,1.62 ms,563 ms
2025-09-18 10:59:50,1.62 ms,563 ms
2025-09-18 10:59:52,1.62 ms,563 ms
2025-09-18 10:59:54,1.62 ms,563 ms
2025-09-18 10:59:56,567 µs,477 ms
2025-09-18 10:59:58,567 µs,458 ms
2025-09-18 11:00:00,567 µs,695 ms
2025-09-18 11:00:02,567 µs,922 ms
2025-09-18 11:00:04,466 µs,922 ms
2025-09-18 11:00:06,447 µs,922 ms
2025-09-18 11:00:08,428 µs,922 ms
2025-09-18 11:00:10,410 µs,922 ms
2025-09-18 11:00:12,567 µs,922 ms
2025-09-18 11:00:14,573 µs,922 ms
2025-09-18 11:00:16,573 µs,967 ms
2025-09-18 11:00:18,573 µs,967 ms
2025-09-18 11:00:20,573 µs,967 ms
2025-09-18 11:00:22,573 µs,967 ms
2025-09-18 11:00:24,573 µs,967 ms
2025-09-18 11:00:26,568 µs,967 ms
2025-09-18 11:00:28,561 µs,966 ms
2025-09-18 11:00:30,561 µs,966 ms
2025-09-18 11:00:32,561 µs,966 ms
2025-09-18 11:00:34,561 µs,966 ms
2025-09-18 11:00:36,561 µs,966 ms
2025-09-18 11:00:38,561 µs,966 ms
2025-09-18 11:00:40,568 µs,966 ms
2025-09-18 11:00:42,568 µs,797 ms
2025-09-18 11:00:44,568 µs,829 ms
2025-09-18 11:00:46,396 µs,968 ms
2025-09-18 11:00:48,415 µs,968 ms
2025-09-18 11:00:50,434 µs,968 ms
2025-09-18 11:00:52,488 µs,967 ms
2025-09-18 11:00:54,508 µs,967 ms
2025-09-18 11:00:56,529 µs,967 ms
2025-09-18 11:00:58,615 µs,967 ms
2025-09-18 11:01:00,615 µs,825 ms
2025-09-18 11:01:02,615 µs,968 ms
2025-09-18 11:01:04,615 µs,968 ms
2025-09-18 11:01:06,594 µs,968 ms
2025-09-18 11:01:08,594 µs,968 ms
2025-09-18 11:01:10,594 µs,968 ms
2025-09-18 11:01:12,608 µs,968 ms
2025-09-18 11:01:14,608 µs,968 ms
2025-09-18 11:01:16,608 µs,967 ms
2025-09-18 11:01:18,608 µs,967 ms
2025-09-18 11:01:20,608 µs,967 ms
2025-09-18 11:01:22,606 µs,967 ms
2025-09-18 11:01:24,606 µs,967 ms
2025-09-18 11:01:26,612 µs,967 ms
2025-09-18 11:01:28,612 µs,966 ms
2025-09-18 11:01:30,612 µs,966 ms
2025-09-18 11:01:32,612 µs,966 ms
2025-09-18 11:01:34,612 µs,966 ms
2025-09-18 11:01:36,598 µs,966 ms
2025-09-18 11:01:38,598 µs,966 ms
2025-09-18 11:01:40,564 µs,966 ms
2025-09-18 11:01:42,564 µs,847 ms
2025-09-18 11:01:44,564 µs,815 ms
2025-09-18 11:01:46,564 µs,783 ms
2025-09-18 11:01:48,564 µs,966 ms
2025-09-18 11:01:50,564 µs,966 ms
2025-09-18 11:01:52,483 µs,965 ms
2025-09-18 11:01:54,464 µs,965 ms
2025-09-18 11:01:56,445 µs,965 ms
2025-09-18 11:01:58,425 µs,965 ms
2025-09-18 11:02:00,406 µs,965 ms
2025-09-18 11:02:02,387 µs,965 ms
2025-09-18 11:02:04,367 µs,965 ms
2025-09-18 11:02:06,562 µs,966 ms
2025-09-18 11:02:08,562 µs,966 ms
2025-09-18 11:02:10,562 µs,966 ms
2025-09-18 11:02:12,562 µs,966 ms
2025-09-18 11:02:14,562 µs,966 ms
2025-09-18 11:02:16,562 µs,966 ms
2025-09-18 11:02:18,572 µs,966 ms
2025-09-18 11:02:20,572 µs,966 ms
2025-09-18 11:02:22,579 µs,966 ms
2025-09-18 11:02:24,579 µs,966 ms
2025-09-18 11:02:26,579 µs,966 ms
2025-09-18 11:02:28,579 µs,966 ms
2025-09-18 11:02:30,581 µs,806 ms
2025-09-18 11:02:32,581 µs,967 ms
2025-09-18 11:02:34,581 µs,967 ms
2025-09-18 11:02:36,368 µs,967 ms
2025-09-18 11:02:38,388 µs,967 ms
2025-09-18 11:02:40,408 µs,967 ms
2025-09-18 11:02:42,428 µs,966 ms
2025-09-18 11:02:44,366 µs,966 ms
2025-09-18 11:02:46,472 µs,966 ms
2025-09-18 11:02:48,491 µs,966 ms
2025-09-18 11:02:50,511 µs,966 ms
2025-09-18 11:02:52,597 µs,968 ms
2025-09-18 11:02:54,597 µs,968 ms
2025-09-18 11:02:56,597 µs,968 ms
2025-09-18 11:02:58,597 µs,968 ms
2025-09-18 11:03:00,597 µs,968 ms
2025-09-18 11:03:02,499 µs,968 ms
2025-09-18 11:03:04,479 µs,968 ms
2025-09-18 11:03:06,603 µs,827 ms
2025-09-18 11:03:08,603 µs,795 ms
2025-09-18 11:03:10,603 µs,762 ms
2025-09-18 11:03:12,603 µs,968 ms
2025-09-18 11:03:14,603 µs,968 ms
