"Time","GPU 0","GPU 0"
2025-09-18 11:22:08,,0%
2025-09-18 11:22:10,,0%
2025-09-18 11:22:12,,0%
2025-09-18 11:22:14,,0%
2025-09-18 11:22:16,,0%
2025-09-18 11:22:18,,0%
2025-09-18 11:22:20,,0%
2025-09-18 11:22:22,,0%
2025-09-18 11:22:24,,0%
2025-09-18 11:22:26,,0%
2025-09-18 11:22:28,,0%
2025-09-18 11:22:30,,0%
2025-09-18 11:22:32,,0%
2025-09-18 11:22:34,,0%
2025-09-18 11:22:36,,0%
2025-09-18 11:22:38,,0%
2025-09-18 11:22:40,,0%
2025-09-18 11:22:42,,0%
2025-09-18 11:22:44,,0%
2025-09-18 11:22:46,,0%
2025-09-18 11:22:48,,0%
2025-09-18 11:22:50,,0%
2025-09-18 11:22:52,,0%
2025-09-18 11:22:54,,0%
2025-09-18 11:22:56,,0%
2025-09-18 11:22:58,,0%
2025-09-18 11:23:00,,0%
2025-09-18 11:23:02,,0%
2025-09-18 11:23:04,,0%
2025-09-18 11:23:06,,0%
2025-09-18 11:23:08,,0%
2025-09-18 11:23:10,,0%
2025-09-18 11:23:12,,0%
2025-09-18 11:23:14,,0%
2025-09-18 11:23:16,,0%
2025-09-18 11:23:18,,0%
2025-09-18 11:23:20,,0%
2025-09-18 11:23:22,,0%
2025-09-18 11:23:24,,0%
2025-09-18 11:23:26,,0%
2025-09-18 11:23:28,,0%
2025-09-18 11:23:30,,0%
2025-09-18 11:23:32,,0%
2025-09-18 11:23:34,,0%
2025-09-18 11:23:36,,0%
2025-09-18 11:23:38,,0%
2025-09-18 11:23:40,,0%
2025-09-18 11:23:42,,0%
2025-09-18 11:23:44,,0%
2025-09-18 11:23:46,,0%
2025-09-18 11:23:48,,0%
2025-09-18 11:23:50,,0%
2025-09-18 11:23:52,,0%
2025-09-18 11:23:54,,0%
2025-09-18 11:23:56,,0%
2025-09-18 11:23:58,,0%
2025-09-18 11:24:00,,0%
2025-09-18 11:24:02,,0%
2025-09-18 11:24:04,,0%
2025-09-18 11:24:06,,0%
2025-09-18 11:24:08,,0%
2025-09-18 11:24:10,,0%
2025-09-18 11:24:12,,0%
2025-09-18 11:24:14,0%,
2025-09-18 11:24:16,0%,
2025-09-18 11:24:18,0%,
2025-09-18 11:24:20,0%,
2025-09-18 11:24:22,0%,
2025-09-18 11:24:24,0%,
2025-09-18 11:24:26,0%,
2025-09-18 11:24:28,0%,
2025-09-18 11:24:30,0%,
2025-09-18 11:24:32,0%,
2025-09-18 11:24:34,0%,
2025-09-18 11:24:36,0%,
2025-09-18 11:24:38,0%,
2025-09-18 11:24:40,0%,
2025-09-18 11:24:42,0%,
2025-09-18 11:24:44,0%,
2025-09-18 11:24:46,0%,
2025-09-18 11:24:48,0%,
2025-09-18 11:24:50,0%,
2025-09-18 11:24:52,0%,
2025-09-18 11:24:54,0%,
2025-09-18 11:24:56,0%,
2025-09-18 11:24:58,0%,
2025-09-18 11:25:00,64%,
2025-09-18 11:25:02,59%,
2025-09-18 11:25:04,59%,
2025-09-18 11:25:06,58%,
2025-09-18 11:25:08,59%,
2025-09-18 11:25:10,60%,
2025-09-18 11:25:12,62%,
2025-09-18 11:25:14,65%,
2025-09-18 11:25:16,58%,
2025-09-18 11:25:18,65%,
2025-09-18 11:25:20,64%,
2025-09-18 11:25:22,62%,
2025-09-18 11:25:24,62%,
2025-09-18 11:25:26,62%,
2025-09-18 11:25:28,63%,
2025-09-18 11:25:30,59%,
2025-09-18 11:25:32,60%,
2025-09-18 11:25:34,54%,
2025-09-18 11:25:36,18%,
2025-09-18 11:25:38,60%,
2025-09-18 11:25:40,64%,
2025-09-18 11:25:42,64%,
