"Time","queue-proxy","user-container"
2025-09-18 11:47:04,1.75 ms,178 ms
2025-09-18 11:47:06,1.91 ms,196 ms
2025-09-18 11:47:08,2.06 ms,214 ms
2025-09-18 11:47:10,2.22 ms,232 ms
2025-09-18 11:47:12,2.38 ms,250 ms
2025-09-18 11:47:14,2.53 ms,268 ms
2025-09-18 11:47:16,2.04 ms,286 ms
2025-09-18 11:47:18,2.16 ms,303 ms
2025-09-18 11:47:20,2.27 ms,1.97 s
2025-09-18 11:47:22,2.38 ms,2.08 s
2025-09-18 11:47:24,2.50 ms,2.19 s
2025-09-18 11:47:26,2.61 ms,2.30 s
2025-09-18 11:47:28,2.73 ms,2.41 s
2025-09-18 11:47:30,2.84 ms,2.52 s
2025-09-18 11:47:32,2.96 ms,2.63 s
2025-09-18 11:47:34,2.21 ms,3.88 s
2025-09-18 11:47:36,2.29 ms,4.04 s
2025-09-18 11:47:38,2.37 ms,4.19 s
2025-09-18 11:47:40,2.40 ms,4.35 s
2025-09-18 11:47:42,2.40 ms,4.50 s
2025-09-18 11:47:44,2.40 ms,4.66 s
2025-09-18 11:47:46,1.11 ms,5.42 s
2025-09-18 11:47:48,964 µs,5.67 s
2025-09-18 11:47:50,964 µs,4.70 s
2025-09-18 11:47:52,964 µs,4.70 s
2025-09-18 11:47:54,964 µs,4.70 s
2025-09-18 11:47:56,964 µs,4.70 s
2025-09-18 11:47:58,964 µs,4.70 s
2025-09-18 11:48:00,964 µs,4.70 s
2025-09-18 11:48:02,964 µs,4.70 s
2025-09-18 11:48:04,624 µs,4.75 s
2025-09-18 11:48:06,626 µs,4.51 s
2025-09-18 11:48:08,626 µs,4.24 s
2025-09-18 11:48:10,626 µs,7.96 s
2025-09-18 11:48:12,626 µs,7.96 s
2025-09-18 11:48:14,626 µs,7.96 s
2025-09-18 11:48:16,529 µs,7.96 s
2025-09-18 11:48:18,722 µs,7.96 s
2025-09-18 11:48:20,722 µs,7.97 s
2025-09-18 11:48:22,722 µs,7.97 s
2025-09-18 11:48:24,722 µs,7.97 s
2025-09-18 11:48:26,722 µs,7.97 s
2025-09-18 11:48:28,722 µs,7.96 s
2025-09-18 11:48:30,722 µs,7.96 s
2025-09-18 11:48:32,724 µs,7.96 s
2025-09-18 11:48:34,752 µs,4.57 s
2025-09-18 11:48:36,752 µs,4.83 s
2025-09-18 11:48:38,752 µs,5.10 s
2025-09-18 11:48:40,752 µs,5.13 s
2025-09-18 11:48:42,752 µs,5.39 s
2025-09-18 11:48:44,752 µs,5.66 s
2025-09-18 11:48:46,641 µs,5.92 s
2025-09-18 11:48:48,654 µs,6.19 s
2025-09-18 11:48:50,776 µs,6.45 s
2025-09-18 11:48:52,776 µs,7.91 s
2025-09-18 11:48:54,776 µs,7.91 s
2025-09-18 11:48:56,776 µs,7.91 s
2025-09-18 11:48:58,776 µs,6.51 s
2025-09-18 11:49:00,776 µs,6.25 s
2025-09-18 11:49:02,776 µs,5.99 s
2025-09-18 11:49:04,660 µs,5.72 s
2025-09-18 11:49:06,587 µs,5.46 s
2025-09-18 11:49:08,563 µs,5.20 s
2025-09-18 11:49:10,540 µs,3.19 s
2025-09-18 11:49:12,737 µs,7.94 s
2025-09-18 11:49:14,737 µs,7.94 s
2025-09-18 11:49:16,737 µs,7.94 s
2025-09-18 11:49:18,739 µs,7.94 s
2025-09-18 11:49:20,739 µs,7.94 s
2025-09-18 11:49:22,739 µs,7.94 s
2025-09-18 11:49:24,723 µs,7.94 s
2025-09-18 11:49:26,723 µs,7.94 s
2025-09-18 11:49:28,723 µs,7.96 s
2025-09-18 11:49:30,723 µs,7.96 s
2025-09-18 11:49:32,739 µs,7.96 s
2025-09-18 11:49:34,739 µs,7.96 s
2025-09-18 11:49:36,739 µs,7.96 s
2025-09-18 11:49:38,739 µs,7.96 s
2025-09-18 11:49:40,739 µs,4.82 s
2025-09-18 11:49:42,674 µs,5.08 s
2025-09-18 11:49:44,674 µs,5.35 s
2025-09-18 11:49:46,674 µs,3.35 s
2025-09-18 11:49:48,439 µs,3.50 s
2025-09-18 11:49:50,458 µs,3.66 s
2025-09-18 11:49:52,478 µs,3.82 s
2025-09-18 11:49:54,498 µs,4.70 s
2025-09-18 11:49:56,594 µs,4.70 s
2025-09-18 11:49:58,498 µs,4.70 s
2025-09-18 11:50:00,479 µs,4.70 s
2025-09-18 11:50:02,459 µs,4.70 s
2025-09-18 11:50:04,439 µs,2.97 s
2025-09-18 11:50:06,471 µs,2.97 s
2025-09-18 11:50:08,471 µs,2.97 s
2025-09-18 11:50:10,471 µs,2.97 s
2025-09-18 11:50:12,414 µs,789 ms
2025-09-18 11:50:14,414 µs,789 ms
2025-09-18 11:50:16,414 µs,789 ms
2025-09-18 11:50:18,414 µs,789 ms
2025-09-18 11:50:20,414 µs,789 ms
2025-09-18 11:50:22,414 µs,789 ms
2025-09-18 11:50:24,327 µs,521 ms
2025-09-18 11:50:26,327 µs,521 ms
2025-09-18 11:50:28,327 µs,139 µs
2025-09-18 11:50:30,327 µs,139 µs
2025-09-18 11:50:32,327 µs,139 µs
2025-09-18 11:50:34,327 µs,139 µs
2025-09-18 11:50:36,329 µs,133 µs
2025-09-18 11:50:38,329 µs,133 µs
2025-09-18 11:50:40,329 µs,133 µs
2025-09-18 11:50:42,252 µs,133 µs
2025-09-18 11:50:44,264 µs,133 µs
2025-09-18 11:50:46,275 µs,103 µs
2025-09-18 11:50:48,337 µs,105 µs
2025-09-18 11:50:50,337 µs,105 µs
2025-09-18 11:50:52,337 µs,105 µs
2025-09-18 11:50:54,278 µs,105 µs
2025-09-18 11:50:56,267 µs,105 µs
2025-09-18 11:50:58,256 µs,105 µs
2025-09-18 11:51:00,244 µs,105 µs
2025-09-18 11:51:02,233 µs,105 µs
2025-09-18 11:51:04,222 µs,55.3 µs
2025-09-18 11:51:06,153 µs,55.3 µs
2025-09-18 11:51:08,194 µs,55.3 µs
2025-09-18 11:51:10,183 µs,63.9 µs
2025-09-18 11:51:12,171 µs,61.0 µs
2025-09-18 11:51:14,160 µs,58.1 µs
2025-09-18 11:51:16,149 µs,55.2 µs
2025-09-18 11:51:18,138 µs,52.3 µs
