"Time","queue-proxy","user-container"
2025-09-18 13:22:38,8.34 MB,5.83 GB
2025-09-18 13:22:40,11.8 MB,5.83 GB
2025-09-18 13:22:42,11.8 MB,5.83 GB
2025-09-18 13:22:44,11.8 MB,5.83 GB
2025-09-18 13:22:46,11.8 MB,5.83 GB
2025-09-18 13:22:48,11.8 MB,5.83 GB
2025-09-18 13:22:50,11.8 MB,8.07 GB
2025-09-18 13:22:52,11.8 MB,8.07 GB
2025-09-18 13:22:54,11.8 MB,8.07 GB
2025-09-18 13:22:56,11.8 MB,8.07 GB
2025-09-18 13:22:58,11.8 MB,8.07 GB
2025-09-18 13:23:00,11.8 MB,8.07 GB
2025-09-18 13:23:02,11.8 MB,11.7 GB
2025-09-18 13:23:04,11.8 MB,11.7 GB
2025-09-18 13:23:06,16.6 MB,11.7 GB
2025-09-18 13:23:08,16.6 MB,11.7 GB
2025-09-18 13:23:10,16.6 MB,11.7 GB
2025-09-18 13:23:12,16.6 MB,11.7 GB
2025-09-18 13:23:14,16.6 MB,11.7 GB
2025-09-18 13:23:16,16.6 MB,11.7 GB
2025-09-18 13:23:18,16.6 MB,11.7 GB
2025-09-18 13:23:20,16.6 MB,11.7 GB
2025-09-18 13:23:22,16.6 MB,11.7 GB
2025-09-18 13:23:24,16.7 MB,11.7 GB
2025-09-18 13:23:26,16.7 MB,11.7 GB
2025-09-18 13:23:28,16.7 MB,11.7 GB
2025-09-18 13:23:30,16.7 MB,11.7 GB
2025-09-18 13:23:32,16.7 MB,11.8 GB
2025-09-18 13:23:34,16.7 MB,11.8 GB
2025-09-18 13:23:36,16.7 MB,11.8 GB
2025-09-18 13:23:38,16.9 MB,11.8 GB
2025-09-18 13:23:40,16.9 MB,11.8 GB
2025-09-18 13:23:42,16.9 MB,11.8 GB
2025-09-18 13:23:44,16.9 MB,11.8 GB
2025-09-18 13:23:46,16.9 MB,11.8 GB
2025-09-18 13:23:48,16.9 MB,11.8 GB
2025-09-18 13:23:50,16.9 MB,11.8 GB
2025-09-18 13:23:52,16.9 MB,11.8 GB
2025-09-18 13:23:54,16.9 MB,11.8 GB
2025-09-18 13:23:56,16.9 MB,11.8 GB
2025-09-18 13:23:58,16.9 MB,11.8 GB
2025-09-18 13:24:00,16.9 MB,11.8 GB
2025-09-18 13:24:02,16.9 MB,11.8 GB
2025-09-18 13:24:04,16.9 MB,11.8 GB
2025-09-18 13:24:06,16.9 MB,11.8 GB
2025-09-18 13:24:08,16.9 MB,11.8 GB
2025-09-18 13:24:10,16.9 MB,11.8 GB
2025-09-18 13:24:12,16.9 MB,11.8 GB
2025-09-18 13:24:14,16.9 MB,11.8 GB
2025-09-18 13:24:16,17.0 MB,11.8 GB
2025-09-18 13:24:18,17.0 MB,11.8 GB
