"Time","queue-proxy","user-container"
2025-09-03 11:25:35,,122 ms
2025-09-03 11:25:36,,131 ms
2025-09-03 11:25:37,,139 ms
2025-09-03 11:25:38,,148 ms
2025-09-03 11:25:39,,156 ms
2025-09-03 11:25:40,,165 ms
2025-09-03 11:25:41,1.76 ms,173 ms
2025-09-03 11:25:42,1.84 ms,182 ms
2025-09-03 11:25:43,1.91 ms,190 ms
2025-09-03 11:25:44,1.99 ms,199 ms
2025-09-03 11:25:45,2.07 ms,207 ms
2025-09-03 11:25:46,2.14 ms,216 ms
2025-09-03 11:25:47,2.22 ms,224 ms
2025-09-03 11:25:48,2.30 ms,233 ms
2025-09-03 11:25:49,2.37 ms,241 ms
2025-09-03 11:25:50,2.45 ms,918 ms
2025-09-03 11:25:51,2.53 ms,949 ms
2025-09-03 11:25:52,2.07 ms,980 ms
2025-09-03 11:25:53,2.12 ms,1.01 s
2025-09-03 11:25:54,2.18 ms,1.04 s
2025-09-03 11:25:55,2.24 ms,1.07 s
2025-09-03 11:25:56,2.30 ms,1.10 s
2025-09-03 11:25:57,2.36 ms,1.14 s
2025-09-03 11:25:58,2.42 ms,1.17 s
2025-09-03 11:25:59,2.48 ms,1.20 s
2025-09-03 11:26:00,2.54 ms,1.23 s
2025-09-03 11:26:01,2.60 ms,1.26 s
2025-09-03 11:26:02,2.66 ms,2.08 s
2025-09-03 11:26:03,2.72 ms,2.13 s
2025-09-03 11:26:04,2.78 ms,2.18 s
2025-09-03 11:26:05,2.84 ms,2.23 s
2025-09-03 11:26:06,2.90 ms,2.28 s
2025-09-03 11:26:07,2.96 ms,2.33 s
2025-09-03 11:26:08,3.02 ms,2.38 s
2025-09-03 11:26:09,2.32 ms,2.43 s
2025-09-03 11:26:10,2.37 ms,2.48 s
2025-09-03 11:26:11,2.41 ms,2.53 s
2025-09-03 11:26:12,2.46 ms,2.58 s
2025-09-03 11:26:13,2.50 ms,2.64 s
2025-09-03 11:26:14,2.54 ms,2.69 s
2025-09-03 11:26:15,2.59 ms,3.39 s
2025-09-03 11:26:16,2.63 ms,3.45 s
2025-09-03 11:26:17,2.64 ms,3.51 s
2025-09-03 11:26:18,2.64 ms,3.57 s
2025-09-03 11:26:19,2.64 ms,3.63 s
2025-09-03 11:26:20,2.64 ms,3.70 s
2025-09-03 11:26:21,996 µs,3.88 s
2025-09-03 11:26:22,1.02 ms,3.96 s
2025-09-03 11:26:23,932 µs,4.04 s
2025-09-03 11:26:24,951 µs,4.12 s
2025-09-03 11:26:25,970 µs,4.20 s
2025-09-03 11:26:26,1.13 ms,4.28 s
2025-09-03 11:26:27,1.13 ms,4.37 s
2025-09-03 11:26:28,1.13 ms,4.45 s
2025-09-03 11:26:29,1.13 ms,4.75 s
2025-09-03 11:26:30,1.13 ms,4.83 s
2025-09-03 11:26:31,1.13 ms,4.92 s
2025-09-03 11:26:32,1.13 ms,5.00 s
2025-09-03 11:26:33,1.13 ms,5.09 s
2025-09-03 11:26:34,1.04 ms,5.14 s
2025-09-03 11:26:35,1.04 ms,5.33 s
2025-09-03 11:26:36,1.04 ms,5.43 s
2025-09-03 11:26:37,1.04 ms,5.52 s
2025-09-03 11:26:38,1.04 ms,5.62 s
2025-09-03 11:26:39,1.04 ms,5.72 s
2025-09-03 11:26:40,1.04 ms,5.82 s
2025-09-03 11:26:41,851 µs,5.83 s
2025-09-03 11:26:42,851 µs,5.83 s
2025-09-03 11:26:43,851 µs,5.83 s
2025-09-03 11:26:44,851 µs,5.00 s
2025-09-03 11:26:45,930 µs,4.90 s
2025-09-03 11:26:46,930 µs,4.81 s
2025-09-03 11:26:47,930 µs,4.71 s
2025-09-03 11:26:48,930 µs,5.87 s
2025-09-03 11:26:49,930 µs,5.87 s
2025-09-03 11:26:50,930 µs,5.89 s
2025-09-03 11:26:51,930 µs,5.89 s
2025-09-03 11:26:52,761 µs,5.89 s
2025-09-03 11:26:53,777 µs,5.89 s
2025-09-03 11:26:54,792 µs,5.89 s
2025-09-03 11:26:55,808 µs,5.89 s
2025-09-03 11:26:56,926 µs,5.89 s
2025-09-03 11:26:57,926 µs,5.89 s
2025-09-03 11:26:58,926 µs,5.89 s
2025-09-03 11:26:59,803 µs,5.89 s
2025-09-03 11:27:00,869 µs,5.89 s
2025-09-03 11:27:01,869 µs,5.89 s
2025-09-03 11:27:02,869 µs,5.90 s
2025-09-03 11:27:03,869 µs,5.69 s
2025-09-03 11:27:04,869 µs,5.69 s
2025-09-03 11:27:05,869 µs,5.69 s
2025-09-03 11:27:06,869 µs,5.69 s
2025-09-03 11:27:07,869 µs,5.69 s
2025-09-03 11:27:08,869 µs,5.69 s
2025-09-03 11:27:09,868 µs,5.69 s
2025-09-03 11:27:10,868 µs,5.69 s
2025-09-03 11:27:11,851 µs,5.69 s
2025-09-03 11:27:12,851 µs,5.69 s
2025-09-03 11:27:13,851 µs,5.69 s
2025-09-03 11:27:14,851 µs,5.69 s
2025-09-03 11:27:15,851 µs,5.64 s
2025-09-03 11:27:16,851 µs,5.64 s
2025-09-03 11:27:17,851 µs,5.64 s
2025-09-03 11:27:18,851 µs,5.64 s
2025-09-03 11:27:19,851 µs,5.64 s
2025-09-03 11:27:20,851 µs,5.64 s
2025-09-03 11:27:21,851 µs,5.64 s
2025-09-03 11:27:22,851 µs,5.64 s
2025-09-03 11:27:23,897 µs,5.64 s
2025-09-03 11:27:24,897 µs,5.64 s
2025-09-03 11:27:25,776 µs,5.64 s
2025-09-03 11:27:26,761 µs,5.64 s
2025-09-03 11:27:27,812 µs,5.64 s
2025-09-03 11:27:28,812 µs,5.64 s
2025-09-03 11:27:29,812 µs,4.54 s
2025-09-03 11:27:30,812 µs,5.46 s
2025-09-03 11:27:31,812 µs,5.46 s
2025-09-03 11:27:32,812 µs,5.46 s
2025-09-03 11:27:33,812 µs,5.46 s
2025-09-03 11:27:34,702 µs,3.90 s
2025-09-03 11:27:35,702 µs,3.90 s
2025-09-03 11:27:36,702 µs,3.90 s
2025-09-03 11:27:37,702 µs,3.90 s
2025-09-03 11:27:38,702 µs,3.90 s
2025-09-03 11:27:39,702 µs,3.90 s
2025-09-03 11:27:40,702 µs,3.90 s
2025-09-03 11:27:41,702 µs,3.90 s
2025-09-03 11:27:42,702 µs,3.90 s
2025-09-03 11:27:43,596 µs,3.90 s
2025-09-03 11:27:44,585 µs,3.90 s
2025-09-03 11:27:45,552 µs,3.90 s
2025-09-03 11:27:46,552 µs,3.90 s
2025-09-03 11:27:47,552 µs,3.90 s
2025-09-03 11:27:48,552 µs,3.27 s
2025-09-03 11:27:49,552 µs,3.27 s
2025-09-03 11:27:50,552 µs,2.16 s
2025-09-03 11:27:51,552 µs,2.16 s
2025-09-03 11:27:52,552 µs,2.16 s
2025-09-03 11:27:53,552 µs,2.16 s
2025-09-03 11:27:54,552 µs,2.16 s
2025-09-03 11:27:55,552 µs,2.16 s
2025-09-03 11:27:56,552 µs,2.16 s
2025-09-03 11:27:57,552 µs,2.16 s
2025-09-03 11:27:58,552 µs,2.16 s
2025-09-03 11:27:59,552 µs,2.16 s
2025-09-03 11:28:00,471 µs,2.16 s
2025-09-03 11:28:01,428 µs,2.16 s
2025-09-03 11:28:02,428 µs,2.16 s
2025-09-03 11:28:03,428 µs,240 ms
2025-09-03 11:28:04,428 µs,240 ms
2025-09-03 11:28:05,428 µs,240 ms
2025-09-03 11:28:06,428 µs,240 ms
2025-09-03 11:28:07,428 µs,158 ms
2025-09-03 11:28:08,428 µs,158 ms
2025-09-03 11:28:09,428 µs,158 ms
2025-09-03 11:28:10,428 µs,158 ms
2025-09-03 11:28:11,336 µs,158 ms
2025-09-03 11:28:12,336 µs,158 ms
2025-09-03 11:28:13,336 µs,158 ms
2025-09-03 11:28:14,336 µs,158 ms
2025-09-03 11:28:15,344 µs,158 ms
2025-09-03 11:28:16,344 µs,158 ms
2025-09-03 11:28:17,344 µs,130 ms
2025-09-03 11:28:18,344 µs,130 ms
2025-09-03 11:28:19,344 µs,130 ms
2025-09-03 11:28:20,344 µs,134 µs
2025-09-03 11:28:21,344 µs,134 µs
2025-09-03 11:28:22,344 µs,134 µs
2025-09-03 11:28:23,344 µs,134 µs
2025-09-03 11:28:24,344 µs,134 µs
2025-09-03 11:28:25,344 µs,134 µs
2025-09-03 11:28:26,344 µs,134 µs
2025-09-03 11:28:27,287 µs,134 µs
2025-09-03 11:28:28,292 µs,134 µs
2025-09-03 11:28:29,348 µs,134 µs
2025-09-03 11:28:30,311 µs,134 µs
2025-09-03 11:28:31,311 µs,134 µs
