"Time","queue-proxy","user-container"
2025-09-03 11:34:36,1.63 ms,
2025-09-03 11:34:37,1.74 ms,
2025-09-03 11:34:38,1.86 ms,
2025-09-03 11:34:39,1.97 ms,156 ms
2025-09-03 11:34:40,2.08 ms,166 ms
2025-09-03 11:34:41,2.19 ms,176 ms
2025-09-03 11:34:42,2.31 ms,186 ms
2025-09-03 11:34:43,2.42 ms,196 ms
2025-09-03 11:34:44,2.53 ms,206 ms
2025-09-03 11:34:45,2.64 ms,216 ms
2025-09-03 11:34:46,2.75 ms,226 ms
2025-09-03 11:34:47,2.87 ms,236 ms
2025-09-03 11:34:48,2.98 ms,246 ms
2025-09-03 11:34:49,2.22 ms,256 ms
2025-09-03 11:34:50,2.22 ms,266 ms
2025-09-03 11:34:51,2.69 ms,276 ms
2025-09-03 11:34:52,2.78 ms,286 ms
2025-09-03 11:34:53,2.87 ms,296 ms
2025-09-03 11:34:54,2.96 ms,306 ms
2025-09-03 11:34:55,3.05 ms,221 ms
2025-09-03 11:34:56,3.14 ms,235 ms
2025-09-03 11:34:57,3.23 ms,242 ms
2025-09-03 11:34:58,3.32 ms,249 ms
2025-09-03 11:34:59,3.41 ms,257 ms
2025-09-03 11:35:00,3.50 ms,264 ms
2025-09-03 11:35:01,3.59 ms,271 ms
2025-09-03 11:35:02,3.68 ms,278 ms
2025-09-03 11:35:03,3.77 ms,286 ms
2025-09-03 11:35:04,3.86 ms,293 ms
2025-09-03 11:35:05,3.11 ms,300 ms
2025-09-03 11:35:06,3.18 ms,307 ms
2025-09-03 11:35:07,3.25 ms,314 ms
2025-09-03 11:35:08,3.32 ms,322 ms
2025-09-03 11:35:09,3.39 ms,329 ms
2025-09-03 11:35:10,3.46 ms,336 ms
2025-09-03 11:35:11,3.52 ms,344 ms
2025-09-03 11:35:12,3.59 ms,351 ms
2025-09-03 11:35:13,3.66 ms,358 ms
2025-09-03 11:35:14,3.73 ms,365 ms
2025-09-03 11:35:15,3.80 ms,373 ms
2025-09-03 11:35:16,3.87 ms,380 ms
2025-09-03 11:35:17,3.94 ms,387 ms
2025-09-03 11:35:18,4.01 ms,394 ms
2025-09-03 11:35:19,4.08 ms,421 ms
2025-09-03 11:35:20,3.55 ms,429 ms
2025-09-03 11:35:21,3.50 ms,436 ms
2025-09-03 11:35:22,3.43 ms,444 ms
2025-09-03 11:35:23,4.00 ms,452 ms
2025-09-03 11:35:24,3.32 ms,401 ms
2025-09-03 11:35:25,3.32 ms,401 ms
2025-09-03 11:35:26,3.32 ms,401 ms
2025-09-03 11:35:27,3.32 ms,401 ms
2025-09-03 11:35:28,3.32 ms,401 ms
2025-09-03 11:35:29,3.32 ms,401 ms
2025-09-03 11:35:30,3.32 ms,401 ms
2025-09-03 11:35:31,3.32 ms,429 ms
2025-09-03 11:35:32,3.32 ms,429 ms
2025-09-03 11:35:33,3.32 ms,429 ms
2025-09-03 11:35:34,3.32 ms,429 ms
2025-09-03 11:35:35,3.32 ms,429 ms
2025-09-03 11:35:36,3.15 ms,429 ms
2025-09-03 11:35:37,3.15 ms,429 ms
2025-09-03 11:35:38,3.15 ms,429 ms
2025-09-03 11:35:39,3.15 ms,413 ms
2025-09-03 11:35:40,3.15 ms,421 ms
2025-09-03 11:35:41,3.15 ms,429 ms
2025-09-03 11:35:42,3.15 ms,438 ms
2025-09-03 11:35:43,3.15 ms,497 ms
2025-09-03 11:35:44,3.15 ms,435 ms
2025-09-03 11:35:45,3.15 ms,427 ms
2025-09-03 11:35:46,3.15 ms,419 ms
2025-09-03 11:35:47,3.15 ms,411 ms
2025-09-03 11:35:48,3.15 ms,402 ms
2025-09-03 11:35:49,3.15 ms,508 ms
2025-09-03 11:35:50,3.15 ms,508 ms
2025-09-03 11:35:51,3.72 ms,508 ms
2025-09-03 11:35:52,3.72 ms,508 ms
2025-09-03 11:35:53,3.13 ms,508 ms
2025-09-03 11:35:54,3.07 ms,508 ms
2025-09-03 11:35:55,3.01 ms,508 ms
2025-09-03 11:35:56,3.68 ms,531 ms
2025-09-03 11:35:57,3.68 ms,531 ms
2025-09-03 11:35:58,3.68 ms,531 ms
2025-09-03 11:35:59,3.68 ms,531 ms
2025-09-03 11:36:00,3.68 ms,531 ms
2025-09-03 11:36:01,3.68 ms,537 ms
2025-09-03 11:36:02,3.68 ms,537 ms
2025-09-03 11:36:03,3.68 ms,537 ms
2025-09-03 11:36:04,3.68 ms,537 ms
2025-09-03 11:36:05,3.11 ms,537 ms
2025-09-03 11:36:06,3.72 ms,537 ms
2025-09-03 11:36:07,3.72 ms,537 ms
2025-09-03 11:36:08,3.72 ms,536 ms
2025-09-03 11:36:09,3.72 ms,536 ms
2025-09-03 11:36:10,3.72 ms,536 ms
2025-09-03 11:36:11,3.72 ms,536 ms
2025-09-03 11:36:12,3.72 ms,536 ms
2025-09-03 11:36:13,3.10 ms,536 ms
2025-09-03 11:36:14,3.04 ms,487 ms
2025-09-03 11:36:15,3.40 ms,487 ms
2025-09-03 11:36:16,3.40 ms,487 ms
2025-09-03 11:36:17,3.40 ms,487 ms
2025-09-03 11:36:18,3.40 ms,487 ms
2025-09-03 11:36:19,3.40 ms,477 ms
2025-09-03 11:36:20,3.40 ms,477 ms
2025-09-03 11:36:21,3.40 ms,477 ms
2025-09-03 11:36:22,3.40 ms,477 ms
2025-09-03 11:36:23,3.25 ms,477 ms
2025-09-03 11:36:24,3.25 ms,477 ms
2025-09-03 11:36:25,3.25 ms,477 ms
2025-09-03 11:36:26,3.25 ms,477 ms
2025-09-03 11:36:27,3.25 ms,477 ms
2025-09-03 11:36:28,3.25 ms,477 ms
2025-09-03 11:36:29,3.25 ms,477 ms
