"Time","GPU 0","GPU 0"
2025-09-03 11:45:04,,0%
2025-09-03 11:45:05,,0%
2025-09-03 11:45:06,,0%
2025-09-03 11:45:07,,0%
2025-09-03 11:45:08,,0%
2025-09-03 11:45:09,,0%
2025-09-03 11:45:10,,0%
2025-09-03 11:45:11,,0%
2025-09-03 11:45:12,,0%
2025-09-03 11:45:13,,0%
2025-09-03 11:45:14,,0%
2025-09-03 11:45:15,,0%
2025-09-03 11:45:16,,0%
2025-09-03 11:45:17,,0%
2025-09-03 11:45:18,,0%
2025-09-03 11:45:19,,0%
2025-09-03 11:45:20,,0%
2025-09-03 11:45:21,,0%
2025-09-03 11:45:22,,0%
2025-09-03 11:45:23,,0%
2025-09-03 11:45:24,,0%
2025-09-03 11:45:25,,0%
2025-09-03 11:45:26,,0%
2025-09-03 11:45:27,,0%
2025-09-03 11:45:28,,0%
2025-09-03 11:45:29,,0%
2025-09-03 11:45:30,,0%
2025-09-03 11:45:31,,0%
2025-09-03 11:45:32,,0%
2025-09-03 11:45:33,,0%
2025-09-03 11:45:34,,0%
2025-09-03 11:45:35,,0%
2025-09-03 11:45:36,,0%
2025-09-03 11:45:37,,0%
2025-09-03 11:45:38,,0%
2025-09-03 11:45:39,,0%
2025-09-03 11:45:40,,0%
2025-09-03 11:45:41,,0%
2025-09-03 11:45:42,,0%
2025-09-03 11:45:43,,0%
2025-09-03 11:45:44,,0%
2025-09-03 11:45:45,,0%
2025-09-03 11:45:46,,0%
2025-09-03 11:45:47,,0%
2025-09-03 11:45:48,,0%
2025-09-03 11:45:49,,0%
2025-09-03 11:45:50,,0%
2025-09-03 11:45:51,,0%
2025-09-03 11:45:52,,0%
2025-09-03 11:45:53,,0%
2025-09-03 11:45:54,,0%
2025-09-03 11:45:55,,0%
2025-09-03 11:45:56,,0%
2025-09-03 11:45:57,,0%
2025-09-03 11:45:58,,0%
2025-09-03 11:45:59,,0%
2025-09-03 11:46:00,,0%
2025-09-03 11:46:01,,0%
2025-09-03 11:46:02,,0%
2025-09-03 11:46:03,,0%
2025-09-03 11:46:04,,0%
2025-09-03 11:46:05,,0%
