"Time","queue-proxy","user-container"
2025-09-03 15:38:37,10.4 MB,10.1 GB
2025-09-03 15:38:38,10.4 MB,10.1 GB
2025-09-03 15:38:39,13.8 MB,10.1 GB
2025-09-03 15:38:40,13.8 MB,10.1 GB
2025-09-03 15:38:41,13.8 MB,10.1 GB
2025-09-03 15:38:42,13.8 MB,10.1 GB
2025-09-03 15:38:43,13.8 MB,10.1 GB
2025-09-03 15:38:44,13.8 MB,10.1 GB
2025-09-03 15:38:45,13.8 MB,10.1 GB
2025-09-03 15:38:46,13.8 MB,10.1 GB
2025-09-03 15:38:47,13.8 MB,10.1 GB
2025-09-03 15:38:48,13.8 MB,10.1 GB
2025-09-03 15:38:49,13.8 MB,10.1 GB
2025-09-03 15:38:50,13.8 MB,10.1 GB
2025-09-03 15:38:51,13.8 MB,10.1 GB
2025-09-03 15:38:52,13.8 MB,10.1 GB
2025-09-03 15:38:53,13.8 MB,10.1 GB
2025-09-03 15:38:54,13.8 MB,10.1 GB
2025-09-03 15:38:55,13.8 MB,14.0 GB
2025-09-03 15:38:56,13.8 MB,14.0 GB
2025-09-03 15:38:57,13.8 MB,14.0 GB
2025-09-03 15:38:58,13.8 MB,14.0 GB
2025-09-03 15:38:59,18.5 MB,14.0 GB
2025-09-03 15:39:00,18.5 MB,14.0 GB
2025-09-03 15:39:01,18.5 MB,14.0 GB
2025-09-03 15:39:02,18.5 MB,14.0 GB
2025-09-03 15:39:03,18.5 MB,14.0 GB
2025-09-03 15:39:04,18.5 MB,14.0 GB
2025-09-03 15:39:05,18.5 MB,20.3 GB
2025-09-03 15:39:06,18.5 MB,20.3 GB
2025-09-03 15:39:07,18.5 MB,20.3 GB
2025-09-03 15:39:08,18.5 MB,20.3 GB
2025-09-03 15:39:09,18.5 MB,20.3 GB
2025-09-03 15:39:10,18.5 MB,20.3 GB
2025-09-03 15:39:11,18.5 MB,20.3 GB
2025-09-03 15:39:12,18.5 MB,20.3 GB
2025-09-03 15:39:13,18.5 MB,20.3 GB
2025-09-03 15:39:14,18.5 MB,20.3 GB
2025-09-03 15:39:15,18.5 MB,20.3 GB
2025-09-03 15:39:16,18.5 MB,20.3 GB
2025-09-03 15:39:17,19.2 MB,20.3 GB
2025-09-03 15:39:18,19.2 MB,20.3 GB
2025-09-03 15:39:19,19.2 MB,20.3 GB
2025-09-03 15:39:20,19.2 MB,20.3 GB
2025-09-03 15:39:21,19.2 MB,20.3 GB
2025-09-03 15:39:22,19.2 MB,20.3 GB
2025-09-03 15:39:23,19.2 MB,20.3 GB
2025-09-03 15:39:24,19.2 MB,20.3 GB
2025-09-03 15:39:25,19.2 MB,20.3 GB
2025-09-03 15:39:26,19.2 MB,20.3 GB
2025-09-03 15:39:27,19.2 MB,20.3 GB
2025-09-03 15:39:28,19.2 MB,20.3 GB
2025-09-03 15:39:29,19.2 MB,20.3 GB
2025-09-03 15:39:30,19.3 MB,20.3 GB
2025-09-03 15:39:31,19.3 MB,20.3 GB
2025-09-03 15:39:32,19.3 MB,20.3 GB
2025-09-03 15:39:33,19.3 MB,20.3 GB
2025-09-03 15:39:34,19.3 MB,20.3 GB
2025-09-03 15:39:35,19.3 MB,20.3 GB
2025-09-03 15:39:36,19.3 MB,20.3 GB
2025-09-03 15:39:37,19.3 MB,20.3 GB
2025-09-03 15:39:38,19.3 MB,20.3 GB
2025-09-03 15:39:39,19.3 MB,20.3 GB
2025-09-03 15:39:40,19.3 MB,20.3 GB
2025-09-03 15:39:41,19.3 MB,20.3 GB
2025-09-03 15:39:42,19.3 MB,20.3 GB
2025-09-03 15:39:43,19.4 MB,20.3 GB
2025-09-03 15:39:44,19.4 MB,20.3 GB
2025-09-03 15:39:45,19.4 MB,20.3 GB
2025-09-03 15:39:46,19.4 MB,20.3 GB
2025-09-03 15:39:47,19.4 MB,20.3 GB
2025-09-03 15:39:48,19.4 MB,20.3 GB
2025-09-03 15:39:49,19.4 MB,20.3 GB
2025-09-03 15:39:50,19.4 MB,20.3 GB
2025-09-03 15:39:51,19.4 MB,20.3 GB
2025-09-03 15:39:52,19.4 MB,20.3 GB
2025-09-03 15:39:53,19.4 MB,20.3 GB
2025-09-03 15:39:54,19.4 MB,20.3 GB
2025-09-03 15:39:55,19.4 MB,20.3 GB
2025-09-03 15:39:56,19.4 MB,20.3 GB
2025-09-03 15:39:57,19.4 MB,20.3 GB
2025-09-03 15:39:58,19.4 MB,20.3 GB
2025-09-03 15:39:59,19.6 MB,20.3 GB
2025-09-03 15:40:00,19.6 MB,20.3 GB
2025-09-03 15:40:01,19.6 MB,20.3 GB
2025-09-03 15:40:02,19.6 MB,20.3 GB
2025-09-03 15:40:03,19.6 MB,20.3 GB
2025-09-03 15:40:04,19.6 MB,20.3 GB
2025-09-03 15:40:05,19.6 MB,20.3 GB
2025-09-03 15:40:06,19.6 MB,20.3 GB
2025-09-03 15:40:07,19.6 MB,20.3 GB
2025-09-03 15:40:08,19.6 MB,20.3 GB
2025-09-03 15:40:09,19.6 MB,20.3 GB
2025-09-03 15:40:10,19.6 MB,20.3 GB
2025-09-03 15:40:11,19.6 MB,20.3 GB
2025-09-03 15:40:12,19.6 MB,20.3 GB
2025-09-03 15:40:13,19.7 MB,20.3 GB
2025-09-03 15:40:14,19.7 MB,20.3 GB
2025-09-03 15:40:15,19.7 MB,20.3 GB
2025-09-03 15:40:16,19.7 MB,20.3 GB
2025-09-03 15:40:17,19.7 MB,20.3 GB
2025-09-03 15:40:18,19.7 MB,20.3 GB
2025-09-03 15:40:19,19.7 MB,20.3 GB
2025-09-03 15:40:20,19.7 MB,20.3 GB
2025-09-03 15:40:21,19.7 MB,20.3 GB
2025-09-03 15:40:22,19.7 MB,20.3 GB
2025-09-03 15:40:23,19.7 MB,20.3 GB
2025-09-03 15:40:24,19.7 MB,20.3 GB
2025-09-03 15:40:25,19.7 MB,20.3 GB
2025-09-03 15:40:26,19.7 MB,20.3 GB
2025-09-03 15:40:27,19.7 MB,20.3 GB
2025-09-03 15:40:28,19.7 MB,20.3 GB
2025-09-03 15:40:29,19.7 MB,20.3 GB
2025-09-03 15:40:30,19.7 MB,20.3 GB
