"Time","queue-proxy","user-container"
2025-09-03 15:56:37,,124 ms
2025-09-03 15:56:38,,132 ms
2025-09-03 15:56:39,,141 ms
2025-09-03 15:56:40,,150 ms
2025-09-03 15:56:41,,158 ms
2025-09-03 15:56:42,,167 ms
2025-09-03 15:56:43,1.70 ms,175 ms
2025-09-03 15:56:44,1.77 ms,184 ms
2025-09-03 15:56:45,1.84 ms,193 ms
2025-09-03 15:56:46,1.92 ms,201 ms
2025-09-03 15:56:47,1.99 ms,458 ms
2025-09-03 15:56:48,2.06 ms,477 ms
2025-09-03 15:56:49,2.14 ms,496 ms
2025-09-03 15:56:50,2.21 ms,515 ms
2025-09-03 15:56:51,2.28 ms,533 ms
2025-09-03 15:56:52,2.36 ms,552 ms
2025-09-03 15:56:53,1.99 ms,571 ms
2025-09-03 15:56:54,2.04 ms,590 ms
2025-09-03 15:56:55,2.10 ms,609 ms
2025-09-03 15:56:56,2.16 ms,627 ms
2025-09-03 15:56:57,2.22 ms,646 ms
2025-09-03 15:56:58,2.28 ms,665 ms
2025-09-03 15:56:59,2.34 ms,1.58 s
2025-09-03 15:57:00,2.40 ms,1.62 s
2025-09-03 15:57:01,2.45 ms,1.67 s
2025-09-03 15:57:02,2.51 ms,1.71 s
2025-09-03 15:57:03,2.57 ms,1.75 s
2025-09-03 15:57:04,2.63 ms,1.80 s
2025-09-03 15:57:05,2.69 ms,1.84 s
2025-09-03 15:57:06,2.75 ms,1.88 s
2025-09-03 15:57:07,2.81 ms,1.93 s
2025-09-03 15:57:08,2.87 ms,1.97 s
2025-09-03 15:57:09,2.92 ms,2.01 s
2025-09-03 15:57:10,2.42 ms,2.06 s
2025-09-03 15:57:11,2.42 ms,2.71 s
2025-09-03 15:57:12,2.42 ms,2.77 s
2025-09-03 15:57:13,2.26 ms,2.83 s
2025-09-03 15:57:14,2.30 ms,2.88 s
2025-09-03 15:57:15,2.34 ms,2.94 s
2025-09-03 15:57:16,2.38 ms,2.99 s
2025-09-03 15:57:17,2.42 ms,3.05 s
2025-09-03 15:57:18,2.44 ms,3.11 s
2025-09-03 15:57:19,2.44 ms,3.16 s
2025-09-03 15:57:20,2.44 ms,3.22 s
2025-09-03 15:57:21,2.44 ms,3.27 s
2025-09-03 15:57:22,2.44 ms,3.33 s
2025-09-03 15:57:23,919 µs,3.09 s
2025-09-03 15:57:24,938 µs,3.09 s
2025-09-03 15:57:25,841 µs,3.09 s
2025-09-03 15:57:26,858 µs,4.16 s
2025-09-03 15:57:27,1.01 ms,4.24 s
2025-09-03 15:57:28,1.01 ms,4.32 s
2025-09-03 15:57:29,1.01 ms,4.41 s
2025-09-03 15:57:30,1.01 ms,4.49 s
2025-09-03 15:57:31,1.01 ms,4.57 s
2025-09-03 15:57:32,1.01 ms,4.65 s
2025-09-03 15:57:33,1.01 ms,4.74 s
2025-09-03 15:57:34,1.01 ms,4.82 s
2025-09-03 15:57:35,1.01 ms,4.90 s
2025-09-03 15:57:36,1.01 ms,4.93 s
2025-09-03 15:57:37,1.01 ms,5.20 s
2025-09-03 15:57:38,911 µs,5.30 s
2025-09-03 15:57:39,911 µs,5.39 s
2025-09-03 15:57:40,911 µs,5.49 s
2025-09-03 15:57:41,911 µs,5.58 s
2025-09-03 15:57:42,911 µs,5.68 s
2025-09-03 15:57:43,687 µs,5.68 s
2025-09-03 15:57:44,687 µs,5.68 s
2025-09-03 15:57:45,687 µs,5.68 s
2025-09-03 15:57:46,687 µs,5.68 s
2025-09-03 15:57:47,687 µs,5.71 s
2025-09-03 15:57:48,687 µs,5.71 s
2025-09-03 15:57:49,687 µs,5.71 s
2025-09-03 15:57:50,687 µs,5.00 s
2025-09-03 15:57:51,687 µs,5.71 s
2025-09-03 15:57:52,687 µs,5.71 s
2025-09-03 15:57:53,412 µs,5.71 s
2025-09-03 15:57:54,610 µs,5.71 s
2025-09-03 15:57:55,623 µs,5.71 s
2025-09-03 15:57:56,635 µs,5.71 s
2025-09-03 15:57:57,750 µs,5.71 s
2025-09-03 15:57:58,750 µs,5.71 s
2025-09-03 15:57:59,750 µs,5.69 s
2025-09-03 15:58:00,750 µs,5.69 s
2025-09-03 15:58:01,750 µs,5.69 s
2025-09-03 15:58:02,750 µs,5.69 s
2025-09-03 15:58:03,750 µs,5.69 s
2025-09-03 15:58:04,750 µs,5.69 s
2025-09-03 15:58:05,750 µs,5.69 s
2025-09-03 15:58:06,750 µs,4.86 s
2025-09-03 15:58:07,798 µs,4.76 s
2025-09-03 15:58:08,798 µs,5.65 s
2025-09-03 15:58:09,798 µs,5.65 s
2025-09-03 15:58:10,798 µs,5.65 s
2025-09-03 15:58:11,798 µs,5.64 s
2025-09-03 15:58:12,798 µs,5.64 s
2025-09-03 15:58:13,826 µs,5.64 s
2025-09-03 15:58:14,826 µs,5.64 s
2025-09-03 15:58:15,826 µs,5.64 s
2025-09-03 15:58:16,826 µs,5.64 s
2025-09-03 15:58:17,826 µs,5.64 s
2025-09-03 15:58:18,826 µs,5.64 s
2025-09-03 15:58:19,826 µs,5.64 s
2025-09-03 15:58:20,826 µs,5.64 s
2025-09-03 15:58:21,826 µs,5.64 s
2025-09-03 15:58:22,709 µs,5.64 s
2025-09-03 15:58:23,695 µs,4.79 s
2025-09-03 15:58:24,682 µs,4.70 s
2025-09-03 15:58:25,765 µs,4.60 s
2025-09-03 15:58:26,888 µs,4.58 s
2025-09-03 15:58:27,888 µs,5.60 s
2025-09-03 15:58:28,888 µs,5.60 s
2025-09-03 15:58:29,888 µs,5.60 s
2025-09-03 15:58:30,888 µs,5.60 s
2025-09-03 15:58:31,888 µs,5.60 s
2025-09-03 15:58:32,888 µs,5.60 s
2025-09-03 15:58:33,888 µs,5.60 s
2025-09-03 15:58:34,888 µs,5.60 s
2025-09-03 15:58:35,888 µs,5.60 s
2025-09-03 15:58:36,888 µs,5.60 s
2025-09-03 15:58:37,888 µs,5.56 s
2025-09-03 15:58:38,864 µs,5.56 s
2025-09-03 15:58:39,864 µs,5.56 s
2025-09-03 15:58:40,864 µs,5.56 s
2025-09-03 15:58:41,864 µs,5.56 s
2025-09-03 15:58:42,864 µs,5.56 s
2025-09-03 15:58:43,864 µs,5.56 s
2025-09-03 15:58:44,715 µs,5.56 s
2025-09-03 15:58:45,700 µs,5.56 s
2025-09-03 15:58:46,822 µs,5.56 s
2025-09-03 15:58:47,822 µs,5.56 s
2025-09-03 15:58:48,822 µs,5.56 s
2025-09-03 15:58:49,822 µs,5.56 s
2025-09-03 15:58:50,822 µs,5.56 s
2025-09-03 15:58:51,822 µs,5.55 s
2025-09-03 15:58:52,822 µs,5.55 s
2025-09-03 15:58:53,822 µs,5.55 s
2025-09-03 15:58:54,778 µs,5.55 s
2025-09-03 15:58:55,778 µs,5.55 s
2025-09-03 15:58:56,778 µs,5.55 s
2025-09-03 15:58:57,778 µs,5.57 s
2025-09-03 15:58:58,778 µs,5.57 s
2025-09-03 15:58:59,769 µs,5.57 s
2025-09-03 15:59:00,769 µs,5.57 s
2025-09-03 15:59:01,769 µs,5.57 s
2025-09-03 15:59:02,769 µs,5.57 s
2025-09-03 15:59:03,769 µs,5.57 s
2025-09-03 15:59:04,769 µs,5.57 s
2025-09-03 15:59:05,769 µs,5.57 s
2025-09-03 15:59:06,769 µs,5.57 s
2025-09-03 15:59:07,618 µs,5.57 s
2025-09-03 15:59:08,747 µs,4.52 s
2025-09-03 15:59:09,747 µs,4.62 s
2025-09-03 15:59:10,747 µs,4.71 s
2025-09-03 15:59:11,747 µs,4.80 s
2025-09-03 15:59:12,747 µs,5.58 s
2025-09-03 15:59:13,771 µs,5.58 s
2025-09-03 15:59:14,771 µs,5.58 s
2025-09-03 15:59:15,771 µs,5.58 s
2025-09-03 15:59:16,771 µs,5.58 s
2025-09-03 15:59:17,771 µs,5.58 s
2025-09-03 15:59:18,771 µs,5.58 s
2025-09-03 15:59:19,771 µs,5.55 s
2025-09-03 15:59:20,771 µs,5.55 s
2025-09-03 15:59:21,771 µs,5.55 s
2025-09-03 15:59:22,771 µs,5.55 s
2025-09-03 15:59:23,771 µs,5.55 s
2025-09-03 15:59:24,771 µs,5.55 s
2025-09-03 15:59:25,771 µs,5.55 s
2025-09-03 15:59:26,624 µs,5.55 s
2025-09-03 15:59:27,637 µs,4.79 s
