"Time","queue-proxy","user-container"
2025-09-03 13:41:06,1.37 ms,
2025-09-03 13:41:07,1.45 ms,
2025-09-03 13:41:08,1.53 ms,
2025-09-03 13:41:09,1.60 ms,
2025-09-03 13:41:10,1.68 ms,169 ms
2025-09-03 13:41:11,1.75 ms,178 ms
2025-09-03 13:41:12,1.83 ms,187 ms
2025-09-03 13:41:13,1.90 ms,195 ms
2025-09-03 13:41:14,1.98 ms,204 ms
2025-09-03 13:41:15,2.05 ms,213 ms
2025-09-03 13:41:16,2.13 ms,221 ms
2025-09-03 13:41:17,2.20 ms,230 ms
2025-09-03 13:41:18,2.28 ms,238 ms
2025-09-03 13:41:19,2.35 ms,247 ms
2025-09-03 13:41:20,2.43 ms,256 ms
2025-09-03 13:41:21,2.50 ms,264 ms
2025-09-03 13:41:22,1.89 ms,273 ms
2025-09-03 13:41:23,2.57 ms,282 ms
2025-09-03 13:41:24,2.64 ms,290 ms
2025-09-03 13:41:25,2.71 ms,299 ms
2025-09-03 13:41:26,2.78 ms,313 ms
2025-09-03 13:41:27,2.86 ms,321 ms
2025-09-03 13:41:28,2.93 ms,330 ms
2025-09-03 13:41:29,3.00 ms,339 ms
2025-09-03 13:41:30,3.07 ms,348 ms
2025-09-03 13:41:31,3.15 ms,356 ms
2025-09-03 13:41:32,3.22 ms,365 ms
2025-09-03 13:41:33,3.22 ms,374 ms
2025-09-03 13:41:34,3.29 ms,383 ms
2025-09-03 13:41:35,3.36 ms,392 ms
2025-09-03 13:41:36,3.43 ms,399 ms
2025-09-03 13:41:37,3.50 ms,408 ms
2025-09-03 13:41:38,3.57 ms,416 ms
2025-09-03 13:41:39,3.64 ms,425 ms
2025-09-03 13:41:40,3.71 ms,434 ms
2025-09-03 13:41:41,3.78 ms,443 ms
2025-09-03 13:41:42,3.85 ms,451 ms
2025-09-03 13:41:43,3.85 ms,460 ms
2025-09-03 13:41:44,3.92 ms,469 ms
2025-09-03 13:41:45,3.99 ms,478 ms
2025-09-03 13:41:46,4.06 ms,486 ms
2025-09-03 13:41:47,4.13 ms,495 ms
2025-09-03 13:41:48,4.16 ms,504 ms
2025-09-03 13:41:49,4.16 ms,513 ms
2025-09-03 13:41:50,4.16 ms,521 ms
2025-09-03 13:41:51,3.48 ms,353 ms
2025-09-03 13:41:52,4.02 ms,353 ms
2025-09-03 13:41:53,4.02 ms,448 ms
2025-09-03 13:41:54,4.02 ms,527 ms
2025-09-03 13:41:55,4.02 ms,527 ms
2025-09-03 13:41:56,4.02 ms,527 ms
2025-09-03 13:41:57,3.48 ms,527 ms
2025-09-03 13:41:58,3.42 ms,527 ms
2025-09-03 13:41:59,3.35 ms,527 ms
2025-09-03 13:42:00,3.28 ms,527 ms
2025-09-03 13:42:01,3.22 ms,527 ms
2025-09-03 13:42:02,3.99 ms,527 ms
2025-09-03 13:42:03,3.99 ms,520 ms
2025-09-03 13:42:04,3.99 ms,520 ms
2025-09-03 13:42:05,3.99 ms,520 ms
2025-09-03 13:42:06,3.26 ms,520 ms
2025-09-03 13:42:07,3.33 ms,520 ms
2025-09-03 13:42:08,3.89 ms,520 ms
2025-09-03 13:42:09,3.89 ms,520 ms
2025-09-03 13:42:10,3.89 ms,430 ms
2025-09-03 13:42:11,3.89 ms,438 ms
2025-09-03 13:42:12,3.89 ms,447 ms
2025-09-03 13:42:13,3.89 ms,513 ms
2025-09-03 13:42:14,3.89 ms,513 ms
2025-09-03 13:42:15,3.89 ms,513 ms
2025-09-03 13:42:16,3.89 ms,450 ms
2025-09-03 13:42:17,3.33 ms,442 ms
2025-09-03 13:42:18,3.26 ms,520 ms
2025-09-03 13:42:19,3.87 ms,520 ms
2025-09-03 13:42:20,3.87 ms,520 ms
2025-09-03 13:42:21,3.87 ms,520 ms
2025-09-03 13:42:22,3.87 ms,520 ms
2025-09-03 13:42:23,3.86 ms,520 ms
2025-09-03 13:42:24,3.86 ms,520 ms
2025-09-03 13:42:25,3.86 ms,520 ms
2025-09-03 13:42:26,3.86 ms,521 ms
2025-09-03 13:42:27,3.86 ms,521 ms
2025-09-03 13:42:28,3.86 ms,521 ms
2025-09-03 13:42:29,3.86 ms,521 ms
2025-09-03 13:42:30,3.86 ms,521 ms
2025-09-03 13:42:31,3.86 ms,521 ms
2025-09-03 13:42:32,3.86 ms,521 ms
2025-09-03 13:42:33,3.83 ms,445 ms
2025-09-03 13:42:34,3.83 ms,437 ms
2025-09-03 13:42:35,3.83 ms,490 ms
2025-09-03 13:42:36,3.83 ms,403 ms
2025-09-03 13:42:37,3.83 ms,477 ms
2025-09-03 13:42:38,3.83 ms,477 ms
2025-09-03 13:42:39,3.83 ms,477 ms
2025-09-03 13:42:40,3.83 ms,477 ms
2025-09-03 13:42:41,3.83 ms,477 ms
2025-09-03 13:42:42,3.83 ms,477 ms
2025-09-03 13:42:43,3.08 ms,477 ms
2025-09-03 13:42:44,2.36 ms,477 ms
2025-09-03 13:42:45,2.41 ms,385 ms
2025-09-03 13:42:46,2.45 ms,385 ms
2025-09-03 13:42:47,2.87 ms,385 ms
2025-09-03 13:42:48,2.87 ms,385 ms
2025-09-03 13:42:49,2.87 ms,385 ms
2025-09-03 13:42:50,2.87 ms,385 ms
2025-09-03 13:42:51,2.87 ms,385 ms
2025-09-03 13:42:52,2.87 ms,385 ms
2025-09-03 13:42:53,2.87 ms,359 ms
2025-09-03 13:42:54,2.87 ms,359 ms
2025-09-03 13:42:55,2.38 ms,359 ms
2025-09-03 13:42:56,2.38 ms,359 ms
2025-09-03 13:42:57,2.38 ms,359 ms
2025-09-03 13:42:58,2.38 ms,275 ms
2025-09-03 13:42:59,2.38 ms,275 ms
2025-09-03 13:43:00,2.38 ms,275 ms
2025-09-03 13:43:01,2.38 ms,275 ms
2025-09-03 13:43:02,1.39 ms,275 ms
2025-09-03 13:43:03,1.42 ms,179 ms
2025-09-03 13:43:04,1.45 ms,179 ms
2025-09-03 13:43:05,1.48 ms,179 ms
2025-09-03 13:43:06,1.70 ms,179 ms
