"Time","GPU 0","GPU 0"
2025-09-03 14:01:06,,0%
2025-09-03 14:01:07,,0%
2025-09-03 14:01:08,,0%
2025-09-03 14:01:09,,0%
2025-09-03 14:01:10,,0%
2025-09-03 14:01:11,,0%
2025-09-03 14:01:12,,0%
2025-09-03 14:01:13,,0%
2025-09-03 14:01:14,,0%
2025-09-03 14:01:15,,0%
2025-09-03 14:01:16,,0%
2025-09-03 14:01:17,0%,
2025-09-03 14:01:18,0%,
2025-09-03 14:01:19,0%,
2025-09-03 14:01:20,0%,
2025-09-03 14:01:21,0%,
2025-09-03 14:01:22,0%,
2025-09-03 14:01:23,0%,
2025-09-03 14:01:24,0%,
2025-09-03 14:01:25,0%,
2025-09-03 14:01:26,0%,
2025-09-03 14:01:27,0%,
2025-09-03 14:01:28,0%,
2025-09-03 14:01:29,0%,
2025-09-03 14:01:30,0%,
2025-09-03 14:01:31,0%,
2025-09-03 14:01:32,0%,
2025-09-03 14:01:33,0%,
2025-09-03 14:01:34,0%,
2025-09-03 14:01:35,0%,
2025-09-03 14:01:36,0%,
2025-09-03 14:01:37,0%,
2025-09-03 14:01:38,0%,
2025-09-03 14:01:39,22%,
2025-09-03 14:01:40,0%,
2025-09-03 14:01:41,7%,
2025-09-03 14:01:42,55%,
2025-09-03 14:01:43,42%,
2025-09-03 14:01:44,18%,
2025-09-03 14:01:45,57%,
2025-09-03 14:01:46,10%,
2025-09-03 14:01:47,28%,
2025-09-03 14:01:48,36%,
2025-09-03 14:01:49,29%,
2025-09-03 14:01:50,20%,
2025-09-03 14:01:51,46%,
2025-09-03 14:01:52,64%,
2025-09-03 14:01:53,16%,
2025-09-03 14:01:54,42%,
2025-09-03 14:01:55,65%,
2025-09-03 14:01:56,69%,
2025-09-03 14:01:57,15%,
2025-09-03 14:01:58,25%,
2025-09-03 14:01:59,43%,
2025-09-03 14:02:00,43%,
2025-09-03 14:02:01,12%,
2025-09-03 14:02:02,35%,
